"Year","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
2002,-36.545053,-36.545053,-23.102636,-22.297987,-22.369591,-22.815516,-25.148698,-22.337140,-22.337140,-23.381988,-21.831418,-21.523058,-28.638090,-30.309793,-32.101063,-29.625442,-29.625777
2003,-36.175635,-36.175635,-16.377250,-16.327929,-16.399456,-21.215572,-24.845673,-21.647558,-21.647558,-23.777763,-22.163350,-21.908968,-29.141383,-30.775388,-32.669775,-30.272427,-30.272670
2004,-35.492294,-35.492294,-22.929916,-22.873555,-22.944833,-22.423826,-24.299203,-20.792745,-20.792745,-23.536544,-21.946666,-21.648286,-28.876797,-30.535666,-32.451550,-30.197170,-30.197348
2005,-37.181614,-37.181614,-28.025725,-27.998114,-28.065069,-25.561612,-25.877867,-21.938804,-21.938804,-24.637860,-23.055034,-22.722275,-30.160098,-31.831812,-33.673596,-31.137187,-31.137318
2006,-37.202181,-37.202181,-27.552569,-27.819385,-27.865789,-25.909476,-25.833327,-22.333255,-22.333255,-24.091302,-22.215788,-22.276810,-29.781340,-31.433275,-33.284216,-30.780807,-30.780905
2007,-36.229136,-36.121814,-24.607853,-25.200507,-25.221937,-24.787059,-24.484049,-20.135090,-20.135090,-23.289761,-21.372878,-21.515129,-29.264392,-32.322086,-34.123270,-31.848059,-31.848134
2008,,-36.416664,-25.345122,-24.298248,-24.314976,-22.411528,-24.829660,-20.038169,-20.038169,-23.739685,-22.134658,-21.929797,-29.870623,-32.898190,-34.597469,-32.390537,-32.390595
2009,,,-27.862015,-28.264119,-28.257939,-25.518331,-24.862926,-20.223731,-20.223731,-23.657666,-22.230094,-21.906328,-30.071574,-29.646721,-31.633834,-29.384506,-29.384553
2010,,,,-25.782434,-25.834095,-24.591393,-24.883036,-20.339661,-20.339661,-24.855156,-22.884103,-22.561054,-30.848958,-28.258611,-37.484793,-35.310716,-35.310754
2011,,,,,-25.308406,-23.058236,-25.208570,-20.649173,-20.649173,-25.341763,-21.580875,-21.322151,-29.287105,-28.424065,-37.799721,-35.936856,-35.936888
2012,,,,,,-20.570781,-25.263776,-19.781434,-19.781434,-27.075945,-22.987048,-22.672714,-32.700728,-30.900250,-40.250408,-38.514520,-38.514547
2013,,,,,,,-25.553569,-20.076802,-20.076802,-27.667550,-23.628563,-23.161321,-32.954120,-31.217924,-40.355165,-38.651057,-38.651081
2014,,,,,,,,-20.102306,-20.102306,-27.328907,-24.447214,-24.179902,-32.993893,-34.089083,-51.267284,-49.317572,-49.317593
2015,,,,,,,,,-20.102306,-25.370095,-24.196927,-23.774733,-32.962446,-32.997571,-50.364975,-48.479452,-48.479472
2016,,,,,,,,,,-26.311060,-25.255687,-24.948802,-33.162560,-34.935106,-52.626562,-50.576969,-50.576988
2017,,,,,,,,,,,-23.881138,-23.525336,-31.055834,-32.551255,-50.602907,-48.779009,-48.779026
2018,,,,,,,,,,,,-26.292903,-28.629242,-29.743105,-48.275912,-46.838609,-46.838625
2019,,,,,,,,,,,,,-32.774931,-28.506920,-48.294483,-46.840346,-46.840362
2020,,,,,,,,,,,,,,-32.931309,-50.485924,-49.210113,-49.210128
2021,,,,,,,,,,,,,,,-49.330002,-48.223682,-47.866632
2022,,,,,,,,,,,,,,,,-46.615824,-45.835540
2023,,,,,,,,,,,,,,,,,-46.558708
