"Year","USA","OECD Europe","Japan","Rest of OECD","China","India","Russia","Rest of Non-OECD","Bunkers"
1987,1.317061,1.124754,0.246324,0.370919,0.616195,0.124275,0.643600,1.211553,0.143841
1988,1.378423,1.114373,0.268959,0.387419,0.662089,0.134195,0.664873,1.266409,0.148747
1989,1.400711,1.126491,0.278843,0.407518,0.672395,0.147558,0.656379,1.263789,0.154114
1990,1.397641,1.155794,0.315828,0.423053,0.678181,0.157750,0.692207,1.239547,0.149796
1991,1.381811,1.154420,0.319022,0.433096,0.711271,0.167949,0.656866,1.367101,0.148387
1992,1.412180,1.124584,0.321691,0.449657,0.745302,0.178888,0.536710,1.238807,0.151351
1993,1.439097,1.104961,0.319783,0.463674,0.797394,0.184852,0.509478,1.250698,0.152320
1994,1.464050,1.099866,0.334799,0.480673,0.847090,0.194886,0.449690,1.255992,0.159737
1995,1.480693,1.109100,0.338168,0.494671,0.917477,0.207550,0.442065,1.261956,0.168759
1996,1.531928,1.137386,0.341579,0.521837,0.957647,0.224787,0.433085,1.287482,0.182763
1997,1.552441,1.115989,0.339588,0.547148,0.959496,0.234173,0.404543,1.312699,0.192206
1998,1.564760,1.119363,0.328712,0.540125,0.918283,0.239021,0.399905,1.326451,0.203921
1999,1.584039,1.109074,0.338711,0.556983,0.970872,0.259405,0.407800,1.339534,0.211282
2000,1.640321,1.113367,0.344911,0.581063,0.995961,0.266792,0.403696,1.399714,0.214134
2001,1.612374,1.129006,0.340929,0.585206,1.017607,0.270461,0.413659,1.425480,0.212628
2002,1.622901,1.123995,0.349014,0.595902,1.119826,0.278839,0.411241,1.444213,0.217904
2003,1.640324,1.147803,0.351335,0.617572,1.321266,0.289072,0.419492,1.532387,0.226778
2004,1.668301,1.151862,0.350078,0.625345,1.423949,0.307068,0.421386,1.616638,0.246561
2005,1.673631,1.145459,0.352114,0.639532,1.605388,0.323601,0.426467,1.653834,0.256420
2006,1.651934,1.146291,0.345829,0.650967,1.772472,0.352752,0.442959,1.719199,0.270698
2007,1.673068,1.131000,0.355578,0.674746,1.905998,0.380051,0.443172,1.747161,0.286316
2008,1.614388,1.105526,0.336248,0.675078,2.047352,0.406506,0.450891,1.820014,0.289057
2009,1.495831,1.019405,0.317428,0.663403,2.153682,0.440015,0.421680,1.806864,0.277016
2010,1.550141,1.053006,0.331525,0.683174,2.352791,0.457789,0.445629,1.921410,0.294691
2011,1.513678,1.009538,0.345150,0.709429,2.601640,0.481635,0.460128,1.974922,0.302479
2012,1.458539,0.997093,0.356409,0.722798,2.669038,0.525573,0.464320,2.041710,0.299306
2013,1.495676,0.978391,0.358950,0.716784,2.717352,0.544514,0.447718,2.052784,0.303680
2014,1.508920,0.929007,0.344998,0.712397,2.728896,0.586338,0.447587,2.115707,0.305790
2015,1.467378,0.938132,0.333834,0.723586,2.692945,0.609776,0.447237,2.149319,0.316618
2016,1.433661,0.934161,0.328181,0.729029,2.665128,0.642647,0.446202,2.178619,0.320327
2017,1.422533,0.934758,0.323909,0.739638,2.732301,0.662284,0.454727,2.227477,0.334646
2018,1.467739,0.913516,0.311591,0.746468,2.825855,0.707712,0.467384,2.250106,0.344274
2019,1.436175,0.871274,0.301457,0.736635,2.926049,0.713124,0.465347,2.314107,0.345030
2020,1.286743,0.787544,0.283787,0.693912,2.978715,0.660904,0.445668,2.182857,0.234382
2021,1.373421,0.839029,0.289882,0.720402,3.093950,0.729864,0.467247,2.286567,0.247820
2022,1.380269,0.819254,0.287609,0.726416,3.110474,0.772283,0.450922,2.305516,0.286392
