"Year","fossil_carbon","land-use_change","atmosphere","land","ocean","fossil_including_carbonation"
1902,2.067684,4.486312,1.828071,-0.998057,1.840885,2.067684
1903,2.254100,4.496058,1.926906,5.125386,1.872341,2.254100
1904,2.279747,4.583285,2.068545,5.246809,1.904346,2.279747
1905,2.427318,4.597966,2.233530,1.278196,1.916968,2.427318
1906,2.534733,4.623968,2.353378,4.036893,1.948937,2.534733
1907,2.888318,4.666470,2.451436,4.468860,1.982132,2.888318
1908,2.776441,4.705248,2.524590,4.365628,2.013386,2.776441
1909,2.890495,4.745857,2.567393,2.696524,2.045135,2.890495
1910,3.034090,4.642703,2.593853,3.775113,2.058875,3.034090
1911,3.079502,4.608445,2.657668,1.407828,2.089561,3.079502
1912,3.235964,4.549796,2.769733,2.064775,2.102989,3.235964
1913,3.506276,4.538633,2.891916,2.405615,2.133272,3.506276
1914,3.180356,4.536374,2.986861,3.622564,2.143880,3.180356
1915,3.134854,4.490195,3.063127,2.253792,2.175958,3.134854
1916,3.385858,4.442881,3.105930,4.608945,2.187390,3.385858
1917,3.540427,4.428371,3.109043,6.668520,2.216354,3.540427
1918,3.493264,4.455424,3.063127,3.364264,2.245098,3.493264
1919,3.029007,4.413312,2.966626,0.726747,2.257061,3.029007
1920,3.521427,4.608408,2.842109,4.449495,2.285347,3.521427
1921,3.090097,4.731824,2.745608,4.277169,2.314842,3.090097
1922,3.240314,4.794063,2.685684,2.015756,2.324167,3.240314
1923,3.676233,4.787981,2.663894,4.644180,2.353112,3.676233
1924,3.687220,4.806960,2.669341,2.520349,2.361979,3.687220
1925,3.727034,4.874732,2.687241,3.307500,2.388745,3.727034
1926,3.661031,4.858305,2.733156,1.498584,2.396567,3.661031
1927,3.996129,4.866830,2.791524,4.417516,2.403566,3.996129
1928,3.978763,4.875074,2.857674,1.408359,2.428298,3.978763
1929,4.270908,4.889083,2.898142,2.240419,2.433006,4.270908
1930,3.938599,4.963951,2.902033,2.953774,2.438337,3.938599
1931,3.511992,5.035301,2.899698,-0.159705,2.443357,3.511992
1932,3.166809,5.091617,2.895029,2.983391,2.463747,3.166809
1933,3.334752,5.112330,2.885690,2.948702,2.466385,3.334752
1934,3.626236,5.161391,2.870904,2.604431,2.467942,3.626236
1935,3.805587,5.164493,2.839774,2.086108,2.469298,3.805587
1936,4.175823,5.190300,2.781407,1.930141,2.469261,4.175823
1937,4.462652,5.176401,2.708253,1.907066,2.468712,4.462652
1938,4.194416,5.203674,2.617978,2.541967,2.467429,4.194416
1939,4.437984,5.206300,2.463109,4.938789,2.466806,4.437984
1940,4.849012,5.341978,2.224970,3.938068,2.466990,4.849012
1941,4.957731,5.514650,1.918346,1.215847,2.447662,4.957731
1942,4.947355,5.550068,1.575923,3.679307,2.448834,4.947355
1943,5.030087,5.538942,1.225718,4.284717,2.450648,5.030087
1944,5.108047,5.539663,0.951780,0.724263,2.454330,5.108047
1945,4.248064,5.505416,0.786016,2.709769,2.459405,4.248064
1946,4.634883,5.489747,0.746326,1.785088,2.485383,4.634883
1947,5.132798,5.443556,0.789129,4.626409,2.495495,5.132798
1948,5.409771,5.368591,0.917537,3.855687,2.524569,5.409771
1949,5.163759,5.316635,1.112096,2.885046,2.539445,5.163759
1950,5.909491,6.067071,1.329223,7.471912,2.574125,5.909491
1951,6.359074,6.162836,1.536233,3.397157,2.609977,6.359074
1952,6.443024,6.304852,1.760364,0.321557,2.668858,6.443024
1953,6.623767,6.417203,2.009399,3.913724,2.728361,6.623767
1954,6.759670,6.572251,2.283337,3.320766,2.773080,6.759670
1955,7.410835,6.793422,2.566614,7.018624,2.820071,7.410835
1956,7.889931,6.992597,2.842887,8.488774,2.869975,7.889931
1957,8.147062,7.172891,3.193092,3.299857,2.905424,8.147062
1958,8.375865,7.381849,6.379605,0.119073,2.959834,8.375865
1959,8.808708,7.773274,7.471043,1.576835,3.636226,8.808708
1960,9.336290,6.831174,5.525459,4.588598,3.431388,9.336290
1961,9.361080,6.549339,6.070222,3.296206,3.075960,9.361080
1962,9.689105,6.074020,4.358108,4.741077,3.384082,9.689105
1963,10.205031,5.877264,4.435932,3.516457,4.073261,10.205031
1964,10.756860,5.735088,3.813345,6.026863,4.504860,10.756860
1965,11.239221,5.205555,8.560570,1.343355,4.902017,11.239221
1966,11.786073,5.034544,8.560570,5.727909,4.647349,11.786073
1967,12.156979,5.170649,4.747225,6.342284,4.067317,12.156979
1968,12.819296,5.232351,7.704513,9.107355,4.400355,12.819296
1969,13.670588,4.911531,10.272684,2.805163,4.762704,13.670588
1970,14.802419,5.114187,8.794040,2.838850,4.078249,14.802419
1971,15.401660,4.819320,5.681105,8.451531,4.503986,15.401660
1972,16.113263,4.822227,11.440034,4.594429,5.610493,16.113263
1973,16.965631,4.695294,11.362211,6.180980,5.026798,16.965631
1974,16.888741,4.564159,5.291988,13.798220,4.831487,16.888741
1975,16.926889,4.612805,9.572273,9.242635,4.536148,16.926889
1976,17.855094,4.590821,7.548866,10.984305,5.278088,17.855094
1977,18.355834,4.591224,14.942085,5.192261,5.609293,18.355834
1978,18.915541,4.456438,10.039213,9.301129,5.699407,18.915541
1979,19.449258,4.229624,16.654199,4.272212,5.587635,19.449258
1980,19.324195,4.406510,13.307795,1.623030,6.552713,19.324195
1981,18.855573,4.654917,8.949686,7.968304,6.459261,18.855573
1982,18.701077,4.676656,7.782336,5.937581,7.134149,18.701077
1983,18.816245,5.159681,14.241675,1.318187,7.688859,18.816245
1984,19.466920,5.966946,9.572273,10.411992,6.866637,19.466920
1985,20.125439,5.504305,12.840854,9.713062,6.474202,20.125439
1986,20.419305,5.692818,7.937983,8.924820,6.720769,20.419305
1987,21.048877,5.514564,20.623190,2.333425,7.286104,21.048877
1988,21.868890,5.298694,16.809846,7.683046,6.628396,21.868890
1989,22.171019,5.240851,11.362211,13.015538,6.765409,22.171019
1990,22.547055,5.166900,9.494450,8.665905,7.360084,22.547055
1991,23.011367,4.946534,5.836752,7.855052,7.840247,23.011367
1992,22.346277,5.223105,5.603282,8.954389,8.433523,22.346277
1993,22.562379,5.129063,9.572273,10.979148,8.228707,22.562379
1994,22.786081,5.776430,12.918678,5.423434,7.453436,22.786081
1995,23.262484,5.639482,15.564672,6.740466,7.449667,23.262484
1996,23.978244,5.997308,8.171453,12.518159,7.432521,23.978244
1997,24.113886,7.480996,15.331202,12.042880,8.062634,24.113886
1998,24.046080,6.165132,22.101834,5.572250,8.208826,24.046080
1999,24.538497,6.004001,10.350507,13.013378,7.315685,24.538497
2000,25.195208,5.375662,9.727920,13.982066,7.096140,25.195208
2001,25.359425,5.036168,14.319498,9.338463,6.731078,25.359425
2002,25.916613,5.385176,18.444136,4.740839,8.199333,25.916613
2003,27.292234,5.833540,17.821549,9.369054,8.585081,27.292234
2004,28.238899,5.393811,12.140444,13.197723,8.439786,28.238899
2005,29.184809,4.891904,19.222370,7.386537,8.562400,29.184809
2006,30.162355,5.234708,13.774735,11.867327,8.962042,30.162355
2007,31.022066,4.556037,16.498552,10.596851,8.711920,31.022066
2008,31.548506,4.740789,13.774735,13.281711,8.798621,31.548506
2009,30.974765,5.236149,12.296091,10.986584,9.376417,30.974765
2010,32.755705,5.177513,18.833253,12.255379,9.226988,32.755705
2011,33.840268,5.218000,13.074324,15.142092,9.368286,33.840268
2012,34.315359,5.345190,18.755430,9.496776,9.591247,34.315359
2013,34.583099,4.858782,19.066723,13.334004,9.707718,34.583099
2014,34.788604,5.214287,15.875965,14.128864,10.207736,34.788604
2015,34.781935,5.630261,22.957891,8.344853,10.442371,34.781935
2016,34.771179,4.598992,22.101834,10.772003,10.879285,34.771179
2017,35.321697,4.564990,16.654199,13.666003,10.370945,35.321697
2018,36.040756,4.285146,18.599783,13.207658,10.653048,36.040756
2019,36.301503,4.597514,19.455840,11.028151,10.830533,36.301503
2020,34.249812,4.295185,18.210666,11.395200,10.678235,34.249812
2021,36.023424,4.321578,19.066723,12.980368,10.352943,36.023424
2022,36.352994,4.309951,16.965492,13.850380,10.184799,36.352994
