"Year","Land-use change","Coal","Oil","Gas","Others"
1916,74.109569,24.823060,0.902598,0.155554,0.009218
1917,73.679485,25.195075,0.951841,0.163820,0.009780
1918,73.280035,25.538652,1.000543,0.170568,0.010202
1919,72.989712,25.765322,1.056643,0.177680,0.010643
1920,72.619330,26.051641,1.132725,0.185210,0.011094
1921,72.367380,26.214671,1.215903,0.190699,0.011347
1922,72.095020,26.389863,1.306067,0.197254,0.011797
1923,71.760549,26.617953,1.402742,0.206466,0.012291
1924,71.439447,26.835941,1.494766,0.217082,0.012765
1925,71.125196,27.041696,1.588007,0.228270,0.016832
1926,70.835864,27.225294,1.677769,0.240284,0.020788
1927,70.504619,27.443822,1.773630,0.253218,0.024712
1928,70.188131,27.642739,1.868798,0.267174,0.033158
1929,69.834926,27.867223,1.971315,0.285021,0.041514
1930,69.555986,28.026633,2.065682,0.302572,0.049127
1931,69.362596,28.111600,2.153322,0.317129,0.055353
1932,69.231235,28.144632,2.233842,0.330349,0.059943
1933,69.083911,28.187143,2.321244,0.343498,0.064203
1934,68.902569,28.258655,2.411315,0.358214,0.069247
1935,68.697903,28.345587,2.507395,0.374229,0.074886
1936,68.452301,28.463729,2.610115,0.392167,0.081688
1937,68.181522,28.592414,2.725347,0.412093,0.088623
1938,67.958884,28.683019,2.832829,0.430470,0.094798
1939,67.709942,28.799252,2.941379,0.449126,0.100300
1940,67.424448,28.950178,3.051674,0.468911,0.104788
1941,67.152405,29.091045,3.157629,0.487596,0.111325
1942,66.894537,29.230170,3.250767,0.507791,0.116735
1943,66.632743,29.364618,3.351157,0.530127,0.121356
1944,66.369426,29.480969,3.471793,0.554092,0.123720
1945,66.212519,29.490583,3.589472,0.581251,0.126176
1946,66.023397,29.525545,3.711945,0.608416,0.130696
1947,65.780399,29.596054,3.849372,0.638022,0.136152
1948,65.511470,29.673587,4.000620,0.671544,0.142779
1949,65.272759,29.732922,4.136691,0.707452,0.150176
1950,65.008516,29.774966,4.298106,0.748628,0.169784
1951,64.728623,29.810102,4.473614,0.796855,0.190805
1952,64.446945,29.835656,4.657048,0.847805,0.212547
1953,64.164542,29.851952,4.848840,0.900441,0.234226
1954,63.900310,29.844001,5.046158,0.954194,0.255338
1955,63.595368,29.849534,5.264311,1.011162,0.279625
1956,63.265697,29.861570,5.496747,1.070484,0.305502
1957,62.932685,29.869704,5.732107,1.134806,0.330698
1958,62.587729,29.882759,5.971192,1.204111,0.354209
1959,62.248410,29.882001,6.215715,1.275747,0.378127
1960,61.832141,29.925832,6.482259,1.354843,0.404925
1961,61.435699,29.936265,6.760368,1.436401,0.431267
1962,61.007257,29.950093,7.059018,1.525400,0.458232
1963,60.549950,29.972228,7.372285,1.619713,0.485824
1964,60.057150,29.996869,7.706228,1.722235,0.517518
1965,59.539332,30.020604,8.059900,1.829185,0.550980
1966,58.986287,30.045225,8.437815,1.943977,0.586697
1967,58.438065,30.041058,8.830827,2.063427,0.626624
1968,57.865985,30.023909,9.251747,2.190549,0.667811
1969,57.286856,29.985369,9.690051,2.325148,0.712576
1970,56.658360,29.936272,10.184794,2.460255,0.760318
1971,55.996261,29.888484,10.699202,2.604062,0.811991
1972,55.333762,29.812540,11.237293,2.751044,0.865361
1973,54.647081,29.735840,11.789104,2.904595,0.923380
1974,53.988567,29.667261,12.308566,3.057396,0.978211
1975,53.351591,29.618679,12.800789,3.203724,1.025218
1976,52.696468,29.566689,13.307218,3.353171,1.076453
1977,52.062924,29.505758,13.808056,3.498398,1.124864
1978,51.426066,29.444817,14.309707,3.645572,1.173838
1979,50.762017,29.417171,14.802768,3.799018,1.219025
1980,50.141557,29.401736,15.246808,3.951481,1.258418
1981,49.559052,29.399794,15.648040,4.102837,1.290277
1982,48.993075,29.418049,16.023072,4.244845,1.320959
1983,48.453133,29.441906,16.372967,4.382679,1.349315
1984,47.943069,29.457800,16.695735,4.529476,1.373920
1985,47.414850,29.507713,17.001952,4.677919,1.397566
1986,46.905458,29.552749,17.308140,4.813201,1.420452
1987,46.386700,29.606600,17.602141,4.960752,1.443807
1988,45.853783,29.665391,17.899161,5.111616,1.470050
1989,45.323304,29.720082,18.194688,5.268598,1.493328
1990,44.803088,29.752230,18.483128,5.429625,1.531929
1991,44.288403,29.768344,18.786058,5.587119,1.570076
1992,43.822609,29.777507,19.049683,5.743706,1.606495
1993,43.356763,29.793977,19.305068,5.901566,1.642625
1994,42.934204,29.791097,19.539194,6.051719,1.683785
1995,42.496144,29.802038,19.769212,6.205928,1.726677
1996,42.075551,29.802270,19.992378,6.361004,1.768798
1997,41.715658,29.772043,20.197423,6.505358,1.809517
1998,41.327939,29.752566,20.418188,6.652399,1.848908
1999,40.936001,29.734108,20.640886,6.801108,1.887896
2000,40.518733,29.736501,20.864055,6.952550,1.928160
2001,40.093613,29.747476,21.087839,7.102603,1.968469
2002,39.682361,29.766154,21.292250,7.251756,2.007479
2003,39.286627,29.791804,21.477164,7.396261,2.048145
2004,38.863382,29.830707,21.673106,7.543248,2.089557
2005,38.419004,29.896132,21.862333,7.689291,2.133240
2006,37.984623,29.970032,22.034333,7.832243,2.178769
2007,37.525684,30.068403,22.199832,7.979570,2.226512
2008,37.082116,30.171562,22.347814,8.126547,2.271961
2009,36.675985,30.265463,22.480102,8.261891,2.316559
2010,36.259266,30.370036,22.603387,8.405519,2.361793
2011,35.832159,30.494052,22.714014,8.548784,2.410991
2012,35.423645,30.609100,22.817612,8.689692,2.459952
2013,35.009659,30.727428,22.923590,8.828073,2.511250
2014,34.616281,30.836418,23.022683,8.961730,2.562889
2015,34.241384,30.925133,23.127135,9.096175,2.610173
2016,33.847664,31.011338,23.244575,9.238239,2.658184
2017,33.454161,31.096896,23.362013,9.381337,2.705593
2018,33.052953,31.184674,23.476240,9.532418,2.753715
2019,32.658415,31.263476,23.590287,9.683919,2.803903
2020,32.292833,31.351717,23.664673,9.836842,2.853935
2021,31.917975,31.446931,23.740753,9.991446,2.902896
2022,31.550876,31.537603,23.826415,10.138890,2.946216
2023,31.191477,31.626648,23.915511,10.279756,2.986607
