"Year","LUC","LUC_upper","LUC_lower","Emissions","Plus1SD","Minus1SD","Total emissions","Plus1SD","Minus1SD"
1985,1.444040,2.144040,0.744040,5.494599,5.769329,5.219869,6.938639,7.690621,6.186657
1986,1.508510,2.208510,0.808510,5.574988,5.853737,5.296238,7.083498,7.836957,6.330038
1987,1.457370,2.157370,0.757370,5.745952,6.033250,5.458655,7.203322,7.959986,6.446659
1988,1.411295,2.111295,0.711295,5.970697,6.269232,5.672162,7.381992,8.142994,6.620991
1989,1.351895,2.051895,0.651895,6.053135,6.355792,5.750478,7.405030,8.167658,6.642402
1990,1.358243,2.058242,0.658243,6.147201,6.454561,5.839841,7.505443,8.269950,6.740937
1991,1.356437,2.056437,0.656438,6.268557,6.581985,5.955129,7.624995,8.391961,6.858028
1992,1.435045,2.135045,0.735045,6.088223,6.392634,5.783812,7.523268,8.286594,6.759943
1993,1.357495,2.057495,0.657495,6.146238,6.453550,5.838926,7.503733,8.268220,6.739246
1994,1.607363,2.307362,0.907363,6.207493,6.517867,5.897118,7.814855,8.580579,7.049132
1995,1.482643,2.182643,0.782643,6.351003,6.668553,6.033453,7.833646,8.602305,7.064986
1996,1.640977,2.340978,0.940978,6.546465,6.873789,6.219142,8.187443,8.960191,7.414694
1997,2.021443,2.721443,1.321443,6.582926,6.912073,6.253780,8.604369,9.377891,7.830846
1998,1.676983,2.376982,0.976983,6.555380,6.883149,6.227611,8.232362,9.005300,7.459425
1999,1.638350,2.338350,0.938350,6.702710,7.037846,6.367575,8.341060,9.117150,7.564970
2000,1.445747,2.145747,0.745748,6.878950,7.222898,6.535003,8.324698,9.104634,7.544762
2001,1.300558,2.000558,0.600558,6.929800,7.276290,6.583310,8.230358,9.011418,7.449297
2002,1.399595,2.099595,0.699595,7.081112,7.435167,6.727056,8.480707,9.265152,7.696261
2003,1.658210,2.358210,0.958210,7.454442,7.827164,7.081720,9.112652,9.905697,8.319606
2004,1.474887,2.174887,0.774887,7.710484,8.096008,7.324959,9.185371,9.984514,8.386229
2005,1.334875,2.034875,0.634875,7.971370,8.369939,7.572802,9.306245,10.111762,8.500729
2006,1.455280,2.155280,0.755280,8.238260,8.650173,7.826347,9.693540,10.505742,8.881338
2007,1.253980,1.953980,0.553980,8.476249,8.900061,8.052436,9.730229,10.548530,8.911928
2008,1.331962,2.031962,0.631962,8.619214,9.050175,8.188254,9.951177,10.773203,9.129151
2009,1.439405,2.139405,0.739405,8.467091,8.890445,8.043736,9.906496,10.724560,9.088432
2010,1.497793,2.197793,0.797793,8.953406,9.401077,8.505736,10.451199,11.282107,9.620290
2011,1.440575,2.140575,0.740575,9.254458,9.717181,8.791735,10.695033,11.534147,9.855919
2012,1.542547,2.242547,0.842548,9.383168,9.852326,8.914009,10.925715,11.768395,10.083035
2013,1.396330,2.096330,0.696330,9.457502,9.930377,8.984627,10.853832,11.698587,10.009077
2014,1.472760,2.172760,0.772760,9.490312,9.964828,9.015796,10.963072,11.808746,10.117398
2015,1.509713,2.209713,0.809713,9.476970,9.950818,9.003121,10.986682,11.831982,10.141382
2016,1.202580,1.902580,0.502580,9.478114,9.952020,9.004208,10.680694,11.526026,9.835362
2017,1.154755,1.854755,0.454755,9.630498,10.112023,9.148973,10.785253,11.634880,9.935626
2018,1.049322,1.749322,0.349322,9.826484,10.317808,9.335160,10.875807,11.731026,10.020588
2019,1.033500,1.733500,0.333500,9.925130,10.421387,9.428874,10.958630,11.816692,10.100568
2020,0.938590,1.638590,0.238590,9.380076,9.849080,8.911072,10.318666,11.161260,9.476072
2021,0.969645,1.669645,0.269645,9.879535,10.373512,9.385559,10.849180,11.705926,9.992435
2022,0.966440,1.666440,0.266440,9.960960,10.459007,9.462912,10.927400,11.786499,10.068300
2023,0.989330,1.689330,0.289330,10.100244,10.605256,9.595231,11.089574,11.952729,10.226418
2024,1.140000,1.840000,0.440000,10.209184,10.828155,9.591698,11.349184,12.283596,10.415756
