"Year","Historical","1.5C / 65 GtC","1.7C / 160 GtC","2.0C / 305 GtC"
1986,7.083498,,,
1987,7.203322,,,
1988,7.381992,,,
1989,7.405030,,,
1990,7.505443,,,
1991,7.624995,,,
1992,7.523268,,,
1993,7.503733,,,
1994,7.814855,,,
1995,7.833646,,,
1996,8.187443,,,
1997,8.604369,,,
1998,8.232362,,,
1999,8.341060,,,
2000,8.324698,,,
2001,8.230358,,,
2002,8.480707,,,
2003,9.112652,,,
2004,9.185371,,,
2005,9.306245,,,
2006,9.693540,,,
2007,9.730229,,,
2008,9.951177,,,
2009,9.906496,,,
2010,10.451199,,,
2011,10.695033,,,
2012,10.925715,,,
2013,10.853832,,,
2014,10.963072,,,
2015,10.986682,,,
2016,10.680694,,,
2017,10.785253,,,
2018,10.875807,,,
2019,10.958630,,,
2020,10.318666,,,
2021,10.849180,,,
2022,10.927400,,,
2023,11.089574,,,
2024,11.349184,11.349184,11.349184,11.349184
2025,,10.358384,10.940283,11.136285
2026,,9.367584,10.531381,10.923386
2027,,8.376785,10.122480,10.710487
2028,,7.385985,9.713578,10.497588
2029,,6.395185,9.304677,10.284688
2030,,5.404385,8.895775,10.071789
2031,,4.413585,8.486873,9.858890
2032,,3.422785,8.077972,9.645991
2033,,2.431985,7.669070,9.433092
2034,,1.441186,7.260169,9.220193
2035,,0.450386,6.851267,9.007294
2036,,0,6.442366,8.794394
2037,,0,6.033464,8.581495
2038,,0,5.624563,8.368596
2039,,0,5.215661,8.155697
2040,,0,4.806760,7.942798
2041,,0,4.397858,7.729899
2042,,0,3.988957,7.517000
2043,,0,3.580055,7.304100
2044,,0,3.171154,7.091201
2045,,0,2.762252,6.878302
2046,,0,2.353351,6.665403
2047,,0,1.944449,6.452504
2048,,0,1.535547,6.239605
2049,,0,1.126646,6.026706
2050,,0,0.717744,5.813806
2051,,0,0.308843,5.600907
2052,,0,0,5.388008
2053,,0,0,5.175109
2054,,0,0,4.962210
2055,,0,0,4.749311
2056,,0,0,4.536412
2057,,0,0,4.323512
2058,,0,0,4.110613
2059,,0,0,3.897714
2060,,0,0,3.684815
2061,,0,0,3.471916
2062,,0,0,3.259017
2063,,0,0,3.046118
2064,,0,0,2.833218
2065,,0,0,2.620319
2066,,0,0,2.407420
2067,,0,0,2.194521
2068,,0,0,1.981622
2069,,0,0,1.768723
2070,,0,0,1.555824
2071,,0,0,1.342924
2072,,0,0,1.130025
2073,,0,0,0.917126
2074,,0,0,0.704227
2075,,0,0,0.491328
2076,,0,0,0.278429
2077,,0,0,0.065530
2078,,0,0,0
2079,,0,0,0
2080,,0,0,0
2081,,0,0,0
2082,,0,0,0
2083,,0,0,0
2084,,0,0,0
2085,,0,0,0
2086,,0,0,0
2087,,0,0,0
2088,,0,0,0
2089,,0,0,0
2090,,0,0,0
2091,,0,0,0
2092,,0,0,0
2093,,0,0,0
2094,,0,0,0
2095,,0,0,0
2096,,0,0,0
2097,,0,0,0
2098,,0,0,0
2099,,0,0,0
2100,,0,0,0
