"Year","Land-use change","Coal","Oil","Gas","Others"
1910,74.895894,24.249137,0.723080,0.126163,0.005727
1911,74.439224,24.661966,0.760058,0.132280,0.006472
1912,73.959101,25.098409,0.796313,0.138964,0.007213
1913,73.432904,25.574878,0.838660,0.145617,0.007942
1914,73.015913,25.942103,0.881137,0.152274,0.008572
1915,72.626684,26.279211,0.925647,0.159229,0.009228
1916,72.191888,26.657151,0.973137,0.167875,0.009948
1917,71.742573,27.044616,1.025563,0.176699,0.010549
1918,71.326973,27.400777,1.077379,0.183874,0.010998
1919,71.028687,27.631288,1.137123,0.191436,0.011467
1920,70.651113,27.922211,1.215314,0.199417,0.011945
1921,70.388513,28.093111,1.300880,0.205281,0.012214
1922,70.111781,28.269305,1.393992,0.212230,0.012693
1923,69.763058,28.507234,1.494420,0.222068,0.013220
1924,69.430210,28.733166,1.589496,0.233403,0.013725
1925,69.109154,28.941583,1.685868,0.245307,0.018088
1926,68.812778,29.128874,1.777906,0.258112,0.022330
1927,68.471295,29.353787,1.876486,0.271898,0.026535
1928,68.148726,29.555128,1.973804,0.286747,0.035595
1929,67.791739,29.779441,2.078573,0.305711,0.044536
1930,67.505355,29.942771,2.174755,0.324435,0.052684
1931,67.301054,30.034734,2.264808,0.340036,0.059368
1932,67.161994,30.071992,2.347501,0.354216,0.064296
1933,67.004441,30.120884,2.437458,0.368341,0.068875
1934,66.811634,30.200019,2.529922,0.384134,0.074292
1935,66.599678,30.290220,2.628523,0.401247,0.080333
1936,66.345229,30.412677,2.734079,0.420401,0.087614
1937,66.060704,30.549235,2.853296,0.441721,0.095044
1938,65.825283,30.647241,2.964397,0.461412,0.101667
1939,65.566566,30.767951,3.076612,0.481322,0.107550
1940,65.278511,30.917681,3.189195,0.502304,0.112309
1941,64.997759,31.063368,3.297382,0.522207,0.119284
1942,64.731485,31.207046,3.392704,0.543716,0.125050
1943,64.466524,31.342519,3.493541,0.567453,0.129963
1944,64.202506,31.458193,3.613940,0.592911,0.132449
1945,64.045290,31.463708,3.734097,0.621854,0.135051
1946,63.848422,31.490096,3.870981,0.650665,0.139837
1947,63.599622,31.558362,4.014230,0.682145,0.145640
1948,63.326296,31.632214,4.171057,0.717751,0.152682
1949,63.076756,31.683356,4.323550,0.755807,0.160531
1950,62.783254,31.722078,4.513488,0.799709,0.181471
1951,62.473135,31.764052,4.707419,0.851414,0.203980
1952,62.173825,31.785732,4.907499,0.905747,0.227197
1953,61.874734,31.797665,5.115416,0.961851,0.250334
1954,61.583711,31.793316,5.330614,1.019420,0.272939
1955,61.254589,31.799239,5.566974,1.080292,0.298906
1956,60.907500,31.805808,5.816752,1.143438,0.326502
1957,60.562800,31.803616,6.068563,1.211712,0.353309
1958,60.223495,31.792789,6.320920,1.284680,0.378116
1959,59.880434,31.775517,6.580271,1.360358,0.403420
1960,59.480627,31.786567,6.858276,1.443025,0.431504
1961,59.070372,31.787691,7.153215,1.529323,0.459398
1962,58.640078,31.782037,7.467173,1.622940,0.487773
1963,58.175936,31.788144,7.796870,1.722230,0.516820
1964,57.681070,31.792097,8.146883,1.829845,0.550106
1965,57.150787,31.802294,8.519147,1.942427,0.585346
1966,56.592965,31.806522,8.914912,2.062789,0.622812
1967,56.036201,31.783895,9.327007,2.188142,0.664755
1968,55.461747,31.742646,9.766609,2.321115,0.707883
1969,54.842128,31.705920,10.232669,2.463898,0.755384
1970,54.177137,31.652936,10.757119,2.606877,0.805932
1971,53.504527,31.582495,11.295466,2.757389,0.860123
1972,52.820465,31.490401,11.861100,2.911774,0.916261
1973,52.112843,31.396517,12.440527,3.072866,0.977247
1974,51.433069,31.313162,12.985746,3.233164,1.034859
1975,50.782213,31.247419,13.500305,3.386140,1.083924
1976,50.109947,31.180061,14.030168,3.542459,1.137364
1977,49.446955,31.112041,14.557687,3.695202,1.188115
1978,48.777491,31.046224,15.086716,3.850168,1.239401
1979,48.105022,31.000362,15.598875,4.009743,1.285998
1980,47.466602,30.975078,16.062445,4.169086,1.326788
1981,46.886959,30.953375,16.474843,4.325666,1.359157
1982,46.336958,30.946317,16.855516,4.471232,1.389976
1983,45.821314,30.941801,17.207133,4.611628,1.418125
1984,45.323635,30.937126,17.534173,4.762400,1.442666
1985,44.812275,30.965576,17.841893,4.914308,1.465949
1986,44.312308,30.993926,18.152092,5.052963,1.488711
1987,43.810207,31.027431,18.447025,5.203445,1.511892
1988,43.298613,31.063452,18.743173,5.356886,1.537876
1989,42.789947,31.095377,19.037490,5.516497,1.560689
1990,42.291022,31.102237,19.323907,5.682287,1.600547
1991,41.792252,31.094830,19.627482,5.845504,1.639932
1992,41.337143,31.084956,19.892285,6.007958,1.677658
1993,40.891955,31.077755,20.144693,6.170832,1.714765
1994,40.475556,31.062089,20.382182,6.327611,1.752562
1995,40.061432,31.053254,20.610837,6.483609,1.790868
1996,39.644644,31.045081,20.839656,6.642810,1.827809
1997,39.309133,30.995950,21.043080,6.788783,1.863054
1998,38.927916,30.966391,21.266933,6.940837,1.897923
1999,38.548378,30.935952,21.489814,7.093497,1.932359
2000,38.152416,30.920878,21.711469,7.245681,1.969556
2001,37.752168,30.912311,21.932465,7.395607,2.007449
2002,37.368472,30.909704,22.132150,7.543343,2.046332
2003,36.986699,30.922303,22.318113,7.687745,2.085140
2004,36.588904,30.942065,22.508637,7.833533,2.126862
2005,36.164297,30.991890,22.693310,7.979203,2.171301
2006,35.748770,31.052167,22.860707,8.120501,2.217855
2007,35.310425,31.136321,23.020500,8.265113,2.267641
2008,34.884728,31.226142,23.163463,8.409734,2.315933
2009,34.496602,31.305860,23.289921,8.543949,2.363669
2010,34.085866,31.402732,23.411194,8.688304,2.411906
2011,33.676077,31.516174,23.515154,8.830289,2.462307
2012,33.269087,31.628444,23.618230,8.971676,2.512564
2013,32.866186,31.739601,23.720169,9.109290,2.564754
2014,32.483081,31.839970,23.814820,9.244687,2.617442
2015,32.128395,31.914967,23.912468,9.379265,2.664904
2016,31.761210,31.984440,24.020173,9.520899,2.713278
2017,31.393160,32.052615,24.129679,9.663459,2.761087
2018,31.023720,32.120734,24.230449,9.815067,2.810030
2019,30.674543,32.177154,24.324671,9.963765,2.859866
2020,30.345672,32.239687,24.391518,10.113258,2.909865
2021,30.001339,32.310036,24.465110,10.265551,2.957964
