"Year","Coal","Oil","Gas","Others","Land-use change"
1995,2.400104,2.555635,1.149009,0.236730,1.443300
1996,2.460642,2.631880,1.199779,0.240854,1.442433
1997,2.447473,2.671086,1.204279,0.248915,1.939100
1998,2.381546,2.697453,1.223929,0.245323,1.497467
1999,2.416809,2.759942,1.261409,0.252118,1.498100
2000,2.511768,2.811706,1.291291,0.273159,1.396267
2001,2.525998,2.835881,1.302834,0.282604,1.293400
2002,2.641637,2.834570,1.338934,0.298746,1.413000
2003,2.870760,2.914753,1.386864,0.314309,1.542800
2004,2.967135,3.013784,1.434823,0.336891,1.463500
2005,3.150473,3.040229,1.468522,0.357369,1.287300
2006,3.326649,3.069411,1.502950,0.381695,1.384633
2007,3.486998,3.079603,1.554076,0.407580,1.210967
2008,3.600654,3.070776,1.600516,0.414250,1.267200
2009,3.552519,3.001351,1.569856,0.424435,1.373833
2010,3.800934,3.100405,1.690869,0.446651,1.320333
2011,4.022141,3.108102,1.737692,0.469454,1.354833
2012,4.072806,3.150029,1.774180,0.481693,1.317400
2013,4.100569,3.173157,1.785624,0.499897,1.263133
2014,4.107946,3.187441,1.816200,0.515233,1.342167
2015,4.014762,3.255913,1.852640,0.498900,1.469900
2016,3.919379,3.281614,1.903288,0.509280,1.235767
2017,3.959327,3.341329,1.950035,0.518536,1.182300
2018,4.024790,3.347712,2.055089,0.540757,1.141200
2019,4.019099,3.369447,2.087207,0.561343,1.243800
2020,3.868604,3.054533,2.062306,0.558166,1.107467
2021,4.088318,3.230666,2.162071,0.570174,1.075067
