"Year","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
2006,,,22.901959,22.405895,23.131871,23.614444,22.948352,23.133413,23.081120,39.121164,39.221583,32.176427,31.164747,14.049385,14.116858,12.886832,12.421648,12.443051,11.435484,11.242181
2007,,,,22.613176,23.348184,23.876420,23.144986,23.341931,23.322327,39.509074,39.604241,32.639360,31.636315,14.177019,14.255973,12.884403,12.397737,12.410597,11.297574,11.053778
2008,,,,,23.505884,23.989568,23.258685,23.472570,23.472050,39.666830,39.766825,32.705260,31.683987,14.318696,14.393238,12.866198,12.320888,12.335240,11.145016,10.913078
2009,,,,,,22.657185,21.901343,22.131862,22.129101,37.897845,38.003941,31.882082,31.016965,13.431276,13.494735,12.025428,11.504027,11.524702,10.375189,10.102186
2010,,,,,,,23.131623,23.385464,23.390969,39.782431,39.878184,33.006755,32.010056,14.036442,14.077987,12.402760,11.824407,11.858425,10.659900,10.310934
2011,,,,,,,,24.126108,24.131410,40.567831,40.704687,33.613456,32.569956,14.347128,14.405471,12.544630,11.926651,11.942039,10.630326,10.206052
2012,,,,,,,,,23.930810,40.682956,40.886077,34.011653,32.986954,14.528282,14.587073,12.604916,11.964325,11.978840,10.546868,10.040756
2013,,,,,,,,,,40.959564,41.135529,34.161381,33.100414,14.526027,14.583817,12.499359,11.820399,11.830548,10.286747,9.750760
2014,,,,,,,,,,,40.886041,34.254139,33.280425,14.513015,14.543971,12.400296,11.693285,11.702469,10.005019,9.399524
2015,,,,,,,,,,,,34.573636,33.552353,14.502822,14.520470,12.311359,11.582400,11.597208,9.767433,9.068524
2016,,,,,,,,,,,,,34.254548,14.675398,14.675229,12.337751,11.562960,11.578798,9.625091,8.919729
2017,,,,,,,,,,,,,,15.330333,15.355990,12.130749,11.808194,11.824148,9.815650,8.985230
2018,,,,,,,,,,,,,,,15.841345,12.509318,12.191273,12.208474,10.132098,9.236877
2019,,,,,,,,,,,,,,,,12.616840,12.311062,12.349321,10.172118,9.128578
2020,,,,,,,,,,,,,,,,,11.968140,11.996851,9.892853,8.901394
2021,,,,,,,,,,,,,,,,,,12.591132,10.346028,9.228031
2022,,,,,,,,,,,,,,,,,,,10.063696,8.886889
2023,,,,,,,,,,,,,,,,,,,,8.776939
