"Year","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
2004,-200.072946,-219.392935,-219.392935,-625.162780,-564.434429,-558.943243,-563.430690,-558.943595,-541.227623,-463.666783,-483.474357,-490.234623,-542.198792,-601.776904,-576.813408,-573.197174,-567.940149,-575.380923,-1715.109484,-1731.203434
2005,,157.466642,157.466642,-121.666963,-554.539099,-555.685589,-561.140804,-558.709387,-545.982661,-417.291961,-488.772103,-495.288608,-535.671996,-603.051373,-579.238788,-569.720009,-564.733964,-576.777766,-1714.253022,-1672.860792
2006,,,284.731286,19.148277,-585.499340,-551.593100,-556.429839,-540.962174,-524.465585,-378.220751,-486.209703,-492.311950,-540.281446,-602.859680,-586.653531,-581.937783,-578.143874,-581.688861,-1637.579965,-1702.092952
2007,,,,-189.618027,-580.214184,-579.747413,-585.910348,-568.613391,-550.922540,-420.835022,-523.573728,-529.437783,-567.101765,-618.214739,-595.718363,-594.544966,-594.697325,-598.995613,-1741.683958,-1744.682949
2008,,,,,-674.384199,-613.186490,-617.434630,-599.200742,-577.655311,-427.255835,-552.775072,-585.196230,-622.989413,-689.131877,-627.334646,-640.114687,-645.568487,-639.048221,-1688.567061,-1673.976024
2009,,,,,,-671.630213,-673.754728,-668.658739,-622.156223,-463.461561,-576.070389,-608.365812,-672.100216,-739.650936,-685.883841,-693.492361,-694.810448,-715.920950,-1746.083447,-1727.406422
2010,,,,,,,-672.199727,-670.382693,-606.161570,-502.834604,-582.502975,-615.143014,-664.554516,-761.852177,-757.900908,-748.504497,-754.232445,-731.298309,-1807.286888,-1700.275485
2011,,,,,,,,-648.192721,-612.384853,-521.355189,-606.960164,-637.389827,-683.474657,-713.891756,-723.150286,-690.082149,-697.622171,-684.156828,-1444.594917,-1340.236211
2012,,,,,,,,,-580.726191,-488.510682,-569.162727,-594.999109,-649.614150,-702.744047,-715.653102,-713.428344,-720.168533,-695.018826,-1049.458927,-953.434559
2013,,,,,,,,,,-498.767467,-557.176037,-587.356761,-643.541855,-689.242157,-646.674398,-647.427599,-663.580522,-643.668641,-1412.331541,-1407.929732
2014,,,,,,,,,,,-548.140363,-604.633286,-687.745082,-659.889624,-706.161752,-707.018288,-703.895680,-692.309870,-1281.536331,-1233.944561
2015,,,,,,,,,,,,-555.712977,-640.931818,-640.170197,-621.559441,-628.354630,-628.506989,-620.759234,-1245.476113,-1184.585826
2016,,,,,,,,,,,,,-670.862938,-653.934282,-638.707765,-646.446908,-646.534630,-651.699989,-1147.177695,-1058.492315
2017,,,,,,,,,,,,,,-615.295187,-630.533469,-642.697252,-642.848594,-641.311292,-1224.684385,-1170.038365
2018,,,,,,,,,,,,,,,-640.699731,-636.398296,-634.851492,-626.622348,-1116.246028,-1068.320412
2019,,,,,,,,,,,,,,,,-575.514344,-601.482885,-592.028163,-968.713484,-952.804324
2020,,,,,,,,,,,,,,,,,-604.794030,-593.730155,-1220.164250,-1124.565567
2021,,,,,,,,,,,,,,,,,,-531.828879,-1007.352961,-799.705261
2022,,,,,,,,,,,,,,,,,,,-1245.748619,-1199.953414
2023,,,,,,,,,,,,,,,,,,,,-1193.108970
