"Year","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
2006,,,1577.688875,1582.638194,1583.283031,1581.876021,1581.878152,1581.865382,1589.089097,1653.686702,1653.686702,1653.514472,1648.658734,1606.721691,1606.313355,1606.541855,1618.246151,1623.001934,1622.152017,1623.428479
2007,,,,1579.822879,1580.506017,1578.915286,1578.916313,1578.903355,1586.085567,1653.532157,1653.532157,1653.378106,1647.728940,1604.777687,1604.323814,1604.549406,1618.586183,1623.781287,1622.969758,1624.315483
2008,,,,,1615.368827,1609.205175,1609.216920,1609.349253,1617.602737,1685.392020,1685.398044,1685.266059,1679.794450,1637.200448,1636.694375,1636.923059,1646.969024,1652.064514,1651.191553,1652.731495
2009,,,,,,1526.778259,1526.260980,1526.424197,1535.213840,1577.047235,1577.048464,1576.961483,1572.439009,1529.228124,1528.764918,1528.961075,1539.305658,1545.034394,1544.428724,1545.236402
2010,,,,,,,1598.281297,1598.210912,1602.425645,1662.965494,1662.961418,1663.317982,1657.560679,1613.523028,1612.884814,1613.113034,1626.187553,1632.783158,1632.325475,1633.147441
2011,,,,,,,,1684.432632,1648.128622,1717.691556,1717.621030,1717.999335,1712.424769,1667.030833,1664.953147,1665.206778,1679.278427,1685.909605,1684.492233,1684.989049
2012,,,,,,,,,1656.774188,1727.975288,1727.875788,1728.318692,1726.099500,1679.385201,1679.866196,1680.104359,1694.576422,1701.268292,1699.944735,1700.103981
2013,,,,,,,,,,1666.539462,1667.035819,1667.498972,1665.988574,1618.434284,1619.172892,1619.419684,1632.716418,1640.437428,1638.418145,1637.547026
2014,,,,,,,,,,,1671.941817,1669.602566,1667.110706,1617.678210,1622.348909,1622.588593,1631.662227,1639.959073,1637.734147,1637.311318
2015,,,,,,,,,,,,1670.650402,1671.895079,1622.497865,1622.861010,1623.099849,1629.713151,1638.675263,1635.820886,1635.243560
2016,,,,,,,,,,,,,1668.069933,1617.652767,1618.304258,1618.598940,1624.756335,1634.884975,1631.762616,1629.328310
2017,,,,,,,,,,,,,,1647.041081,1646.179810,1646.456968,1654.154022,1666.121206,1662.522573,1661.012213
2018,,,,,,,,,,,,,,,1691.360426,1691.646718,1700.452840,1712.494428,1710.549628,1709.909726
2019,,,,,,,,,,,,,,,,1679.449327,1692.363414,1705.030917,1702.599470,1704.458622
2020,,,,,,,,,,,,,,,,,1624.221431,1633.209294,1629.546882,1631.901659
2021,,,,,,,,,,,,,,,,,,1711.993315,1711.217064,1674.524251
2022,,,,,,,,,,,,,,,,,,,1658.923069,1675.460811
2023,,,,,,,,,,,,,,,,,,,,1733.134591
