"Year","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
2000,-64.533307,-65.610075,-65.610075,-67.557648,-67.557648,-67.557648,-62.179063,-45.500066,-50.058716,-36.178224,-36.214925,-36.214925,-34.869342,-61.831977,-61.828588,-61.828588,-61.861318,-68.346537,-68.435863,-68.458897
2001,-70.178828,-70.480875,-70.480875,-72.123831,-72.123831,-72.123831,-63.195010,-47.905636,-52.030220,-40.479332,-40.399439,-40.399439,-39.177463,-64.801577,-64.790120,-64.790120,-65.016796,-70.887237,-70.812475,-70.818939
2002,-66.080779,-67.039204,-67.039204,-68.801730,-68.801730,-68.801730,-62.003331,-44.774425,-51.075332,-37.358311,-37.274782,-37.274782,-36.063237,-72.594090,-72.565801,-72.565801,-72.730055,-69.409104,-69.462272,-69.436508
2003,-64.825323,-65.753650,-65.753650,-67.563257,-67.563257,-67.563257,-62.198548,-48.824579,-52.612805,-43.111093,-43.002370,-43.002370,-41.824384,-74.636568,-74.624087,-74.624087,-74.730543,-71.271066,-71.373711,-71.367867
2004,-74.075806,-73.244626,-73.244626,-75.103762,-75.103762,-75.103762,-61.448953,-48.589318,-52.416928,-42.169192,-42.023857,-42.023857,-40.909830,-73.764463,-73.715216,-73.715216,-73.772131,-69.782715,-70.004977,-69.971375
2005,,-69.493888,-69.493888,-69.532608,-69.532608,-69.532608,-58.270767,-45.008204,-49.728765,-43.927433,-43.764502,-43.764502,-42.758636,-74.739643,-74.704234,-74.704234,-74.610044,-71.853054,-72.266321,-72.288870
2006,,,-76.104633,-75.935450,-75.935450,-75.935450,-59.344518,-48.605057,-52.055108,-46.816458,-46.676731,-46.676731,-45.667268,-74.821235,-74.765587,-74.765587,-74.947044,-71.592565,-71.705256,-71.709336
2007,,,,-76.274048,-76.274048,-76.274048,-62.547369,-34.434231,-52.200862,-45.589480,-45.451800,-45.084061,-44.042799,-74.590379,-74.509138,-74.509138,-74.701189,-71.973424,-72.094223,-72.137040
2008,,,,,-80.579841,-80.579841,-70.350203,-39.415651,-56.600869,-42.202953,-42.114087,-41.746349,-40.688447,-69.575233,-69.517659,-69.517659,-69.904275,-68.321413,-68.219512,-68.261379
2009,,,,,,-82.528296,-73.652123,-38.958589,-56.348990,-45.608406,-45.347441,-44.979739,-44.164949,-72.926794,-72.851418,-72.851418,-73.279944,-70.978312,-70.834569,-70.910075
2010,,,,,,,-78.723869,-40.603244,-57.848135,-47.459471,-47.193477,-46.825739,-46.110901,-73.557237,-73.484901,-73.484901,-73.738126,-71.998934,-72.118338,-72.181739
2011,,,,,,,,-43.640268,-60.826283,-49.609435,-49.347398,-48.979659,-48.245637,-77.187180,-77.152711,-77.152711,-77.592268,-75.712136,-75.625095,-75.725391
2012,,,,,,,,,-59.815054,-50.850576,-50.570470,-50.202768,-49.497590,-74.550936,-74.621330,-74.621330,-75.050115,-73.592955,-73.568236,-73.651646
2013,,,,,,,,,,-58.699003,-58.421185,-58.053483,-57.358153,-76.638148,-76.653573,-76.653573,-77.151674,-76.712887,-76.563612,-76.677920
2014,,,,,,,,,,,-59.880273,-59.515431,-58.329470,-77.575873,-77.574982,-77.574982,-77.996452,-77.006400,-76.912431,-77.018951
2015,,,,,,,,,,,,-64.021227,-63.855379,-97.276851,-97.335974,-97.335974,-97.676610,-72.944734,-72.919625,-73.024662
2016,,,,,,,,,,,,,-68.289236,-96.064796,-96.073573,-96.073573,-96.175431,-73.313388,-73.866390,-73.919648
2017,,,,,,,,,,,,,,-100.038931,-100.013791,-100.013791,-100.032060,-75.160710,-76.160273,-76.250716
2018,,,,,,,,,,,,,,,-94.703791,-94.708997,-94.547352,-69.886348,-70.458745,-70.545386
2019,,,,,,,,,,,,,,,,-84.186379,-84.223039,-62.911779,-64.413811,-64.531845
2020,,,,,,,,,,,,,,,,,-57.246403,-57.246403,-57.858700,-57.963600
2021,,,,,,,,,,,,,,,,,,-48.419657,-49.095525,-49.235067
2022,,,,,,,,,,,,,,,,,,,-56.237483,-56.395748
2023,,,,,,,,,,,,,,,,,,,,-69.378652
