"Year","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
2004,241.884435,241.884435,241.884435,241.884435,243.434425,243.434425,243.434425,243.584867,243.594424,260.066204,253.172078,244.259479,241.909221,244.464112,244.464112,244.464112,244.688735,244.768581,247.182694,247.843043,248.146781
2005,,256.433720,256.433720,256.433720,259.605480,259.605480,259.605480,259.765892,259.791000,285.926898,279.130741,263.940645,260.897955,264.200797,264.200797,264.200797,264.768615,264.870636,266.990709,267.710686,267.879688
2006,,,273.704666,273.704666,276.716434,276.716434,276.716434,276.879679,277.260921,309.820328,302.195955,284.820610,281.541719,281.649185,281.649185,281.649185,282.266691,282.368323,284.629615,285.429426,285.527772
2007,,,,304.474812,307.915636,307.915636,307.915636,308.070217,308.648586,340.598735,333.166419,316.056974,312.862498,312.736708,312.736708,312.736708,313.578157,313.693363,315.614578,316.497415,316.553187
2008,,,,,297.123940,297.123940,297.123940,297.282809,297.849959,330.113313,323.536545,313.349573,310.396696,309.321195,309.321195,309.321195,310.532303,310.622132,311.674514,312.628217,312.516778
2009,,,,,,299.106061,299.106061,299.267273,299.671211,318.479563,310.580701,320.463606,316.771032,315.359638,315.359638,315.359638,316.319322,316.412299,317.511945,318.560625,318.655829
2010,,,,,,,326.472367,326.551618,326.848503,326.105112,320.356659,322.056781,319.528400,314.380033,314.380033,314.380033,316.036475,316.193043,317.555170,318.706500,318.554307
2011,,,,,,,,344.693824,345.734258,343.708370,338.094408,348.003832,344.745495,339.482252,339.482252,339.482252,341.862344,342.057326,342.962433,344.167865,343.876112
2012,,,,,,,,,357.498161,368.338787,363.126007,355.491999,354.134765,353.666209,353.666209,353.666209,355.882640,356.107201,357.442501,358.611326,358.360363
2013,,,,,,,,,,363.396290,354.961042,347.746545,346.780965,345.220585,345.220585,345.220584,347.152667,347.331771,349.194091,350.518511,350.183301
2014,,,,,,,,,,,382.213402,359.220209,357.559961,361.675461,361.675461,361.675463,363.866339,364.028278,365.651629,367.026062,366.456775
2015,,,,,,,,,,,,383.426734,380.858096,381.331944,381.331944,381.331943,384.330489,384.929660,386.321665,387.383814,389.896305
2016,,,,,,,,,,,,,402.820784,401.239738,401.239738,401.239738,405.304505,405.950210,404.647969,405.354376,408.756504
2017,,,,,,,,,,,,,,425.329604,425.329230,425.329230,430.220402,430.900877,429.350284,430.229458,433.253891
2018,,,,,,,,,,,,,,,419.194747,419.436905,422.568908,422.058620,422.146316,423.400397,427.531445
2019,,,,,,,,,,,,,,,,399.344914,401.719742,402.692254,404.300917,405.601309,407.722643
2020,,,,,,,,,,,,,,,,,413.433085,412.926872,414.377838,416.108859,418.520483
2021,,,,,,,,,,,,,,,,,,452.702790,455.248367,457.087412,458.924412
2022,,,,,,,,,,,,,,,,,,,441.422794,443.386369,445.117530
2023,,,,,,,,,,,,,,,,,,,,442.866540,445.055950
2024,,,,,,,,,,,,,,,,,,,,,467.814156
