"YYYYMM","Coal","Oil","Gas","Cement"
201204,86.763765,100.522395,62.522751,6.567159
201205,82.049379,105.078548,46.266171,6.469002
201206,86.428430,105.907635,41.294150,6.882679
201207,84.833835,108.518155,41.446817,6.615119
201208,84.072064,105.403419,38.284585,5.271989
201209,87.784141,102.393117,45.462584,6.658523
201210,93.603986,111.485049,58.784458,6.405559
201211,95.603117,105.613432,73.607186,5.128825
201212,94.514943,102.306237,93.291824,3.783586
201301,97.252737,98.992707,98.053267,3.914505
201302,86.024251,94.850991,89.797466,5.225367
201303,89.987454,103.309531,91.602070,5.683849
201304,82.685917,104.898918,60.113442,5.399164
201305,78.695811,105.258476,46.167058,6.128405
201306,73.556045,99.812685,39.058460,6.870903
201307,84.318493,108.001536,38.530418,6.383008
201308,84.021807,103.977358,37.312780,5.536081
201309,90.609839,101.924891,44.897724,5.926210
201310,100.187648,111.210599,50.430248,6.677153
201311,94.092690,101.341859,71.628547,5.627428
201312,96.177471,99.916527,86.677430,4.237339
201401,91.644702,97.176768,84.925940,4.116649
201402,76.010983,91.610314,71.400862,4.796006
201403,88.480641,102.727575,64.172291,5.903024
201404,76.422128,100.419711,45.546418,6.874823
201405,78.417008,99.705629,44.629636,6.709521
201406,74.948043,96.997598,37.548810,6.460076
201407,83.267932,106.634887,40.295156,6.623982
201408,76.489065,102.287095,35.907050,6.160360
201409,91.038333,105.748131,41.761666,6.101586
201410,92.828787,109.659370,51.644167,6.641283
201411,96.450493,97.424418,69.980521,6.007803
201412,92.489814,105.050934,83.830217,4.403153
201501,93.078386,101.677792,90.381169,4.093764
201502,81.646346,97.942869,83.085670,4.436106
201503,89.042055,105.145393,73.453749,6.265951
201504,78.733899,101.305800,53.583562,6.344194
201505,74.476382,97.665594,42.212300,6.577597
201506,78.372606,102.185061,37.987168,6.653974
201507,81.460020,108.619085,39.443944,6.276810
201508,81.271246,105.556687,35.920388,5.598674
201509,87.316561,108.973312,42.197506,6.415750
201510,90.651852,108.832388,59.308266,6.852675
201511,87.916602,100.205690,67.431394,6.232036
201512,90.247682,108.806024,77.406998,4.430851
201601,85.855283,98.909604,95.912063,3.971910
201602,78.942683,100.780533,78.572398,4.903179
201603,76.547543,107.397198,72.558181,5.863061
201604,71.257278,102.135030,52.979964,6.239060
201605,70.387695,101.764236,43.640975,6.607070
201606,70.783068,99.864387,38.062636,6.731933
201607,76.343509,105.501128,39.401601,6.300111
201608,75.893671,108.810612,38.171146,5.750107
201609,84.463493,106.735791,43.436068,6.299386
201610,89.652662,107.601230,62.695712,6.914837
201611,94.392887,105.497535,82.296080,5.710061
201612,90.833292,109.497370,95.352384,4.860943
201701,89.668442,103.472077,110.116614,3.550957
201702,83.084942,95.181329,80.018830,4.375527
201703,78.294403,108.259513,69.770863,5.883285
201704,72.166603,98.590022,58.050997,6.855193
201705,77.314811,106.294249,47.501669,6.888663
201706,73.577982,105.957209,41.892827,6.411688
201707,73.550915,106.615701,44.276945,6.841087
201708,76.613516,107.415745,40.612717,6.186423
201709,77.836914,106.796809,47.067643,6.609197
201710,82.275251,108.226152,57.868831,6.942576
201711,85.854430,106.155637,82.009391,6.486383
201712,82.495324,106.001331,92.828233,5.267246
201801,79.026470,99.861473,89.059423,4.079632
201802,77.034970,101.833794,95.621166,4.654086
201803,79.225582,110.033618,87.299951,5.985914
201804,68.380320,101.642497,50.665482,6.892501
201805,69.851445,103.729851,42.594187,6.688516
201806,69.521713,101.652890,41.181914,6.698967
201807,75.700683,106.979535,41.225019,6.902866
201808,75.481170,106.884624,40.997360,6.268937
201809,73.505902,101.449483,45.092222,6.584192
201810,79.941784,111.404164,58.313907,7.091745
201811,78.179959,103.680133,79.371858,6.371720
201812,77.144739,104.176329,85.407266,5.388873
201901,80.941747,107.327515,105.927010,3.987077
201902,70.809158,97.222674,82.741589,4.685167
201903,66.697718,102.533533,74.434239,6.604641
201904,61.012215,103.816872,58.032184,6.836560
201905,56.827510,102.623910,52.684358,7.076406
201906,52.345862,101.182904,40.732637,6.399084
201907,56.448558,111.581850,47.263918,6.842935
201908,54.337948,105.803398,42.197576,6.253233
201909,57.951318,104.375812,48.173005,6.420457
201910,61.817046,110.543964,60.809545,6.947264
201911,62.429922,102.000863,78.106034,6.562157
201912,59.496038,103.033749,86.635154,4.941119
202001,62.985581,101.752293,97.514709,3.923856
202002,51.847348,98.935735,79.869098,4.744805
202003,52.903176,95.845428,76.288877,5.857653
202004,40.770937,77.418303,48.054369,4.937599
202005,40.001950,85.593826,44.648693,6.306333
202006,41.329877,91.238415,42.461444,6.521913
202007,43.738691,102.180790,45.378043,6.779983
202008,47.315710,93.720084,42.876868,6.093345
202009,49.522244,97.690262,47.925372,6.351954
202010,60.691388,100.752320,62.182264,7.033647
202011,57.820768,89.653821,77.893890,6.680582
202012,62.712668,96.612316,92.774182,5.176639
202101,62.917767,84.044095,104.734548,3.692065
202102,55.352759,84.813828,86.071896,4.174706
202103,58.994780,97.802533,83.308199,6.834250
202104,51.491411,92.931701,69.288876,6.821302
202105,48.244905,94.390590,51.199646,6.558927
202106,51.367573,100.975270,42.224249,6.656401
202107,54.165872,104.307291,41.398070,7.045026
202108,54.644872,102.424697,38.313071,6.023099
202109,61.444481,104.125869,43.969044,6.377574
202110,61.031788,106.939121,58.451253,6.836970
202111,63.481029,103.769430,81.929648,6.211041
202112,70.964948,104.489300,94.869864,5.184222
202201,63.853283,95.749078,99.497682,4.159698
202202,55.924652,96.943182,79.692510,4.777971
202203,64.645772,106.372482,78.491692,6.104887
202204,56.291115,96.491959,57.803562,6.243382
202205,53.635621,100.607230,42.598111,6.595989
202206,55.567656,100.843726,39.642731,6.127207
202207,55.282497,102.712719,40.322220,6.223737
202208,53.764738,105.311023,36.088015,5.679247
202209,56.053365,104.314270,40.701941,5.826389
202210,55.496254,100.113350,45.813306,6.423863
202211,60.477755,100.635451,61.107533,6.090270
202212,61.464963,105.389828,80.928720,4.478611
202301,60.733279,92.679836,81.208507,3.420553
202302,54.229799,94.247036,73.849508,4.571675
202303,53.839821,103.704951,67.082288,5.849430
202304,42.130205,94.072474,52.263390,5.525976
202305,37.944030,101.163717,39.467867,5.226490
202306,35.303266,100.354247,35.673564,5.780839
202307,38.187123,101.297752,36.797453,5.905479
202308,39.182217,100.986476,34.927305,5.042558
202309,41.621065,98.922152,37.964145,5.441384
202310,45.320683,104.521706,45.565385,5.739275
202311,45.754212,98.540054,65.031829,5.311883
202312,46.919808,99.985934,77.195231,3.793050
202401,46.477782,96.209512,89.127612,1.920171
202402,38.165887,91.576623,66.237505,3.286697
202403,39.277854,96.429993,62.510095,4.242880
202404,33.685185,98.838280,47.969126,4.401195
202405,32.857190,99.161104,37.598323,4.298728
202406,33.991992,97.704430,34.455953,4.373457
202407,35.186282,106.110261,36.168275,4.702315
202408,36.560047,102.036275,34.168917,4.234130
202409,37.223197,99.600257,38.659739,4.157444
202410,42.580549,105.608203,47.679615,4.525339
202411,46.116479,96.842471,72.059237,4.618444
202412,45.322906,97.611731,83.619045,3.303027
202501,47.012026,93.871521,88.626105,1.994650
202502,44.181093,91.176779,80.631436,3.139014
202503,46.455511,101.007581,65.444298,4.232165
202504,33.792456,98.936018,46.807818,4.298214
202505,,,,
202506,,,,
202507,,,,
202508,,,,
202509,,,,
202510,,,,
202511,,,,
202512,,,,
