"YYYYMM","Hydro","Coal/Lignite","Gas","Diesel","Nuclear","RES"
202401,46.928170,214.809510,25.038210,0.589200,7.480000,135.116360
202402,46.928170,217.589510,25.038210,0.589200,7.480000,136.570090
202403,46.928170,217.589510,25.038210,0.589200,8.180000,143.644510
202404,46.928170,217.589510,24.818210,0.589200,8.180000,144.751550
202405,46.928170,217.589510,24.818210,0.589200,8.180000,146.651790
202406,46.928170,217.589510,24.818210,0.589200,8.180000,148.084640
202407,46.928170,217.589510,24.818210,0.589200,8.180000,150.276360
202408,46.928170,217.589510,24.818210,0.589200,8.180000,152.654480
202409,46.928170,217.649510,24.818210,0.589200,8.180000,154.529740
202410,46.968170,217.649510,24.818210,0.589200,8.180000,156.247100
202411,46.968170,217.649510,24.818210,0.589200,8.180000,158.552410
202412,46.968170,219.033010,24.818210,0.589200,8.180000,162.476580
202501,46.968170,220.493010,24.818210,0.589200,8.180000,165.202210
202502,46.968170,221.813010,25.188260,0.589200,8.180000,167.709530
202503,47.728160,221.813010,24.533260,0.589200,8.180000,172.368180
202504,47.928160,219.338010,20.132410,0.589200,8.780000,175.700230
202505,47.928160,219.338010,20.132410,0.589200,8.780000,178.822600
202506,49.378160,221.318010,20.132410,0.589200,8.780000,184.621040
