"YYYYMM","Nalco (kt)","Malco (kt)","Balco (kt)","Hindalco (kt)","Vedanta (kt)"
202309,36.432000,,47.836000,113,145.455000
202310,38.392000,,49.554000,113,151.601000
202311,37.790000,,47.393000,109,148.404000
202312,39.698000,,49.024000,112,152.060000
202401,39.936000,,49.462000,113,152.505000
202402,37.215000,,46.371000,106,143.756000
202403,41.190000,,49.565000,113,154.110000
202404,36.458000,,47.970000,109,148.735000
202405,38.554000,,49.632000,112,153.811000
202406,38.499000,,48.075000,109,149.155000
202407,39.402000,,49.792000,112,154.371000
202408,39.281000,,49.810000,110,154.958000
202409,36.312000,,48.181000,107,150.303000
202410,37.750000,,49.480000,112,155.361000
202411,38.176000,,48.210000,109,150.766000
202412,39.208000,,49.967000,112,156.279000
202501,39.240000,,50.068000,114,156.361000
202502,36.973000,,45.101000,103,141.615000
202503,41.465000,,50.221000,114,156.901000
202504,38.179000,,48.466000,109,151.719000
202505,38.466000,,50.157000,113,156.890000
202506,38.427000,,47.940000,110,151.548000
202507,39.859000,,50,113,156.200000
202508,40.190000,,50.170000,113,156.917000
202509,39.027000,,48.566000,110,151.932000
