"YYYYMM","Battery Electric","Diesel","Petrol + CNG/LPG","CNG Only","Others"
201707,8772,21006,11783,714,2026
201708,8903,21166,14111,336,2437
201709,7418,22020,18774,301,2254
201710,7250,24053,22454,400,2057
201711,9595,28486,28534,330,2977
201712,8716,22502,24693,268,2848
201713,83340,272680,182722,5901,25895
201801,8573,25335,29109,319,3279
201802,6904,24182,30401,254,3261
201803,7005,27811,29079,266,3612
201804,6589,23558,29237,161,3360
201805,7276,24650,27037,172,3163
201806,7551,24528,24760,156,2654
201807,9841,25403,25800,187,2485
201808,9987,25028,23997,173,2479
201809,11127,25739,24004,171,2264
201810,12302,29338,25440,164,2317
201811,10516,27342,24165,143,2030
201812,12499,27066,22822,114,1925
201813,110170,309980,315851,2280,32829
201901,0,29485,22317,157,2017
201902,0,28041,22810,226,2216
201903,0,29152,23704,184,2626
201904,0,23141,21403,202,2243
201905,0,25407,21932,155,2209
201906,0,25564,19438,169,1841
201907,0,29337,24312,334,1975
201908,0,26439,22631,156,1746
201909,0,27563,21558,193,1756
201910,0,34250,25193,246,1674
201911,0,33991,26228,232,1816
201912,0,28481,20907,210,1591
201913,0,340851,272433,2464,23710
202001,0,32260,24041,219,1502
202002,0,34779,23812,451,1879
202003,0,49072,19295,2645,3292
202004,0,8426,3125,273,402
202005,0,889,59,190,401
202006,0,5128,208,1841,1493
202007,0,6580,466,2061,1482
202008,0,8037,499,2277,1750
202009,0,12000,1789,2702,2430
202010,0,12114,1296,2990,2209
202011,0,11681,1364,3746,2219
202012,0,12945,2843,2715,2317
202013,0,193911,78797,22110,21376
202101,0,13975,5569,2533,1963
202102,0,12448,3517,6529,1744
202103,0,13422,4043,7887,1714
202104,0,8362,1238,4194,2179
202105,0,1926,184,1119,641
202106,0,5268,604,3303,921
202107,0,8470,1155,6906,1970
202108,0,8047,1693,7915,2134
202109,0,7888,2055,10576,2251
202110,0,8368,1983,12165,2044
202111,0,8113,2280,12297,2415
202112,0,7382,2234,11717,2152
202113,0,103669,26555,87141,22128
202201,0,6865,2425,12777,2018
202202,0,6891,2236,11531,1813
202203,0,8042,2983,13990,2155
202204,0,7161,2937,12019,1761
202205,0,6555,2170,10311,1536
202206,0,6964,1785,11343,1575
202207,0,7033,1667,13369,1609
202208,0,7598,1347,16614,1977
202209,0,8128,1857,19318,2254
202210,0,9219,1798,23086,2268
202211,0,10111,2356,25190,2834
202212,0,9059,1783,20687,2401
202213,0,93626,25344,190235,24201
202301,0,9648,2024,22675,2721
202302,0,11069,1653,24967,3211
202303,0,13224,1561,27193,3198
202304,0,9267,1024,22656,2530
202305,0,9258,713,24405,3164
202306,0,8888,397,29188,3286
202307,0,10603,239,29706,3471
202308,0,11476,158,31688,3599
202309,0,11823,117,32571,3767
202310,0,14025,80,34562,4548
202311,0,13170,48,32491,4205
202312,0,10982,41,25983,3723
202313,0,133433,8055,338085,41423
202401,0,11445,52,31255,3947
202402,0,11234,36,30125,4013
202403,132,11369,42,29113,4009
202404,906,9782,24,25235,3048
202405,2403,10529,15,29288,3715
202406,3119,10381,20,28296,3331
202407,4483,11886,19,31075,3862
202408,5854,10609,10,29875,4258
202409,6400,11166,15,28646,3814
202410,7549,15139,18,36654,3884
202411,7356,13502,15,28158,3252
202412,7848,9894,9,21621,2939
202413,46050,136936,275,349341,44072
202501,8102,12322,21,30712,4026
202502,9109,11520,20,26223,3313
202503,13577,11835,12,24675,3311
202504,18437,10909,9,23615,2716
202505,23379,11250,10,24119,3061
202506,23786,11232,13,25562,3230
202507,28378,12018,13,26998,3252
202508,27395,11504,5,25236,2887
202509,27509,10404,3,24513,2928
202510,32004,19498,24,35845,3558
202511,37738,16683,7,29959,3684
202512,38393,13072,24,23144,3278
202513,287807,152247,161,320601,39244
202601,76047,17940,1367,31463,3651
202602,66694,18701,1510,29989,3712
202603,63859,17335,1345,27659,2732
202604,65168,16501,1165,25748,1537
202605,72752,15816,1282,24158,1029
