"YYYYMM","Power","City Gas","Refineries","Internal consumption for Pipeline System","Agriculture(Tea Plantation)","Industrial","Manufacturing","Others","Fertiliser","Petrochems","LPG Shrinkage","Sponge Iron/Steel","Total","City Gas: CNG"
201605,1024.159558,575.610000,457.649457,39.497285,,39.435600,8.137000,359.231828,1347.415100,358.100554,55.904804,41.668000,4306.809186,
201606,961.824689,532.886000,438.331538,38.897731,,58.189100,7.543000,324.659230,1310.970700,356.240493,52.417216,40.330000,4122.289698,
201607,972.785569,604.949000,447.522862,45.379229,,74.456700,8.689000,346.951202,1323.124300,368.899771,94.417732,39.913000,4327.088365,
201608,1034.344963,612.651237,414.843571,40.562923,,56.412503,8.580000,350.898604,1314.238784,378.368602,60.494505,56.597615,4327.993308,
201609,1066.382771,617.935783,421.411183,38.795000,,53.440164,8.550000,293.630756,1313.791534,367.833358,58.370252,52.029873,4292.170674,
201610,944.754950,645.970411,441.887811,41.757000,,58.496633,8.999000,339.311002,1280.380454,376.996438,64.920922,110.031057,4313.505679,
201611,925.688925,610.151410,439.900690,39.228692,,68.189884,9.559000,359.355818,1294.488487,377.012174,60.955540,108.397402,4292.928022,
201612,946.074228,651.720602,530.460576,37.915332,,92.957662,9.028000,330.066101,1300.922780,298.890496,60.778866,100.238310,4359.052953,
201701,893.078436,660.178820,416.240144,38.894778,,35.535541,10.263000,296.258809,1268.428122,350.287945,61.909219,102.272000,4133.346814,
201702,885.567728,623.976260,416.601135,36.754908,,71.700495,8.171000,283.345023,1176.178820,285.859333,55.447658,93.318000,3936.920359,
201703,990.921604,656.860898,474.233540,40.190627,,45.290498,9.451000,309.641678,1282.668320,352.115395,58.869936,100.367000,4320.610497,
201704,909.273862,672.764770,436.405275,33.181707,15.031559,49.240672,8.130000,281.942690,1118.208876,332.331910,51.230893,68.343000,3976.085214,
201705,1033.188953,695.661468,476.254475,30.686372,16.672567,60.367444,8.972000,308.930513,1113.521960,329.570649,58.608858,62.089000,4194.524259,
201706,980.670496,659.248700,454.246333,39.550471,18.941849,50.789221,8.110000,270.943540,1156.067478,317.894097,66.712041,57.906000,4081.080227,
201707,1039.323331,720.974647,525.553807,43.280000,22.881614,73.759003,8.790000,252.654895,1251.108291,350.221700,73.120000,113.162000,4474.829288,
201708,979.304807,720.812735,527.085813,43.050733,25.698462,102.802086,9.460000,253.902282,1260.776892,346.372327,71.590269,69.163111,4410.019517,
201709,1078.712123,680.907020,553.268957,45.100000,22.423353,95.631998,13.978000,286.146527,1179.415838,431.766707,70.220000,119.686700,4577.257223,
201710,1215.638539,719.186947,616.416442,46.590000,26.079112,69.810519,14.611000,287.259014,1269.681027,310.829574,74.690000,110.981407,4761.773581,
201711,1059.232170,727.304770,543.602022,46.530000,20.740026,62.777047,12.488000,269.964508,1250.647099,333.792644,69.590000,97.480518,4494.148803,
201712,986.215066,757.367606,620.972504,45.460000,11.526919,84.667257,10.027000,270.085489,1288.954939,322.526348,56.890000,124.422724,4579.115851,
201801,943.330977,769.702274,625.403641,40.600000,0.335791,70.616728,10.310000,253.092320,1295.503546,335.546119,70.260000,157.043568,4571.744965,
201802,820.546630,703.406158,540.697984,35.820000,0.157036,48.368841,9.623000,246.916599,1191.820690,279.206892,55.370000,147.330601,4079.264430,
201803,982.850837,757.421150,613.222884,45.770000,8.067381,104.177297,11.759000,244.649592,1299.967256,334.074667,79.590000,150.394011,4631.944075,
201804,1045.901926,732.719161,606.779559,42.050000,15.583512,52.357771,11.560000,251.453009,1187.746789,273.097935,71.440000,146.550990,4437.240652,
201805,1063.865458,767.967000,604.475512,44.480000,16.553000,101.927000,11.948000,261.931209,1262.813000,284.016385,67.840000,150.672000,4638.488564,
201806,1008.663800,735.086173,613.332091,42.570000,20.253000,95.460000,12.093000,262.959301,1266.935000,257.564370,65.770000,140.433000,4521.119735,
201807,1009.322221,793.557777,615.839174,46.750000,22.424000,73.416000,12.277000,258.051841,1224.438000,306.827725,70.400000,74.735000,4508.038738,
201808,955.982559,785.634000,610.211344,47.420000,27.877000,94.308000,11.791000,279.418448,1232.777000,317.293032,78.260000,64.186000,4505.158384,
201809,1012.364000,751.497000,570.524466,44.510000,26.813000,144.959000,11.394000,253.921484,1185.305000,287.227227,75.300000,74.622000,4438.437177,
201810,1260.154000,769.772000,629.681656,51.200000,25.947000,91.744000,12.254000,297.346753,1181.647000,296.854327,80.530000,137.903000,4835.033735,
201811,1005.050000,737.294900,553.135209,43.740000,19.711000,50.581000,12.222000,273.437643,1177.738000,246.350488,65.420000,113.646000,4298.326239,
201812,1020.524000,808.752000,556.430731,50.050000,5.783000,54.312000,12.111000,344.630799,1325.093000,268.191131,78.110000,114.606000,4638.593661,
201901,966.376088,814.855265,547.751625,44.776000,0.110000,104.094000,11.990000,324.649761,1369.833000,259.974315,73.240000,37.046000,4554.696054,
201902,774.482400,721.233700,536.446954,38.272000,0.083000,37.901000,10.670000,281.580602,1220.709000,265.551507,66.790000,31.550000,3985.270163,
201903,882.013000,787.627000,602.703634,44.890000,11.127000,43.200000,11.498000,303.219950,1351.872000,323.137691,80.420000,37.760000,4479.468275,
201904,971.371000,835.754100,609.504877,41.710000,15.029000,39.821000,11.289000,338.594097,1147.309000,301.995946,74.940000,70.850000,4458.168021,
201905,1031.570000,872.157000,626.784410,44.090000,19.821000,55.671000,11.389000,340.918125,1236.246000,306.475339,70.200000,70.640000,4685.961875,
201906,1004.789000,865.790900,656.849275,43.010000,19.860000,51.390000,11.883000,343.382149,1264.159000,275.345067,58.850000,67.590000,4662.898390,
201907,939.855000,958.443500,636.296475,42.090000,25.890000,65.724000,11.939000,390.897379,1321.658000,316.123198,71.910000,34.427000,4815.253552,
201908,924.859100,955.424273,659.614221,45.190000,24.372000,45.931730,11.710000,493.485541,1420.893862,322.516175,76.350000,35.303150,5015.650053,
201909,925.627619,919.767635,562.808557,45.040000,28.676752,41.664135,10.295000,321.840889,1376.211036,304.556738,76.100000,31.857916,4644.446277,
201910,922.373213,917.536512,672.246138,43.930000,27.652975,57.471878,10.934000,325.230103,1354.073456,301.772788,75.930000,61.971639,4771.122703,
201911,888.125968,922.655524,623.529618,42.790000,24.222000,47.040000,10.670000,319.094585,1369.410200,269.035750,73.180000,57.650000,4647.403646,
201912,835.177500,921.172000,680.375004,46.530000,9.293000,57.940000,10.470000,357.030467,1468.300000,286.184205,76.160000,58.353000,4806.985176,
202001,888.779688,975.970690,646.502135,45.817000,0.075750,37.537955,10.870000,349.962205,1469.019338,294.392139,66.510000,45.357510,4830.794410,
202002,916.140507,920.600216,698.974711,43.400000,0.147908,40.761330,10.960000,328.122982,1382.342288,291.390638,67.840000,18.979040,4719.659622,
202003,831.307907,817.789931,712.502144,41.510000,5.231438,27.379878,9.850000,299.958956,1305.614709,299.000600,69.970000,13.952037,4434.067599,
202004,941.876480,285.890610,730.915313,27.760000,6.864839,10.851956,5.400000,319.461057,1307.502216,210.728703,73.666030,39.267925,3960.185129,
202005,1019.670290,396.758874,854.678695,34.210000,12.343488,21.715241,7.500000,350.280748,1562.660013,371.889874,63.725880,58.299984,4753.733087,
202006,1060.972846,507.212771,971.279319,42.510000,19.753723,39.237335,6.300000,469.232534,1574.357334,205.096017,199.127940,43.754653,5138.834473,
202007,950.914629,677.465407,645.458943,44.150000,22.661485,43.161329,8.550000,298.905526,1519.781879,278.276702,74.305340,36.000931,4599.632171,
202008,915.060832,813.836709,663.632847,44.310000,20.950236,36.356575,9.910000,362.712233,1522.925905,301.271252,75.403440,33.208537,4799.578565,
202009,875.326831,808.097963,629.598554,0,26.501509,51.074832,9.870000,336.734170,1377.099269,158.774552,1.927260,27.826147,4302.831087,
202010,970.192933,928.518816,675.430535,45.080000,25.164206,38.867937,10.380000,366.032484,1535.162523,291.718531,78.061050,57.827168,5022.436183,
202011,873.342466,917.952784,591.423410,42.410000,25.203970,40.205477,9.762000,336.569920,1533.178754,243.808592,75.927160,30.959888,4720.744421,
202012,927.798364,977.017977,548.148965,42.680000,10.298084,46.662658,9.741000,359.151238,1582.936733,224.937314,69.898230,46.940455,4846.211019,
202101,735.180173,1006.365925,472.502935,40.490000,0.165966,39.073064,9.392000,410.741742,1564.290103,219.609930,63.191430,94.705419,4655.708688,
202102,717.670416,915.331152,542.275743,37.460000,0.465247,47.934697,8.583000,414.215355,1355.754772,250.740080,57.976470,79.911033,4428.317964,
202103,847.754431,994.890407,585.839039,38.400000,7.073169,35.197988,9.026000,544.523110,1345.745279,315.092570,66.353540,97.847802,4887.743336,
202104,948.196815,817.914855,612.140160,35.120000,11.760575,31.949379,9.222000,608.878932,1408.121586,289.696686,94.027951,108.029933,4975.058871,
202105,947.717179,741.366005,580.049575,32.120000,10.954686,47.046213,9.068000,754.580855,1405.207998,219.157502,84.523570,105.865456,4937.657040,
202106,935.750751,871.283083,540.992393,35.880000,21.941348,65.760473,8.410000,729.808315,1502.855886,241.043868,79.268744,103.046076,5136.040938,
202107,932.683349,1037.523435,524.076262,43.120000,24.844291,65.035673,9.476000,798.828385,1564.362249,265.104392,93.507329,108.333278,5466.894643,
202108,961.289761,1035.545586,482.873742,40.920000,20.983917,71.880686,9.455000,758.037041,1573.181924,252.938528,91.819804,105.344278,5404.270267,
202109,937.701902,1065.478936,418.763974,43.270000,18.818498,75.601154,9.083000,810.996079,1435.708851,236.104511,90.906271,92.443076,5234.876250,
202110,976.879710,1065.344584,394.592696,44.540000,20.013761,87.738784,9.415000,808.507849,1554.848053,235.474692,97.576196,108.334076,5403.265400,
202111,737.946318,1086.120375,347.267371,41.280000,14.144136,83.693810,19.233504,765.303304,1561.603100,227.632638,94.692206,85.257076,5064.173838,
202112,722.874983,1166.320641,358.109668,45.720000,5.290422,86.624841,9.451000,791.463900,1640.309732,257.557829,85.350991,86.659278,5255.733285,
202201,686.725958,1077.514609,316.527230,46.220000,1.020678,72.994196,9.206731,797.486903,1565.676609,246.133265,94.427194,94.616076,5008.549447,
202202,639.684322,1017.766226,343.773979,37.200000,0.736301,67.500011,8.647000,724.348864,1302.434196,221.306039,83.133140,69.871671,4516.401749,
202203,729.498299,1192.787643,392.955420,40.840000,5.432048,73.528393,8.835000,760.861112,1565.081094,171.913266,80.416466,65.874278,5088.023020,
202204,804.435818,1013.049733,388.191969,131.517070,13.749690,37.718000,9.339717,792.285485,1390.938578,85.023976,65.396429,57.479000,4789.125465,
202205,782.929097,1035.482776,372.704385,150.384925,12.556469,40.720790,8.929142,778.746339,1589.986016,189.101330,90.508700,100.337000,5152.386968,
202206,743.991321,1064.821449,388.263015,144.941270,14.771504,36.265000,8.475931,781.268093,1515.276592,222.139811,81.956368,78.431000,5080.601354,
202207,676.948335,1001.910333,381.424279,147.239583,14.840397,39.550355,12.401823,788.199024,1748.402174,193.694832,77.822635,75.231536,5157.665305,
202208,671.051118,1001.923306,362.579180,145.321000,20.777520,28.070000,13.409000,753.865882,1714.737106,123.402001,79.410449,88.002098,5002.548662,
202209,644.914774,959.830642,271.905802,149.074186,23.127682,29.426000,12.144000,713.504118,1607.846750,147.032721,80.088608,77.702708,4716.597992,
202210,605.063555,943.574945,250.978761,151.531405,18.999245,59.645640,30.510413,686.957902,1688.516730,102.818419,95.817002,77.122639,4711.536657,
202211,648.491816,955.409601,300.590847,145.872800,15.998317,85.655435,18.810000,672.081994,1601.945600,133.040727,83.809567,67.534949,4729.241653,
202212,674.558637,1001.992234,295.433609,150.004028,6.519236,108.634853,10.500000,679.231449,1607.587962,187.357072,81.362205,69.425523,4872.606809,
202301,656.986208,990.816016,305.114662,151.832695,0.884137,84.396223,21.432191,674.055128,1676.918425,172.646188,84.688408,85.944473,4905.714755,
202302,592.045142,962.414072,276.942494,132.211224,0.831015,51.862120,24.279190,546.486363,1605.329571,154.855280,74.687412,85.870000,4507.813883,
202303,651.183409,1096.800695,314.530573,164.184051,11.437947,72.948792,20.077880,667.156417,1652.792503,247.629975,80.578031,96.742000,5076.062273,
202304,732.305863,1039.872604,335.624505,160.263040,11.114605,53.417730,15.317758,629.705937,1610.296960,255.666667,82.291496,94.980000,5020.857165,
202305,787.371648,1108.483876,472.989189,171.480566,16.696464,55.094221,11.221515,652.274464,1778.524810,247.522444,80.156661,86.050000,5467.865859,
202306,828.779095,1044.615135,432.590379,155.513166,14.121892,75.461766,12.910000,833.427648,1613.396970,168.675161,82.546612,104.518159,5366.555984,
202307,722.311161,1103.947457,492.626738,158.773476,19.185528,68.743608,15.950000,912.885044,1665.902721,218.963165,88.182262,99.631830,5567.102989,
202308,978.578378,1118.000220,518.323171,158.331664,18.600244,133.005916,23.689535,995.159979,1774.835820,224.456969,81.731048,108.965673,6133.678617,
202309,822.151925,1088.608495,478.092573,156.535083,15.711994,81.092619,36.240997,954.206331,1767.408891,206.103034,80.910045,92.265916,5779.327902,
202310,877.197066,1177.110609,493.747969,162.752620,19.318877,112.968308,39.630000,960.230712,1893.906437,227.302786,83.055412,93.073638,6140.294433,
202311,562.521046,1092.355769,466.608518,158.543273,14.803868,84.717909,42.050000,987.517948,1829.299236,210.454443,81.560065,91.674516,5622.106592,
202312,632.060015,1181.853697,470.205299,163.400844,6.271560,85.251746,40.040000,1024.162569,1864.988618,242.429420,83.831643,92.670000,5887.165412,
202401,755.013055,1162.453072,486.685441,162.443510,0.480369,84.877561,42.570523,1035.128925,1916.240329,228.736143,89.157882,93.970165,6057.756975,
202402,705.494931,1136.196945,549.747087,153.185491,0.549871,87.033511,81.038255,949.184615,1609.448614,204.687155,81.099872,92.426475,5650.092819,
202403,677.914949,1237.792308,638.640700,162.549075,4.885860,124.047370,51.094758,1003.717024,1722.013988,231.716662,86.690549,126.634234,6067.697478,692
202404,945.217982,1212.949104,626.857596,146.480694,9.309929,94.081140,160.958415,804.997749,1649.626056,117.395040,62.383315,108.421398,5938.678419,705
202405,1245.609125,1280.687959,491.510943,174.905631,10.723289,141.518286,162.055079,847.798685,1724.662195,320.460501,78.061476,126.978685,6604.971854,744
202406,1116.536679,1237.548236,466.370627,171.627472,13.612304,101.920186,157.005532,836.434069,1671.978763,290.047221,76.152045,109.054861,6248.287996,714
202407,728.754526,1261.130457,516.322729,173.188039,14.368228,105.380583,15.274548,1010.909765,1801.247633,282.896763,85.058874,125.606130,6120.138275,755
202408,695.271753,1223.012834,494.856229,168.133023,17.900374,103.276942,150.896137,897.777443,1749.156742,260.677244,80.192710,129.939295,5971.090726,765
202409,711.700185,1259.301062,493.159316,162.350000,16.205119,67.300949,148.797514,791.743891,1656.680239,237.468381,81.975817,124.879605,5751.562077,741
202410,656.383004,1264.682197,528.268884,171.982671,42.835408,74.044749,151.412446,934.066471,1724.539639,264.752812,87.086455,137.414158,6037.468894,777
202411,506.195299,1193.292744,477.295550,166.902137,16.204342,77.671692,146.508812,882.244904,1755.374971,337.596368,82.724016,124.737808,5766.748642,769
202412,570.982479,1309.521267,412.644128,170.054197,2.402191,94.605597,155.429219,867.319511,1765.507430,319.228295,85.228886,130.304150,5883.227350,803
202501,566.390647,1327.759258,454.787091,164.350301,0.518637,82.670783,146.583228,850.324949,1757.716131,333.358421,75.634215,74.092862,5834.186523,820
202502,548.013621,1246.786687,406.504416,141.487619,0.650254,78.873282,141.475315,785.405449,1564.289153,287.126531,60.573115,65.788164,5326.973607,784
202503,585.578811,1293.731976,430.547092,156.939396,7.957613,98.861105,146.490783,838.488949,1660.201761,305.162274,64.046755,74.644600,5662.651115,813
202504,824.174070,1281.125391,390.567065,149.661231,11.088649,79.032827,129.832309,783.215462,1443.289521,296.981784,55.132114,65.722449,5509.822871,840
202505,805.410149,1335.690278,463.625680,163.886844,14.088386,59.314539,137.023327,871.089954,1497.508613,378.650783,62.711385,62.287952,5851.287891,876
202506,775.378238,1311.944373,388.180760,152.920113,11.944875,53.161708,135.560591,826.392431,1663.227472,383.508030,58.698595,57.388713,5818.305899,847
202507,744.789187,1396.060491,427.605531,160.721265,18.136259,88.082766,147.178126,842.013039,1738.764118,308.989030,62.368754,70.582405,6005.290972,879
202508,647.025171,1385.879716,449.818473,154.827885,18.108014,51.995670,136.110801,833.132130,1765.923382,336.686874,65.203563,55.684212,5900.395891,894
202509,724.704042,1359.780040,447.504286,149.610128,15.102969,52.670696,144.410714,797.448615,1644.443244,327.672972,65.074888,53.586830,5782.009424,863
202510,533.865679,1370.129452,484.809240,151.394787,18.386208,93.965854,134.997691,836.129789,1781.851248,350.439398,64.703801,50.808425,5871.481571,901
