"YYYYMM","GAS.PRD.GRS","GAS.PRD.NET","GAS.IMP","GAS.IMP.PRV","GAS.CON.PWR","GAS.CON.CGD","GAS.CON.REF","GAS.CON.INT","GAS.CON.TEA","GAS.CON.IND","GAS.CON.MFG","GAS.CON.OTH","GAS.CON.FRT","GAS.CON.PET","GAS.CON.SHR","GAS.CON.IRN","GAS.CON.TOT"
200611,,2582,735.340320,,,,,,,,,,,,,,
200612,,2647,798.439831,,,,,,,,,,,,,,
200701,,2654,663.621552,,,,,,,,,,,,,,
200702,,2440,830.517600,,,,,,,,,,,,,,
200703,,2718,968.691240,,,,,,,,,,,,,,
200704,,2483,750.245760,,,,,,,,,,,,,,
200705,,2567,898.418400,,,,,,,,,,,,,,
200706,,2506,1070.745060,,,,,,,,,,,,,,
200707,,2645,742.686120,,,,,,,,,,,,,,
200708,,2617,745.695852,,,,,,,,,,,,,,
200709,,2609,820.061880,,,,,,,,,,,,,,
200710,,2765,912.790560,,,,,,,,,,,,,,
200711,,2701,728.317366,,,,,,,,,,,,,,
200712,,2752,1064.169480,,,,,,,,,,,,,,
200801,,2594,908.003910,,,,,,,,,,,,,,
200802,,2557,901.541124,,,,,,,,,,,,,,
200803,,2659,1130.981280,,,,,,,,,,,,,,
200804,,2716,895.650360,,,,,,,,,,,,,,
200805,,2803,1090.330560,,,,,,,,,,,,,,
200806,,2540,646.542600,,,,,,,,,,,,,,
200807,,2700,811.633284,,,,,,,,,,,,,,
200808,,2703,973.670280,,,,,,,,,,,,,,
200809,,2632,883.794120,,,,,,,,,,,,,,
200810,,2723,1060.177140,,,,,,,,,,,,,,
200811,,2643,657.727884,,,,,,,,,,,,,,
200812,,2698,734.620920,,,,,,,,,,,,,,
200901,,2558,1210.363440,,,,,,,,,,,,,,
200902,,2358,727.303368,,,,,,,,,,,,,,
200903,,2730,1273.120609,,,,,,,,,,,,,,
200904,,2837,946.033440,,,,,,,,,,,,,,
200905,,3307,1140.982920,,,,,,,,,,,,,,
200906,,3472,1077.752887,,,,,,,,,,,,,,
200907,,3669,1072.962000,,,,,,,,,,,,,,
200908,,3788,1294.479384,,,,,,,,,,,,,,
200909,,3664,1299.852840,,,,,,,,,,,,,,
200910,,4004,974.550654,,,,,,,,,,,,,,
200911,,3987,962.163840,,,,,,,,,,,,,,
200912,,4325,786.147516,,,,,,,,,,,,,,
201001,,4571,762.944160,,,,,,,,,,,,,,
201002,,4135,848.342880,,,,,,,,,,,,,,
201003,,4715,859.741080,,,,,,,,,,,,,,
201004,,4457,846.234352,,,,,,,,,,,,,,
201005,,4483,882.111120,,,,,,,,,,,,,,
201006,,4370,755.198400,,,,,,,,,,,,,,
201007,,4414,975.348000,,,,,,,,,,,,,,
201008,,4250,1005.219600,,,,,,,,,,,,,,
201009,,4151,1297.227360,,,,,,,,,,,,,,
201010,,4285,1067.070840,,,,,,,,,,,,,,
201011,,4193,997.395960,,,,,,,,,,,,,,
201012,,4301,1232.576519,,,,,,,,,,,,,,
201101,4350.800000,4281,1090.403160,,,,,,,,,,,,,,
201102,3907.500000,3830,1250.990400,,,,,,,,,,,,,,
201103,4281.600000,4188,1491.031080,,,,,,,,,,,,,,
201104,4096.300000,4025.724780,1292.596644,,,,,,,,,,,,,,
201105,4143.695000,4042.353471,1065.112784,,,,,,,,,,,,,,
201106,,3879.309910,1536.462631,,,,,,,,,,,,,,
201107,,4032.014743,1758.269941,,,,,,,,,,,,,,
201108,4101.340000,4020.153988,1665.000348,,,,,,,,,,,,,,
201109,,3865.233928,1602.250772,,,,,,,,,,,,,,
201110,,3937.853326,1265.576564,,,,,,,,,,,,,,
201111,3847.413000,3758.221360,1595.526808,,,,,,,,,,,,,,
201112,,3813.785670,1472.692143,,,,,,,,,,,,,,
201201,3896.748000,3808.749289,1677.659519,,,,,,,,,,,,,,
201202,3609.061000,3516.354776,1428.888284,,,,,,,,,,,,,,
201203,3855.898000,3753.579142,1637.297187,,,,,,,,,,,,,,
201204,3635.199197,3546.095957,1153.933643,,,,,,,,,,,,,,
201205,3700.092458,3605.001830,1403.338374,,,,,,,,,,,,,,
201206,3534.077443,3457.217105,1458.656116,,,,,,,,,,,,,,
201207,3581.233183,3506.013036,1558.968485,,,,,,,,,,,,,,
201208,3547.867471,3472.841318,1619.130012,,,,,,,,,,,,,,
201209,3362.763796,3266.784155,1479.647996,,,,,,,,,,,,,,
201210,3426.429989,3344.387262,1540.075845,,,,,,,,,,,,,,
201211,3260.443687,3179.057010,1642.183259,,,,,,,,,,,,,,
201212,3331.809867,3262.565542,1355.193598,,,,,,,,,,,,,,
201301,3241.204633,3176.491987,1555.302372,,,,,,,,,,,,,,
201302,2883.092978,2820.755556,1540.892284,,,,,,,,,,,,,,
201303,3174.685018,3115.731013,1307.077556,,,,,,,,,,,,,,
201304,3001.383235,2945.889795,1717.139158,1472.070000,,,,,,,,,,,,,
201305,3009.710235,2942.016302,1632.141104,1204.430000,,,,,,,,,,,,,
201306,2945.599565,2875.932040,1475.754052,,,,,,,,,,,,,,
201307,3008.755410,2927.510402,1139.202641,932.800000,,,,,,,,,,,,,
201308,2977.887415,2910.212856,1636.808246,1205.750000,,,,,,,,,,,,,
201309,2894.208535,2825.896464,1267.418766,1007,,,,,,,,,,,,,
201310,2963.838616,2880.004346,1590.272033,1343.550000,,,,,,,,,,,,,
201311,2894.535214,2822.748108,1503.816991,1127.570000,,,,,,,,,,,,,
201312,3001.909672,2931.337141,1500.686788,1265.400000,,,,,,,,,,,,,
201401,3073.064756,3004.588244,1362.203167,1095.800000,,,,,,,,,,,,,
201402,2756.813253,2696.191914,1376.902819,1151.400000,,,,,,,,,,,,,
201403,2879.224610,2811.729689,1598.452037,1232.300000,,,,,,,,,,,,,
201404,2769.824651,2699.509415,1669.643100,1636.910000,,,,,,,,,,,,,
201405,2942.027797,2873.394728,1549.645816,1548.140000,,,,,,,,,,,,,
201406,2894.436955,2827.349275,1535.208966,1464.700000,,,,,,,,,,,,,
201407,2740.394384,2653.799905,1541.262392,1516.110000,,,,,,,,,,,,,
201408,2736.431520,2655.861285,1816.034299,1784.160000,,,,,,,,,,,,,
201409,2726.070449,2651.465305,1525.338047,1525.270000,,,,,,,,,,,,,
201410,2846.802651,2759.658853,1872.948555,1834.460000,,,,,,,,,,,,,
201411,2826.901159,2745.572104,1439.478221,1481,,,,,,,,,,,,,
201412,2914.497405,2826.424400,1994.929239,1890,,,,,,,,,,,,,
201501,2888.286373,2804.198818,1482.308379,1519,,,,,,,,,,,,,
201502,2533.528051,2458.023402,982.841516,1100,,,,,,,,,,,,,
201503,2838.237788,2737.963905,1196.891286,1237,,,,,,,,,,,,,
201504,2670.464303,2577.651662,1472.673506,1473,795.452000,415.097000,396.482000,24.480000,0,32.749000,11.696000,385.891000,1260.592000,232.354000,66.220000,62.976000,3683.989000
201505,2850.382533,2755.106781,1451.945292,1452,816.347000,417.824000,470.492300,26.130000,0,30.280000,21.838000,362.525100,1295.709000,240.138400,63.030000,66.867000,3811.180800
201506,2722.495632,2619.207617,1795.619012,1674,878.520000,398.711000,471.980500,28.810000,0,20.224000,18.742000,357.725900,1260.217000,294.171000,74.310000,53.482000,3856.893400
201507,2619.081349,2510.644549,1914.365982,2037,846.063500,434.435000,406.981300,21.710000,0,32.824000,18.744000,433.190900,1381.505000,304.971500,59.560000,57.052000,3997.037200
201508,2836.355937,2732.466663,1592.841675,1593,908.722000,435.230000,381.568800,29.420000,0,28.210000,16.656000,414.008300,1427.018000,325.380800,73.250000,50.432000,4089.895900
201509,2750.055320,2651.666647,1791.724084,1792,950.383100,416.490300,411.700100,29.890000,0,20.393400,7.165000,355.068900,1347.084500,302.364300,76.100000,45.171000,3961.810600
201510,2795.019854,2704.731084,1907.650828,1908,909.668000,456.580000,423.038300,49.990000,0,25.003700,6.800000,311.136000,1463.895200,326.289800,52.720000,55.343000,4080.464000
201511,2716.306984,2635.820438,1828.963880,1749,933.658000,448.345000,419.017100,49.870000,0,40.194000,7.046000,352.147400,1379.245000,322.557100,54.620000,34.574000,4041.273600
201512,2736.980780,2650.109001,1959.857740,1960,1004.018100,472.632500,453.607500,44.660200,0,36.015900,8.844000,308.198200,1436.828900,361.313700,61.320000,30.168000,4217.607000
201601,2447.384510,2363.660076,1926.905112,1927,885.990600,533.904100,454.329100,31.782000,0,46.558600,9.274000,325.271500,1346.699500,339.832000,53.738000,44.823000,4072.202400
201602,2565.007330,2493.930157,1787.533316,1788,928.245900,495.474400,385.201800,37.540000,0,47.699400,8.323000,356.771900,1235.009900,369.238200,61.460000,21.040000,3946.004500
201603,2539.680520,2434.173031,1958.192731,1759,1032.133300,539.166000,402.145600,35.322200,0,40.956300,9.087000,336.478800,1300.802500,314.672000,57.859400,22.396000,4091.019100
201604,2488.039879,2400.398116,2142.023834,2142,970.671876,557.111000,475.285066,33.311455,0,34.049400,8.529000,335.933804,1215.959000,299.453197,74.966953,39.883000,4045.153751
201605,2658.212304,2575.566498,2141.578675,2082,1024.159558,575.610000,457.649457,39.497285,0,39.435600,8.137000,359.231828,1347.415100,358.100554,55.904804,41.668000,4306.809186
201606,2598.402385,2513.224891,1957.914638,1908,961.824689,532.886000,438.331538,38.897731,0,58.189100,7.543000,324.659230,1310.970700,356.240493,52.417216,40.330000,4122.289698
201607,2704.634975,2619.594438,1961.950811,1960,972.785569,604.949000,447.522862,45.379229,0,74.456700,8.689000,346.951202,1323.124300,368.899771,94.417732,39.913000,4327.088365
201608,2674.148603,2578.451875,2144.189479,2144,1034.344963,612.651237,414.843571,40.562923,0,56.412503,8.580000,350.898604,1314.238784,378.368602,60.494505,56.597615,4327.993308
201609,2600.093326,2503.028378,2304.581905,2375,1066.382771,617.935783,421.411183,38.795000,0,53.440164,8.550000,293.630756,1313.791534,367.833358,58.370252,52.029873,4292.170674
201610,2755.140722,2670.871378,2271.825772,2262,944.754950,645.970411,441.887811,41.757000,0,58.496633,8.999000,339.311002,1280.380454,376.996438,64.920922,110.031057,4313.505679
201611,2669.901747,2583.561032,2029.335524,2019,925.688925,610.151410,439.900690,39.228692,0,68.189884,9.559000,359.355818,1294.488487,377.012174,60.955540,108.397402,4292.928022
201612,2736.813859,2642.613614,1922.762195,1903,946.074228,651.720602,530.460576,37.915332,0,92.957662,9.028000,330.066101,1300.922780,298.890496,60.778866,100.238310,4359.052953
201701,2738.487836,2645.239992,1643.896503,1644,893.078436,660.178820,416.240144,38.894778,0,35.535541,10.263000,296.258809,1268.428122,350.287945,61.909219,102.272000,4133.346814
201702,2522.531905,2446.656433,2132.263623,2132,885.567728,623.976260,416.601135,36.754908,0,71.700495,8.171000,283.345023,1176.178820,285.859333,55.447658,93.318000,3936.920359
201703,2750.295021,2668.700588,2196.669660,2196.669660,990.921604,656.860898,474.233540,40.190627,0,45.290498,9.451000,309.641678,1282.668320,352.115395,58.869936,100.367000,4320.610497
201704,2533.641537,2455.685399,2265.573493,2182,909.273862,672.764770,436.405275,33.181707,15.031559,49.240672,8.130000,281.942690,1118.208876,332.331910,51.230893,68.343000,3976.085214
201705,2768.610373,2697.113965,2033.203719,1936,1033.188953,695.661468,476.254475,30.686372,16.672567,60.367444,8.972000,308.930513,1113.521960,329.570649,58.608858,62.089000,4194.524259
201706,2755.737953,2674.374975,1900.321041,1768,980.670496,659.248700,454.246333,39.550471,18.941849,50.789221,8.110000,270.943540,1156.067478,317.894097,66.712041,57.906000,4081.080227
201707,2858.732690,2795.960990,2030.261104,2095,1039.323331,720.974647,525.553807,43.280000,22.881614,73.759003,8.790000,252.654895,1251.108291,350.221700,73.120000,113.162000,4474.829288
201708,2772.934651,2678.459063,2183.798190,2081,979.304807,720.812735,527.085813,43.050733,25.698462,102.802086,9.460000,253.902282,1260.776892,346.372327,71.590269,69.163111,4410.019517
201709,2723.229788,2652.527734,2326.625724,2414,1078.712123,680.907020,553.268957,45.100000,22.423353,95.631998,13.978000,286.146527,1179.415838,431.766707,70.220000,119.686700,4577.257223
201710,2808.413284,2737.629361,2473.937425,2422,1215.638539,719.186947,616.416442,46.590000,26.079112,69.810519,14.611000,287.259014,1269.681027,310.829574,74.690000,110.981407,4761.773581
201711,2714.862414,2642.468708,2670.895222,2581,1059.232170,727.304770,543.602022,46.530000,20.740026,62.777047,12.488000,269.964508,1250.647099,333.792644,69.590000,97.480518,4494.148803
201712,2751.352078,2673.364564,2124.012954,2031,986.215066,757.367606,620.972504,45.460000,11.526919,84.667257,10.027000,270.085489,1288.954939,322.526348,56.890000,124.422724,4579.115851
201801,2695.073813,2616.837559,2411.333581,2411,943.330977,769.702274,625.403641,40.600000,0.335791,70.616728,10.310000,253.092320,1295.503546,335.546119,70.260000,157.043568,4571.744965
201802,2484.103644,2404.285071,2202.328316,2110,820.546630,703.406158,540.697984,35.820000,0.157036,48.368841,9.623000,246.916599,1191.820690,279.206892,55.370000,147.330601,4079.264430
201803,2782.613041,2702.497517,2816.660697,2578,982.850837,757.421150,613.222884,45.770000,8.067381,104.177297,11.759000,244.649592,1299.967256,334.074667,79.590000,150.394011,4631.944075
201804,2662.877310,2599.225820,2461.260598,2280,1045.901926,732.719161,606.779559,42.050000,15.583512,52.357771,11.560000,251.453009,1187.746789,273.097935,71.440000,146.550990,4437.240652
201805,2727.939193,2662.279664,2416.086285,2260,1063.865458,767.967000,604.475512,44.480000,16.553000,101.927000,11.948000,261.931209,1262.813000,284.016385,67.840000,150.672000,4638.488564
201806,2677.812217,2612.776587,2605.118214,2515,1008.663800,735.086173,613.332091,42.570000,20.253000,95.460000,12.093000,262.959301,1266.935000,257.564370,65.770000,140.433000,4521.119735
201807,2713.520980,2651.781060,2510.089352,2475,1009.322221,793.557777,615.839174,46.750000,22.424000,73.416000,12.277000,258.051841,1224.438000,306.827725,70.400000,74.735000,4508.038738
201808,2788.058503,2717.856903,2484.905681,2308,955.982559,785.634000,610.211344,47.420000,27.877000,94.308000,11.791000,279.418448,1232.777000,317.293032,78.260000,64.186000,4505.158384
201809,2684.139218,2618.904845,2600.827851,2315,1012.364000,751.497000,570.524466,44.510000,26.813000,144.959000,11.394000,253.921484,1185.305000,287.227227,75.300000,74.622000,4438.437177
201810,2797.654694,2723.204745,2483.737322,2281,1260.154000,769.772000,629.681656,51.200000,25.947000,91.744000,12.254000,297.346753,1181.647000,296.854327,80.530000,137.903000,4835.033735
201811,2731.773531,2667.020603,2218.771789,2112,1005.050000,737.294900,553.135209,43.740000,19.711000,50.581000,12.222000,273.437643,1177.738000,246.350488,65.420000,113.646000,4298.326239
201812,2866.493786,2795.242771,2299.098406,2128,1020.524000,808.752000,556.430731,50.050000,5.783000,54.312000,12.111000,344.630799,1325.093000,268.191131,78.110000,114.606000,4638.593661
201901,2841.452692,2772.063657,2219.967392,2131,966.376088,814.855265,547.751625,44.776000,0.110000,104.094000,11.990000,324.649761,1369.833000,259.974315,73.240000,37.046000,4554.696054
201902,2565.750437,2496.071249,2058.826204,1917,774.482400,721.233700,536.446954,38.272000,0.083000,37.901000,10.670000,281.580602,1220.709000,265.551507,66.790000,31.550000,3985.270163
201903,2815.958773,2739.480364,2381.768675,2206,882.013000,787.627000,602.703634,44.890000,11.127000,43.200000,11.498000,303.219950,1351.872000,323.137691,80.420000,37.760000,4479.468275
201904,2655.886427,2579.172212,2757.301891,2502,971.371000,835.754100,609.504877,41.710000,15.029000,39.821000,11.289000,338.594097,1147.309000,301.995946,74.940000,70.850000,4458.168021
201905,2738.889760,2660.987706,2371.101558,2416,1031.570000,872.157000,626.784410,44.090000,19.821000,55.671000,11.389000,340.918125,1236.246000,306.475339,70.200000,70.640000,4685.961875
201906,2636.096196,2557.639352,2872.292751,2605,1004.789000,865.790900,656.849275,43.010000,19.860000,51.390000,11.883000,343.382149,1264.159000,275.345067,58.850000,67.590000,4662.898390
201907,2717.917904,2638.748671,2794.650908,2738,939.855000,958.443500,636.296475,42.090000,25.890000,65.724000,11.939000,390.897379,1321.658000,316.123198,71.910000,34.427000,4815.253552
201908,2688.232790,2611.119061,2823.073330,2740,924.859100,955.424273,659.614221,45.190000,24.372000,45.931730,11.710000,493.485541,1420.893862,322.516175,76.350000,35.303150,5015.650053
201909,2568.110493,2490.944131,2798.228470,2728,925.627619,919.767635,562.808557,45.040000,28.676752,41.664135,10.295000,321.840889,1376.211036,304.556738,76.100000,31.857916,4644.446277
201910,2641.037078,2569.334516,2826.416122,2685,922.373213,917.536512,672.246138,43.930000,27.652975,57.471878,10.934000,325.230103,1354.073456,301.772788,75.930000,61.971639,4771.122703
201911,2563.405046,2495.780861,2588.606141,2641,888.125968,922.655524,623.529618,42.790000,24.222000,47.040000,10.670000,319.094585,1369.410200,269.035750,73.180000,57.650000,4647.403646
201912,2610.382187,2539.197709,2755.818498,2823,835.177500,921.172000,680.375004,46.530000,9.293000,57.940000,10.470000,357.030467,1468.300000,286.184205,76.160000,58.353000,4806.985176
202001,2608.339744,2529.955098,2809,2778,888.779688,975.970690,646.502135,45.817000,0.075750,37.537955,10.870000,349.962205,1469.019338,294.392139,66.510000,45.357510,4830.794410
202002,2340.515049,2257.226271,3520.338061,3453,916.140507,920.600216,698.974711,43.400000,0.147908,40.761330,10.960000,328.122982,1382.342288,291.390638,67.840000,18.979040,4719.659622
202003,2415.428671,2326.943920,2969.858319,2868,831.307907,817.789931,712.502144,41.510000,5.231438,27.379878,9.850000,299.958956,1305.614709,299.000600,69.970000,13.952037,4434.067599
202004,2161.323766,2066.074241,1647.855102,1947,941.876480,285.890610,730.915313,27.760000,6.864839,10.851956,5.400000,319.461057,1307.502216,210.728703,73.666030,39.267925,3960.185129
202005,2300.003868,2215.067100,2724.899176,2383,1019.670290,396.758874,854.678695,34.210000,12.343488,21.715241,7.500000,350.280748,1562.660013,371.889874,63.725880,58.299984,4753.733087
202006,2323.815199,2250.335960,2937.548944,2673,1060.972846,507.212771,971.279319,42.510000,19.753723,39.237335,6.300000,469.232534,1574.357334,205.096017,199.127940,43.754653,5138.834473
202007,2443.312592,2369.495536,3054.919210,2963,950.914629,677.465407,645.458943,44.150000,22.661485,43.161329,8.550000,298.905526,1519.781879,278.276702,74.305340,36.000931,4599.632171
202008,2431.914360,2363.474647,2929.834905,2976,915.060832,813.836709,663.632847,44.310000,20.950236,36.356575,9.910000,362.712233,1522.925905,301.271252,75.403440,33.208537,4799.578565
202009,2293.517772,2227.733482,2825.738640,2972,875.326831,808.097963,629.598554,0,26.501509,51.074832,9.870000,336.734170,1377.099269,158.774552,1.927260,27.826147,4302.831087
202010,2418.877782,2347.808909,3470.936817,3280,970.192933,928.518816,675.430535,45.080000,25.164206,38.867937,10.380000,366.032484,1535.162523,291.718531,78.061050,57.827168,5022.436183
202011,2331.248738,2262.971309,2759.497494,2893,873.342466,917.952784,591.423410,42.410000,25.203970,40.205477,9.762000,336.569920,1533.178754,243.808592,75.927160,30.959888,4720.744421
202012,2424.903379,2354.693433,2812.111282,2782,927.798364,977.017977,548.148965,42.680000,10.298084,46.662658,9.741000,359.151238,1582.936733,224.937314,69.898230,46.940455,4846.211019
202101,2550.619341,2477.224110,2699.328082,2406,735.180173,1006.365925,472.502935,40.490000,0.165966,39.073064,9.392000,410.741742,1564.290103,219.609930,63.191430,94.705419,4655.708688
202102,2307.117727,2234.995813,2547.572185,2810,717.670416,915.331152,542.275743,37.460000,0.465247,47.934697,8.583000,414.215355,1355.754772,250.740080,57.976470,79.911033,4428.317964
202103,2685.716943,2613.880790,2787.463450,2972,847.754431,994.890407,585.839039,38.400000,7.073169,35.197988,9.026000,544.523110,1345.745279,315.092570,66.353540,97.847802,4887.743336
202104,2651.521669,2583.345306,2935.050207,2655,948.196815,817.914855,612.140160,35.120000,11.760575,31.949379,9.222000,608.878932,1408.121586,289.696686,94.027951,108.029933,4975.058871
202105,2739.648098,2660.260501,2554.878910,2587,947.717179,741.366005,580.049575,32.120000,10.954686,47.046213,9.068000,754.580855,1405.207998,219.157502,84.523570,105.865456,4937.657040
202106,2776.979814,2713.205568,2809.771737,2316,935.750751,871.283083,540.992393,35.880000,21.941348,65.760473,8.410000,729.808315,1502.855886,241.043868,79.268744,103.046076,5136.040938
202107,2894.146826,2819.496800,2615.299358,2528,932.683349,1037.523435,524.076262,43.120000,24.844291,65.035673,9.476000,798.828385,1564.362249,265.104392,93.507329,108.333278,5466.894643
202108,2926.270766,2853.482339,2988.008602,2871,961.289761,1035.545586,482.873742,40.920000,20.983917,71.880686,9.455000,758.037041,1573.181924,252.938528,91.819804,105.344278,5404.270267
202109,2902.395539,2839.746416,2679.258451,2645,937.701902,1065.478936,418.763974,43.270000,18.818498,75.601154,9.083000,810.996079,1435.708851,236.104511,90.906271,92.443076,5234.876250
202110,3016.813268,2953.888805,2618.822722,2702,976.879710,1065.344584,394.592696,44.540000,20.013761,87.738784,9.415000,808.507849,1554.848053,235.474692,97.576196,108.334076,5403.265400
202111,2869.470576,2798.316205,2483.428034,2226,737.946318,1086.120375,347.267371,41.280000,14.144136,83.693810,19.233504,765.303304,1561.603100,227.632638,94.692206,85.257076,5064.173838
202112,2896.692969,2814.426638,2576.092883,2614,722.874983,1166.320641,358.109668,45.720000,5.290422,86.624841,9.451000,791.463900,1640.309732,257.557829,85.350991,86.659278,5255.733285
202201,2861.092462,2767.298241,2099.772429,2408,686.725958,1077.514609,316.527230,46.220000,1.020678,72.994196,9.206731,797.486903,1565.676609,246.133265,94.427194,94.616076,5008.549447
202202,2602.262045,2515.073453,2029.785527,2507,639.684322,1017.766226,343.773979,37.200000,0.736301,67.500011,8.647000,724.348864,1302.434196,221.306039,83.133140,69.871671,4516.401749
202203,2886.226812,2812.693341,2637.394170,2613,729.498299,1192.787643,392.955420,40.840000,5.432048,73.528393,8.835000,760.861112,1565.081094,171.913266,80.416466,65.874278,5088.023020
202204,2826.956283,2747.968713,2077.988018,2471,804.435818,1013.049733,388.191969,131.517070,13.749690,37.718000,9.339717,792.285485,1390.938578,85.023976,65.396429,57.479000,4789.125465
202205,2913.553780,2846.078685,2937.480614,2534,782.929097,1035.482776,372.704385,150.384925,12.556469,40.720790,8.929142,778.746339,1589.986016,189.101330,90.508700,100.337000,5152.386968
202206,2812.994674,2747.000827,2257.647538,2451,743.991321,1064.821449,388.263015,144.941270,14.771504,36.265000,8.475931,781.268093,1515.276592,222.139811,81.956368,78.431000,5080.601354
202207,2882.544677,2810.997306,2499.613039,2571,676.948335,1001.910333,381.424279,147.239583,14.840397,39.550355,12.401823,788.199024,1748.402174,193.694832,77.822635,75.231536,5157.665305
202208,2895.767345,2828.691323,2028.880084,2369,671.051118,1001.923306,362.579180,145.321000,20.777520,28.070000,13.409000,753.865882,1714.737106,123.402001,79.410449,88.002098,5002.548662
202209,2852.275123,2790.537032,1877.906362,2365,644.914774,959.830642,271.905802,149.074186,23.127682,29.426000,12.144000,713.504118,1607.846750,147.032721,80.088608,77.702708,4716.597992
202210,2893.312177,2828.515424,1977.003660,2411,605.063555,943.574945,250.978761,151.531405,18.999245,59.645640,30.510413,686.957902,1688.516730,102.818419,95.817002,77.122639,4711.536657
202211,2839.673171,2779.465707,2218.561107,2322,648.491816,955.409601,300.590847,145.872800,15.998317,85.655435,18.810000,672.081994,1601.945600,133.040727,83.809567,67.534949,4729.241653
