"YYYYMM","Indonesia","Australia","South Africa","USA","Russia","Others"
200911,2.977192,2.076559,1.550459,0.174982,0.101759,0.396680
200912,2.731116,2.921118,1.354614,0.184583,0,0.197259
201001,3.030127,1.946743,1.538797,0.106238,0.027500,0.208433
201002,2.799381,1.839467,0.609681,0.156125,0.092514,0.242940
201003,3.049812,1.492644,1.046602,0.084399,0.027467,0.127935
201004,3.894476,1.543748,1.292517,0.082107,0.050139,0.238452
201005,3.998208,2.188687,1.575581,0.203080,0.057014,0.452947
201006,3.082653,2.326161,0.805876,0.371389,0.039523,0.606652
201007,3.109828,2.101060,0.998052,0.126484,0.101220,0.292419
201008,2.770030,1.754664,0.748502,0.238868,0.066491,0.384046
201009,2.656331,1.652232,0.822236,0.076990,0.014211,0.123328
201010,2.425264,1.140219,1.021242,0.237414,0.038000,0.135097
201011,2.424365,0.784039,0.976211,0.056914,0.033000,0.038060
201012,2.024281,1.333193,0.980705,0.168723,0.015642,0.195817
201101,2.480945,1.090244,0.548916,0.175193,0,0.306692
201102,4.048931,0.696494,0.845426,0.104946,0.082083,0.132016
201103,3.029044,0.884587,0.598924,0.104726,0.015638,0.388615
201104,4.439149,1.542834,1.194706,0.255336,0.025000,0.463657
201105,5.888175,1.791761,1.159358,0.189590,0.223941,0.146831
201106,5.485052,2.398089,0.952194,0.184308,0.185450,0.222430
201107,5.459953,3.366083,0.819047,0.294107,0.131130,0.622116
201108,5.405219,1.821385,0.888975,0.335259,0.071404,0.577992
201109,4.525366,2.879570,0.875081,0.299942,0.029523,0.329432
201110,3.983182,2.157477,0.968403,0.131057,0.026396,0.258102
201111,4.112686,2.697188,0.678859,0.058460,0.127966,0.274154
201112,4.447782,2.212347,1.410162,0.496977,0.121640,0.464658
201201,3.059399,2.900274,0.940918,0.261337,0.050176,0.209751
201202,4.240411,2.443152,1.164777,0.377752,0.184801,0.395423
201203,4.924717,1.880477,1.322416,0.238501,0.202101,0.313990
201204,6.186113,2.275605,1.640752,0.382452,0.063934,0.440072
201205,6.606276,2.813352,1.528978,0.562500,0.074963,1.012705
201206,6.578358,3.204154,1.174121,0.597546,0.049190,0.548583
201207,5.266992,2.465528,1.315049,0.539163,0.069510,0.660857
201208,5.885516,3.238257,1.634539,0.921035,0.103436,0.864725
201209,5.743467,2.014858,1.587890,0.647653,0.144231,0.537428
201210,6.441553,2.490118,1.635673,0.425756,0.058252,0.755458
201211,8.337199,2.518109,2.011675,0.547497,0.090255,0.408435
201212,8.651027,1.966506,1.964713,0.476568,0.057055,0.869106
201301,8.338002,3.432426,1.751307,0.537872,0.011000,0.914712
201302,6.913177,1.850768,1.631614,0.444465,0.007555,0.536395
201303,7.444840,2.220740,2.418669,0.306950,0.012500,1.008903
201304,8.332673,2.415461,2.052111,0.281888,0.045000,0.387678
201305,9.023077,2.544590,1.827421,0.309242,0.063845,0.608704
201306,9.893251,2.535282,2.152632,0.424543,0.009900,0.705193
201307,10.186453,2.826780,1.943115,0.221483,0.019800,0.686750
201308,9.535470,2.698427,2.011116,0.269731,0.003300,0.524960
201309,6.510214,2.425582,1.500787,0.138011,0.118325,0.682795
201310,8.712893,3.462639,1.731316,0.331383,0.061990,0.949081
201311,6.724197,3.064401,1.235315,0.507114,0.041800,1.113527
201312,7.999330,3.656850,1.527220,0.224414,0.193583,0.848915
201401,9.216571,3.284466,1.577090,0.423799,0.137010,0.901822
201402,5.678930,2.365324,1.257279,0.229332,0.077164,0.899185
201403,10.085517,3.467443,1.801228,0.290133,0.108013,0.926958
201404,10.348403,3.211439,1.403034,0.559275,0.029150,1.053874
201405,8.935659,2.919072,2.681093,0.334794,0.192143,0.950536
201406,8.574187,4.531435,2.397512,0.495432,0.152184,0.883471
201407,8.760478,3.653247,2.670851,0.325886,0.142914,1.246512
201408,7.675342,3.301003,2.119686,0.482542,0.063492,0.527994
201409,9.202021,4.444447,2.260631,0.372263,0.053980,0.962760
201410,8.098201,3.569697,2.221525,0.273815,0.132215,0.999898
201411,13.758369,4.574216,3.215953,0.140680,0.058195,0.854997
201412,9.851465,4.249276,3.251086,0.193860,0.197858,1.062559
201501,11.637282,4.730291,2.997336,0.357483,0.043090,2.797919
201502,8.330564,4.381407,2.837314,0.336881,0.123000,0.779320
201503,13.043159,4.108484,2.674708,0.397362,0.277120,0.922663
201504,8.795368,3.937854,3.468563,0.498701,0.558174,1.761251
201505,9.912076,3.630429,2.774028,1.020329,0.336477,1.348499
201506,8.900232,4.287054,3.143727,0.421002,0.193939,1.189640
201507,5.346510,4.375983,3.447352,0.438200,0.434273,0.731548
201508,6.496083,3.457903,2.573917,0.560969,0.342655,1.407622
201509,5.762767,4.444995,2.428911,0.262340,0.121500,0.760225
201510,7.281765,4.612919,2.694396,0.460945,0.279161,1.302631
201511,8.274294,3.488572,2.582588,0.136576,0.322150,1.359527
201512,8.115779,3.892948,3.303932,0.410160,0.344996,0.956328
201601,9.629157,3.904885,3.494121,0.601829,0.335906,1.062231
201602,10.352425,5.066420,3.870827,0.771275,0.317628,1.070608
201603,8.647079,3.986393,3.118491,0.232663,0.310506,0.858734
201604,9.399154,3.676252,3.289180,0.618711,0.547654,1.435723
201605,8.659646,3.994819,3.797735,0.505855,0.230499,1.840777
201606,8.303979,4.064443,3.554964,0.522291,0.741680,1.728134
201607,7.602865,3.969335,3.140934,0.247155,0.539243,1.304468
201608,7.744865,4.327024,2.289937,0.419576,0.382284,0.770950
201609,7.611015,4.144758,2.550240,0.316824,0.185489,0.806480
201610,7.411865,3.763565,3.024980,0.151461,0.278694,1.248798
201611,5.519818,3.782041,2.925254,0.345873,0.387900,0.654489
201612,6.792242,4.291603,2.838629,0.371090,0.129774,0.857441
201701,6.213238,3.899703,2.600698,0.352292,0.236491,0.991367
201702,7.313540,3.775151,1.852828,0.465818,0.186167,0.749919
201703,8.439781,3.588399,2.419164,0.779875,0.468512,1.010158
201704,8.753445,3.713079,3.810413,0.952100,0.442389,0.933702
201705,9.217768,2.929062,3.512831,0.893260,0.520234,1.257465
201706,7.579782,3.234837,2.518198,0.719803,0.336160,1.479326
201707,6.019502,3.908948,3.211946,0.483351,0.197716,1.174014
201708,6.319392,4.177779,2.725020,0.676513,0.356471,1.564206
201709,7.747824,4.021769,2.714813,0.586419,0.224453,1.217015
201710,8.204517,3.916152,3.775666,1.066858,0.438750,1.317950
201711,8.682623,3.894161,3.073383,0.965734,0.310982,1.464946
201712,9.482621,3.953513,3.022497,1.508998,0.393158,1.319942
201801,8.004412,4.657530,3.871934,0.969632,0.438034,1.340648
201802,6.686519,3.865400,3.234390,1.240236,0.472960,0.985953
201803,9.115400,4.339908,3.022196,1.979512,0.303000,1.392723
201804,7.385048,4.327424,2.746150,1.324364,0.424684,1.767828
201805,8.302647,3.386325,3.148204,2.137595,0.151550,2.209668
201806,8.580538,4.158391,2.412909,1.381446,0.544866,2.676594
201807,7.499448,4.172423,2.835973,1.501613,0.324522,2.220838
201808,8.062883,4.781754,3.094461,1.309661,0.391114,1.956689
201809,8.909049,4.209269,2.536152,1.179251,0.405627,1.889081
201810,11.035760,4.101785,2.620776,1.181299,0.343932,2.768983
201811,10.429703,4.048131,2.265485,0.794022,0.402349,2.478221
201812,9.345112,4.378020,2.212073,0.719865,0.313582,2.844999
201901,11.673459,3.708508,2.934937,0.700563,0.645999,2.620449
201902,9.872956,3.378054,1.662743,1.798734,0.531818,2.223331
201903,11.809628,3.953572,2.682690,0.953870,0.691749,1.825120
201904,12.622194,3.347091,4.486680,1.467616,0.766090,2.331097
201905,11.429517,4.560063,3.686758,1.478567,0.716948,2.284462
201906,9.111994,3.928368,3.837796,1.526208,1.144246,1.951190
201907,7.599995,3.828447,3.875697,0.913144,0.842157,2.973532
201908,7.657787,4.494058,2.981795,0.497918,0.449250,1.660374
201909,8.248603,3.363429,3.271079,0.666765,0.470075,1.687032
201910,9.792085,3.278059,3.216343,0.772493,0.689451,1.677058
201911,12.027077,3.928564,3.319259,0.861648,0.450717,1.420836
201912,10.550795,4.044119,3.539823,0.792646,0.427925,1.961331
202001,9.229834,4.389533,3.400743,0.784411,1.103070,1.893810
202002,10.768514,3.954798,3.668528,0.823128,0.833393,2.651640
202003,7.756758,3.742315,3.196838,1.573759,0.655612,2.130443
202004,5.258939,3.093365,1.788607,1.119611,0.820342,1.683341
202005,6.779279,2.759540,2.070296,1.369075,0.528793,2.055376
202006,6.268979,1.864652,2.557589,1.396415,0.414737,1.165603
202007,6.389615,2.391569,2.990896,0.419869,0.577543,1.844424
202008,8.963629,3.453622,2.549766,0.467319,0.552741,1.110529
202009,8.080102,4.195624,3.084780,0.466126,0.402474,1.169278
202010,10.185586,5.234241,3.250700,1.096866,0.604400,1.872366
202011,9.888972,4.957801,3.053461,0.915665,0.657628,2.041987
202012,8.931613,6.470638,3.548896,1.003633,0.682716,1.537528
202101,9.578844,7.341023,2.630034,1.658739,0.545587,2.700241
202102,5.595073,6.649366,1.226236,1.064376,0.432521,0.912734
202103,6.828860,6.482502,2.120918,1.225814,0.649159,1.514975
202104,7.019965,6.805309,3.199781,1.275488,0.794961,2.644617
202105,7.627034,6.703869,2.691551,1.624945,0.917839,1.384260
202106,6.155228,7.295282,3.296938,1.784259,0.587973,1.281142
202107,4.594607,5.797937,2.586299,1.501372,0.639860,2.415820
202108,4.602203,5.351729,1.561630,0.678820,0.887023,1.706013
202109,6.568368,4.152162,1.749917,0.706261,0.443232,2.123037
202110,7.287332,7.202103,1.715760,1.201126,0.905452,3.655618
202111,4.804358,6.684091,1.507666,0.741267,0.513093,1.957140
202112,4.754469,4.412937,2.107972,0.844989,0.502773,1.410960
202201,3.089273,4.428821,1.930676,0.856969,0.761799,1.440096
202202,3.630510,4.429279,1.638985,1.126698,0.640829,1.965096
202203,10.648591,4.636962,2.881668,1.295719,0.953222,2.296846
202204,9.520146,4.236987,1.886365,1.217647,0.776613,2.130389
202205,11.240211,4.068556,1.236830,1.419969,0.732536,2.086522
202206,14.998816,4.778611,1.937787,1.167471,1.629535,2.886188
202207,11.865597,3.806265,1.922889,1.288713,1.324572,3.247808
202208,10.799613,3.615438,1.044971,1.235102,2.673061,2.547613
202209,9.538565,3.572469,1.128547,1.170867,2.217316,2.418228
202210,7.235793,3.789792,1.322006,0.777900,2.042596,2.475825
202211,8.198051,3.899148,0.916026,1.274967,2.313913,2.696589
202212,7.122161,3.710864,1.605249,1.044001,2.030094,2.917360
202301,4.384429,3.575306,1.436078,1.084088,1.711639,2.429820
202302,6.404596,5.269901,1.608359,0.760613,1.674821,2.410954
202303,9.011610,3.477142,1.424050,1.251088,2.300460,2.581032
202304,9.220580,2.626665,2.185263,1.439241,2.168630,2.625861
202305,11.781893,3.796805,3.642126,2.700149,2.967056,3.512099
202306,7.448233,5.045633,3.020265,1.599510,2.542121,3.638393
202307,7.411908,4.148649,1.628484,2.010170,1.507266,2.412090
202308,7.607688,3.774823,1.742636,1.685907,1.937105,2.632534
202309,8.724316,2.857975,1.822061,1.643683,1.654471,2.523684
202310,13.221990,4.070824,2.975004,2.114858,1.593907,2.736809
202311,10.838741,3.867069,2.287665,2.232568,1.647017,2.864481
202312,9.915445,3.975473,2.553446,2.321071,1.665305,2.545142
202401,9.613061,3.539387,2.463327,1.283398,1.760010,2.741016
202402,10.157116,3.242807,2.024786,1.529262,2.175833,2.653161
202403,10.387677,3.662459,2.461680,1.761598,1.725445,2.333508
202404,10.392613,3.102769,2.270273,2.067726,2.205709,2.852925
202405,11.805357,3.199601,2.587840,2.807847,1.887169,3.215551
202406,8.849828,3.539496,2.074909,1.540084,2.009931,3.593491
202407,9.307525,3.034340,2.860766,1.642781,2.461482,2.989975
202408,9.115764,2.842099,2.128696,1.755019,2.242608,3.005918
202409,9.115043,2.298519,1.853876,1.380131,1.705860,2.333695
202410,8.868446,2.742799,2.793045,1.457899,1.878825,2.501685
202411,8.420460,2.907179,2.686586,1.440756,1.372077,2.519323
202412,6.104379,1.920398,2.508377,1.229264,1.993855,2.053690
202501,8.437484,3.298931,3.986559,1.625167,2.471263,2.755989
202502,7.340619,2.448878,2.428044,1.394918,1.878933,2.505780
202503,9.293038,1.922361,2.955838,1.802550,1.703225,3.107493
202504,9.039874,3.687443,3.322836,2.439098,2.733519,3.422133
202505,10.298154,2.482353,3.554125,3.008063,3.266056,2.900796
202506,8.156597,2.971314,2.813025,1.857314,2.722258,3.393217
