"YYYYMM","By gencos to CIL","By gencos to SCCL","By gencos to CPSUs","By all to CIL","By all to coalcos"
202002,138.415900,,399.331100,,
202003,143.740500,,365.184400,,
202004,170.006400,,396.580800,196.810500,333.644600
202005,186.243900,,472.106400,206.296800,348.880326
202006,209.189600,,497.809200,225.475900,374.580100
202007,205.707600,,474.776200,220.868480,363.396080
202008,213.517700,,491.074700,229.794500,373.920100
202009,221.268700,,527.861800,234.950640,383.064940
202010,225.818700,,484.827500,241.131800,389.849400
202011,233.352300,,478.295700,254.813400,412.262000
202012,231.560100,,471.763900,244.865900,386.518700
202101,247.286200,,462.291600,263.459200,411.204800
202102,250.135400,,452.819300,263.857300,415.535100
202103,205.644800,,272.372100,218.147000,330.229600
202104,208.376200,,268.778700,222.795100,341.582000
202105,204.454100,,312.857100,219.263900,341.309700
202106,203.833300,,316.440500,219.103800,342.242380
202107,191.129400,,335.369500,206.554900,336.225400
202108,183.303500,,313.567500,195.639800,325.591400
202109,160.284100,,218.153000,168.434300,275.706800
202110,145.985800,,209.126700,162.710700,269.089200
202111,152.432600,,207.966381,165.007800,273.713600
202112,150.884200,,208.563381,167.894300,275.666800
202201,150.970100,,221.562243,161.380000,273.971300
202202,150.373200,,246.707072,164.215200,269.617200
202203,122.724100,,210.603581,133.891500,238.287800
202204,128.190900,,228.630781,145.035400,256.524500
202205,138.252000,,255.282181,151.395900,272.067300
202206,152.524500,,253.676937,164.461700,238.661800
202207,158.241400,,227.910237,172.079600,245.730100
202208,151.433100,,209.500337,164.804400,242.529900
202209,144.614800,,217.409837,159.054500,235.349000
202210,137.223100,,207.191137,150.027100,230.816900
202211,146.311500,27.640000,205.786337,159.629200,241.846200
202212,153.866100,37.932000,219.972937,166.745300,263.841100
202301,168.567500,36.335400,217.257100,180.442300,290.110600
202302,166.294100,37.131500,214.851337,179.185400,285.651500
202303,139.150400,33.254000,172.589537,152.390300,250.655900
202304,160.122800,42.755900,188.760100,172.691300,289.701300
202305,163.301500,54.677700,174.802000,175.431800,280.411500
202306,157.853300,62.920900,187.662100,164.793000,294.850200
202307,155.123000,56.211300,192.349900,168.409400,291.629300
202308,156.552600,61.685400,187.048800,167.820900,299.725200
202309,153.155700,63.650200,189.005000,164.665200,285.696000
202310,166.280000,72.605100,192.888600,180.534800,307.599200
202311,171.859800,81.054100,183.146700,187.180800,321.646100
202312,171.768800,88.734500,185.184100,186.034200,329.623200
202401,177.815500,94.466300,181.428100,196.310100,338.664200
202402,181.593500,102.787500,181.443300,192.575200,349.589700
202403,157.159000,86.770700,,155.876300,295.382900
202404,155.168500,99.195300,,167.350400,321.474200
202405,130.065800,111.218000,,171.625900,338.531500
202406,168.342900,118.979900,,184.835500,351.691800
202407,176.131300,122.493200,,193.342900,360.912500
202408,172.530100,125.235700,,184.006800,361.992900
202409,168.928900,127.978200,,185.755900,365.856400
202410,,,,197.613500,391.027700
202411,,,,200.779100,404.848900
202412,,,,199.618300,399.944700
202501,,,,195.137700,387.620900
202502,,,,197.565900,408.412800
202503,,,,128.815700,336.130600
202504,,,,,
202505,,,,,
202506,,,,,
202507,,,,,
202508,,,,,
202509,,,,,
