"YYYYMM","Small hydro","Wind","Biomass","Solar","Large hydro"
201907,4604.802000,36686.820000,9806.310000,30071.380000,45.399220
201908,4608.807000,36750.420000,9806.310000,30708.850000,45.399220
201909,4610.810000,36930.320000,9806.310000,31101.710000,45.399220
201910,4647.107000,37090.020000,9806.310000,31696.260000,45.399220
201911,4647.560000,37278.680000,9806.310000,32527.550000,45.399220
201912,4671.557000,37505.180000,9861.310000,33730.560000,45.399220
202001,4676.557000,37607.700000,9861.310000,34035.660000,45.399220
202002,4683.155000,37669.250000,9861.310000,34405.670000,45.699220
202003,4683.155000,37693.750000,9875.310000,34627.820000,45.699220
202004,4683.160000,37745.850000,9880.310000,34811.780000,45.699220
202005,4683.155000,37756.350000,9880.310000,34915.360000,45.699220
202006,4688.155000,37829.550000,9880.310000,35122.330000,45.699220
202007,4712.170000,37940.950000,9936.650000,35303.300000,45.699220
202008,4739.965000,37999.550000,10145.920000,35739.350000,45.699220
202009,4739.965000,38124.150000,10145.920000,36050.740000,45.699220
202010,4740.465000,38263.050000,10145.920000,36317.570000,45.699220
202011,4740.465000,38433.550000,10145.920000,36910.530000,45.699220
202012,4750.455000,38624.150000,10145.920000,37464.640000,45.798220
202101,4758.455000,38683.650000,10145.920000,38794.070000,46.059220
202102,4783.055000,38789.150000,10145.920000,39083.710000,46.209220
202103,4786.805000,39247.050000,10145.920000,40085.370000,46.209220
202104,4786.810000,39410.450000,10145.920000,40500.770000,46.209220
202105,4786.805000,39442.250000,10170.920000,41087.630000,46.209220
202106,4793.810000,39486.650000,10170.920000,42335.490000,46.322220
202107,4794.605000,39588.850000,10170.920000,43940.120000,46.367220
202108,4807.805000,39691.150000,10170.610000,45611.910000,46.412220
202109,4809.805000,39870.450000,10175.610000,46275.140000,46.512220
202110,4821.805000,39990.100000,10175.610000,47665.890000,46.512220
202111,4831.345000,40033.600000,10175.610000,48556.640000,46.512220
202112,4839.400000,40082.700000,10175.610000,49346.710000,46.512220
202201,4839.895000,40100.930000,10175.610000,50303.580000,46.512220
202202,4839.895000,40129.780000,10175.610000,50777.770000,46.524520
202203,4848.895000,40357.580000,10205.610000,53996.540000,46.722520
202204,4850.895000,40528.080000,10205.610000,55337.660000,46.722520
202205,4886.395000,40706.380000,10205.610000,56951.330000,46.722520
202206,4887.900000,40788.030000,,57705.720000,46.850170
202207,4887.900000,40893.330000,10205.610000,57973.800000,46.850170
202208,4887.900000,41204.680000,10205.610000,59302.700000,46.850170
202209,4899.500000,41666.080000,10205.610000,60813.930000,46.850170
202210,4923.500000,41843.980000,10205.610000,61624.270000,46.850170
202211,4924.650000,41895.280000,10205.610000,61966.400000,46.850170
202212,4924.650000,41895.280000,10205.610000,63302.520000,46.850170
202301,4939.650000,41983.180000,10209.810000,63893.850000,46.850170
202302,4943.100000,42015.380000,10217.510000,64380.700000,46.850170
202303,4944.300000,42633.130000,10248.010000,66780.360000,46.850170
202304,4944.300000,42868.080000,10248.010000,67077.910000,46.850170
202305,4944.300000,43198.980000,10248.010000,67821.220000,46.850170
202306,4959.050000,43773.080000,10248.010000,70096.830000,46.850170
202307,4982.750000,43940.080000,10248.010000,71145.010000,46.850170
202308,4982.750000,44089.680000,10261.810000,71610,46.850170
202309,4982.750000,44184.630000,10261.810000,71780.740000,46.850170
202310,4986.750000,44292.380000,10261.810000,72018.040000,46.850170
202311,4986.750000,44563.680000,10261.810000,72311.720000,46.880170
202312,4986.750000,44736.240000,10261.810000,73318.490000,46.910170
202401,4994.750000,44969.230000,10261.810000,74306.520000,46.928170
202402,4994.750000,45153.670000,10261.810000,75575.810000,46.928170
202403,5003.250000,45886.510000,10355.350000,81813.600000,46.928170
202404,5005.250000,46161.790000,10355.350000,82637.860000,46.928170
202405,5005.250000,46422.470000,10355.350000,84277.420000,46.928170
202406,5005.250000,46656.370000,10355.350000,85474.310000,46.928170
202407,5036.750000,47075.430000,10355.350000,87207.970000,46.928170
202408,5070.750000,47192.330000,10355.350000,89431.980000,46.928170
202409,5075.750000,47362.920000,10724.460000,90762.120000,46.928170
202410,5077.250000,47716.720000,10728.210000,92119.180000,46.968170
202411,5084.250000,47959.130000,10728.210000,94167.830000,46.968170
202412,5100.550000,48163.160000,10728.210000,97864.720000,46.968170
202501,5100.550000,48365.260000,10743.110000,100329.830000,46.968170
202502,5100.550000,48588.560000,10743.110000,102566.020000,46.968170
202503,5100.550000,50037.820000,10743.110000,105646.490000,47.728160
202504,5102.050000,51058.550000,10743.110000,107945.610000,47.928160
202505,5102.050000,51292.250000,10743.110000,110834.280000,47.928160
202506,5102.050000,51674.850000,10743.110000,116247.830000,49.378160
202507,5108.710000,52140.100000,,119016.540000,49.628160
