"YYYYMM","FOUR WHEELER (INVALID CARRIAGE) | total","FOUR WHEELER (INVALID CARRIAGE) | diesel","FOUR WHEELER (INVALID CARRIAGE) | petrol","FOUR WHEELER (INVALID CARRIAGE) | petrolblend","FOUR WHEELER (INVALID CARRIAGE) | cng only","FOUR WHEELER (INVALID CARRIAGE) | electric(bov)","HEAVY GOODS VEHICLE | total","HEAVY GOODS VEHICLE | diesel","HEAVY GOODS VEHICLE | petrol","HEAVY GOODS VEHICLE | petrolblend","HEAVY GOODS VEHICLE | cng only","HEAVY GOODS VEHICLE | electric(bov)","HEAVY MOTOR VEHICLE | total","HEAVY MOTOR VEHICLE | diesel","HEAVY MOTOR VEHICLE | petrol","HEAVY MOTOR VEHICLE | petrolblend","HEAVY MOTOR VEHICLE | cng only","HEAVY MOTOR VEHICLE | electric(bov)","HEAVY PASSENGER VEHICLE | total","HEAVY PASSENGER VEHICLE | diesel","HEAVY PASSENGER VEHICLE | petrol","HEAVY PASSENGER VEHICLE | petrolblend","HEAVY PASSENGER VEHICLE | cng only","HEAVY PASSENGER VEHICLE | electric(bov)","LIGHT GOODS VEHICLE | total","LIGHT GOODS VEHICLE | diesel","LIGHT GOODS VEHICLE | petrol","LIGHT GOODS VEHICLE | petrolblend","LIGHT GOODS VEHICLE | cng only","LIGHT GOODS VEHICLE | electric(bov)","LIGHT MOTOR VEHICLE | total","LIGHT MOTOR VEHICLE | diesel","LIGHT MOTOR VEHICLE | petrol","LIGHT MOTOR VEHICLE | petrolblend","LIGHT MOTOR VEHICLE | cng only","LIGHT MOTOR VEHICLE | electric(bov)","LIGHT PASSENGER VEHICLE | total","LIGHT PASSENGER VEHICLE | diesel","LIGHT PASSENGER VEHICLE | petrol","LIGHT PASSENGER VEHICLE | petrolblend","LIGHT PASSENGER VEHICLE | cng only","LIGHT PASSENGER VEHICLE | electric(bov)","MEDIUM GOODS VEHICLE | total","MEDIUM GOODS VEHICLE | diesel","MEDIUM GOODS VEHICLE | petrol","MEDIUM GOODS VEHICLE | petrolblend","MEDIUM GOODS VEHICLE | cng only","MEDIUM GOODS VEHICLE | electric(bov)","MEDIUM MOTOR VEHICLE | total","MEDIUM MOTOR VEHICLE | diesel","MEDIUM MOTOR VEHICLE | petrol","MEDIUM MOTOR VEHICLE | petrolblend","MEDIUM MOTOR VEHICLE | cng only","MEDIUM MOTOR VEHICLE | electric(bov)","MEDIUM PASSENGER VEHICLE | total","MEDIUM PASSENGER VEHICLE | diesel","MEDIUM PASSENGER VEHICLE | petrol","MEDIUM PASSENGER VEHICLE | petrolblend","MEDIUM PASSENGER VEHICLE | cng only","MEDIUM PASSENGER VEHICLE | electric(bov)","OTHER THAN MENTIONED ABOVE | total","OTHER THAN MENTIONED ABOVE | diesel","OTHER THAN MENTIONED ABOVE | petrol","OTHER THAN MENTIONED ABOVE | petrolblend","OTHER THAN MENTIONED ABOVE | cng only","OTHER THAN MENTIONED ABOVE | electric(bov)","THREE WHEELER(NT) | total","THREE WHEELER(NT) | diesel","THREE WHEELER(NT) | petrol","THREE WHEELER(NT) | petrolblend","THREE WHEELER(NT) | cng only","THREE WHEELER(NT) | electric(bov)","THREE WHEELER(T) | total","THREE WHEELER(T) | diesel","THREE WHEELER(T) | petrol","THREE WHEELER(T) | petrolblend","THREE WHEELER(T) | cng only","THREE WHEELER(T) | electric(bov)","TWO WHEELER (INVALID CARRIAGE) | total","TWO WHEELER (INVALID CARRIAGE) | diesel","TWO WHEELER (INVALID CARRIAGE) | petrol","TWO WHEELER (INVALID CARRIAGE) | petrolblend","TWO WHEELER (INVALID CARRIAGE) | cng only","TWO WHEELER (INVALID CARRIAGE) | electric(bov)","TWO WHEELER(NT) | total","TWO WHEELER(NT) | diesel","TWO WHEELER(NT) | petrol","TWO WHEELER(NT) | petrolblend","TWO WHEELER(NT) | cng only","TWO WHEELER(NT) | electric(bov)","TWO WHEELER(T) | total","TWO WHEELER(T) | diesel","TWO WHEELER(T) | petrol","TWO WHEELER(T) | petrolblend","TWO WHEELER(T) | cng only","TWO WHEELER(T) | electric(bov)"
202006,89,3,79,7,0,0,493,453,0,0,0,0,167,166,0,0,0,0,23,23,0,0,0,0,19557,16964,956,116,24,0,184821,66899,100431,13571,1,240,3815,2024,1156,580,0,55,263,256,0,0,0,0,1011,958,0,0,0,0,24,24,0,0,0,0,2176,2149,8,0,0,16,778,602,6,1,24,144,12181,4149,702,206,1820,4518,106,0,106,0,0,0,910717,4,909233,2,0,1476,90,0,55,0,0,35
202007,96,8,81,7,0,0,1355,1301,0,0,0,0,265,264,0,0,0,0,26,26,0,0,0,0,28659,24361,2008,275,315,1,256435,109807,124880,17055,2,351,4713,2303,1572,826,1,7,588,508,0,0,63,0,1380,1227,1,0,0,0,64,64,0,0,0,0,2810,2711,15,2,3,78,590,441,3,6,2,137,15532,5802,570,458,2059,5734,671,0,671,0,0,0,1013807,14,1012305,5,0,1483,74,0,69,0,0,5
202008,120,14,94,12,0,0,2617,2591,0,0,16,0,259,259,0,0,0,0,63,62,1,0,0,0,33947,28464,2573,599,507,0,269725,102105,140998,21742,3,364,4802,2729,1249,807,0,7,906,813,0,0,87,0,1194,1118,1,0,0,0,121,121,0,0,0,0,2954,2809,11,1,1,130,713,519,5,14,5,167,17268,6998,851,485,2270,5770,183,0,183,0,0,0,1064613,14,1062478,4,1,2114,71,0,70,0,0,1
202009,131,4,119,8,0,0,5278,5203,0,0,67,0,384,383,0,0,0,0,231,219,0,0,11,1,45106,37744,2952,767,1102,4,288473,106497,153104,22690,0,319,6401,3706,1628,1038,4,17,1875,1598,0,0,254,0,1732,1549,0,0,3,0,274,266,2,0,6,0,4627,4440,12,1,0,172,1173,906,9,27,11,208,24891,10484,1087,1762,2695,7539,597,0,597,0,0,0,1181094,16,1177984,5,0,3089,89,0,89,0,0,0
202010,123,9,106,8,0,0,7486,7324,0,0,137,0,306,304,0,0,0,0,186,169,0,0,9,8,46260,39497,2627,893,1497,1,332831,100037,196495,29564,3,455,6096,3652,1491,944,1,6,2236,1854,0,0,352,0,1803,1444,0,0,0,0,211,198,3,0,10,0,3855,3760,12,2,4,72,2638,2262,9,34,78,250,22987,8919,890,1261,2912,7696,498,0,497,0,0,0,1232547,18,1229992,2,0,2531,556,0,136,0,0,420
202011,159,13,135,10,0,0,9001,8806,0,0,186,0,346,346,0,0,0,0,235,193,0,0,34,8,48590,41898,2855,793,1617,1,377465,105832,232000,33013,2,508,6809,3922,1722,1099,1,60,2669,2105,0,0,516,0,1535,1208,0,0,0,0,277,232,2,0,17,26,3768,3682,19,10,2,54,1819,1360,7,27,180,235,24996,9580,870,1337,3571,8302,432,0,432,0,0,0,1641985,14,1638071,2,0,3889,489,0,188,0,0,301
202012,161,15,130,16,0,0,11904,11719,0,0,182,0,396,395,0,0,0,0,225,185,1,0,29,10,49089,41979,2987,833,1351,3,374058,121834,214885,30851,0,500,6216,3366,1753,1070,3,23,2919,2303,0,0,558,0,2057,1776,0,0,0,0,225,200,2,0,23,0,4946,4798,16,1,4,125,1687,1290,5,28,41,311,28702,10989,985,2812,2669,9931,1078,0,1077,0,0,1,1633002,38,1628391,7,1,4563,757,0,373,0,0,384
202101,173,10,141,22,0,0,15014,14711,0,0,297,0,367,366,0,0,0,0,418,303,2,0,98,15,55079,38927,11609,587,2216,5,374952,114369,218270,36086,3,579,7133,3812,1869,1374,1,73,3647,2726,0,0,869,0,1911,1722,0,0,0,0,414,346,2,0,42,24,4876,4782,12,0,5,75,2116,1669,6,64,53,317,32097,11540,872,5509,2483,10614,832,1,831,0,0,0,1360867,33,1355861,7,0,4959,905,0,545,0,0,360
202102,197,21,159,17,0,0,17133,16762,0,0,359,0,462,462,0,0,0,0,437,288,1,0,15,133,47265,37275,4592,344,3216,11,339461,111323,189617,32676,3,586,7581,4013,1975,1556,1,31,3898,3062,0,0,808,0,1803,1592,2,0,1,0,465,383,0,0,29,53,5571,5430,20,5,3,113,2068,1605,5,70,83,303,33981,10106,844,3452,6441,12247,756,0,756,0,0,0,1239528,18,1233060,1,0,6449,793,0,661,0,0,132
202103,218,11,192,15,0,0,19665,19243,0,0,383,0,650,649,0,0,0,0,549,496,0,0,11,42,52547,40936,4733,340,4217,22,380525,127598,208795,36459,4,797,8982,4228,2276,2382,6,87,4890,3787,0,0,1069,0,2238,2113,0,0,0,0,587,494,0,0,40,53,7618,7391,21,10,1,193,2212,1649,2,65,106,378,38908,10902,938,3973,7774,14559,926,0,924,0,0,2,1349877,21,1337923,6,0,11926,698,1,662,0,0,35
202104,162,21,130,10,0,0,16455,16003,0,0,441,0,385,385,0,0,0,0,716,556,0,0,11,149,35745,27710,3241,244,2973,447,259014,76092,156781,22290,2,609,6490,3539,1625,1298,1,24,3605,2748,0,0,838,0,1101,1047,0,0,0,0,345,311,2,0,26,6,3700,3549,13,0,1,132,1401,1166,6,44,72,98,21838,6512,847,1194,4119,7854,557,0,557,0,0,0,957517,6,951845,3,0,5660,413,0,379,0,0,34
202105,98,9,80,8,0,1,6446,6316,0,0,113,0,148,148,0,0,0,0,268,256,0,0,1,11,11972,9949,887,70,877,5,107735,34748,60541,11363,0,255,3089,2123,484,478,2,1,835,703,0,0,127,0,447,425,0,0,0,0,205,128,2,0,2,73,1113,1047,3,0,0,61,296,259,1,11,8,3,5209,1355,309,174,1112,1944,60,0,60,0,0,0,458169,6,456920,0,0,1243,19,0,19,0,0,0
202106,197,23,165,9,0,0,9884,9497,0,0,374,0,320,319,0,0,0,0,493,430,0,0,22,41,29837,23808,2065,166,2761,225,259412,97031,138067,20587,2,799,6131,3909,1057,1136,6,17,2011,1459,0,0,547,0,1125,1060,0,0,0,0,428,327,0,0,72,29,2955,2728,14,12,0,195,810,499,0,13,21,268,15136,4283,439,590,3281,6070,295,0,295,0,0,0,1075190,20,1070495,4,0,4671,111,0,111,0,0,0
202107,205,24,169,12,0,0,11540,10890,0,0,619,0,344,343,0,0,0,0,616,499,1,0,77,39,44701,34770,3362,268,5410,143,372960,142583,186210,37708,3,1046,8662,4863,1925,1791,3,71,2759,1950,0,0,802,0,1467,1335,1,0,0,0,456,366,3,0,77,10,3853,3507,30,13,6,292,1145,728,4,25,59,316,28569,7107,633,1129,6841,11542,1752,0,1751,0,0,1,1289460,26,1274776,7,0,14651,276,0,257,0,0,19
202108,179,18,138,23,0,0,12761,11905,0,0,833,0,325,323,0,0,0,0,628,526,2,0,23,77,43766,32363,3385,288,6424,98,351329,128266,180960,35586,6,1083,7372,4159,1690,1491,6,21,2885,1836,0,0,1042,0,1346,1203,0,0,0,0,334,310,1,0,20,3,3695,3477,15,17,7,167,1452,872,3,50,76,424,30996,6534,706,1644,7830,12885,863,0,863,0,0,0,1102402,19,1086372,4,0,16007,339,0,300,0,0,39
202109,195,22,146,26,1,0,15149,14097,1,0,994,0,480,478,0,0,0,0,620,523,0,0,18,79,43570,30179,4127,467,7770,39,309590,102125,172527,28192,11,1182,7499,4329,1935,1088,5,140,3659,2176,0,0,1469,0,1714,1481,0,0,0,0,370,316,3,0,51,0,5114,4893,19,34,4,160,1747,886,6,66,130,631,37381,6400,726,1991,10441,16333,978,0,976,1,0,1,1031020,14,1013272,3,0,17731,672,0,372,0,0,300
202110,146,18,117,11,0,0,16281,15108,0,0,1141,0,412,410,0,0,0,0,603,486,0,0,34,83,42752,28798,5399,444,7046,41,292442,88409,169095,27911,5,1256,7477,4795,1431,1113,8,122,3539,2003,0,0,1507,0,1345,988,0,0,0,0,394,341,0,0,52,1,4006,3816,23,21,15,128,2356,1546,2,82,224,488,39780,5928,759,1902,11912,18009,1325,0,1325,0,0,0,1135304,12,1114744,1,0,20547,937,0,672,0,0,265
202111,179,21,135,22,0,0,15400,14164,0,0,1197,0,376,373,0,0,0,0,387,278,0,0,75,34,45251,31208,4930,380,7562,52,308966,93765,182225,26756,5,1602,7763,4376,1514,1824,14,27,3468,1808,0,0,1643,0,1261,1053,0,0,0,0,386,348,0,0,38,0,3499,3302,19,39,8,129,1928,929,3,100,218,665,41291,6633,744,2177,12057,18025,923,0,921,0,0,2,1597564,22,1573161,7,0,24373,790,0,637,0,0,153
202112,164,16,135,10,0,2,15865,14646,0,0,1166,0,507,506,0,0,0,0,1044,670,1,0,154,219,45262,31835,4533,318,7154,27,331052,114774,182250,26293,5,2476,8267,3983,1880,2239,14,140,3528,1787,0,0,1709,0,1218,1034,0,0,1,0,531,454,0,0,75,2,3708,3520,23,34,4,125,1788,786,2,68,173,748,45350,6151,754,2168,11522,23370,673,0,673,0,0,0,1300185,27,1274023,6,0,26128,1712,0,1218,0,0,494
202201,178,18,140,18,0,1,20658,19311,0,0,1285,0,508,496,0,0,0,0,981,754,0,0,101,126,48746,34750,4883,338,7705,28,337628,107292,189517,34731,9,1354,9471,4181,2097,2972,11,204,3884,2271,0,0,1572,0,1131,966,0,0,0,0,525,402,0,0,121,2,3483,3358,7,33,4,79,1743,770,5,80,253,630,41365,5596,768,2348,12498,18918,669,0,669,0,0,0,1151735,26,1122211,5,0,29493,1045,0,416,0,0,629
202202,220,20,178,21,0,1,20176,18922,0,0,1196,0,443,442,0,0,1,0,1102,734,0,0,235,133,45531,33295,4231,279,6554,24,309572,100815,164734,36866,5,2305,8381,3502,1979,2746,6,144,3475,2183,0,0,1262,0,1110,985,0,0,1,0,580,451,0,0,129,0,4193,4053,10,26,6,96,1758,873,3,91,217,569,39594,5307,789,2142,11287,19052,1158,1,1157,0,0,0,1103314,17,1068220,3,0,35074,1075,0,440,0,0,635
202203,248,28,186,33,0,0,24958,23282,0,0,1620,0,532,531,0,0,0,0,879,655,0,0,147,77,55597,40634,5151,388,8023,47,356384,126453,181662,39100,7,3657,11639,5776,2207,3563,23,66,3749,2329,0,0,1398,0,1580,1414,0,0,4,0,696,568,1,0,126,1,5451,5212,11,5,4,217,2064,875,4,94,325,759,49062,6558,861,2891,13624,23847,2039,0,2039,0,0,0,1285341,19,1231070,6,0,54245,842,0,687,0,0,155
202204,187,28,131,26,0,1,27107,25199,0,0,1867,0,510,510,0,0,0,0,1037,664,0,0,208,165,50324,36745,4125,287,8023,56,328506,105759,180950,35982,16,1803,11700,5595,2272,3317,64,450,4013,2458,0,0,1540,0,1152,1026,0,0,0,0,993,838,0,0,155,0,4239,4075,15,9,5,133,1727,807,6,90,243,578,43126,5752,729,2842,11735,21048,2261,0,2259,0,0,2,1325096,15,1272383,6,0,52692,1629,0,1064,0,0,565
202205,200,21,146,31,0,2,21742,20452,0,1,1214,0,480,479,0,0,0,0,874,562,1,0,146,165,44776,32915,3891,249,6442,44,336993,109675,178318,43041,8,2282,13110,6239,2422,3681,83,679,3036,2052,0,0,974,0,1116,1035,0,0,0,0,1160,855,0,0,305,0,3839,3596,9,11,1,215,1907,734,2,48,333,787,42238,5320,736,2119,9955,23312,1501,0,1501,0,0,0,1364418,28,1322342,2,0,42046,1572,0,1211,0,0,361
202206,219,11,177,30,0,1,19718,18849,0,0,828,0,483,480,0,0,1,0,924,608,0,0,171,145,47324,36026,3450,212,6192,68,336986,114637,174506,40605,17,2935,14346,7275,2385,4302,106,276,2890,2064,0,0,812,0,1098,968,0,0,3,0,2167,1768,0,0,399,0,3853,3633,10,14,2,192,2200,965,0,27,265,941,46777,5459,559,1756,11084,26905,1062,0,1060,0,0,2,1225114,19,1181187,1,0,43906,1759,0,1296,0,0,463
202207,207,27,159,21,0,0,18082,17417,1,0,567,0,454,451,0,0,0,0,1263,835,0,0,221,207,48442,37409,3504,165,6093,41,331359,120370,165031,38781,15,2956,15567,7157,2567,5203,182,457,2692,2020,0,0,661,0,969,837,1,0,0,0,2154,1808,0,0,346,0,3289,3150,10,13,5,111,2374,1016,0,39,281,1033,51333,5595,719,1627,13051,29456,1368,0,1365,0,0,3,1134187,27,1087719,3,0,46438,1233,0,1066,0,0,167
202208,233,26,178,28,0,1,19170,18502,0,0,588,0,391,382,0,0,0,0,1198,766,0,0,210,222,47176,36194,3695,199,5867,51,343642,113040,178890,45448,3,2913,16635,7810,2623,5615,129,452,2785,2129,0,0,645,0,856,732,1,0,0,0,1943,1608,0,0,330,5,3120,3028,11,6,1,74,2693,1139,1,30,487,1032,57066,5696,823,1311,16067,32020,1013,0,1012,0,0,1,1177185,17,1125240,2,0,51924,1632,0,1362,0,0,270
202209,218,20,178,20,0,0,21091,20497,0,0,491,12,427,424,0,0,0,0,1125,769,0,0,154,202,49881,38821,3760,240,6060,46,320663,104693,167866,40911,8,3225,16546,6615,2923,6570,121,317,3043,2465,0,0,566,0,1176,841,1,0,0,0,1685,1399,0,0,284,2,4206,3786,12,11,0,392,2900,998,0,35,600,1264,64849,6062,832,1817,18584,36135,660,0,659,0,0,1,1073974,0,1020966,0,0,53008,1317,0,1119,0,0,198
202210,247,24,191,30,0,2,22398,21941,0,0,410,4,506,503,0,0,0,0,1170,810,0,0,119,241,51465,40139,3612,243,6639,40,400387,118266,213698,61365,3,3300,15556,5006,2874,6967,100,607,3021,2487,0,0,519,0,1222,783,0,0,0,0,1301,1100,0,0,201,0,4153,4028,2,12,1,109,2997,1184,1,19,694,1094,67686,6684,692,1774,22170,34795,497,0,496,0,0,1,1716492,0,1639875,0,0,76617,2126,0,1618,0,0,508
202211,289,33,229,26,0,1,24381,23885,0,0,405,0,494,492,0,0,1,0,1362,1124,0,0,121,117,57539,44222,4334,184,6904,57,366475,126346,180129,52621,6,3545,15677,4505,2892,7767,87,424,3189,2730,0,0,443,0,1342,989,1,0,1,0,1290,1132,0,0,158,0,5057,4822,24,17,2,191,3007,804,4,26,489,1683,76445,8100,1009,2322,24474,38720,571,0,570,0,0,1,1851245,1,1774559,0,0,76684,2276,0,2262,0,0,14
202212,247,35,185,27,0,0,20618,20180,0,0,368,0,539,537,0,0,0,0,1127,918,0,0,73,136,48162,36449,4159,196,5433,53,345122,120637,170542,47367,4,2909,14821,3751,2743,7330,78,916,2529,2181,0,0,343,0,1163,936,2,0,0,0,1254,1047,0,0,192,15,5884,5178,18,10,1,673,2602,553,0,29,422,1597,65078,6981,988,1741,20014,33946,836,0,836,0,0,0,1133413,0,1068960,1,0,64452,2094,0,1956,0,0,138
202301,231,25,182,23,0,1,25998,25318,0,0,586,0,474,465,0,0,0,0,1286,984,1,0,205,96,55316,41633,5054,199,6941,57,400102,125772,205755,62492,5,2959,17598,4684,3214,9014,216,470,3085,2689,0,0,384,0,1074,878,0,0,0,0,1285,1113,0,0,171,1,5182,4981,18,7,1,169,2092,329,3,34,324,1400,67112,7486,1045,1984,22018,32907,666,0,665,0,0,1,1267298,0,1202788,0,0,64510,1037,0,896,0,0,141
202302,247,24,191,31,0,1,25338,24816,0,0,418,0,443,442,0,1,0,0,1330,1154,1,0,88,87,50510,38726,4637,226,5222,94,343900,113723,169972,52562,7,4348,14858,4401,4182,5743,137,394,2984,2640,0,0,334,0,979,860,0,0,0,0,1416,1281,0,0,124,11,6074,5991,5,1,1,76,726,233,3,11,136,338,73349,8491,1228,1622,24375,35658,1477,0,1474,0,0,3,1269153,0,1202526,732,0,65895,1025,0,892,3,0,130
202303,277,32,216,27,0,2,30737,29938,0,0,464,183,557,556,0,0,0,1,2178,1921,1,0,182,74,53877,41734,4730,230,5806,78,393385,128452,194585,59913,4,7080,22363,6139,5604,8803,140,1677,3277,2908,0,0,350,0,1053,951,0,0,0,1,2239,1995,0,0,231,13,7031,7013,8,0,0,9,207,90,5,5,48,54,86681,10365,1453,1526,26428,45176,4002,0,3993,0,0,9,1447606,0,1348836,12643,0,86127,1363,0,1202,127,0,34
202304,261,25,206,26,0,4,29718,29101,0,0,489,46,560,558,0,0,0,1,2039,1692,1,0,262,84,46312,35604,3364,293,5730,135,317038,98297,161172,49288,9,5234,20261,6481,4716,8328,113,622,3456,3074,0,0,376,0,794,706,0,0,1,0,2528,2263,0,0,265,0,5331,5306,19,0,0,1,53,10,1,2,24,16,70876,7296,959,1006,22054,37993,1972,1,1969,0,0,2,1229012,0,1144550,17949,0,66512,1224,0,1061,163,0,0
202305,278,22,210,39,0,7,23730,23141,2,0,448,0,573,571,0,0,0,0,2247,1771,1,0,213,262,44402,33633,3388,300,5297,161,344046,116495,166963,51532,4,6526,22362,6811,4939,9646,97,868,2935,2557,0,0,362,0,909,833,2,1,0,0,2599,2343,1,0,243,12,5359,5331,27,0,1,0,187,94,3,1,74,14,79244,7190,1125,684,23619,44596,1954,0,1938,0,0,16,1491514,0,1361510,25424,0,104580,1319,0,963,181,0,175
202306,328,35,253,37,0,3,20161,19704,0,0,319,2,542,539,0,0,0,0,1701,1424,0,0,77,200,44838,33568,3530,361,5182,215,370698,141194,163369,56438,3,6903,25059,8162,5163,10587,135,1011,2411,2221,0,0,181,0,864,810,1,0,0,0,3225,2937,1,0,287,0,7566,7530,29,0,0,0,623,412,3,4,171,24,86393,6559,1091,358,28198,48004,1626,0,1626,0,0,0,1312042,0,1234370,31684,0,45988,1142,0,978,161,0,3
202307,290,39,208,42,0,1,18908,18557,0,0,260,10,437,437,0,0,0,0,1367,1053,1,0,180,133,45513,34499,3679,430,5242,209,345427,130994,152556,52502,6,6583,27012,8319,5981,11656,207,849,2767,2512,0,0,244,0,732,619,0,1,1,0,3025,2719,2,0,302,2,4161,4135,26,0,0,0,231,121,3,1,88,14,93919,7797,1148,209,28729,53723,2092,0,2092,0,0,0,1226306,0,1136283,35976,0,54047,1037,0,668,184,0,185
202308,262,43,186,31,0,2,20567,20010,0,0,343,12,413,412,0,0,1,0,1411,1091,0,0,73,247,46420,34802,3809,466,5555,252,357132,117959,171335,59044,3,5975,30210,7933,7276,14049,239,713,3060,2772,0,0,285,0,734,633,0,0,0,0,2379,2090,0,0,267,22,4475,4445,27,0,2,0,96,14,31,0,36,11,99807,8628,1077,143,30736,56735,2192,0,2189,1,0,2,1253043,0,1146588,44232,0,62223,944,0,510,304,0,130
202309,272,39,196,33,0,4,23175,22686,0,0,344,38,448,443,1,0,0,0,1797,1565,0,0,39,193,48684,36795,4095,530,5793,252,354211,100863,179599,65597,6,5426,27684,7619,6345,12963,160,597,3055,2731,0,0,318,0,866,731,1,0,0,0,2033,1804,1,0,163,65,5334,5310,22,0,0,0,237,103,3,0,112,14,102185,9122,1200,113,31762,57430,2622,0,2619,2,0,1,1308636,0,1199831,45953,0,62852,2378,0,1134,381,0,863
