"Date (dd/mm/yyyy)","Petrol: Delhi (Rs./litre)","Petrol: Mumbai (Rs./litre)","Petrol: Chennai (Rs./litre)","Petrol: Kolkata (Rs./litre)","Diesel: Delhi (Rs./litre)","Diesel: Mumbai (Rs./litre)","Diesel: Chennai (Rs./litre)","Diesel: Kolkata (Rs./litre)"
"01/04/2009",40.620000,,,,30.860000,,,
"02/07/2009",44.630000,,,,32.870000,,,
"27/10/2009",44.720000,,,,32.920000,,,
"27/02/2010",47.430000,,,,35.470000,,,
"01/04/2010",47.930000,,,,38.100000,,,
"26/06/2010",51.430000,,,,40.100000,,,
"01/07/2010",51.450000,,,,40.120000,,,
"20/07/2010",51.505000,,,,37.620000,,,
"08/09/2010",51.560000,,,,37.710000,,,
"21/09/2010",51.830000,,,,37.710000,,,
"17/10/2010",52.550000,,,,37.710000,,,
"02/11/2010",52.590000,,,,37.750000,,,
"09/11/2010",52.910000,,,,37.750000,,,
"16/12/2010",55.870000,,,,37.750000,,,
"15/01/2011",58.370000,,,,37.750000,,,
"01/04/2011",58.370000,,,,37.750000,,,
"15/05/2011",63.370000,,,,39.435000,,,
"25/06/2011",63.535000,,,,41.120000,,,
"01/07/2011",63.700000,,,,41.290000,,,
"16/09/2011",66.840000,,,,41.100000,,,
"01/10/2011",67.740000,,,,40.910000,,,
"04/11/2011",68.640000,,,,40.910000,,,
"16/11/2011",66.420000,,,,40.910000,,,
"01/12/2011",65.640000,,,,40.910000,,,
"01/04/2012",65.640000,,,,40.910000,,,
"24/05/2012",73.180000,,,,40.910000,,,
"03/06/2012",71.160000,,,,40.910000,,,
"18/06/2012",70.240000,,,,41.290000,,,
"29/06/2012",67.780000,,,,41.290000,,,
"24/07/2012",68.480000,,,,41.290000,,,
"01/08/2012",68.460000,,,,41.320000,,,
"14/09/2012",68.180000,,,,46.950000,,,
"09/10/2012",67.900000,,,,47.050000,,,
"27/10/2012",68.190000,,,,47.150000,,,
"16/11/2012",67.240000,,,,47.150000,,,
"16/01/2013",67.560000,,,,47.150000,,,
"18/01/2013",67.260000,,,,47.650000,,,
"16/02/2013",69.060000,,,,48.160000,,,
"02/03/2013",70.740000,,,,48.160000,,,
"16/03/2013",68.340000,,,,48.160000,,,
"23/03/2013",68.325000,,,,48.670000,,,
"01/04/2013",68.310000,,,,48.630000,,,
"02/04/2013",67.290000,,,,48.650000,,,
"16/04/2013",66.090000,,,,48.670000,,,
"01/05/2013",63.090000,,,,49.180000,,,
"11/05/2013",63.540000,,,,49.690000,,,
"01/06/2013",63.990000,,,,50.250000,,,
"16/06/2013",66.390000,,,,50.250000,,,
"29/06/2013",68.580000,,,,50.250000,,,
"01/07/2013",68.580000,,,,50.260000,,,
"02/07/2013",68.580000,,,,50.840000,,,
"14/07/2013",70.440000,,,,51.120000,,,
"01/08/2013",71.280000,,,,51.400000,,,
"01/09/2013",74.100000,,,,51.970000,,,
"14/09/2013",76.060000,,,,52.255000,,,
"01/10/2013",72.400000,,,,52.540000,,,
"01/11/2013",71.020000,,,,53.100000,,,
"01/12/2013",71.270000,,,,53.670000,,,
"21/12/2013",71.520000,,,,53.780000,,,
"04/01/2014",72.430000,,,,54.340000,,,
"01/02/2014",72.795000,,,,54.910000,,,
"01/03/2014",73.160000,,,,55.480000,,,
"01/04/2014",72.260000,,,,55.490000,,,
"16/04/2014",71.410000,,,,56.100000,,,
"16/05/2014",71.410000,,,,56.710000,,,
"01/06/2014",71.410000,,,,57.280000,,,
"07/06/2014",71.510000,,,,57.280000,,,
"25/06/2014",71.560000,,,,57.280000,,,
"01/07/2014",73.600000,,,,57.840000,,,
"01/08/2014",72.510000,,,,58.400000,,,
"16/08/2014",70.330000,,,,58.685000,,,
"31/08/2014",68.510000,,,,58.970000,,,
"01/10/2014",67.860000,,,,58.970000,,,
"15/10/2014",66.650000,,,,58.970000,,,
"19/10/2014",65.445000,,,,55.600000,,,
"01/11/2014",64.240000,,,,53.350000,,,
"01/12/2014",63.330000,,,,52.510000,,,
"16/12/2014",61.330000,,,,50.510000,,,
"17/01/2015",58.910000,,,,48.260000,,,
"04/02/2015",56.490000,,,,46.010000,,,
"16/02/2015",57.310000,,,,46.620000,,,
"01/03/2015",60.490000,,,,49.710000,,,
"01/04/2015",60.490000,,,,49.710000,,,
"02/04/2015",60,,,,48.500000,,,
"16/04/2015",59.200000,,,,47.200000,,,
"01/05/2015",63.160000,,,,49.570000,,,
"16/05/2015",66.290000,,,,52.280000,,,
"16/06/2015",66.930000,,,,50.930000,,,
"01/07/2015",66.620000,,,,50.220000,,,
"16/07/2015",66.900000,,,,49.720000,,,
"01/08/2015",64.470000,,,,46.120000,,,
"15/08/2015",63.200000,,,,44.950000,,,
"01/09/2015",61.200000,,,,44.450000,,,
"01/10/2015",61.200000,,,,44.950000,,,
"16/10/2015",61.200000,,,,45.900000,,,
"01/11/2015",60.700000,,,,45.930000,,,
"16/11/2015",61.060000,,,,46.800000,,,
"01/12/2015",60.480000,,,,46.550000,,,
"16/12/2015",59.980000,,,,46.090000,,,
"01/01/2016",59.350000,,,,45.030000,,,
"16/01/2016",59.030000,,,,44.180000,,,
"19/01/2016",59.990000,,,,44.710000,,,
"01/02/2016",59.950000,,,,44.680000,,,
"18/02/2016",59.630000,,,,44.960000,,,
"01/03/2016",56.610000,,,,46.430000,,,
"17/03/2016",59.680000,,,,48.330000,,,
"01/04/2016",59.680000,,,,48.330000,,,
"05/04/2016",61.870000,,,,49.310000,,,
"16/04/2016",61.130000,,,,48.010000,,,
"01/05/2016",62.190000,,,,50.950000,,,
"07/05/2016",62.605000,,,,50.410000,,,
"17/05/2016",63.020000,,,,51.670000,,,
"01/06/2016",65.600000,,,,53.930000,,,
"16/06/2016",65.650000,,,,55.190000,,,
"01/07/2016",64.760000,,,,54.700000,,,
"16/07/2016",62.510000,,,,54.280000,,,
"01/08/2016",61.090000,,,,52.270000,,,
"16/08/2016",60.090000,,,,50.270000,,,
"01/09/2016",63.470000,,,,52.940000,,,
"16/09/2016",64.210000,,,,52.590000,,,
"01/10/2016",64.580000,,,,52.510000,,,
"05/10/2016",64.720000,,,,52.610000,,,
"16/10/2016",66.450000,,,,55.380000,,,
"06/11/2016",67.620000,,,,56.410000,,,
"16/11/2016",65.930000,,,,54.710000,,,
"01/12/2016",66.100000,,,,54.570000,,,
"17/12/2016",68.940000,,,,56.680000,,,
"02/01/2017",70.600000,,,,57.820000,,,
"16/01/2017",71.140000,,,,59.020000,,,
"01/04/2017",66.290000,,,,55.610000,,,
"16/04/2017",68.070000,,,,56.830000,,,
"01/05/2017",68.090000,,,,57.350000,,,
"16/05/2017",65.320000,,,,54.900000,,,
"01/06/2017",66.910000,,,,55.940000,,,
"16/06/2017",65.480000,76.700000,68.020000,68.030000,54.490000,59.900000,57.410000,56.650000
"17/06/2017",65.230000,76.460000,67.760000,67.840000,54.320000,59.730000,57.230000,56.480000
"18/06/2017",64.910000,76.140000,67.420000,67.580000,54.140000,59.530000,57.030000,56.290000
"19/06/2017",64.650000,75.880000,67.140000,67.370000,54.010000,59.390000,56.890000,56.160000
"20/06/2017",64.550000,75.780000,67.040000,67.300000,53.960000,59.340000,56.850000,56.120000
"21/06/2017",64.550000,75.790000,67.040000,67.300000,53.960000,59.340000,56.840000,56.120000
"22/06/2017",64.440000,75.680000,66.930000,67.210000,53.940000,59.320000,56.820000,56.090000
"23/06/2017",64.230000,75.460000,66.700000,67.040000,53.850000,59.230000,56.730000,56.010000
"24/06/2017",63.990000,75.230000,66.450000,66.860000,53.760000,59.130000,56.630000,55.920000
"25/06/2017",63.710000,74.950000,66.150000,66.640000,53.610000,58.970000,56.470000,55.770000
"26/06/2017",63.550000,74.790000,65.980000,66.510000,53.530000,58.880000,56.380000,55.690000
"27/06/2017",63.460000,74.710000,65.890000,66.440000,53.530000,58.890000,56.380000,55.690000
"28/06/2017",63.460000,74.710000,65.900000,66.450000,53.530000,58.880000,56.380000,55.680000
"29/06/2017",63.470000,74.710000,65.900000,66.450000,53.530000,58.880000,56.380000,55.680000
"30/06/2017",63.310000,74.560000,65.740000,66.320000,53.460000,58.800000,56.300000,55.610000
"01/07/2017",63.090000,74.300000,65.460000,66.140000,53.330000,58.630000,56.130000,55.620000
"02/07/2017",63.060000,74.280000,65.440000,66.120000,53.360000,58.670000,56.170000,55.660000
"03/07/2017",63.130000,74.350000,65.510000,66.180000,53.470000,58.790000,56.290000,55.770000
"04/07/2017",63.080000,74.300000,65.460000,66.140000,53.440000,58.760000,56.250000,55.740000
"05/07/2017",63.080000,74.300000,65.460000,66.140000,53.440000,58.760000,56.250000,55.740000
"06/07/2017",63.190000,74.410000,65.580000,66.230000,53.610000,58.930000,56.430000,55.900000
"07/07/2017",63.330000,74.540000,65.720000,66.330000,53.820000,59.150000,56.650000,56.110000
"08/07/2017",63.460000,74.670000,65.860000,66.440000,54.060000,59.410000,56.910000,56.350000
"09/07/2017",63.650000,74.860000,66.050000,66.580000,54.320000,59.690000,57.190000,56.610000
"10/07/2017",63.830000,75.040000,66.250000,66.730000,54.550000,59.930000,57.440000,56.850000
"11/07/2017",63.930000,73.270000,66.380000,67.400000,54.740000,58.270000,57.720000,57.490000
"12/07/2017",63.930000,73.270000,66.380000,67.400000,54.740000,58.270000,57.720000,57.490000
"13/07/2017",63.910000,73.250000,66.360000,67.380000,54.700000,58.220000,57.670000,57.440000
"14/07/2017",63.890000,73.230000,66.340000,67.370000,54.660000,58.190000,57.630000,57.410000
"15/07/2017",64.030000,73.370000,66.490000,67.480000,54.850000,58.390000,57.830000,57.590000
"16/07/2017",64.110000,73.450000,66.570000,67.550000,54.930000,58.470000,57.920000,57.670000
"17/07/2017",64.150000,73.490000,66.610000,67.580000,54.990000,58.540000,57.980000,57.740000
"18/07/2017",64.210000,73.540000,66.670000,67.620000,55.040000,58.590000,58.040000,57.790000
"19/07/2017",64.210000,73.540000,66.670000,67.620000,55.040000,58.590000,58.040000,57.780000
"20/07/2017",64.250000,73.590000,66.720000,67.660000,55.050000,58.600000,58.050000,57.800000
"21/07/2017",64.280000,73.610000,66.750000,67.680000,55.020000,58.570000,58.020000,57.770000
"22/07/2017",64.300000,73.630000,66.770000,67.690000,54.950000,58.490000,57.940000,57.690000
"23/07/2017",64.400000,73.740000,66.880000,67.770000,54.930000,58.480000,57.920000,57.680000
"24/07/2017",64.530000,73.870000,67.010000,67.880000,54.940000,58.480000,57.930000,57.680000
"25/07/2017",64.570000,73.900000,67.050000,67.910000,54.950000,58.500000,57.940000,57.700000
"26/07/2017",64.570000,73.910000,67.060000,67.910000,54.950000,58.490000,57.940000,57.690000
"27/07/2017",64.590000,73.920000,67.070000,67.920000,54.940000,58.490000,57.930000,57.690000
"28/07/2017",64.690000,74.020000,67.180000,68,55.030000,58.580000,58.020000,57.770000
"29/07/2017",64.870000,74.200000,67.370000,68.140000,55.190000,58.750000,58.200000,57.940000
"30/07/2017",65,74.330000,67.510000,68.240000,55.310000,58.870000,58.320000,58.050000
"31/07/2017",65.260000,74.580000,67.780000,68.450000,55.500000,59.080000,58.530000,58.250000
"01/08/2017",65.400000,74.560000,67.710000,68.560000,55.580000,59.040000,58.490000,58.230000
"02/08/2017",65.470000,74.630000,67.780000,68.610000,55.640000,59.100000,58.550000,58.290000
"03/08/2017",65.690000,74.850000,68.020000,68.780000,55.850000,59.320000,58.770000,58.500000
"04/08/2017",66,75.150000,68.340000,69.030000,56.100000,59.590000,59.040000,58.750000
"05/08/2017",66.280000,75.430000,68.640000,69.240000,56.330000,59.830000,59.280000,58.980000
"06/08/2017",66.510000,75.660000,68.880000,69.430000,56.540000,60.060000,59.510000,59.190000
"07/08/2017",66.660000,75.800000,69.030000,69.540000,56.610000,60.130000,59.590000,59.260000
"08/08/2017",66.750000,75.890000,69.130000,69.610000,56.720000,60.250000,59.710000,59.380000
"09/08/2017",66.810000,75.960000,69.200000,69.660000,56.780000,60.320000,59.770000,59.440000
"10/08/2017",66.960000,76.100000,69.350000,69.780000,56.810000,60.350000,59.800000,59.460000
"11/08/2017",67.270000,76.410000,69.680000,70.070000,56.980000,60.520000,59.980000,59.630000
"12/08/2017",67.500000,76.640000,69.920000,70.290000,57.150000,60.700000,60.160000,59.800000
"13/08/2017",67.760000,76.890000,70.190000,70.550000,57.240000,60.800000,60.260000,59.900000
"14/08/2017",67.950000,77.090000,70.400000,70.740000,57.250000,60.810000,60.270000,59.900000
"15/08/2017",68.080000,77.210000,70.530000,70.860000,57.300000,60.860000,60.320000,59.950000
"16/08/2017",68.140000,77.270000,70.590000,70.920000,57.360000,60.920000,60.380000,60.010000
"17/08/2017",68.240000,77.370000,70.700000,71.020000,57.390000,60.960000,60.420000,60.040000
"18/08/2017",68.290000,77.420000,70.760000,71.070000,57.280000,60.850000,60.300000,59.930000
"19/08/2017",68.370000,77.500000,70.830000,71.140000,57.190000,60.740000,60.200000,59.840000
"20/08/2017",68.380000,77.510000,70.850000,71.160000,57.070000,60.620000,60.080000,59.720000
"21/08/2017",68.540000,77.660000,71.010000,71.310000,57.010000,60.550000,60.010000,59.660000
"22/08/2017",68.670000,77.790000,71.150000,71.440000,57.050000,60.600000,60.060000,59.700000
"23/08/2017",68.730000,77.860000,71.220000,71.500000,57.050000,60.600000,60.050000,59.700000
"24/08/2017",68.880000,78,71.370000,71.640000,57.060000,60.610000,60.060000,59.710000
"25/08/2017",69.010000,78.130000,71.510000,71.770000,57.020000,60.570000,60.020000,59.670000
"26/08/2017",69.020000,78.140000,71.520000,71.780000,56.970000,60.510000,59.970000,59.620000
"27/08/2017",69.060000,78.180000,71.560000,71.820000,57.030000,60.580000,60.040000,59.690000
"28/08/2017",69.090000,78.220000,71.600000,71.860000,57.030000,60.570000,60.030000,59.680000
"29/08/2017",69.120000,78.240000,71.620000,71.880000,57.020000,60.560000,60.020000,59.670000
"30/08/2017",69.120000,78.240000,71.620000,71.880000,57.010000,60.560000,60.020000,59.660000
"31/08/2017",69.150000,78.280000,71.660000,71.920000,57.050000,60.600000,60.060000,59.710000
"01/09/2017",69.260000,78.380000,71.780000,72.020000,57.130000,60.680000,60.140000,59.780000
"02/09/2017",69.430000,78.540000,71.950000,72.180000,57.210000,60.770000,60.230000,59.870000
"03/09/2017",69.550000,78.670000,72.080000,72.300000,57.280000,60.840000,60.300000,59.930000
"04/09/2017",69.660000,78.780000,72.200000,72.410000,57.380000,60.950000,60.410000,60.030000
"05/09/2017",69.710000,78.820000,72.250000,72.460000,57.460000,61.030000,60.490000,60.110000
"06/09/2017",69.710000,78.820000,72.250000,72.460000,57.460000,61.030000,60.490000,60.110000
"07/09/2017",69.800000,78.920000,72.340000,72.550000,57.590000,61.180000,60.640000,60.250000
"08/09/2017",69.890000,79,72.440000,72.640000,57.780000,61.380000,60.840000,60.440000
"09/09/2017",70.030000,79.140000,72.580000,72.780000,58.060000,61.670000,61.130000,60.710000
"10/09/2017",70.170000,79.280000,72.730000,72.910000,58.370000,62,61.460000,61.020000
"11/09/2017",70.300000,79.410000,72.870000,73.050000,58.620000,62.260000,61.730000,61.270000
"12/09/2017",70.380000,79.480000,72.950000,73.120000,58.720000,62.370000,61.840000,61.370000
"13/09/2017",70.380000,79.480000,72.950000,73.120000,58.720000,62.370000,61.840000,61.370000
"14/09/2017",70.390000,79.500000,72.970000,73.130000,58.740000,62.400000,61.870000,61.400000
"15/09/2017",70.430000,79.540000,73.010000,73.170000,58.800000,62.460000,61.930000,61.460000
"16/09/2017",70.480000,79.590000,73.060000,73.220000,58.840000,62.500000,61.980000,61.500000
"17/09/2017",70.510000,79.620000,73.090000,73.250000,58.880000,62.550000,62.020000,61.540000
"18/09/2017",70.510000,79.620000,73.090000,73.250000,58.910000,62.580000,62.050000,61.570000
"19/09/2017",70.520000,79.630000,73.100000,73.260000,58.850000,62.510000,61.990000,61.510000
"20/09/2017",70.520000,79.630000,73.100000,73.260000,58.790000,62.450000,61.920000,61.450000
"21/09/2017",70.520000,79.630000,73.100000,73.260000,58.690000,62.350000,61.820000,61.350000
"22/09/2017",70.470000,79.580000,73.050000,73.210000,58.690000,62.350000,61.820000,61.350000
"23/09/2017",70.420000,79.530000,73,73.160000,58.690000,62.350000,61.820000,61.350000
"24/09/2017",70.390000,79.500000,72.970000,73.130000,58.720000,62.380000,61.850000,61.380000
"25/09/2017",70.410000,79.520000,72.990000,73.150000,58.720000,62.380000,61.850000,61.380000
"26/09/2017",70.410000,79.520000,72.990000,73.150000,58.680000,62.330000,61.810000,61.340000
"27/09/2017",70.410000,79.520000,72.990000,73.150000,58.680000,62.330000,61.810000,61.340000
"28/09/2017",70.460000,79.570000,73.040000,73.200000,58.700000,62.360000,61.830000,61.360000
"29/09/2017",70.560000,79.670000,73.150000,73.300000,58.780000,62.440000,61.910000,61.440000
"30/09/2017",70.660000,79.770000,73.250000,73.400000,58.860000,62.530000,62,61.520000
"01/10/2017",70.760000,79.870000,73.360000,73.500000,58.920000,62.590000,62.060000,61.580000
"02/10/2017",70.830000,79.940000,73.430000,73.570000,59.070000,62.750000,62.220000,61.730000
"03/10/2017",70.880000,79.990000,73.480000,73.620000,59.140000,62.820000,62.300000,61.800000
"04/10/2017",68.380000,77.510000,70.850000,71.160000,56.890000,60.430000,59.890000,59.550000
"05/10/2017",68.380000,77.510000,70.850000,71.160000,56.900000,60.440000,59.900000,59.560000
"06/10/2017",68.360000,77.490000,70.830000,71.140000,56.950000,60.500000,59.950000,59.610000
"07/10/2017",68.350000,77.480000,70.820000,71.130000,56.940000,60.490000,59.940000,59.600000
"08/10/2017",68.390000,77.520000,70.860000,71.170000,56.960000,60.510000,59.960000,59.620000
"09/10/2017",68.450000,77.580000,70.930000,71.230000,57,60.550000,60.010000,59.660000
"10/10/2017",68.450000,77.580000,70.930000,71.230000,57,60.550000,60.010000,59.660000
"11/10/2017",68.480000,75.590000,70.960000,71.260000,57.030000,59.580000,60.040000,59.690000
"12/10/2017",68.450000,75.570000,70.930000,71.230000,57.010000,59.560000,60.020000,59.670000
"13/10/2017",68.430000,75.550000,70.900000,71.210000,57.010000,59.560000,60.020000,59.670000
"14/10/2017",68.380000,75.500000,70.850000,71.160000,56.980000,59.530000,59.990000,59.640000
"15/10/2017",68.330000,75.450000,70.800000,71.110000,56.940000,59.480000,59.940000,59.600000
"16/10/2017",68.290000,75.410000,70.760000,71.070000,56.910000,59.450000,59.910000,59.570000
"17/10/2017",68.260000,75.380000,70.730000,71.040000,56.870000,59.410000,59.870000,59.530000
"18/10/2017",68.260000,75.380000,70.730000,71.040000,56.870000,59.410000,59.870000,59.530000
"19/10/2017",68.330000,75.450000,70.800000,71.110000,56.950000,59.500000,59.950000,59.610000
"20/10/2017",68.400000,75.520000,70.870000,71.180000,56.980000,59.530000,59.990000,59.640000
"21/10/2017",68.440000,75.560000,70.920000,71.220000,57.010000,59.560000,60.020000,59.670000
"22/10/2017",68.580000,75.690000,71.060000,71.360000,57.100000,59.650000,60.110000,59.760000
"23/10/2017",68.600000,75.710000,71.080000,71.380000,57.120000,59.680000,60.140000,59.780000
"24/10/2017",68.600000,75.710000,71.080000,71.380000,57.120000,59.680000,60.140000,59.780000
"25/10/2017",68.620000,75.730000,71.100000,71.400000,57.150000,59.710000,60.170000,59.810000
"26/10/2017",68.650000,75.760000,71.140000,71.430000,57.210000,59.770000,60.230000,59.870000
"27/10/2017",68.720000,75.830000,71.210000,71.490000,57.280000,59.850000,60.310000,59.940000
"28/10/2017",68.840000,75.950000,71.340000,71.610000,57.430000,60,60.470000,60.090000
"29/10/2017",68.920000,76.030000,71.420000,71.690000,57.510000,60.090000,60.550000,60.170000
"30/10/2017",69.070000,76.180000,71.580000,71.840000,57.640000,60.230000,60.690000,60.300000
"31/10/2017",69.130000,76.240000,71.640000,71.900000,57.700000,60.290000,60.760000,60.360000
"01/11/2017",69.140000,76.250000,71.650000,71.900000,57.730000,60.320000,60.790000,60.390000
"02/11/2017",69.250000,76.360000,71.770000,72.010000,57.830000,60.430000,60.900000,60.490000
"03/11/2017",69.340000,76.450000,71.860000,72.100000,57.930000,60.540000,61,60.590000
"04/11/2017",69.470000,76.570000,72,72.230000,58.030000,60.640000,61.110000,60.690000
"05/11/2017",69.550000,76.650000,72.080000,72.310000,58.080000,60.690000,61.160000,60.740000
"06/11/2017",69.690000,76.790000,72.230000,72.440000,58.160000,60.780000,61.250000,60.820000
"07/11/2017",69.800000,76.900000,72.350000,72.550000,58.260000,60.890000,61.360000,60.920000
"08/11/2017",69.800000,76.900000,72.350000,72.550000,58.260000,60.890000,61.360000,60.920000
"09/11/2017",69.850000,76.950000,72.400000,72.600000,58.310000,60.940000,61.410000,60.970000
"10/11/2017",69.850000,76.950000,72.400000,72.600000,58.310000,60.940000,61.410000,60.970000
"11/11/2017",69.810000,76.910000,72.360000,72.560000,58.310000,60.940000,61.410000,60.970000
"12/11/2017",69.780000,76.880000,72.330000,72.530000,58.310000,60.940000,61.410000,60.970000
"13/11/2017",69.780000,76.880000,72.330000,72.530000,58.310000,60.940000,61.410000,60.970000
"14/11/2017",69.730000,76.830000,72.270000,72.480000,58.340000,60.970000,61.440000,61
"15/11/2017",69.680000,76.780000,72.220000,72.430000,58.320000,60.950000,61.420000,60.980000
"16/11/2017",69.650000,76.750000,72.190000,72.400000,58.310000,60.940000,61.410000,60.970000
"17/11/2017",69.610000,76.710000,72.150000,72.370000,58.310000,60.940000,61.410000,60.970000
"18/11/2017",69.570000,76.670000,72.100000,72.330000,58.330000,60.960000,61.430000,60.990000
"19/11/2017",69.540000,76.640000,72.070000,72.300000,58.310000,60.940000,61.410000,60.970000
"20/11/2017",69.510000,76.610000,72.040000,72.270000,58.330000,60.960000,61.430000,60.990000
"21/11/2017",69.530000,76.630000,72.060000,72.290000,58.330000,60.960000,61.430000,60.990000
"22/11/2017",69.480000,76.580000,72.010000,72.240000,58.300000,60.930000,61.400000,60.960000
"23/11/2017",69.430000,76.540000,71.960000,72.190000,58.300000,60.930000,61.400000,60.960000
"24/11/2017",69.410000,76.520000,71.940000,72.170000,58.330000,60.960000,61.430000,60.990000
"25/11/2017",69.360000,76.520000,71.880000,72.120000,58.330000,60.960000,61.430000,60.990000
"26/11/2017",69.320000,76.520000,71.840000,72.080000,58.340000,60.970000,61.440000,61
"27/11/2017",69.280000,76.520000,71.800000,72.040000,58.340000,60.990000,61.440000,61
"28/11/2017",69.260000,76.520000,71.780000,72.020000,58.370000,61.030000,61.470000,61.030000
"29/11/2017",69.260000,76.520000,71.780000,72.020000,58.370000,61.030000,61.470000,61.030000
"30/11/2017",69.240000,76.520000,71.760000,72,58.390000,61.050000,61.500000,61.050000
"01/12/2017",69.220000,76.520000,71.740000,71.980000,58.400000,61.070000,61.510000,61.060000
"02/12/2017",69.220000,76.520000,71.740000,71.980000,58.420000,61.100000,61.530000,61.080000
"03/12/2017",69.230000,76.540000,71.750000,71.990000,58.420000,61.120000,61.530000,61.080000
"04/12/2017",69.230000,76.560000,71.750000,71.990000,58.440000,61.150000,61.550000,61.100000
"05/12/2017",69.250000,76.590000,71.770000,72.010000,58.430000,61.170000,61.540000,61.090000
"06/12/2017",69.240000,76.600000,71.760000,72,58.450000,61.200000,61.560000,61.110000
"07/12/2017",69.230000,76.610000,71.750000,71.990000,58.450000,61.200000,61.560000,61.110000
"08/12/2017",69.190000,76.610000,71.700000,71.950000,58.440000,61.220000,61.550000,61.100000
"09/12/2017",69.180000,76.620000,71.690000,71.940000,58.410000,61.210000,61.520000,61.070000
"10/12/2017",69.150000,76.610000,71.660000,71.910000,58.370000,61.210000,61.470000,61.030000
"11/12/2017",69.120000,76.620000,71.630000,71.880000,58.370000,61.240000,61.470000,61.030000
"12/12/2017",69.090000,76.640000,71.600000,71.850000,58.340000,61.260000,61.440000,61
"13/12/2017",69.070000,76.660000,71.580000,71.840000,58.320000,61.280000,61.420000,60.980000
"14/12/2017",69.070000,76.690000,71.580000,71.840000,58.330000,61.310000,61.430000,60.990000
"15/12/2017",69.100000,76.780000,71.610000,71.860000,58.380000,61.430000,61.480000,61.040000
"16/12/2017",69.130000,76.880000,71.640000,71.890000,58.440000,61.550000,61.550000,61.100000
"17/12/2017",69.150000,76.990000,71.660000,71.910000,58.480000,61.670000,61.590000,61.140000
"18/12/2017",69.190000,77.060000,71.700000,71.950000,58.550000,61.750000,61.670000,61.210000
"19/12/2017",69.270000,77.170000,71.790000,72.030000,58.650000,61.870000,61.770000,61.310000
"20/12/2017",69.350000,77.250000,71.870000,72.110000,58.750000,62.030000,61.880000,61.410000
"21/12/2017",69.420000,77.320000,71.950000,72.180000,58.850000,62.160000,61.990000,61.510000
"22/12/2017",69.500000,77.400000,72.030000,72.260000,58.910000,62.280000,62.050000,61.570000
"23/12/2017",69.580000,77.480000,72.120000,72.340000,59.020000,62.390000,62.170000,61.680000
"24/12/2017",69.560000,77.460000,72.090000,72.320000,59.110000,62.510000,62.270000,61.770000
"25/12/2017",69.650000,77.550000,72.190000,72.400000,59.200000,62.620000,62.360000,61.860000
