"YYYYMM","Indonesia","Australia","South Africa","Total"
200410,56.909825,82.529005,71.462418,95.595209
200411,48.675247,87.956659,74.228375,94.798976
200412,51.532217,97.335030,99.712328,108.197504
200501,53.919713,103.546427,82.298610,105.090261
200502,53.773266,99.172256,68.901216,93.571088
200503,53.028627,98.626797,86.804981,101.718770
200504,46.148200,101.237881,74.776221,91.588060
200505,50.949431,93.802949,88.853476,98.794439
200506,55.690008,104.213627,71.651719,95.086453
200507,51.977610,110.208075,77.958300,88.327157
200508,52.938014,120.269922,72.059871,96.037447
200509,53.398632,132.186665,77.275765,90.563867
200510,53.736430,134.212056,64.238684,92.185671
200511,49.471026,138.687508,64.972134,92.741704
200512,52.209697,148.516726,61.831473,103.852901
200601,51.231498,142.931783,59.337627,93.927458
200602,49.846297,137.259740,60.446326,95.437344
200603,48.955717,138.170011,62.127488,85.728239
200604,46.579150,124.847984,58.135056,86.744990
200605,49.087377,138.430082,59.895018,92.267862
200606,51.405798,131.748796,74.099133,99.031090
200607,44.769638,135.434583,114.399267,104.542746
200608,50.625426,120.947743,62.414114,103.837032
200609,51.628719,129.450441,71.825245,99.174374
200610,49.560297,118.204417,69.916137,95.853957
200611,52.995320,124.470664,76.479675,97.090400
200612,52.203800,119.558056,74.130813,97.980880
200701,52.299286,122.525714,74.962263,95.998747
200702,49.904835,126.366786,75.548789,89.594241
200703,55.262194,120.586383,78.654116,93.305615
200704,53.689925,128.573662,80.260779,102.164019
200705,57.722739,133.633898,84.280185,113.710181
200706,58.712695,129.783219,89.866265,109.440016
200707,60.081853,124.389239,83.983274,110.663740
200708,57.747881,128.687342,84.986504,112.904070
200709,61.912464,126.418946,93.237376,117.372143
200710,66.724089,135.791599,91.899155,124.589530
200711,72.908912,135.056500,108.125106,126.073528
200712,78.209195,137.341066,124.135391,118.945401
200801,78.414820,162.647307,137.665582,133.813968
200802,77.724217,139.140145,129.503646,125.148534
200803,72.653120,144.465881,144.430821,130.579335
200804,83.301614,157.345048,135.958599,145.430747
200805,86.618194,158.385116,141.000178,166.565029
200806,94.411814,173.533647,167.636004,168.348910
200807,109.975736,201.224310,149.415058,185.892351
200808,101.185828,235.022696,187.842016,196.609443
200809,104.605950,289.643377,180.237540,212.191011
200810,104.979008,289.605151,183.320078,192.430144
200811,112.526319,283.059026,174.850424,190.175203
200812,95.564776,309.272007,149.380884,180.694979
200901,91.779805,252.427222,109.596208,130.770544
200902,87.549501,253.499978,99.702033,121.169958
200903,80.350133,173.015369,88.021338,102.221296
200904,77.658344,213.676163,84.111260,118.916585
200905,76.338285,194.590899,88.301338,119.262450
200906,73.662468,164.130558,83.393054,115.427673
200907,70.615287,153.836875,82.371959,105.098063
200908,71.099333,160.368263,82.453196,123.285243
200909,71.936074,155.611377,88.979018,114.930057
200910,71.917412,162.737009,89.489108,120.718330
200911,64.493906,167.589846,87.170862,114.784849
200912,76.248619,166.828247,88.659468,120.347170
201001,79.964178,162.696409,99.032994,115.736509
201002,84.029904,157.724976,113.411591,126.985011
201003,85.513230,209.847530,114.923203,128.998010
201004,91.261055,204.181682,113.106127,126.231377
201005,77.424428,238.677376,108.466630,144.437255
201006,80.848472,227.881844,116.962003,160.276839
201007,89.400794,219.221268,113.065091,140.858830
201008,75.927972,248.091645,115.845457,152.432124
201009,77.621398,237.364884,118.056669,137.490403
201010,81.271826,245.046348,104.101431,139.803299
201011,75.150928,210.518791,100.667551,109.752936
201012,72.696130,228.634534,102.317862,138.588415
201101,86.590066,227.497618,113.514583,135.285656
201102,78.875660,258.496438,111.677638,117.719762
201103,95.456711,245.358718,146.934005,152.448872
201104,90.961222,242.810887,150.632385,150.804830
201105,100.222808,280.260465,140.119992,150.286063
201106,104.984065,297.173482,136.570470,170.704644
201107,110.706648,320.580154,138.813644,199.732535
201108,103.955637,273.668891,124.450818,165.739899
201109,97.403594,286.996323,136.935851,176.571579
201110,93.302148,287.909014,127.415071,166.288427
201111,95.867189,273.390378,137.287522,171.483302
201112,89.986414,272.996600,122.584999,159.254871
201201,97.122939,274.508476,129.386478,185.824990
201202,104.980712,243.374549,122.711738,164.803495
201203,84.320689,222.767584,120.623692,132.218808
201204,88.101408,222.899212,118.590931,132.487963
201205,81.023164,217.451796,114.202591,131.011621
201206,80.355764,211.658600,115.843330,132.228097
201207,78.531068,210.795706,111.492223,133.197913
201208,78.638773,202.385602,97.995291,131.611801
201209,77.719607,206.281688,104.446603,122.717823
201210,73.072421,202.486889,97.553963,116.351611
201211,68.568027,160.325496,93.833950,96.013685
201212,69.848294,158.678033,93.141825,95.368700
201301,68.900486,163.677386,97.510049,102.825388
201302,64.328653,154.910300,108.335174,96.644732
201303,62.309925,159.195765,96.537604,93.145017
201304,68.766387,162.034577,95.433861,95.991224
201305,67.698246,159.869373,93.394588,96.821540
201306,67.030311,152.618775,87.798691,91.718710
201307,68.597635,159.480380,91.843485,94.578708
201308,65.010855,148.613235,82.125768,88.807044
201309,68.406831,151.342662,89.259515,96.152136
201310,66.746324,145.005513,86.451781,94.983652
201311,65.477749,153.009950,87.165564,101.089301
201312,69.484756,155.933177,89.807981,102.954928
201401,65.477408,148.494598,94.539341,96.567310
201402,69.117490,145.204772,94.402685,99.512538
201403,66.221138,147.683895,86.077281,94.445159
201404,66.094977,141.758200,86.305415,90.652654
201405,65.604661,131.939246,86.587188,88.667286
201406,64.109094,121.884922,86.689441,90.512565
201407,65.628908,123.054651,85.190871,87.278048
201408,65.239800,122.301392,87.358358,86.853968
201409,62.445108,112.302475,83.253090,81.682291
201410,64.897104,112.834020,80.300242,83.215814
201411,61.560039,112.281131,82.240443,77.860822
201412,60.354979,111.529545,77.065729,77.820476
201501,62.035948,114.684553,78.654102,78.834020
201502,56.327657,118.448545,73.703443,80.648896
201503,57.943170,114.181327,72.568057,74.540705
201504,58.283355,113.385193,68.815389,75.820560
201505,56.956800,110.985978,64.908290,73.500280
201506,53.267762,103.596019,66.586799,71.189163
201507,50.529417,96.838249,67.420380,73.761966
201508,49.494963,93.570418,64.930615,69.083993
201509,51.024993,92.754559,63.199508,69.844488
201510,49.805581,90.261687,57.548129,67.659488
201511,46.694421,87.161056,51.670181,59.596381
201512,47.663564,88.090057,53.205801,62.314226
201601,46.726244,80.690239,52.319521,58.478285
201602,45.310638,79.051798,49.657216,57.152325
201603,46.401937,78.212440,49.868775,56.597665
201604,44.270025,82.394886,50.371122,55.831820
201605,43.823143,84.404536,51.223729,57.655769
201606,43.160602,89.607834,50.122610,60.070571
201607,45.004777,93.172212,51.493127,62.084082
201608,46.608010,95.440104,55.326892,66.188442
201609,49.302010,106.104530,59.885094,70.878170
201610,51.665548,121.687159,63.155145,76.597193
201611,54.662249,161.156023,75.579372,96.621853
201612,65.382206,197.161013,80.175175,112.136992
201701,64.223778,213.692540,76.139578,116.929793
201702,63.359297,212.778918,73.098593,114.494745
201703,62.548701,193.798767,70.753972,101.991380
201704,62.964577,185.145607,70.344143,100.677168
201705,64.110801,192.547522,72.397856,101.035772
201706,63.630768,192.778236,68.222065,110.375152
201707,57.251038,167.551693,68.829233,102.500245
201708,56.677548,152.511976,72.156376,100.198184
201709,63.181106,162.767697,75.983767,100.355232
201710,67.698751,180.175132,83.976955,107.823605
201711,66.653495,183.406852,85.770439,108.582837
201712,64.068608,177.373839,87.441507,103.185605
201801,68.046469,184.752918,90.495901,114.131719
201802,68.814344,201.357049,87.928767,117.280975
201803,71.905498,211.163414,85.785490,122.317259
201804,70.173413,204.621038,86.712176,124.937219
201805,65.425765,192.423011,85.091183,112.552597
201806,66.506897,174.226345,92.569433,112.463662
201807,62.249186,174.226293,95.644619,111.014665
201808,67.814831,177.617855,95.642498,116.774792
201809,64.563438,169.114804,92.951722,107.094911
201810,64.044935,166.987139,89.758338,102.860922
201811,65.184869,199.397364,92.966852,109.917935
201812,67.130595,197.836353,81.099102,114.212332
201901,59.281399,198.000126,78.684939,101.010078
201902,57.835937,184.210356,80.871131,103.043274
201903,59.466381,180.025953,71.600110,96.029620
201904,60.814274,177.454762,70.610227,93.348701
201905,59.352755,179.376523,70.042258,98.631946
201906,59.636025,182.078530,68.392973,99.777553
201907,60.327592,177.499631,66.091239,102.293309
201908,56.076432,167.984236,65.757641,98.350403
201909,52.874659,154.383268,66.499207,87.976218
201910,53.232317,150.249338,67.465999,83.211199
201911,53.014978,138.693429,68.978449,78.242147
201912,53.305890,136.249983,73.447376,82.442934
202001,54.516730,130.477672,76.912209,81.813606
202002,55.344205,131.053720,77.809023,80.743408
202003,53.857378,129.858887,75.813027,84.451447
202004,54.071858,136.643637,64.353159,86.832348
202005,54.210863,137.570448,62.873324,84.307022
202006,46.723215,114.211692,53.450896,69.628219
202007,45.194604,103.556758,54.366794,64.887821
202008,44.090484,98.445385,55.157448,63.443017
202009,44.482896,104.568639,55.637805,68.724548
202010,45.633857,99.408436,58.422702,67.944150
202011,46.782312,100.306616,58.870956,70.307805
202012,49.160214,97.542777,63.667325,73.490751
202101,52.908240,94.307083,74.464086,76.327639
202102,59.642644,97.021773,85.742105,83.000428
202103,65.851758,115.867898,76.955074,92.206179
202104,84.622306,99.915059,71.637245,91.920953
202105,67.494328,110.097946,89.474116,94.658928
202106,69.447096,107.126352,79.237294,91.936147
202107,74.399150,129.981225,90.521328,111.848657
202108,80.973135,161.049717,117.709123,131.136140
202109,89.342739,191.221073,120.785058,138.941320
202110,85.875532,209.503285,122.948862,150.748775
202111,127.425513,278.134493,174.664807,220.815044
202112,128.467300,258.275230,154.427011,200.094515
202201,102.106429,271.665746,138.895195,208.054615
202202,102.385930,282.108220,151.073131,212.950311
202203,113.174073,315.305577,191.416934,202.540196
202204,135.387939,397.220561,239.367518,249.478816
202205,158.199444,448.458963,253.101683,260.836438
202206,159.539503,399.915990,281.003549,246.855251
202207,144.385132,359.136933,258.466315,220.861564
202208,146.689279,305.609300,219.176076,206.726335
202209,120.432518,250.928080,201.981740,175.890398
202210,120.350928,248.355259,156.210449,180.122681
202211,125.953704,269.915206,192.629440,194.832980
202212,105.184111,255.265624,153.987571,178.846901
202301,107.155269,218.579839,152.140499,179.413758
202302,104.890441,219.610618,138.538916,172.635673
202303,103.194620,294.694624,125.708142,172.272150
202304,106.277829,314.892620,129.506974,173.069589
202305,93.928929,287.450979,121.637351,158.174999
202306,87.695014,226.709779,118.270451,151.700377
202307,84.382984,217.977512,109.148102,143.219720
202308,75.030847,206.494110,103.480848,132.418430
202309,72.688097,215.406112,106.501479,122.028059
202310,77.445544,197.787781,122.763372,123.000908
202311,82.482800,239.681306,120.517365,141.941164
202312,87.072223,254.614130,118.864637,150.234324
202401,87.288817,251.188764,113.518377,148.413656
202402,83.852435,267.667078,100.696908,146.673888
202403,86.725249,263.913249,102.698228,144.428012
202404,83.344567,235.969086,100.758007,135.241137
202405,83.690257,228.625230,109.838461,129.333603
202406,84.814647,222.684077,109.655511,136.203992
202407,82.665517,222.406691,113.083060,133.902693
202408,77.506930,230.516495,113.807824,132.490423
202409,78.641879,200.106559,111.631106,122.859731
202410,74.196315,185.419352,104.664199,116.285664
202411,81.819967,194.802081,107.846477,123.094699
202412,80.417241,196.854951,104.407940,123.270806
202501,76.871157,191.006363,103.917278,119.289767
202502,71.418559,178.149130,94.194551,114.278713
202503,72.792038,183.608038,88.728316,108.182465
202504,70.815493,162.732149,89.384624,109.964700
202505,70.767640,161.163244,89.708951,104.262603
202506,71.481917,165.201826,88.992848,108.646278
202507,66.659770,168.037867,90.145815,110.604969
202508,61.458865,159.706158,88.485013,106.539258
202509,64.279349,170.753160,88.684043,105.394443
202510,61.462247,176.363738,87.037237,106.689996
202511,64.805698,174.115110,84.392031,108.535063
