"YYYYMM","National coal production","Lignite production","CIL production","SCCL production","Net Imports","Power station stocks","Consumption: All stations","CIL despatches"
200602,37.529000,2.536000,,,2.798027,,,
200603,44.615000,2.946000,,,4.132779,,,
200604,32.104000,2.345000,,,3.582542,,,
200605,33.515000,2.808000,,,4.035116,,,
200606,32.290000,2.688000,,,3.645715,,,
200607,30.766000,2.267000,,,3.282527,,,
200608,29.312000,2.136000,,,3.024546,,,
200609,29.481000,2.264000,,,4.342943,,,
200610,33.915000,2.008000,,,3.719084,,,
200611,36.915000,2.074000,,,4.110463,,,
200612,40.185000,2.562000,,,2.995406,,,
200701,42.805000,3.175000,,,4.075871,,,
200702,39.923000,3.054000,,,4.124148,,,
200703,48.617000,3.904000,,,5.282765,,,
200704,32.318000,2.988000,,,4.818819,,,
200705,33.858000,3.194000,,,4.640355,,,
200706,32.463000,2.908000,,,3.883409,,,
200707,31.210000,2.403000,,,3.554542,,,
200708,31.816000,2.405000,,,4.290279,,,
200709,31.366000,2.367000,,,4.339859,,,
200710,36.994000,2.181000,,,4.576720,,,
200711,39.842000,2.403000,,,4.452200,,,
200712,43.525000,2.865000,,,4.332775,,,
200801,44.853000,3.450000,,,4.816223,,,
200802,44.490000,3.381000,,,4.546162,,,
200803,53.662000,3.435000,,,4.164423,,,
200804,35.335000,3.143000,28.700000,,5.805855,,,31.400000
200805,36.856000,3.235000,29.600000,,5.988856,,,31.600000
200806,34.474000,2.495000,27.800000,,4.678606,,,30.300000
200807,32.897000,2.176000,26.600000,,5.379300,,,31
200808,33.555000,2.177000,27.200000,,4.290672,9.549735,,30.700000
200809,34.775000,2.235000,27.800000,,5.449853,8.800182,,31.300000
200810,40.933000,2.314000,33.500000,,5.326356,7.981109,,33.100000
200811,43.617000,1.921000,35.600000,,4.318030,8.677459,,34.300000
200812,47.607000,2.354000,38.900000,,3.655632,9.979677,,36.500000
200901,49.203000,3.172000,40.700000,,3.294805,11.350715,,37.700000
200902,47.215000,3.371000,39.400000,,4.278406,12.309219,,34.400000
200903,56.478000,3.828000,47.900000,,5.701548,14.878623,,39.200000
200904,40.047000,3.183000,32.300000,,6.624325,14.510001,,33.200000
200905,40.445000,3.289000,32.400000,,6.625164,14.157087,,33.900000
200906,39.670000,2.941000,31.500000,,6.200855,14.651883,,33.100000
200907,36.381000,2.377000,28.300000,,5.547174,13.883088,,31.400000
200908,38.033000,2.389000,30.200000,,4.975805,13.123079,,31.800000
200909,37.046000,2.482000,29.700000,,5.526033,12.780178,,30.900000
200910,43.206000,2.562000,34.500000,,6.223553,12.860390,,34.300000
200911,45.419000,2.168000,36.400000,,7.020948,14.218902,,35.200000
200912,48.952000,2.930000,40.200000,,7.158485,15.075851,,37.800000
201001,51.852000,3.275000,,,6.171433,16.592479,,
201002,50.486000,3.130000,,,5.503707,16.895702,,
201003,60.525000,3.345000,,,5.454823,17.841185,,
201004,39.554000,3.854000,,,6.816759,17.556710,,
201005,40.767000,3.651000,,,8.267049,16.273095,,
201006,40.221000,3.368000,,,6.888402,15.975908,,
201007,38.020000,2.643000,,,6.711644,15.113036,,
201008,38.442000,2.626000,,,5.898239,15.449335,,
201009,36.289000,2.505000,,,5.315391,16.459857,,
201010,43.883000,2.593000,,,4.907095,15.657420,,
201011,45.885000,2.472000,,,4.209354,16.026948,,
201012,50.517000,2.937000,,,4.341980,16.487556,,
201101,51.294000,3.640000,,,4.242654,16.785700,,
201102,47.648000,3.585000,,,5.626407,16.864460,,
201103,60.556000,3.861000,,,4.579311,18.867148,,
201104,40.551000,3.860000,,,7.622950,19.056259,,
201105,41.402000,4.209000,,,9.138025,17.722840,,
201106,38.799000,3.566000,,,9.208153,17.305681,,
201107,38.968000,2.621000,,,10.643529,16.695723,,
201108,32.621000,2.678000,,,9.035465,15.656936,,
201109,29.790000,2.682000,,,8.819157,14.457797,,
201110,40.144000,2.681000,,,7.323345,11.691391,,
201111,48.266000,3.133000,,,7.679531,11.526991,,
201112,53.582000,3.790000,,,8.861165,11.995788,,
201201,55.166000,4.243000,,,7.187715,13.329249,,
201202,56.123000,4.489000,,,8.471407,15.290281,,
201203,64.528000,5.153000,,,8.581148,18.111487,,
201204,42.166000,4.148000,,,10.689336,18.529449,,
201205,44.652000,4.100000,,,12.307424,17.171102,,
201206,41.716000,3.965000,,,11.985945,15.823623,,
201207,39.475000,3.463000,,,10.183067,14.267316,,
201208,36.178000,3.338000,,,12.013316,12.966158,,
201209,36.098000,3.269000,,,10.622126,12.214957,,
201210,44.261000,3.364000,,,11.695262,10.958855,,
201211,46.169000,3.236000,,,13.647278,12.853437,,
201212,53.692000,3.908000,,,13.790783,14.704293,,
201301,56.473000,4.202000,,,14.554900,16.673381,,
201302,51.803000,4.198000,42.620000,,10.812144,19.540692,,39.760000
201303,65.024000,5.407000,54.240000,5.843000,12.875576,23.425747,,45.850000
201304,43.475000,4.400000,35.748000,2.903000,13.048640,24.748227,,39.892000
201305,43.206000,4.521000,34.552000,4.001000,14.153650,23.724798,,38.271000
201306,40.421000,3.718000,32.592000,3.496000,15.629995,24.757271,,37.200000
201307,39.872000,2.523000,32.749000,3.191000,15.858812,26.080194,,38.110000
201308,38.381000,2.895000,31.676000,3.071000,15.015627,26.717160,,35.096000
201309,41.001000,3.139000,33.171000,3.956000,11.288625,23.512933,,35.913000
201310,42.731000,2.882000,35.018000,4.036000,15.179471,20.727254,,35.384000
201311,47.711000,2.879000,39.200000,4.399000,12.504274,19.731338,,38.734000
201312,54.285000,3.933000,44.488000,5.053000,14.187765,20.112932,,43.038000
201401,57.128000,4.449000,47.375000,4.749000,15.180618,21.923350,,44.575000
201402,52.259000,3.982000,42.560000,4.964000,10.192129,22.894226,,40.490000
201403,65.296000,4.950000,53.292000,6.650000,16.447859,24.147767,,44.877000
201404,45.406000,3.884000,37.510000,2.373000,16.406235,20.756000,44.453000,40.540000
201405,45.543000,4.713000,36.270000,3.715000,15.862231,17.066000,45.470000,40.710000
201406,43.808000,4.258000,34.540000,3.714000,16.963952,13.945000,44.587000,38.290000
201407,42.142000,3.092000,33.010000,3.649000,16.774147,12.323000,44.120000,38.040000
201408,43.465000,3.461000,34.540000,3.823000,14.150677,10.897000,42.291000,37.300000
201409,44.120000,2.923000,34.880000,4.074000,17.274761,10.999000,41.343000,35.120000
201410,49.724000,2.940000,40.200000,4.241000,15.210062,10.412000,46.044000,39.110000
201411,54.678000,3.340000,44.420000,4.568000,22.574971,12.892000,44.517000,41.570000
201412,58.370000,4.122000,47,5.082000,18.580249,16.402000,45.717000,43.910000
201501,57.973000,4.592000,46.600000,5.343000,22.338805,18.796000,45.803000,44.090000
201502,58.264000,4.710000,47.980000,5.367000,16.623640,23.243000,41.996000,43.170000
201503,68.942000,6.222000,57.270000,6.587000,21.295251,29.531000,43.788000,47.490000
201504,48.638000,2.927000,41.520000,4.322000,18.784286,33.328000,42.505000,43.550000
201505,49.539000,3.554000,40.970000,4.862000,18.728025,33.414000,46.519000,43.740000
201506,46.685000,3.484000,38.830000,4.465000,17.968179,33.487000,41.552997,42.180000
201507,42.191000,3.077000,34.830000,4.561000,14.747979,33.822000,43.821000,40.880000
201508,43.695000,3.393000,36.210000,4.555000,14.816548,32.956000,43.562000,40.620000
201509,45.056000,3.114000,37.170000,4.438000,13.767021,30.021000,47.096000,40.410000
201510,52.108000,3.679000,44.370000,5.020000,16.559739,27.344000,50.576000,44.410000
201511,56.864000,2.327000,47.470000,5.278000,16.072561,30.165000,44.926000,45.330000
201512,61.487000,3.052000,52.070000,5.740000,16.960334,34.306000,45.500000,48.160000
201601,62.750000,4.434000,52.860000,5.729000,18.869160,38.120000,47.471000,48.320000
201602,60.257000,5.068000,51.010000,5.369000,21.168426,40.029000,44.791000,45.530000
201603,69.964000,5.734000,59.190000,6.040000,16.855386,43.235000,47.547000,49.120000
201604,48.304000,1.990000,40.366000,4.445000,18.740012,39.249000,49.777000,42.683000
201605,52.065000,3.213000,42.542000,4.904000,18.879059,36.205000,48.424000,45.476000
201606,52.101000,3.708000,42.761000,4.757000,18.863637,36.162000,47.304000,45.076000
201607,44.013000,3.027000,36.739000,3.834000,16.794220,36.248000,43.581000,41.360000
201608,39.391000,2.831000,32.435000,4.218000,15.925794,33.063000,42.911000,36.828000
201609,42.238000,3.895000,35.200000,4.024000,15.603026,26.943000,47.457000,37.683000
201610,52.153000,3.234000,43.483000,4.698000,15.862252,22.434000,50.752000,43.098000
201611,60.172000,3.649000,50.007000,5.588000,13.525562,22.849000,48.952000,48.103000
201612,64.567000,4.545000,54.235000,5.948000,15.026690,25.004000,50.244000,51.478000
201701,65.719000,5.046000,55.987000,5.870000,13.956267,25.608000,49.017000,51.358000
201702,64.359000,4.615000,54.291000,5.864000,13.970633,29.470000,45.486000,47.736000
201703,77.710000,5.477000,66.091000,7.180000,16.369686,31.332000,50.963000,52.442000
201704,46.046000,2.151000,38.440000,4.480000,18.377486,25.760000,51.395000,45.136000
201705,49.819000,3.008000,40.713000,5.050000,18.109026,21.806000,53.246000,46.456000
201706,48.353000,4.143000,39.684000,4.810000,15.812553,22.261000,47.161000,45.829000
201707,44.633000,1.653000,36.690000,4.400000,14.980535,22.051000,46.525000,44.290000
201708,45.795000,3.585000,37.590000,4.510000,15.795509,16.169000,50.737000,43.710000
201709,46.678000,4.243000,38.760000,4.540000,16.477159,13.010000,50.421000,43.570000
201710,54.013000,3.482000,46.150000,4.040000,18.696975,12.224000,51.692000,48.280000
201711,59.573000,3.553000,51.260000,4.490000,18.357803,15.051000,49.299000,50.710000
201712,64.526000,4.933000,54.630000,5.680000,19.544548,18.959000,50.622000,53.440000
201801,67.367000,4.930000,56.680000,6.390000,18.953300,20.169000,53.255000,53.670000
201802,64.822000,4.646000,54.580000,6.260000,16.214215,21.497000,48.129000,49.940000
201803,83.775000,5.928000,72.300000,7.370000,19.909424,21.324000,55.515000,55.300000
201804,53.674000,1.879000,44.850000,4.510000,17.800086,20.600000,53.422000,51.020000
201805,56.683000,2.929000,47.120000,5.090000,19.105891,19.084000,56.381000,52.810000
201806,54.460000,4.871000,44.870000,4.960000,19.716654,20.007500,50.871700,49.640000
201807,48.930000,3.371000,40.580000,4.430000,18.488795,21.133720,49.555100,48.190000
201808,46.871000,2.721000,38.780000,4.380000,19.546731,19.472920,50.597770,45.150000
201809,49.673000,3.267000,40.250000,5.120000,19.088931,14.904990,52.256820,43.980000
201810,60.224000,3.250000,49.780000,5.270000,22.005684,14.681870,56.462790,49.960000
201811,62.712000,3.405000,52.060000,5.770000,20.330998,17.814960,51.614930,51.260000
201812,65.268000,4.362000,54.140000,6.040000,19.713371,21.660600,52.275440,52.610000
201901,68.909000,4.630000,57.210000,6.290000,21.968895,24.897900,52.420910,52.440000
201902,69.678000,4.599000,58.050000,6.070000,19.350722,30.007380,47.450100,51.460000
201903,91.636000,4.999000,79.190000,6.470000,21.771321,34.554320,55.292760,59.600000
201904,55.423000,2.717000,45.300000,5.500000,24.892750,34.755300,55.143370,52.410000
201905,57.706000,3.553000,46.690000,5.870000,23.975874,32.894330,58.363530,52.100000
201906,55.757000,3.487000,44.950000,5.710000,21.431280,30.630890,56.344550,48.980000
201907,48.104000,2.946000,38.510000,5.150000,20.001999,28.619580,53.211800,46.590000
201908,42.723000,2.941000,34.700000,4.050000,17.721138,26.059500,50.026040,40.570000
201909,39.509000,2.855000,30.780000,4.230000,17.671589,21.514320,47.114350,35.280000
201910,49.835000,3.133000,39.500000,5.070000,19.389834,23.093440,46.802340,40.400000
201911,61.503000,3.209000,50,5.440000,21.925586,29.665720,46.967070,47.500000
201912,70.107000,3.978000,58,5.710000,21.228250,35.858430,51.176400,53.700000
202001,75.206000,4.459000,63.100000,5.720000,20.705857,39.163020,54.434150,55.900000
202002,78.165000,4.697000,66.200000,5.630000,22.411543,44.035830,53.201070,54.600000
202003,96.836000,4.146000,84.400000,5.920000,18.923975,51.726480,49.208130,53.400000
202004,47.097000,2.352000,40.400000,3,13.733999,56.281040,38.043340,39.100000
202005,49.894000,3.264000,41.400000,3.230000,15.522408,56.097290,44.858870,40
202006,47.407000,3.014000,39.200000,3.270000,13.623677,52.541600,45.078800,41.700000
202007,45.525000,2.315000,37.300000,2.850000,14.575489,45.347100,51.266200,43.300000
202008,44.699000,2.122000,37.200000,2.440000,17.025428,42.491300,47.703400,44.400000
202009,47.794000,2.367000,40.500000,3.340000,17.366927,38.157500,51.902500,46.700000
202010,55.782000,2.471000,46.800000,3.890000,22.179391,37.435800,53.699400,50.700000
202011,62.633000,2.862000,51.700000,4.910000,21.456554,41.556800,49.462200,51.300000
202012,71.009000,3.215000,58.300000,5.720000,21.991688,40.813900,54.888800,52.500000
202101,73.609000,3.670000,60.400000,5.960000,24.244324,37.037900,58.709900,53.600000
202102,74.642000,3.756000,61.900000,5.590000,15.750770,35.435800,54.420600,51.300000
202103,95.993000,5.206000,81.100000,6.380000,18.737053,31.926200,65.129800,60.100000
202104,51.659000,3.139000,41.900000,4.860000,21.605274,27.099900,63.635600,54.200000
202105,53.393000,3.325000,42.100000,5.440000,20.848260,32.632405,53.330054,55
202106,51.116000,3.597000,40,5.270000,20.235686,32.688017,54.009137,51.200000
202107,54.238000,3.920000,42.600000,4.870000,17.384805,26.948500,57.254100,50.400000
202108,53.896000,3.694000,42.600000,4.960000,14.572652,16.928957,59.628221,48.600000
202109,51.798000,3.520000,40.700000,4.540000,15.562742,11.412400,55.794200,48.400000
202110,63.982000,3.723000,49.800000,5.300000,21.742169,14.020300,57.699300,56.500000
202111,67.988000,3.271000,53.800000,5.610000,16.060804,21.303400,52.364200,56.700000
202112,74.904000,3.895000,60.200000,5.650000,13.624526,25.586300,59.009800,60.600000
202201,79.518000,4.609000,64.500000,6.020000,12.248513,26.356500,60.811000,60.800000
202202,79.490000,4.702000,64.300000,6.040000,13.204605,27.637200,58.898500,57.500000
202203,96.208000,6.095000,80.300000,6.450000,22.453227,27.228466,68.089065,62
202204,67.255000,3.580000,53.500000,5.320000,19.539049,23.197450,69.535349,57.400000
202205,71.194000,4.257000,54.700000,6.040000,20.671098,23.685819,68.894690,61.200000
202206,67.369000,4.618000,51.600000,5.560000,27.264520,26.763252,66.996368,58.900000
202207,60.234000,3.270000,47.300000,3.290000,23.378955,30.229700,61.344800,54.500000
202208,58.091000,2.922000,46.200000,4.100000,21.836064,29.618200,60.864400,51.200000
202209,58.070000,2.732000,45.700000,4.930000,19.919305,26.352884,61.665169,48.900000
202210,66.386000,3.363000,52.900000,5.220000,17.553222,28.337000,58.342900,53.700000
202211,76.122000,3.448000,60.700000,6.050000,19.249344,31.123800,61.043600,59.400000
202212,84.108000,3.641000,66.400000,6.730000,18.285942,32.458096,66.403716,62.700000
202301,90.544000,4.169000,71.900000,6.870000,14.521190,33.486670,68.654677,64.400000
202302,86.512000,4.188000,68.800000,6.030000,17.946896,33.686770,63.310683,58.300000
202303,107.305000,4.802000,83.500000,7.010000,19.841068,37.221203,69.734184,64.200000
202304,73.261000,3.196000,57.600000,5.570000,20.114442,35.867882,71.290617,62.300000
202305,76.192000,3.501000,59.900000,5.870000,28.284738,36.619932,71.506656,63.700000
202306,73.923000,3.253000,58,5.650000,23.147982,35.292536,69.433328,60.800000
202307,69.420000,3.255000,53.700000,4.300000,19.000058,34.742309,67.204074,59.500000
202308,67.761000,2.770000,52.300000,5.020000,19.285491,29.292451,71.417893,59.100000
202309,67.265000,2.909000,51.400000,4.900000,19.139067,23.201307,71.395589,55.200000
202310,78.562000,3.459000,61.100000,5.790000,26.629608,20.567460,75.718153,61.700000
202311,84.551000,3.299000,66,6.080000,23.575509,27.232917,67.158244,62.900000
202312,92.991000,3.982000,71.900000,6.470000,22.822971,35.269383,67.889746,67
202401,100.078000,4.114000,78.400000,6.640000,21.190324,39.440348,73.474416,67.100000
202402,96.602000,4.164000,74.800000,6.420000,21.625463,44.633031,68.749907,65.300000
202403,116.644000,4.940000,88.600000,7.300000,22.128507,50.512496,74.478554,68.800000
202404,78.714000,4.041000,61.800000,5.480000,22.718958,48.208747,77.068805,64.200000
202405,83.967000,4.312000,64.400000,5.730000,25.310944,47.985495,79.738421,69.400000
202406,84.719000,3.982000,63.100000,5.500000,21.447228,47.244775,76.263354,65.200000
202407,74.005000,3.451000,55,4.230000,22.103212,45.628857,72.786097,60.500000
202408,62.629000,3.278000,46.100000,3.760000,20.974662,39.718111,69.740113,52.700000
202409,68.903000,3.348000,50.900000,3.750000,18.534392,36.741321,68.266719,54.400000
202410,84.628000,3.068000,62.500000,5.390000,20.103079,35.122346,75.807442,61.400000
202411,90.809000,3.220000,67.200000,6.310000,19.221864,40.112485,68.470745,63
202412,97.937000,3.590000,72.400000,6.610000,15.626228,45.360619,70.642975,68.600000
202501,104.588000,3.884000,77.800000,6.970000,22.366411,50.444031,73.056038,68.600000
202502,98.247000,3.945000,74.100000,6.360000,17.827276,54.179133,70.016052,62.100000
202503,118.540000,5.175000,85.800000,8.910000,20.588016,57.877474,78.306279,69
202504,81.528000,3.163000,62.100000,4.990000,24.474157,56.185364,76.152538,63.400000
202505,86.350000,3.194000,63.500000,5.820000,25.331445,59.812462,73.735315,64
202506,78.982000,3.340000,57.800000,5.170000,21.754382,61.289800,,60.400000
202507,64.860000,3.300000,46.400000,4.200000,21.152790,54.182513,70.921895,53.700000
202508,,,50.400000,4,,50.483300,,56.700000
