"YYYYMM","Coal/Lignite","Natural gas","Hydro","Nuclear","Renewables"
200907,79.208880,16.385610,36.916760,4.120000,13.242410
200908,80.283880,16.385610,36.916760,4.120000,13.242410
200909,80.395880,16.448850,36.885400,4.120000,13.310210
200910,81.355880,16.822850,36.885400,4.120000,13.310210
200911,81.605880,16.822850,36.885400,4.120000,15.225350
200912,81.605880,17.055850,36.885400,4.120000,15.225350
201001,82.095880,17.055850,36.885400,4.120000,15.427100
201002,82.343380,17.055850,36.863400,4.340000,15.427100
201003,84.198380,17.055850,36.863400,4.560000,15.521110
201004,84.448380,17.055850,36.863400,4.560000,15.521110
201005,85.193380,17.055850,36.913400,4.560000,16.429420
201006,86.003380,17.220850,36.953400,4.560000,16.429420
201007,87.093380,17.353850,37.033400,4.560000,16.429420
201008,87.858380,17.374850,37.086400,4.560000,16.429420
201009,87.943380,17.374850,37.328400,4.560000,16.429420
201010,89.778380,17.624850,37.328400,4.560000,16.786980
201011,89.778380,17.384850,37.367400,4.560000,16.786980
201012,92.378380,17.456350,37.367400,4.560000,16.786980
201101,92.638380,17.456350,37.367400,4.780000,16.786980
201102,92.418380,17.706350,37.367400,4.780000,18.454520
201103,93.918380,17.706350,37.567400,4.780000,18.454520
201104,94.653380,17.706350,37.567400,4.780000,18.454520
201105,94.953380,17.706350,37.817400,4.780000,18.454520
201106,96.743380,17.706350,38.106400,4.780000,18.454520
201107,98.403380,17.706350,38.106400,4.780000,20.162240
201108,99.503380,17.706350,38.206400,4.780000,20.162240
201109,99.753380,17.742850,38.706400,4.780000,20.162240
201110,100.098380,17.742850,38.706400,4.780000,20.162240
201111,102.863380,17.742850,38.748400,4.780000,20.162240
201112,104.021380,17.742850,38.748400,4.780000,20.162240
201201,104.816380,17.742850,38.848400,4.780000,20.162240
201202,105.437380,18.093850,38.848400,4.780000,22.233170
201203,112.022380,18.381050,38.990400,4.780000,24.503440
201204,113.782380,18.381050,38.990400,4.780000,24.503450
201205,114.782380,18.653050,39.060400,4.780000,24.503450
201206,116.333380,18.903050,39.291400,4.780000,24.832680
201207,117.283380,18.903050,39.291400,4.780000,24.998460
201208,117.833380,18.903050,39.291400,4.780000,24.998460
201209,118.703380,18.903050,39.291400,4.780000,24.998460
201210,120.103380,18.903050,39.291400,4.780000,24.998460
201211,120.873380,18.903050,39.324400,4.780000,25.856140
201212,120.873380,18.903050,39.339400,4.780000,25.856140
201301,121.610880,18.903050,39.416400,4.780000,25.856140
201302,123.695880,19.648850,39.449400,4.780000,25.856140
201303,130.220890,20.109850,39.491400,4.780000,27.541710
201304,130.370890,20.109850,39.623400,4.780000,27.541710
201305,131.628390,20.359850,39.623400,4.780000,27.541710
201306,132.288390,20.359850,39.623400,4.780000,27.541710
201307,132.288390,20.359850,39.623400,4.780000,27.541710
201308,133.188390,20.380850,39.623400,4.780000,28.184350
201309,134.388390,20.380850,39.788400,4.780000,28.184350
201310,134.888390,20.380850,39.818400,4.780000,28.184350
201311,136.448390,20.380850,39.893400,4.780000,29.462550
201312,138.213390,20.380850,39.893400,4.780000,29.462550
201401,138.903390,20.380850,39.875400,4.780000,29.462550
201402,140.723390,21.381850,40.195400,4.780000,29.462550
201403,145.273390,21.781850,40.531410,4.780000,31.692140
201404,145.408390,21.781850,40.531410,4.780000,31.692140
201405,147.568390,22.607950,40.661410,4.780000,31.692140
201406,148.478390,22.607950,40.730090,4.780000,31.692140
201407,149.178390,22.607950,40.798760,4.780000,31.692140
201408,152.310890,22.607950,40.798760,4.780000,31.692140
201409,152.970890,22.607950,40.798760,4.780000,31.692140
201410,153.570890,22.607950,40.798760,4.780000,31.692140
201411,153.570890,22.971250,40.798760,4.780000,31.692140
201412,154.170890,22.971250,40.867430,4.780000,31.692140
201501,156.190890,22.971250,40.867430,5.780000,31.692140
201502,158.495890,22.971250,40.867430,5.780000,31.692140
201503,164.635880,23.062150,41.267430,5.780000,35.776960
201504,165.235880,23.062150,41.632430,5.780000,35.776960
201505,165.257880,23.062150,41.632430,5.780000,35.776960
201506,167.207880,23.062150,41.997420,5.780000,36.470640
201507,167.707880,22.962150,41.997420,5.780000,36.470640
201508,168.207880,23.333150,41.997420,5.780000,36.470640
201509,169.117880,24.088150,42.283420,5.780000,36.470640
201510,170.137880,24.473030,42.473420,5.780000,36.470640
201511,170.137880,24.473030,42.623420,5.780000,37.415530
201512,173.017880,24.473030,42.623420,5.780000,38.821510
201601,175.237880,24.508630,42.663420,5.780000,38.821510
201602,175.857880,24.508630,42.703420,5.780000,38.821510
201603,185.172880,24.508630,42.783420,5.780000,42.849380
201604,185.992880,24.508630,42.783420,5.780000,42.849380
201605,186.242880,24.508630,42.783430,5.780000,42.849380
201606,186.212880,24.508630,42.848430,5.780000,44.236920
201607,186.292880,24.643630,42.888430,5.780000,44.236920
201608,186.592880,25.057130,42.968430,5.780000,44.236920
201609,187.252880,25.057130,43.112430,5.780000,45.916950
201610,186.492880,25.057130,43.112430,5.780000,45.916950
201611,187.802880,25.282130,43.133430,5.780000,45.916950
201612,188.967880,25.282130,43.139430,5.780000,50.018000
201701,188.487880,25.329380,44.189430,5.780000,50.018000
201702,189.047880,25.329380,44.413430,5.780000,50.018000
201703,192.162880,25.329380,44.478420,6.780000,57.244230
201704,194.402880,25.329380,44.594420,6.780000,57.260230
201705,195.602880,25.185380,44.594420,6.780000,57.260230
201706,194.552880,25.185380,44.614420,6.780000,58.303350
201707,194.432880,25.185380,44.614420,6.780000,58.303350
201708,193.466500,25.185380,44.653420,6.780000,58.303350
201709,193.426500,25.185380,44.765420,6.780000,60.157660
201710,193.426500,25.150380,44.765420,6.780000,60.157660
201711,192.971500,25.150380,44.963420,6.780000,60.157660
201712,192.971500,25.150380,44.963420,6.780000,62.846900
201801,193.821500,25.150380,44.963420,6.780000,62.846900
201802,193.821500,24.897460,44.963420,6.780000,62.846900
201803,197.171500,24.897460,45.293420,6.780000,69.022390
201804,196.957500,24.897460,45.293420,6.780000,69.022390
201805,196.957500,24.897460,45.403420,6.780000,69.022390
201806,196.957500,24.897460,45.403420,6.780000,70.648610
201807,196.097500,24.867460,45.457420,6.780000,70.648610
201808,196.097500,24.867460,45.457420,6.780000,70.648610
201809,196.097500,24.867460,45.487420,6.780000,72.012810
201810,195.992500,24.937220,45.487420,6.780000,73.350000
201811,196.652500,24.937220,45.399220,6.780000,73.715830
201812,197.452500,24.937220,45.399220,6.780000,74.081660
201901,197.452500,24.937220,45.399220,6.780000,75.055920
201902,197.352500,24.937220,45.399220,6.780000,75.055920
201903,200.704500,24.937220,45.399220,6.780000,78.316435
201904,200.704500,24.937220,45.399220,6.780000,79.033850
201905,200.704500,24.937220,45.399220,6.780000,80.046730
201906,200.749500,24.937220,45.399220,6.780000,80.467192
201907,202.069500,24.937220,45.399220,6.780000,81.307612
201908,202.529500,24.937220,45.399220,6.780000,82.014187
201909,203.154500,24.937220,45.399220,6.780000,82.588950
201910,203.954500,24.937220,45.399220,6.780000,83.379497
201911,203.954500,24.937220,45.399220,6.780000,84.399900
201912,205.254500,24.937220,45.399220,6.780000,85.908407
202001,204.724500,24.955360,45.399220,6.780000,86.321027
202002,204.724500,24.955360,45.699220,6.780000,86.759185
202003,205.344500,24.955360,45.699220,6.780000,87.027675
202004,205.134500,24.955360,45.699220,6.780000,87.268740
202005,205.134500,24.991510,45.699220,6.780000,87.384015
202006,205.404500,24.991510,45.699220,6.780000,87.669185
202007,205.954500,24.991510,45.699220,6.780000,88.041910
202008,205.954500,24.956510,45.699220,6.780000,88.793425
202009,205.854500,24.956510,45.699220,6.780000,89.229415
202010,205.854500,24.956510,45.699220,6.780000,89.635645
202011,205.854500,24.956510,45.699220,6.780000,90.399105
202012,206.124500,24.956510,45.798220,6.780000,91.153805
202101,206.404500,24.956510,46.059220,6.780000,92.550735
202102,207.704500,24.956510,46.209220,6.780000,92.970475
202103,209.294500,24.924010,46.209220,6.780000,94.433785
202104,209.294500,24.924010,46.209220,6.780000,95.012590
202105,209.294500,24.924010,46.209220,6.780000,95.656245
202106,208.624500,24.924010,46.322220,6.780000,96.955510
202107,209.424500,24.924010,46.367220,6.780000,98.882715
202108,208.824500,24.924010,46.412220,6.780000,100.683315
202109,208.614500,24.899510,46.512220,6.780000,101.532845
202110,209.034500,24.899510,46.512220,6.780000,103.055245
202111,209.284500,24.899510,46.512220,6.780000,104.031305
202112,209.809500,24.899510,46.512220,6.780000,104.878530
202201,210.519500,24.899510,46.512220,6.780000,105.854125
202202,210.519500,24.899510,46.524520,6.780000,106.374625
202203,210.699500,24.899510,46.722520,6.780000,109.885375
202204,210.699500,24.899510,46.722520,6.780000,111.398995
202205,210.699500,24.879210,46.722520,6.780000,113.226465
202206,210.699500,24.856210,46.850170,6.780000,114.064010
202207,210.699500,24.856210,46.850170,6.780000,114.437390
202208,210.699500,24.856210,46.850170,6.780000,116.077640
202209,210.699500,24.824210,46.850170,6.780000,118.080350
202210,210.605500,24.824210,46.850170,6.780000,119.092590
202211,210.605500,24.824210,46.850170,6.780000,119.512170
202212,210.395500,24.824210,46.850170,6.780000,120.848290
202301,211.055500,24.824210,46.850170,6.780000,121.549540
202302,211.055500,24.824210,46.850170,6.780000,122.113080
202303,211.855500,24.824210,46.850170,6.780000,125.159830
202304,211.855500,24.824210,46.850170,6.780000,125.692330
202305,211.855500,24.824210,46.850170,6.780000,126.769040
202306,212.515500,24.824210,46.850170,7.480000,129.642550
202307,212.515500,25.038210,46.850170,7.480000,130.886230
202308,212.815500,25.038210,46.850170,7.480000,131.514620
202309,213.665500,25.038210,46.850170,7.480000,131.783390
202310,213.445500,25.038210,46.850170,7.480000,132.132440
202311,213.445500,25.038210,46.880170,7.480000,132.698520
202312,214.395500,25.038210,46.910170,7.480000,133.886180
202401,214.809510,25.038210,46.928170,7.480000,135.116360
202402,217.589510,25.038210,46.928170,7.480000,136.570090
202403,217.589510,25.038210,46.928170,8.180000,143.644510
202404,217.589510,24.818210,46.928170,8.180000,144.751550
202405,217.589510,24.818210,46.928170,8.180000,146.651790
202406,217.589510,24.818210,46.928170,8.180000,148.084640
202407,217.589510,24.818210,46.928170,8.180000,150.276360
202408,217.589510,24.818210,46.928170,8.180000,152.654480
202409,217.649510,24.818210,46.928170,8.180000,154.529740
202410,217.649510,24.818210,46.968170,8.180000,156.247100
202411,217.649510,24.818210,46.968170,8.180000,158.552410
202412,219.033010,24.818210,46.968170,8.180000,162.476580
202501,220.493010,24.818210,46.968170,8.180000,165.202210
202502,221.813010,25.188260,46.968170,8.180000,167.709530
202503,221.813010,24.533260,47.728160,8.180000,172.368180
202504,219.338010,20.132410,47.928160,8.780000,175.700230
202505,219.338010,20.132410,47.928160,8.780000,178.822600
202506,221.318010,20.132410,49.378160,8.780000,184.621040
