"YYYYMM","Diesel","Petrol","LPG","All others"
201802,6.539624,2.088473,1.940312,6.207309
201803,7.348949,2.403780,2.058855,6.816006
201804,7.173300,2.283700,1.863900,6.429000
201805,7.566600,2.456700,2.050300,6.549400
201806,7.342200,2.378700,1.930400,6.426700
201807,6.610400,2.316000,2.032600,6.134200
201808,6.187000,2.362700,2.119500,5.957850
201809,6.027000,2.232500,2.059800,5.746850
201810,7.023600,2.332200,2.064300,6.242000
201811,6.940900,2.318900,1.840600,5.881600
201812,7.388700,2.395000,2.165000,6.861800
201901,7.072300,2.373800,2.308800,6.764800
201902,6.737100,2.256500,2.209500,6.237800
201903,7.459100,2.577600,2.262100,7.265000
201904,7.323868,2.459124,1.900290,6.657618
201905,7.788688,2.737414,2.054195,6.636217
201906,7.451632,2.638672,1.793347,5.795221
201907,6.841728,2.522908,2.219159,6.404797
201908,6.117211,2.574929,2.401712,6.036057
201909,5.837595,2.372295,2.163815,5.815355
201910,6.510229,2.539307,2.348149,5.945861
201911,7.565553,2.534738,2.260659,6.151576
201912,7.387314,2.473264,2.354146,6.730843
202001,6.956408,2.456156,2.435053,6.898175
202002,7.161954,2.510953,2.105801,6.325990
202003,5.659831,2.155727,2.293455,5.821636
202004,3.252109,0.973005,2.113066,3.035230
202005,5.494375,1.770531,2.296142,5.830905
202006,6.298708,2.282273,2.064079,5.412927
202007,5.506423,2.260928,2.257703,5.560927
202008,4.842673,2.381723,2.261909,4.903678
202009,5.486672,2.450790,2.261370,4.930940
202010,7.001114,2.654613,2.420577,5.647654
202011,7.039039,2.665346,2.351803,7.285456
202012,7.191979,2.705883,2.523288,5.939410
202101,6.806432,2.611321,2.490092,5.733882
202102,6.568502,2.472283,2.262014,5.367752
202103,7.224701,2.740299,2.256383,6.406414
202104,6.675632,2.385958,2.102151,5.159722
202105,5.532189,1.990985,2.156271,4.899122
202106,6.195273,2.409179,2.251484,4.835988
202107,6.134223,2.630347,2.356784,5.215761
202108,5.602954,2.692056,2.316699,4.599394
202109,5.512956,2.597937,2.355780,5.132836
202110,6.616313,2.750483,2.481017,5.729267
202111,6.505852,2.645237,2.335974,5.227837
202112,7.302331,2.815852,2.469328,6.314555
202201,6.365635,2.472984,2.562195,6.346603
202202,6.510922,2.549796,2.393473,6.043189
202203,7.704439,2.908142,2.472331,6.431220
202204,7.199201,2.797371,2.157464,6.300867
202205,7.287408,3.016921,2.158680,5.906670
202206,7.673903,2.968470,2.225499,5.656977
202207,6.633360,2.808354,2.403588,5.903885
202208,6.342573,3.005643,2.388167,5.705160
202209,6.252520,2.827021,2.440862,5.352064
202210,6.986032,2.996488,2.394043,6.202110
202211,7.762962,2.860924,2.461306,6.015698
202212,7.787434,2.983707,2.569591,6.197918
202301,7.178067,2.827477,2.506878,5.998184
202302,7.002787,2.776401,2.391296,6.488945
