"YYYYMM","coking coal","steam coal","coke","others"
2009.871233,2.247550,3.603600,0.346460,1.080010
2009.954795,3.149950,2.947590,0.071720,1.219430
2010.039726,2.109800,3.008520,0.097320,1.642200
2010.120548,2.083950,2.413270,0.207550,1.035330
2010.201370,1.752830,2.664730,0.047480,1.363820
2010.284932,1.683240,4.020600,0.083190,1.314410
2010.368493,2.470500,4.673500,0.264570,1.066940
2010.452055,2.596610,3.266270,0.373530,0.995850
2010.535616,2.416970,3.938310,0.038910,0.334880
2010.620548,2.058670,3.246000,0.152930,0.505010
2010.704110,1.713840,2.982160,0.000640,0.648680
2010.787671,1.208950,3.238640,0.084600,0.465060
2010.871233,0.766540,3.251920,0.000100,0.294030
2010.954795,1.501770,3.027400,0.081160,0.108030
2011.039726,1.286060,2.612680,0.042330,0.660920
2011.120548,0.714480,4.450580,0.124380,0.620440
2011.201370,1.066290,3.329300,0.243880,0.382070
2011.284932,2.181600,4.572120,0.251340,0.915640
2011.368493,2.116430,6.259160,0.160680,0.863400
2011.452055,2.527260,5.085290,0.146310,1.668660
2011.535616,3.677220,4.670260,0.262730,2.082230
2011.620548,2.269650,5.154240,0.342660,1.333680
2011.704110,3.061580,4.424820,0.110000,1.342510
2011.787671,2.357130,3.766540,0.114250,1.286710
2011.871233,2.840240,3.777980,0.179530,1.151550
2011.954795,2.840570,5.020080,0.125510,1.167410
2012.039617,2.856550,3.415470,0.204020,0.945820
2012.121585,3.012940,3.741920,0.198610,1.852840
2012.203552,2.059830,5.395860,0.269050,1.157480
2012.286885,2.767280,7.523850,0.211100,0.486690
2012.370219,3.507030,8.641100,0.300540,0.150120
2012.453552,3.622470,7.876030,0.263580,0.389880
2012.536885,3.286510,6.467800,0.269620,0.293160
2012.621585,3.864980,8.238290,0.351130,0.193100
2012.704918,2.648300,7.597860,0.270420,0.158960
2012.788251,2.654750,8.584590,0.221000,0.346480
2012.871585,2.592120,11.066010,0.130280,0.124760
2012.954918,1.956550,11.402640,0.338340,0.287460
2013.039726,3.910160,10.580230,0.178420,0.316500
2013.120548,2.307770,8.328530,0.254190,0.493490
2013.201370,2.439070,10.368300,0.288640,0.316590
2013.284932,2.402120,10.446360,0.272690,0.393650
2013.368493,2.714090,10.711060,0.266260,0.685470
2013.452055,2.643280,12.212120,0.319490,0.545920
2013.535616,2.798040,12.250010,0.391360,0.444970
2013.620548,2.877290,11.320870,0.328390,0.516460
2013.704110,2.841540,8.044560,0.206930,0.282680
2013.787671,3.417180,10.243180,0.404310,1.184630
2013.871233,3.530200,8.287550,0.416600,0.452010
2013.954795,3.911510,9.601420,0.309370,0.628020
2014.039726,3.531670,9.938740,0.445520,1.624840
2014.120548,2.505340,6.906560,0.366610,0.728690
2014.201370,3.699900,11.357970,0.439670,1.181750
2014.284932,3.442670,11.614620,0.387210,1.160690
2014.368493,3.152840,11.192560,0.335880,1.332020
2014.452055,4.386380,11.178200,0.489860,0.979790
2014.535616,3.678110,11.140320,0.280430,1.701030
2014.620548,2.986640,9.827170,0.257800,1.098460
2014.704110,3.993020,11.613070,0.107090,1.582920
2014.787671,2.544400,10.350690,0.241590,2.158670
2014.871233,3.430970,15.748330,0.329730,3.093390
2014.954795,3.495780,13.724060,0.176280,1.409990
2015.039726,4.079520,15.613880,0.248000,2.622000
2015.120548,4.430680,10.118730,0.220950,2.018130
2015.201370,4.094280,13.210140,0.215510,3.903580
2015.284932,3.885640,12.212320,0.236600,2.685350
2015.368493,3.612480,9.907350,0.285670,5.216350
2015.452055,3.959990,11.071420,0.224010,2.880190
2015.535616,3.941620,8.117570,0.340800,2.373870
2015.620548,3.532810,8.884060,0.289150,2.133130
2015.704110,3.729360,7.884800,0.173740,1.992860
2015.787671,4.705760,9.572920,0.186690,2.166440
2015.871233,3.133620,11.134290,0.243890,1.651920
2015.954795,3.577460,10.824180,0.326020,2.296480
2016.039617,3.168080,12.997500,0.323140,2.539420
2016.121585,4.011880,13.802410,0.243360,3.391550
2016.203552,3.302480,11.204700,0.146450,2.500250
2016.286885,3.001540,12.326260,0.425990,3.212880
2016.370219,3.095220,12.476190,0.398410,3.059520
2016.453552,3.867600,12.802110,0.460310,1.785470
2016.536885,3.415430,11.711840,0.355180,1.321560
2016.621585,3.723260,9.968740,0.493030,1.749600
2016.704918,3.668410,9.646680,0.479480,1.820240
2016.788251,3.521440,10.376710,0.462040,1.519190
2016.871585,3.451020,8.435990,0.327490,1.400870
2016.954918,3.797540,9.552940,0.283700,1.646600
2017.039726,3.357920,9.385880,0.223200,1.326770
2017.120548,3.539540,9.722520,0.215810,0.865570
2017.201370,3.204860,11.587390,0.243430,1.670200
2017.284932,3.639370,12.766050,0.316510,1.883200
2017.368493,3.351230,13.351990,0.350690,1.276700
2017.452055,3.600990,10.516010,0.471440,1.279670
2017.535616,3.816560,9.373210,0.394230,1.411470
2017.620548,4.314190,9.451150,0.504940,1.549110
2017.704110,3.888510,10.201330,0.330530,2.091930
2017.787671,4.335270,12.043820,0.350470,1.990330
2017.871233,3.945640,12.516920,0.419140,1.510130
2017.954795,3.790510,13.611950,0.210150,2.068110
2018.039726,4.324870,12.718130,0.451470,1.787710
2018.120548,3.353340,10.943510,0.321520,1.867100
2018.201370,4.642770,13.403690,0.467920,1.638380
2018.284932,4.707870,11.038520,0.413500,1.815610
2018.368493,4.028110,13.363090,0.494320,1.450490
2018.452055,4.501850,12.797620,0.488800,1.966480
2018.535616,3.838390,12.446970,0.355580,1.913880
2018.620548,4.978680,13.037820,0.526120,1.053930
2018.704110,3.878220,11.025890,0.454580,3.769750
2018.787671,4.024400,13.121490,0.535730,4.370930
2018.871233,4.398080,12.504860,0.323660,3.191320
2018.954795,4.951360,11.317220,0.343790,3.201290
2019.039726,4.108950,13.729660,0.390780,4.054530
2019.120548,4.157510,11.105060,0.364500,3.840570
2019.201370,4.264270,14.330540,0.241990,3.079830
2019.284932,4.185860,16.375890,0.288730,4.170290
2019.368493,4.550160,14.110290,0.367400,5.128480
2019.452055,4.851720,13.072440,0.184290,3.391360
2019.535616,4.533240,10.875540,0.332790,4.291400
2019.620548,4.445570,10.023470,0.256020,3.016130
2019.704110,3.781490,11.814650,0.136600,1.974250
2019.787671,3.534230,12.791970,0.266090,2.833200
2019.871233,4.184750,15.061600,0.170890,2.590870
2019.954795,4.733780,13.518560,0.241390,2.822900
2020.039617,4.591610,13.233050,0.215910,2.760830
2020.121585,4.153080,15.310920,0.207720,3.028300
2020.203552,4.287250,11.096990,0.244960,3.426530
2020.286885,3.249420,8.681900,0.081540,1.793410
2020.370219,3.660830,9.779220,0.214000,1.942890
2020.453552,2.795250,9.047670,0.128230,1.717290
2020.536885,2.332660,9.819190,0.173890,2.444800
2020.621585,3.459320,11.443510,0.159360,2.035790
2020.704918,4.516650,10.268140,0.220420,2.396120
2020.788251,4.994740,13.644180,0.267700,3.355650
2020.871585,4.727480,14.445190,0.332820,2.093360
2020.954918,5.415910,13.560420,0.321660,2.773650
2021.039726,5.988060,15.205010,0.281660,2.959950
2021.120548,4.561430,10.452120,0.096980,1.068780
2021.201370,5.495810,10.584820,0.184780,2.558670
2021.284932,4.287117,13.613367,0.304681,3.542443
2021.368493,4.883109,13.340053,0.271065,2.480317
2021.452055,4.454980,12.999740,0.117397,2.334808
2021.535616,4.994577,9.129341,0.344542,2.427862
2021.620548,4.686780,8.063804,0.169974,1.866857
2021.704110,4.711568,9.808687,0.133808,1.109751
2021.787671,6.228644,12.080789,0.209023,3.310679
2021.871233,5.530469,8.826324,0.098429,1.752874
2021.954795,3.569304,8.494779,0.388763,1.821201
2022.039726,4.253108,6.678437,0.150121,1.425767
2022.120548,4.651346,7.195280,0.170013,1.414757
2022.201370,4.803168,15.437353,0.473616,2.191565
2022.284932,4.835750,12.684357,0.311634,1.779209
2022.368493,5.044838,14.607290,0.177814,0.994981
2022.452055,5.294551,19.694740,0.221391,2.166993
2022.535616,3.817437,17.897310,0.336592,1.404506
2022.620548,5.272633,15.611026,0.208218,0.880320
2022.704110,4.439956,13.660670,0.185730,1.785090
2022.787671,4.594450,10.973281,0.319495,1.561659
2022.871233,4.950967,12.421663,0.525410,1.436775
2022.954795,4.957453,10.975164,0.366102,2.131008
2023.039726,4.565247,9.132953,0.230108,0.693051
2023.120548,4.075559,11.333428,0.377391,2.342864
2023.201370,4.203826,12.749136,0.379411,2.713007
2023.284932,4.593580,13.331276,0.243338,2.092414
2023.368493,5.379297,20.096384,0.493810,2.432344
2023.452055,5.618817,15.234174,0.345817,2.095613
2023.535616,5.300289,12.056221,0.305827,1.461508
2023.620548,4.697449,12.324100,0.249115,2.109840
2023.704110,3.804732,12.978364,0.196372,2.207217
2023.787671,4.683765,20.176987,0.320101,1.532540
2023.871233,4.865021,16.847873,0.286059,1.738474
2023.954795,4.749519,16.167828,0.410415,1.648117
2024.039617,4.593920,14.642635,0.403151,1.760491
2024.121585,4.999274,14.272257,0.399928,1.978440
2024.203552,4.832099,15.397265,0.318150,1.736885
2024.286885,5.166711,15.474541,0.309741,1.776299
2024.370219,5.269456,17.799459,0.437147,1.971383
2024.453552,5.385576,13.933824,0.512516,1.775604
2024.536885,4.920332,14.810698,0.480794,2.082427
2024.621585,5.392932,13.900866,0.399725,1.397206
2024.704918,4.038405,12.633660,0.360670,1.655443
2024.788251,4.126972,13.745050,0.378422,1.994321
2024.871585,4.623462,12.459142,0.607207,1.656569
2024.954918,3.534744,9.839147,0.518926,1.917143
2025.039726,5.840195,14.346885,0.364880,2.023432
2025.120548,4.359653,11.432669,0.135382,1.841076
2025.201370,4.411575,14.151347,0.483241,1.738393
2025.284932,5.927031,16.137725,0.372786,2.207355
2025.368493,5.392098,17.337610,0.431678,2.323632
2025.452055,5.507161,14.285898,0.346388,1.774278
2025.535616,6.440300,12.595025,0.264342,2.049871
2025.620548,5.226404,11.198040,0.273814,2.656926
2025.704110,4.853122,10.917721,0.246077,2.196993
2025.787671,5.724173,13.915058,0.339741,1.156646
