"YYYYMM","Flaring/losses","Domestic","Imports"
201805,65.659529,2662.279664,2494.314965
201806,65.035630,2612.776587,2542.094979
201807,61.739920,2651.781060,2579.266338
201808,70.201600,2717.856903,2275.560992
201809,65.234373,2618.904845,2521.346157
201810,74.449949,2723.204745,2576.096077
201811,64.752928,2667.020603,2256.240193
201812,71.251015,2795.242771,2276.282534
201901,69.389035,2772.063657,2180.784674
201902,69.679188,2496.071249,1818.546216
201903,76.478409,2739.480364,2349.540814
201904,76.714214,2579.172212,2443.608876
201905,77.902053,2660.987706,2362.937088
201906,78.456844,2557.639352,2752.271388
201907,79.169233,2638.748671,2322.069597
201908,77.113729,2611.119061,2894.799363
201909,77.166361,2490.944131,2570.477876
201910,71.702562,2569.334516,2836.826085
201911,67.624185,2495.780861,2580.771138
201912,71.184478,2539.197709,2441.686773
202001,78.384646,2529.955098,2703.861906
202002,83.288778,2257.226271,3539.950907
202003,88.484751,2326.943920,2902.742875
202004,95.249525,2066.074241,1647.855102
202005,84.936768,2215.067100,2724.899176
202006,73.479239,2250.335960,2937.548944
202007,73.817056,2369.495536,3054.919210
202008,68.439713,2363.474647,2929.834905
202009,65.784290,2227.733482,2825.738640
202010,71.068873,2347.808909,3470.936817
202011,68.277429,2262.971309,2759.497494
202012,70.209946,2354.693433,2812.111282
202101,73.395231,2477.224110,2699.328082
202102,72.121914,2234.995813,2547.572185
202103,71.836153,2613.880790,2787.463450
202104,68.176363,2583.345306,2935.050207
202105,79.387597,2660.260501,2554.878910
202106,63.774246,2713.205568,2809.771737
202107,74.650026,2819.496800,2615.299358
202108,72.788427,2853.482339,2988.008602
202109,62.649123,2839.746416,2679.258451
202110,62.924463,2953.888805,2618.822722
202111,71.154371,2798.316205,2483.428034
202112,82.266331,2814.426638,2576.092883
202201,93.794221,2767.298241,2099.772429
202202,87.188592,2515.073453,2029.785527
202203,73.533471,2812.693341,2637.394170
202204,78.987570,2747.968713,2077.988018
202205,67.475095,2846.078685,2937.480614
202206,65.993847,2747.000827,2257.647538
202207,71.547371,2810.997306,2499.613039
202208,67.076022,2828.691323,2028.880084
202209,61.738091,2790.537032,1877.906362
202210,64.796753,2828.515424,1977.003660
202211,60.207464,2779.465707,2218.561107
202212,63.443785,2887.603928,2135.759411
202301,61.703127,2913.137474,1909.478622
202302,56.214036,2595.175824,1834.431343
202303,66.873967,2889.186839,2549.662190
202304,73.802480,2670.784550,2514.333972
202305,71.321214,2838.038926,2853.980174
202306,65.703419,2843.901562,2379.631385
202307,59.968148,3063.096604,2354.930934
202308,54.143140,3111.470751,2729.438599
202309,50.604200,2976.006564,2583.993934
202310,50.339924,3110.729547,2653.421667
202311,49.916352,2991.295683,2416.366748
202312,54.034866,3078.349520,2557.047305
202401,65.458825,3073.732678,2831.173611
202402,59.545453,2887.161270,2867.822205
202403,66.112293,3072.365055,3053.060945
202404,51.009984,2907.460859,2499.456243
202405,46.370008,3058.293918,3516.383002
202406,47.271119,2945.280342,3460.443445
202407,49.779067,3029.630210,3688.974247
202408,49.246552,2998.987641,3055.983893
202409,41.142776,2935.644013,2786.533932
202410,38.956081,3073.294376,3626.181532
202411,36.338837,2935.856325,2711.980386
202412,39.658766,3025.917796,2828.534618
202501,41.692731,3024.617855,2435.819050
202502,37.353503,2711.566184,2712.570915
202503,40.713342,2947.306661,2397.443841
202504,38.247947,2870,2778
202505,38.370598,2941,2865
202506,39.954294,2860,2754
202507,37.898545,2929,2872
202508,35.524024,2935,2912
202509,35.918626,2824,3233
202510,39.121250,2915,2844
202511,37,2863,2844
