"yyyymm","COL.CO2","OIL.CO2","GAS.CO2","CEM.CO2"
200802,,34.897419,7.302927,6.094204
200803,,35.704935,7.987284,6.761219
200804,,35.409245,7.646390,6.215473
200805,,35.938696,8.228003,6.166146
200806,,32.965137,6.768629,6.076730
200807,,33.576040,7.439875,5.882971
200808,,31.902054,7.780643,5.480390
200809,75.512215,33.581470,7.448466,5.775804
200810,79.067199,33.483475,8.000558,6.127632
200811,76.646829,34.350651,7.004398,5.961468
200812,78.712988,36.118746,7.276731,6.558658
200901,80.970233,36.380342,7.969971,6.685856
200902,77.252597,35.250232,6.559591,6.636108
200903,88.453737,37.841015,8.454697,7.483467
200904,81.954894,36.402479,7.978100,6.987048
200905,84.682265,36.396660,9.351085,6.924940
200906,80.661448,36.946628,9.561220,6.878680
200907,77.629632,35.482655,9.958092,6.727397
200908,77.150069,34.391576,10.661192,6.466973
200909,75.743704,34.628412,10.416252,6.177961
200910,83.399917,36.504041,10.446600,6.477057
200911,84.763934,35.787351,10.385922,6.522023
200912,91.284510,36.648184,10.720385,7.300446
201001,89.876079,35.669288,11.180415,7.534523
201002,84.252184,34.956489,10.456495,7.175866
201003,91.895317,37.340145,11.677612,8.087054
201004,87.269979,37.846484,11.147072,7.611582
201005,91.119655,38.451270,11.275185,7.531592
201006,84.102567,37.635978,10.778457,7.145723
201007,83.665243,36.745188,11.325366,6.724121
201008,80.069752,34.728259,11.047660,6.577431
201009,73.607727,33.440651,11.447273,6.512187
201010,83.855201,36.785107,11.248186,7.696031
201011,80.135948,36.225588,10.913445,6.262622
201012,86.133081,39.675185,11.623985,7.170508
201101,87.589683,37.481906,11.265758,7.704048
201102,83.189946,35.726049,10.680414,7.683694
201103,88.003076,39.462503,11.951964,8.674302
201104,95.344297,39.464683,11.162081,7.590764
201105,93.485482,40.314642,10.789061,7.436583
201106,93.850031,38.329439,11.403569,7.274077
201107,99.022303,37.746188,12.179300,7.600681
201108,84.406119,35.956799,11.943885,7.185235
201109,80.078553,35.892630,11.510681,6.711738
201110,88.424550,38.209899,10.963741,7.796555
201111,96.498543,40.740677,11.274022,7.396793
201112,99.915675,40.779082,11.135759,8.260027
201201,100.113499,38.288992,11.546332,8.665606
201202,100.344781,38.691770,10.435160,8.562342
201203,104.268406,42.011793,11.378116,9.431443
201204,103.139592,40.256945,9.907246,8.430041
201205,111.751882,43.317250,10.557433,8.467913
201206,105.633939,41.839153,10.328434,8.170331
201207,100.640838,41.783123,10.633500,8.055173
201208,98.224191,40.004316,10.688932,7.367111
201209,92.675085,38.054348,10.017464,7.804589
201210,108.297190,41.211289,10.274177,8.506771
201211,105.862927,41.631174,10.142031,7.554701
201212,113.653035,42.723634,9.695972,9.221134
201301,119.964488,42.333223,9.922501,9.742887
201302,101.658053,39.150261,9.151868,9.015041
201303,116.055697,43.383474,9.271392,10.435527
201304,109.367831,41.152099,9.674531,9.429504
201305,112.613411,44.168391,9.517330,9.223317
201306,108.863944,41.159397,9.065237,8.571699
201307,107.824855,41.172605,8.504685,8.260675
201308,101.983279,40.157262,9.461652,7.923229
201309,103.707991,38.416894,8.532712,8.941295
201310,109.813745,41.785697,9.337432,8.767019
201311,108.528508,41.760018,9.018076,8.003224
201312,119.615420,42.300821,9.231811,9.506425
201401,122.810349,42.075906,9.093765,10.105333
201402,105.246119,39.873890,8.475485,9.370708
201403,128.425678,44.208758,9.180717,10.616031
201404,125.801123,41.526746,9.102745,10.363039
201405,126.410344,45.389034,9.209789,10.224504
201406,123.412737,43.954252,9.082606,9.931538
201407,119.087875,42.368168,8.779168,9.691585
201408,111.277786,41.116156,9.334438,8.760744
201409,111.664272,40.770540,8.717146,9.310228
201410,115.374641,41.266408,9.677442,8.694739
201411,130.549453,43.852115,8.747843,8.866228
201412,127.360631,46.062834,10.066355,9.890220
201501,137.195210,44.079166,8.961527,10.141218
201502,118.780360,44.214103,7.210012,9.596098
201503,134.760319,45.252896,8.273684,10.238853
201504,120.174317,45.489482,8.450292,10.105592
201505,129.850245,48.368749,8.774974,10.377090
201506,123.564048,46.302677,9.215090,10.088798
201507,114.711107,45.686193,9.246362,9.826405
201508,115.851269,45.339244,9.033736,9.232069
201509,116.783264,47.041240,9.263356,9.154351
201510,128.929561,48.304784,9.591508,9.749300
201511,120.639219,46.633041,9.270478,8.709544
201512,126.222479,49.405371,9.579613,10.288596
201601,132.298361,50.792929,8.921746,11.061784
201602,135.387766,50.581980,8.877387,10.875169
201603,132.972492,53.671754,9.173806,11.536409
201604,129.963620,51.005353,9.382093,10.522006
201605,135.795927,52.514516,9.726018,10.632126
201606,130.136600,51.726248,9.232657,11.122711
201607,116.975321,49.871922,9.456099,9.869013
201608,112.884700,53.643839,9.763601,9.492109
201609,118.985564,46.900103,9.938550,9.745623
201610,126.900235,52.299331,10.186353,10.329762
201611,124.859931,51.123346,9.522262,8.732532
201612,132.829890,50.465584,9.441895,9.362066
201701,131.710713,47.967494,8.880210,9.567088
201702,120.034068,48.297059,9.432208,9.124252
201703,137.630665,53.899554,10.024242,10.717818
201704,134.222912,53.159132,9.726534,9.939124
201705,134.730995,56.652655,9.731801,10.452315
201706,122.890897,51.860904,9.436400,10.722750
201707,117.322083,50.933846,9.908487,9.939431
201708,129.232698,52.933548,10.045774,9.528178
201709,125.728944,51.812370,10.234505,9.726891
201710,134.854032,54.569227,10.705701,10.166766
201711,132.731566,54.640685,10.915275,10.179730
201712,139.898579,55.832007,9.880866,10.982899
201801,144.645280,53.816622,10.349118,11.409692
201802,130.580387,51.599453,9.497957,11.196877
201803,152.053729,57.136841,11.348007,12.138287
201804,137.797566,55.141900,10.417781,12.089414
201805,145.416206,57.802250,10.458214,11.782052
201806,139.638045,56.556694,10.740618,12.221984
201807,130.568535,54.482065,10.620016,11.029766
201808,131.668191,52.873044,10.720356,10.906176
201809,136.069338,50.710934,10.744759,10.859473
201810,147.153103,55.186330,10.737491,12.026963
201811,140.226962,53.292424,10.064853,11.062762
201812,141.783020,58.485575,10.502060,12.241447
201901,147.863847,57.535574,10.290270,12.656780
201902,137.325220,53.981233,9.402133,12.085363
201903,157.383753,59.772886,10.567394,14.040741
201904,154.027213,56.948049,11.005443,12.360464
201905,157.747195,59.356402,10.389019,12.106982
201906,147.513057,55.170703,11.198994,11.988294
201907,138.812327,56.697525,11.207492,11.876389
201908,122.670991,54.531685,11.204924,10.349981
201909,117.339244,50.933546,10.910195,10.642885
201910,121.686395,54.499858,11.115768,11.103648
201911,132.030676,57.779263,10.474449,11.543216
201912,143.253789,58.946944,10.909913,12.909394
202001,150.683178,58.086489,11.013883,13.306150
202002,149.358033,55.861155,11.915581,13.025115
202003,135.725460,50.108874,10.948717,10.519959
202004,97.217030,30.564715,7.744364,1.824822
202005,112.610630,48.477697,10.216028,9.513234
202006,116.944779,49.951466,10.696772,11.172741
202007,126.587907,49.211124,11.178343,10.277921
202008,124.739495,45.516965,10.900863,8.846888
202009,132.575797,47.277275,10.407856,10.276649
202010,146.047749,54.906772,11.974462,11.457591
202011,140.548639,59.724652,10.349893,10.705620
202012,155.021510,56.357956,10.647268,11.981512
202101,165.963060,54.511660,10.673561,12.531290
202102,139.196521,51.011061,9.869971,13.045885
202103,166.427917,57.109307,11.127412,14.793984
202104,162.206703,50.428081,11.357946,12.893711
202105,146.119515,45.517046,10.764195,10.626354
202106,145.360411,49.175728,11.358311,12.011184
202107,148.698524,51.699226,11.201143,12.506281
202108,146.285926,48.148142,12.024201,12.061202
202109,140.173206,48.894728,11.347947,11.439788
202110,158.174570,54.477336,11.457697,13.125152
202111,139.922939,52.516081,10.882869,10.316918
202112,145.450039,58.440096,11.126610,13.681712
202201,149.477442,55.163492,10.085834,14.301006
202202,144.052701,53.738770,9.417322,13.597782
202203,177.168974,59.786365,11.229961,16.119894
202204,164.512078,57.319383,9.972142,13.851265
202205,168.267716,57.318035,11.895619,13.411273
202206,175.078964,57.861287,10.309020,14.380697
202207,152.404407,56.381190,10.942355,12.594025
202208,149.921663,55.425780,10.012201,12.320195
202209,146.497120,53.501886,9.616836,12.862343
202210,143.351499,57.799914,9.901740,12.579189
202211,157.033652,58.801374,10.283793,13.322258
202212,165.076382,61.033352,10.341884,14.983036
202301,164.445935,57.912759,9.930210,14.972439
202302,163.020558,57.366112,9.120032,14.606203
202303,171.594353,64.809465,11.193573,16.087255
202304,175.321227,57.999649,10.691805,15.516706
202305,192.105074,64.197425,11.717326,15.466264
202306,179.019121,60.312470,10.432622,15.730768
202307,,56.986010,,
202308,,,,
202309,,,,
202310,,,,
202311,,,,
202312,,,,
