"YYYYMM","Battery Electric","Petrol Blend","Petrol","Others"
201011,362,314,986480,2489
201012,307,343,894046,1204
201101,0,399,920291,950
201102,0,333,928526,1018
201103,0,377,1020622,1074
201104,0,353,891185,803
201105,0,355,990490,909
201106,0,343,1017476,1165
201107,0,346,961081,1164
201108,0,305,914194,1091
201109,0,264,951649,1070
201110,0,371,1017371,846
201111,0,404,1242491,1204
201112,0,290,935661,1095
201201,0,270,1056993,916
201202,0,309,1093470,991
201203,0,287,1177677,1283
201204,0,221,1035032,1000
201205,0,239,1119630,1945
201206,0,198,1071689,1299
201207,0,210,1049328,1381
201208,0,181,1017391,1295
201209,0,115,896285,1359
201210,0,142,973179,1056
201211,0,179,1307413,1260
201212,1,179,1121669,1521
201301,0,150,1148345,1028
201302,0,159,1088849,1165
201303,0,139,1078972,1337
201304,0,168,1114294,1389
201305,0,185,1176593,1502
201306,0,160,1070509,1285
201307,0,166,1048997,1363
201308,0,133,948777,998
201309,0,146,987304,1066
201310,0,155,1220278,894
201311,0,162,1382954,1060
201312,0,157,1103607,1174
201401,0,137,1235758,1077
201402,0,129,1102211,878
201403,0,159,1236400,1435
201404,0,154,1207986,1551
201405,0,185,1315268,1707
201406,0,241,1256372,1677
201407,0,166,1239320,1566
201408,0,133,1112363,1446
201409,0,119,1177449,1499
201410,0,118,1352097,1952
201411,0,120,1502877,2808
201412,0,116,1121913,2408
201501,0,138,1194161,2099
201502,0,178,1182755,1932
201503,0,170,1245102,2208
201504,0,148,1213583,1768
201505,0,140,1303907,1995
201506,0,124,1343093,2189
201507,0,156,1291478,1948
201508,0,139,1134188,1835
201509,0,141,1178170,1862
201510,0,141,1184026,1941
201511,0,163,1552305,2449
201512,0,102,1362640,3065
201601,0,93,1295603,1920
201602,0,94,1339389,1985
201603,0,106,1336004,2195
201604,0,135,1352543,2191
201605,0,124,1442381,3225
201606,0,170,1416939,2018
201607,0,173,1310831,1760
201608,0,104,1281823,1727
201609,0,131,1258155,1747
201610,0,109,1537426,1780
201611,0,120,1714484,2222
201612,0,123,1183978,1677
201701,105,100,1215403,2094
201702,75,73,1270853,1551
201703,131,80,1740599,1984
201704,96,98,1528617,1549
201705,90,110,1608539,1512
201706,134,82,1521042,1149
201707,116,63,1392908,831
201708,100,68,1331270,457
201709,109,60,1357542,399
201710,162,75,1790594,542
201711,214,79,1949661,558
201712,189,37,1355535,338
201801,0,47,1570227,387
201802,0,28,1442780,286
201803,0,27,1680233,289
201804,0,28,1644344,647
201805,0,31,1824062,243
201806,0,28,1643121,198
201807,0,28,1639666,182
201808,0,21,1507505,198
201809,0,18,1481515,117
201810,0,20,1533224,115
201811,0,26,1900142,112
201812,0,19,1704392,119
201901,0,18,1571670,110
201902,0,16,1432790,137
201903,0,14,1588063,146
201904,0,16,1525695,129
201905,0,13,1626461,224
201906,0,14,1515253,169
201907,0,17,1589682,151
201908,0,10,1405054,126
201909,0,11,1280656,105
201910,0,7,1635300,93
201911,0,15,2002439,86
201912,0,10,1451515,90
202001,0,7,1454558,65
202002,0,12,1473711,25
202003,0,9,2072827,72
202004,0,7,415350,56
202005,0,0,192361,3
202006,0,2,911049,5
202007,0,6,1014691,14
202008,0,4,1063434,17
202009,0,5,1180239,16
202010,0,2,1232977,23
202011,0,2,1640848,24
202012,0,8,1631665,41
202101,5327,7,1359194,34
202102,6584,1,1236220,18
202103,11972,6,1342036,22
202104,5703,3,954631,6
202105,1251,0,458010,6
202106,4684,4,1071689,20
202107,14692,7,1278835,26
202108,16063,4,1088803,19
202109,18036,4,1015765,14
202110,20822,1,1118288,12
202111,24554,7,1576956,22
202112,26644,6,1277516,27
202201,30142,5,1124632,26
202202,35767,3,1072695,18
202203,54425,6,1234685,19
202204,53374,6,1277808,15
202205,42431,2,1326140,27
202206,44410,1,1184604,19
202207,46612,3,1090489,28
202208,52230,2,1129204,17
202209,53290,0,1025700,0
202210,77273,1,1648251,0
202211,76794,1,1779883,1
202212,64663,1,1072648,0
202301,64703,0,1204993,0
202302,66093,717,1205782,0
202303,86372,12752,1355929,0
202304,66878,18140,1150876,1
202305,105589,25678,1368698,0
202306,46108,31861,1238310,0
202307,54616,36253,1143181,0
202308,62781,44690,1153896,1
202309,64088,46476,1208373,0
202310,75173,53506,1389218,0
202311,92126,62557,2104873,0
202312,75944,47241,1332489,0
202401,82147,57167,1326522,0
202402,82743,52609,1311758,1
202403,140340,52075,1346036,2
202404,65551,55670,1529636,0
202405,77329,54348,1409172,3
202406,80001,50009,1251742,0
202407,107651,54568,1288436,272
202408,89069,52006,1199959,4114
202409,90536,50077,1063681,4939
202410,140098,68257,1855293,11072
202411,119671,68319,2423984,12136
202412,73363,41515,1078285,5632
202501,76918,58412,1372420,5933
202502,61318,46242,1235553,4260
202503,115642,57723,1329277,3933
202504,80963,168461,1432508,3852
202505,89117,332656,1224298,3763
202506,94508,370449,974279,3348
202507,90573,381923,873206,3926
202508,92128,408074,864946,3594
202509,94291,434843,755310,2544
202510,132918,1062828,1956954,3956
202511,108003,1104049,1335052,2796
202512,89396,801321,426141,1527
202601,129268,1100996,693071,1941
202602,118416,1011909,642362,1542
202603,199535,1101777,725386,1454
202604,157766,1129570,702068,1391
202605,172536,1038404,648213,1218
202606,193523,1030166,601963,1333
