"YYYYMM","Petrol","Diesel","Avgas","LPG","All others"
201102,1.136825,4.918565,0.421253,1.245701,3.771267
201103,1.269942,5.486355,0.477059,1.329900,4.276405
201104,1.201919,5.473680,0.451688,1.153868,4.314113
201105,1.351136,5.852986,0.458864,1.210516,4.006549
201106,1.248495,5.342496,0.442602,1.214185,3.881347
201107,1.211966,5.072707,0.450126,1.247887,3.778962
201108,1.221884,4.577268,0.440202,1.271654,3.674112
201109,1.196698,4.596998,0.444909,1.282410,3.754017
201110,1.252413,5.340859,0.472533,1.236822,3.735475
201111,1.163736,5.702643,0.478722,1.323396,4.350450
201112,1.338858,5.867500,0.482144,1.411510,3.944765
201201,1.163578,5.373911,0.480433,1.316699,3.836285
201202,1.226381,5.497610,0.459226,1.336928,3.915710
201203,1.415346,6.051319,0.476538,1.343783,4.310387
201204,1.246518,5.908743,0.444438,1.232270,4.013610
201205,1.292101,6.373518,0.445207,1.315142,4.408793
201206,1.341378,6.070667,0.421944,1.289742,4.095524
201207,1.312293,5.745115,0.421586,1.323067,4.179192
201208,1.313544,5.050899,0.414983,1.333348,4.401818
201209,1.227007,4.938508,0.412148,1.271273,4.016335
201210,1.323059,5.699723,0.433803,1.298168,4.217139
201211,1.325153,5.793406,0.454519,1.279202,4.446793
201212,1.348464,6.119543,0.454674,1.304963,4.265262
201301,1.300939,5.798284,0.459144,1.317653,4.544741
201302,1.278026,5.382898,0.428323,1.281305,4.160322
201303,1.435419,6.198746,0.481687,1.354507,4.610447
201304,1.269999,6.154632,0.451626,1.228324,4.082877
201305,1.695740,6.393911,0.460751,1.246765,4.441081
201306,1.414913,5.942958,0.439282,1.209508,4.007052
201307,1.405890,5.399917,0.439592,1.358519,4.256717
201308,1.483163,5.047777,0.439901,1.318318,4.157804
201309,1.232088,4.908371,0.442109,1.338093,4.021406
201310,1.461680,5.615138,0.464679,1.399041,4.280690
201311,1.459932,5.826225,0.470493,1.377693,4.119056
201312,1.453681,5.972538,0.473564,1.425598,4.266338
201401,1.383706,5.639176,0.483330,1.466357,4.550351
201402,1.378870,5.380219,0.447022,1.392349,4.239460
201403,1.488593,6.083060,0.494389,1.533084,4.691454
201404,1.502221,5.932920,0.473739,1.349109,4.228161
201405,1.683397,6.476478,0.481853,1.422750,4.675319
201406,1.610654,6.138554,0.450464,1.349371,4.431139
201407,1.480536,5.741098,0.467833,1.422000,4.180494
201408,1.598674,5.120723,0.479377,1.435885,4.269805
201409,1.498565,4.899334,0.475439,1.550330,4.346811
201410,1.616157,5.455036,0.479475,1.498932,3.905920
201411,1.513094,6.006637,0.462736,1.573540,4.346181
201412,1.629348,6.148096,0.484392,1.676932,4.688894
201501,1.628805,5.819876,0.496965,1.616845,4.375959
201502,1.629961,5.784176,0.455209,1.496729,4.879849
201503,1.683990,5.893293,0.517456,1.607680,4.974923
201504,1.783571,6.484629,0.494052,1.479664,4.492539
201505,1.834081,6.435029,0.500963,1.496565,5.225814
201506,1.767244,6.290699,0.513047,1.490378,4.712906
201507,1.671735,5.704825,0.499837,1.582617,4.910196
201508,1.764421,5.425765,0.502407,1.549817,4.952555
201509,1.879336,5.884995,0.497146,1.619736,5.026221
201510,1.850530,6.347290,0.534099,1.688115,5.044276
201511,1.773298,6.109549,0.538732,1.615995,4.806964
201512,1.821579,6.484456,0.547288,1.795869,5.195967
201601,1.814727,6.285035,0.532136,1.704984,5.900706
201602,1.839656,6.411652,0.524305,1.747328,5.815626
201603,2.046453,6.783147,0.579673,1.852154,6.209522
201604,1.995933,6.767951,0.556911,1.596613,5.532993
201605,2.082846,6.957708,0.571173,1.605698,5.722287
201606,1.845530,6.386062,0.553092,1.613372,6.152131
201607,1.917819,5.806810,0.558453,1.722191,5.653247
201608,2.204495,6.133662,0.555405,1.846028,6.071142
201609,1.814917,5.212851,0.573733,1.872844,5.307329
201610,2.105879,6.674655,0.569938,1.858371,5.386268
201611,2.026387,6.749892,0.591168,1.872924,5.147208
201612,1.964945,6.570320,0.640833,1.938967,5.061678
201701,1.804401,5.803511,0.632377,1.989098,5.104858
201702,1.896354,6.160962,0.579077,1.804105,5.100831
201703,2.105428,6.802187,0.617207,1.888000,5.958216
201704,2.089996,6.970906,0.610150,1.657143,5.736443
201705,2.409059,7.526613,0.627256,1.790311,5.851066
201706,2.070520,6.799536,0.600643,1.885189,5.150571
201707,2.145669,6.302273,0.611066,1.927281,5.003524
201708,2.191343,5.919418,0.612922,2.048770,5.823637
201709,2.143305,6.075380,0.614720,1.933720,5.586558
201710,2.227774,6.547370,0.632315,1.970391,5.926408
201711,2.131830,7.270450,0.650247,1.997519,5.532880
201712,2.176829,7.119755,0.661448,2.050594,5.920524
201801,2.095899,6.653161,0.707695,2.081736,5.693041
201802,2.088473,6.539624,0.615035,1.940312,5.592273
201803,2.403780,7.348949,0.691365,2.058855,6.124641
201804,2.283700,7.173268,0.708816,1.863916,5.720200
201805,2.456705,7.566605,0.680788,2.050260,5.868661
201806,2.378653,7.342244,0.669820,1.930427,5.756934
201807,2.316011,6.610355,0.680037,2.032567,5.454143
201808,2.362747,6.186956,0.686492,2.119464,5.271176
201809,2.232479,6.026956,0.677645,2.059821,5.069111
201810,2.332186,7.023602,0.705984,2.064300,5.536088
201811,2.318924,6.940855,0.678501,1.840604,5.203004
201812,2.395027,7.388747,0.720255,2.164984,6.141525
201901,2.373802,7.072298,0.722257,2.308794,6.042475
201902,2.256545,6.737121,0.655636,2.209517,5.582204
201903,2.577635,7.459142,0.715826,2.262135,6.549328
201904,2.459124,7.323868,0.645676,1.900290,6.011942
201905,2.737414,7.788688,0.679583,2.054195,5.956634
201906,2.638672,7.451632,0.649671,1.793347,5.145550
201907,2.522908,6.841728,0.658258,2.219159,5.746539
201908,2.574929,6.117211,0.666381,2.401712,5.369676
201909,2.372295,5.837595,0.653495,2.163815,5.161859
201910,2.539307,6.510229,0.697482,2.348149,5.248379
201911,2.534738,7.565553,0.708724,2.260659,5.442852
201912,2.473264,7.387314,0.728971,2.354146,6.001872
202001,2.456156,6.956408,0.738526,2.435053,6.159649
202002,2.510953,7.161954,0.688979,2.105801,5.637011
202003,2.155727,5.659831,0.482862,2.293455,5.338774
202004,0.973005,3.252109,0.055179,2.113066,2.980051
202005,1.770531,5.494375,0.109975,2.296142,5.720931
202006,2.282273,6.298708,0.221640,2.064079,5.191287
202007,2.260928,5.506423,0.233134,2.257703,5.327793
202008,2.381723,4.842673,0.256304,2.261909,4.647375
202009,2.450790,5.486672,0.313132,2.261370,4.617808
202010,2.654613,7.001115,0.359766,2.420577,5.287888
202011,2.665346,7.039039,0.375869,2.351803,6.909587
202012,2.705883,7.191979,0.426707,2.523288,5.512703
202101,2.611321,6.806432,0.440633,2.490092,5.293250
202102,2.472283,6.568502,0.431818,2.262014,4.935934
202103,2.740299,7.224701,0.473598,2.256383,5.932815
202104,2.385958,6.675632,0.411755,2.102151,4.747967
202105,1.990985,5.532189,0.267669,2.156271,4.631453
202106,2.409179,6.195273,0.257079,2.251484,4.578909
202107,2.630347,6.134223,0.315331,2.356784,4.900430
202108,2.692056,5.602954,0.379306,2.316699,4.220088
202109,2.597937,5.512956,0.409063,2.355780,4.723773
202110,2.750483,6.616313,0.478817,2.481017,5.250450
202111,2.645237,6.505852,0.503859,2.335974,4.723978
202112,2.815852,7.302331,0.552035,2.469328,5.762519
202201,2.472984,6.365635,0.455520,2.562195,5.891084
202202,2.549796,6.510922,0.434892,2.393473,5.608298
202203,2.908142,7.704439,0.542637,2.472331,5.888583
202204,2.797371,7.199201,0.552724,2.157464,5.748143
202205,3.016921,7.287408,0.595729,2.158680,5.310941
202206,2.968470,7.673903,0.588166,2.225499,5.068811
202207,2.808354,6.633360,0.578593,2.403588,5.325292
202208,3.005643,6.342573,0.595686,2.388167,5.109474
202209,2.827021,6.252520,0.592144,2.440862,4.759921
202210,2.996488,6.986032,0.615778,2.394043,5.586332
202211,2.860924,7.762962,0.617861,2.461306,5.397837
202212,2.983707,7.787434,0.659000,2.569591,5.538918
202301,2.827477,7.178067,0.667836,2.506878,5.330347
202302,2.776401,7.002787,0.626082,2.391296,5.862863
202303,3.107588,7.794208,0.688477,2.406458,7.224227
202304,2.877177,7.818335,0.655982,2.154298,5.202225
202305,3.349626,8.217109,0.670583,2.347109,6.103875
202306,3.151769,7.905740,0.642325,2.232863,5.549943
202307,2.983656,6.885448,0.663229,2.389574,5.368722
202308,3.093247,6.669828,0.676750,2.460412,5.945001
202309,3.058143,6.493096,0.657262,2.551107,5.453198
202310,3.140398,7.634157,0.691929,2.495721,5.502854
202311,3.129235,7.525029,0.689683,2.486520,4.853646
202312,2.989782,7.603291,0.719619,2.628255,6.312182
202401,3.100219,7.424359,0.716683,2.697610,5.925187
202402,3.022600,7.442683,0.705128,2.607691,6.414010
202403,3.323510,8.007097,0.757866,2.612456,6.871673
202404,3.284516,7.925069,0.742410,2.372881,5.838221
202405,3.462931,8.411726,0.743522,2.409919,6.052314
202406,3.296178,7.982347,0.706929,2.319625,5.632351
202407,3.297349,7.193246,0.726649,2.649175,6.375036
202408,3.360147,6.500820,0.731701,2.663830,5.004701
202409,3.148556,6.369199,0.725936,2.609535,4.556420
202410,3.412174,7.645233,0.756899,2.720707,5.719190
202411,3.428368,8.165981,0.747982,2.664583,5.649348
202412,3.320158,8.054471,0.782087,2.771518,5.726293
202501,3.307834,7.737514,0.784191,2.834552,5.873736
202502,3.174032,7.346322,0.734887,2.582619,5.483508
202503,3.512295,8.075407,0.801496,2.729233,5.585618
202504,3.449460,8.261086,0.771697,2.544531,5.200694
202505,3.782138,8.592069,0.775955,2.681803,5.473984
202506,3.521862,8.105412,0.730262,2.554162,5.130257
202507,3.492731,7.356256,0.709684,2.809640,4.986047
202508,3.544338,6.576596,0.710404,2.833094,5.478499
202509,3.398963,6.786122,0.720010,2.794345,4.932087
202510,3.665235,7.620324,0.772644,2.870982,5.022346
202511,3.517057,8.556503,0.788178,2.842670,5.077734
202512,3.555344,8.469868,0.784011,3.067362,5.717082
202601,3.510600,7.992678,0.827495,3.011717,5.262387
202602,3.368955,7.660894,0.764431,2.822094,5.573176
202603,3.779505,8.727017,0.806627,2.379338,5.683739
202604,3.684000,8.332000,0.771000,2.210000,4.470000
202605,3.910000,8.728000,0.783000,2.132000,4.378000
202606,3.768000,8.552000,0.726000,2.184000,
