"YYYYMM","COL.CO2","OIL.CO2","GAS.CO2","CEM.CO2"
202103,163.127242,56.533354,11.127412,14.793984
202104,158.975464,50.077774,11.357946,12.893711
202105,143.285438,45.207803,10.764195,10.626354
202106,142.489118,48.758907,11.358311,12.011184
202107,145.567217,51.242798,11.201143,12.506281
202108,143.064941,47.735936,12.024201,12.061202
202109,137.166984,48.594438,11.347947,11.439788
202110,155.063771,54.261166,11.457697,13.125152
202111,136.983442,52.194795,10.882869,10.316918
202112,142.198321,58.015587,11.126610,13.681712
202201,146.042399,54.486031,10.085834,14.301006
202202,140.840848,52.937805,9.417322,13.597782
202203,172.972329,58.815733,11.229961,16.119894
202204,161.402585,56.381684,9.972142,13.920358
202205,165.579700,56.286575,11.895619,13.415936
202206,172.518114,56.824299,10.309020,14.335765
202207,148.835648,55.434228,10.942355,12.763154
202208,146.652270,54.532772,10.012201,12.279926
202209,143.680430,52.552942,9.616836,12.818259
202210,140.105310,57.231828,9.901740,12.555451
202211,154.185414,57.846414,10.283793,13.271815
202212,163.039113,60.053786,10.341884,14.924964
202301,159.374518,56.876078,9.930210,14.967352
202302,156.449750,56.344823,9.120032,14.590095
202303,167.858893,63.662183,11.193573,15.993152
202304,171.058607,56.890583,10.691805,15.565029
202305,188.911517,63.024918,11.717330,15.488306
202306,174.977691,59.358666,10.753439,15.730344
202307,161.735289,56.143450,11.137202,13.483758
202308,166.385837,58.103630,11.985111,14.648168
202309,159.744219,55.770649,11.406806,13.462139
202310,184.262301,59.186959,11.821324,14.725738
202311,168.688491,57.381808,11.095692,12.839454
202312,172.600491,61.965497,11.567068,15.170817
202401,176.614899,60.540026,12.138228,15.806643
202402,170.228475,60.963753,11.821400,16.094884
202403,181.121042,64.868682,12.587891,17.786183
202404,185.416233,61.080229,11.096401,15.658284
202405,195.521723,63.040989,13.461116,15.423452
202406,184.092533,60.046519,13.119453,16.107601
202407,157.934656,62.513458,13.760663,14.205209
202408,142.269596,56.362479,12.410362,14.310332
202409,161.062819,53.249940,11.717290,14.434106
202410,175.204474,61.530282,13.699769,15.192011
202411,168.839530,62.781038,11.556382,14.340004
202412,171.468152,62.423146,11.983198,16.179661
202501,185.491147,61.559679,11.186268,17.837049
202502,166.984509,57.517514,11.103645,17.408926
202503,191.345950,60.840468,10.949077,19.846260
202504,191.877926,60.067130,11.560407,16.624740
202505,188.486673,63.635572,11.881762,16.879070
202506,164.908090,60.152362,11.494199,17.565763
202507,148.481602,58.909497,11.871411,15.819360
202508,146.278604,58.337568,11.959921,15.264071
202509,146.152061,55.850130,12.387695,15.268310
202510,161.642216,59.973095,12.591605,15.962262
202511,173.175821,61.741582,11.309339,16.440562
202512,217.297926,64.389392,12.160647,19.521141
202601,234.662256,61.657270,12.422741,19.829199
202602,209.636918,59.619547,10.808615,18.994200
202603,237.267073,63.149411,11.716009,20.891188
202604,158.123101,58.445773,,18.134880
202605,,,,
202606,,,,
202607,,,,
202608,,,,
202609,,,,
202610,,,,
202611,,,,
202612,,,,
