"State","DELHI","DELHI","HARYANA","HARYANA","HIMACHAL PRADESH","HIMACHAL PRADESH","JAMMU AND KASHMIR","JAMMU AND KASHMIR","PUNJAB","PUNJAB","RAJASTHAN","RAJASTHAN","UTTAR PRADESH","UTTAR PRADESH","UTTARAKHAND","UTTARAKHAND","CHHATTISGARH","CHHATTISGARH","GOA","GOA","GUJARAT","GUJARAT","MADHYA PRADESH","MADHYA PRADESH","MAHARASHTRA","MAHARASHTRA","ANDHRA PRADESH","ANDHRA PRADESH","KARNATAKA","KARNATAKA","KERALA","KERALA","LAKSHADWEEP","LAKSHADWEEP","PUDUCHERRY","PUDUCHERRY","TAMIL NADU","TAMIL NADU","ANDAMAN & NICOBAR ISLANDS","ANDAMAN & NICOBAR ISLANDS","BIHAR","BIHAR","DVC","DVC","JHARKHAND","JHARKHAND","ODISHA","ODISHA","SIKKIM","SIKKIM","WEST BENGAL","WEST BENGAL","ARUNACHAL PRADESH","ARUNACHAL PRADESH","ASSAM","ASSAM","MANIPUR","MANIPUR","MEGHALAYA","MEGHALAYA","MIZORAM","MIZORAM","NAGALAND","NAGALAND","TRIPURA","TRIPURA","TELANGANA","TELANGANA","LADAKH","LADAKH","INDIA","INDIA"
"200810",0,0,130.990000,0,73.220000,0,0,0,0,0,96.200000,0,,35.440000,158.870000,5.550000,0,0,,0,0,0,,29.050000,160.720000,0,272.510000,57.330000,,0,,47.230000,,0,,0,0,0,71.530000,52.930000,,0,66.280000,0,-163.390000,0,,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
"200811",0,0,127.350000,0,77.070000,0,0,0,0,0,90.100000,0,,38.300000,159.660000,25.690000,0,0,,0,0,0,,29.110000,167.060000,0,243.760000,47.880000,,0,,55.290000,,0,,0,0,0,65.390000,45.610000,,0,65.390000,0,-160.130000,0,,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
"200812",0,0,148.240000,0,79.890000,0,0,0,0,0,82.810000,0,,40.100000,168.920000,3.820000,0,0,,0,0,0,,27.340000,166.110000,0,259.830000,40.560000,,0,,41.920000,,0,,0,0,0,61.390000,33.040000,,0,71.020000,0,-180.490000,0,,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
"200901",0,0,151.630000,0,79.380000,0,0,0,0,0,89.160000,0,,39.350000,171.090000,0,0,0,,0,0,0,,29.380000,168.220000,0,239.630000,49.850000,,0,,38.320000,,0,,0,0,0,79.780000,26.770000,,0,,0,-185.510000,0,,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
"200902",0,0,157.970000,0,83.770000,0,0,0,0,0,86.240000,0,,29.850000,169.640000,18.120000,0,0,,0,0,0,,2.100000,164.140000,0,250.290000,58.390000,,0,,21.040000,,0,,0,0,0,90.760000,31.820000,,0,,0,-200.810000,0,,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
"200903",0,0,154.700000,0,84.630000,0,0,0,0,0,85.490000,0,,35.790000,170.200000,23.440000,0,0,,0,0,0,,9.060000,166.500000,0,272.170000,59.940000,,0,,47.330000,,0,,0,0,0,91.930000,59.510000,,0,,0,-197.780000,0,,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
"200904",0,0,141.500000,0,86.880000,0,0,0,0,0,81.930000,0,,37.820000,171.320000,23.320000,0,0,,0,0,0,,27.210000,165.080000,0,261.270000,65.150000,,0,,58.370000,,0,,0,0,0,88.980000,59.220000,,0,102.520000,0,-191.220000,0,269.780000,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
"200905",0,0,145.400000,0,79.370000,0,0,0,0,0,89.130000,0,,32.410000,165.100000,19.890000,0,0,,0,0,0,,28.660000,152.090000,0,257.980000,61.980000,,0,,54.590000,,0,,0,0,0,80.590000,59.300000,,0,,0,-163.750000,0,259.300000,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
"200906",0,0,145.010000,0,78.990000,0,0,0,0,0,93.680000,0,,29.230000,167.050000,23.070000,0,0,,0,0,0,,28.520000,138.660000,0,242.580000,50.890000,,0,,55.800000,,0,,0,0,0,87.430000,53.410000,,0,112.620000,0,-160.730000,0,253.500000,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
"200907",0,0,145.050000,0,89,0,0,0,0,0,93.940000,0,,37.770000,152.960000,26.340000,0,0,,0,0,0,,26.870000,143.080000,0,231.480000,54.900000,,0,,58.860000,,0,,0,0,0,81.880000,60.050000,,0,97.900000,0,-175.310000,0,276.420000,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
"200908",0,0,120.850000,0,82.030000,0,0,0,0,0,96.580000,0,,27.940000,148.150000,26.600000,0,0,,0,0,0,,29.880000,142.970000,0,246.990000,68.490000,,0,,62.320000,,0,,0,0,0,76.740000,60.140000,,0,65.640000,0,-164.740000,0,264.500000,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
"200909",0,0,112.820000,0,72.990000,0,0,0,0,0,89.440000,0,96.900000,41.640000,143.900000,24.340000,0,0,,0,0,0,,29.910000,149.450000,0,246.580000,73.840000,,0,,63.440000,,0,,0,0,0,75.280000,59.100000,,0,71.220000,0,-158.240000,0,236.190000,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
"200910",0,0,114.580000,0,82.970000,0,0,0,0,0,90,0,109.190000,63.300000,143.370000,25.490000,0,0,,0,0,0,,29.300000,161.700000,0,242.820000,74,,0,,54.940000,,0,,0,0,0,73.760000,48.700000,,0,68.990000,0,-174.300000,0,236.630000,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
"200911",0,0,88.900000,0,87.330000,0,0,0,0,0,85.110000,0,146.550000,60.400000,149.020000,2.380000,0,0,,0,0,0,,23.380000,168.650000,0,218.240000,68.330000,,0,,43.460000,,0,,0,0,0,62.900000,29.760000,,0,84.320000,0,-163.360000,0,199.920000,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
"200912",0,0,95.500000,0,89.210000,0,0,0,0,0,84.860000,0,158.370000,66.780000,164.860000,0.230000,0,0,,0,0,0,,23.380000,174.620000,0,242.170000,60.950000,,0,,53.160000,,0,,0,0,0,72.660000,39.820000,,0,111.690000,0,-174.050000,0,226.540000,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
"201001",0,0,96.520000,0,78.660000,0,0,0,0,0,81.510000,0,157.110000,64.140000,,23.920000,0,0,419.300000,0,0,0,415.620000,25.640000,172.550000,0,231.710000,57.610000,,0,,55.050000,,0,,0,0,0,76.450000,55.320000,,0,,0,-150.580000,0,224.400000,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
"201002",0,0,76.880000,0,83.550000,0,0,0,0,0,88.910000,0,175.370000,70.380000,,28.940000,0,0,,0,0,0,433.800000,29.150000,170.300000,0,243.190000,69.790000,,0,,50.940000,,0,,0,0,0,85.600000,55.940000,,0,99.640000,0,-181.760000,0,235,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
"201003",0,0,98.100000,0,72.930000,0,0,0,0,0,86,0,189.800000,71.510000,,30.390000,0,0,,0,0,0,425.520000,30.710000,168.590000,0,255.610000,76.320000,,0,,57.990000,,0,,0,0,0,81.990000,56.200000,,0,119.270000,0,-170.990000,0,241.600000,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
"201004",0,0,155.050000,0,,0,0,0,0,0,81.640000,0,132.700000,59.350000,,28.900000,0,0,407.480000,0,0,0,413.770000,29.340000,159.480000,0,,62.370000,,0,,60.790000,,0,0,0,0,0,85.490000,49.980000,,0,104.720000,0,,0,,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201005",0,0,118.640000,0,,0,0,0,0,0,76.600000,0,137.900000,61.260000,,18.060000,0,0,397.720000,0,0,0,408.130000,24.750000,160.510000,0,238.710000,62.850000,,0,,38.460000,,0,0,0,0,0,79.010000,54.180000,,0,106.320000,0,,0,,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201006",0,0,127.360000,0,,0,0,0,0,0,84.420000,0,107.050000,62.880000,,26.620000,0,0,404.620000,0,0,0,408.670000,23.870000,152.450000,0,,72.340000,,0,,38.980000,,0,0,0,0,0,83.750000,56.770000,,0,95.350000,0,,0,,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201007",0,0,142.450000,0,,0,0,0,0,0,83.130000,0,81.550000,61.230000,,32.440000,0,0,395.110000,0,0,0,,26.940000,134.950000,0,,48.830000,,0,,47.540000,,0,0,0,0,0,75.540000,60.290000,,0,84.120000,0,,0,,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201008",0,0,142.470000,0,,0,0,0,0,0,81.770000,0,96,53.270000,,29.280000,0,0,417.310000,0,0,0,,13.030000,145.610000,0,,77.080000,,0,,65.600000,,0,0,0,0,0,68.580000,58.140000,,0,68.820000,0,,0,,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201009",0,0,87.290000,0,,0,0,0,0,0,61.190000,0,154.230000,69.130000,,33.010000,0,0,364.060000,0,0,0,332.720000,0.060000,121.940000,0,,82.170000,,0,,66.570000,,0,0,0,0,0,70.710000,62.480000,,0,76.360000,0,,0,,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201010",0,0,106.340000,0,84.560000,0,0,0,0,0,81.120000,0,155.630000,87.630000,,67.580000,0,0,437.800000,0,0,0,411.930000,23.990000,142.630000,0,,68.740000,,0,,64.060000,,0,0,0,0,0,74.300000,62.010000,,0,101.690000,0,,0,313.370000,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201011",0,0,145.300000,0,76.490000,0,0,0,0,0,77.740000,0,138.490000,90.120000,,69.330000,0,0,443.330000,0,0,0,315.700000,20.190000,157.520000,0,278.090000,72.390000,,0,,68.750000,,0,0,0,0,0,57.340000,47.600000,,0,117.730000,0,,0,291.930000,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201012",0,0,151.500000,0,74.160000,0,0,0,0,0,80.970000,0,199.840000,85.050000,,69.840000,0,0,428.680000,0,0,0,377.520000,33.560000,171.660000,0,287.590000,83.060000,,0,,73.140000,,0,0,0,0,0,65.380000,32.510000,,0,101.390000,0,,0,308.500000,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201101",0,0,171.860000,0,84.670000,0,0,0,0,0,83.860000,0,83.280000,84.320000,,73.590000,0,0,466.860000,0,0,0,374.080000,73.570000,176.860000,0,358.280000,91.370000,,0,,77.790000,,0,0,0,0,0,85.110000,66.180000,,0,82.300000,0,,0,286.050000,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201102",0,0,159.540000,0,94.270000,0,0,0,0,0,78.850000,0,73.710000,85.870000,,73.010000,0,0,468.450000,0,0,0,356.870000,84.520000,174.650000,0,390.760000,93.050000,,0,,72.280000,,0,0,0,0,0,87.600000,71.020000,,0,80.630000,0,,0,308.750000,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201103",0,0,170.380000,0,97.580000,0,0,0,0,0,86.250000,0,,94.880000,,66.770000,0,0,454.510000,0,0,0,369.280000,98.480000,170.860000,0,384.790000,79.390000,,0,,76.370000,,0,0,0,0,0,91.430000,76.740000,,0,106.520000,0,-193.160000,0,295.400000,0,,0,0,0,399.600000,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201104",0,0,176.510000,0,125.910000,0,0,0,0,0,86.810000,0,,71.820000,,58.790000,0,0,441.310000,0,0,0,404.780000,100.380000,160.870000,0,403.840000,87.480000,,0,,71.810000,,0,0,0,0,0,86.250000,66.890000,,0,112.420000,0,,0,,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201105",0,0,175.980000,0,85.550000,0,0,0,0,0,75.540000,0,132.280000,75.040000,,34.300000,0,0,441.490000,0,0,0,374.590000,94.660000,154.480000,0,380.750000,89.440000,,0,,74.740000,,0,0,0,0,0,87.650000,68.540000,,0,88.580000,0,,0,281.810000,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201106",0,0,163.160000,0,127.970000,0,0,0,0,0,71.710000,0,107.380000,87.840000,,56.700000,0,0,402.900000,0,0,0,336.090000,99.280000,144.860000,0,,60.820000,,0,,75.940000,,0,0,0,0,0,82.680000,52.950000,,0,63.280000,0,,0,260.180000,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201107",0,0,101.510000,0,164.990000,0,0,0,0,0,87.840000,0,114.460000,86.860000,,50.440000,0,0,390.390000,0,0,0,325.210000,100.280000,142.520000,0,340.200000,85.270000,,0,,67.710000,,0,0,0,0,0,78.620000,41.370000,,0,89.700000,0,,0,267.160000,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201108",0,0,151.920000,0,129.870000,0,0,0,0,0,84.460000,0,,86.670000,,43.320000,0,0,417.130000,0,0,0,320.200000,93.450000,119.880000,0,,90.860000,,0,,51.030000,,0,0,0,0,0,71.750000,70.450000,,0,80.460000,0,,0,273.040000,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201109",0,0,135.200000,0,113.200000,0,0,0,0,0,76.880000,0,116.080000,77.330000,,49.320000,0,0,349.730000,0,0,0,283.210000,97.110000,113.200000,0,,87.340000,,0,,71.360000,,0,0,0,0,0,75.830000,71.520000,,0,68.230000,0,,0,279.060000,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201110",0,0,137.760000,0,161.520000,0,0,0,0,0,91.330000,0,190.080000,91.610000,,51.950000,0,0,436.490000,0,0,0,319.340000,97.900000,141.950000,0,399.190000,82.590000,,0,,52.290000,,0,0,0,0,0,78.110000,66.370000,,0,81.130000,0,,0,304.810000,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201111",0,0,125.780000,0,,0,0,0,0,0,83.160000,0,222.190000,83.090000,,53.540000,0,0,,0,0,0,303.400000,90.850000,163.530000,0,407.260000,65.190000,,0,,65.350000,,0,0,0,0,0,67.800000,69.390000,,0,85.670000,0,,0,313.400000,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201112",0,0,130.940000,0,,0,0,0,0,0,84.370000,0,212.610000,94.200000,232.280000,56.650000,0,0,,0,0,0,289.070000,96.920000,174.690000,0,395.490000,60.480000,,0,,67.540000,,0,0,0,0,0,74.530000,69.030000,,0,65.320000,0,,0,333.510000,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201201",0,0,141.110000,0,,0,0,0,0,0,84.430000,0,216.700000,94.440000,320.630000,51.150000,0,0,,0,0,0,307.300000,101.580000,171.780000,0,,90.110000,,0,,66.110000,,0,0,0,0,0,83.670000,61.420000,,0,78.400000,0,,0,401.420000,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201202",0,0,160.670000,0,,0,0,0,0,0,84.880000,0,236.930000,91.920000,268.420000,38.650000,0,0,,0,0,0,,102.230000,165.690000,0,,90.140000,,0,,70.400000,,0,0,0,0,0,85.260000,71.310000,,0,84.830000,0,,0,381.640000,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201203",0,0,154.490000,0,,0,0,0,0,0,82.570000,0,243.720000,97.640000,281.850000,70.740000,0,0,,0,0,0,,101.390000,167.960000,0,,68.050000,,0,,75.310000,,0,0,0,0,0,86.570000,72.380000,,0,88.940000,0,,0,354.750000,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201204",0,0,153.060000,0,124.280000,0,0,0,0,0,80.080000,0,214.710000,86.860000,326.140000,69.670000,0,0,,0,0,0,,101.260000,,0,,86.310000,,0,,75.180000,,0,0,0,0,0,88.110000,61.670000,,0,72.100000,0,,0,,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201205",0,0,145.810000,0,,0,0,0,0,0,82.100000,0,,73.650000,329.150000,49.230000,0,0,,0,0,0,,100.600000,,0,,94.280000,,0,,75.310000,,0,0,0,0,0,74.990000,71.030000,,0,86.040000,0,,0,,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201206",0,0,141.020000,0,151.920000,0,0,0,0,0,84.840000,0,,70.950000,336.800000,66.720000,0,0,,0,0,0,449.260000,93.010000,,0,,92.080000,,0,,74.480000,,0,0,0,0,0,83.440000,74.810000,,0,71.420000,0,,0,,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201207",0,0,116.080000,0,118.730000,0,0,0,0,0,84.470000,0,,74.460000,256.170000,66.600000,0,0,,0,0,0,404.190000,94.980000,,0,,85.110000,,0,,62.130000,,0,0,0,0,0,84.690000,76.410000,,0,62.210000,0,,0,,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201208",0,0,115.020000,0,143.200000,0,0,0,0,0,84.040000,0,,82.170000,264.010000,67.640000,0,0,,0,0,0,362.720000,76.480000,,0,,72.620000,,0,,65.770000,,0,0,0,0,0,75.390000,65.390000,,0,59.220000,0,,0,,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201209",0,0,134.900000,0,147.320000,0,0,0,0,0,76.120000,0,,94.140000,272.140000,68.210000,0,0,,0,0,0,390.400000,50.890000,,0,,77.870000,,0,,72.370000,,0,0,0,0,0,73.890000,79.190000,,0,61.420000,0,,0,,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201210",0,0,156.850000,0,127.410000,0,0,0,0,0,90.200000,0,,95.710000,,70.250000,0,0,,0,0,0,481.710000,95.280000,,0,,60.700000,,0,,73.720000,,0,0,0,0,0,73.190000,79.550000,,0,71.760000,0,,0,,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201211",0,0,152.490000,0,178.230000,0,0,0,0,0,81.970000,0,228.780000,96.090000,,71.770000,0,0,,0,0,0,438.890000,100.250000,,0,,82.480000,,0,,65.720000,,0,0,0,0,0,71.760000,77.960000,,0,66.930000,0,,0,,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201212",0,0,139.930000,0,167.410000,0,0,0,0,0,81.610000,0,245.650000,72.900000,,67.380000,0,0,,0,0,0,425.070000,71.040000,221.170000,0,,80.950000,,0,,72.640000,,0,0,0,0,0,77.760000,71.840000,,0,80.470000,0,,0,,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201301",0,0,161.930000,0,151.230000,0,0,0,0,0,82.740000,0,226.740000,86.460000,378.620000,48.170000,0,0,,0,0,0,421.420000,96.290000,250.740000,0,,80.150000,,0,,73.130000,,0,0,0,0,0,86.420000,77.280000,,0,73.900000,0,,0,,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201302",0,0,141.140000,0,,0,0,0,0,0,53.690000,0,224.770000,97.750000,322.190000,69.320000,0,0,,0,0,0,,100.680000,,0,,78.800000,,0,,76.220000,,0,0,0,0,0,86.530000,78.050000,,0,75.150000,0,,0,484.890000,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201303",0,0,77.910000,0,41.930000,0,0,0,0,0,57.800000,0,83.130000,97.260000,72.860000,76.910000,0,0,82.270000,0,0,0,72.210000,100.190000,77.810000,0,58.530000,70.390000,92.490000,0,72.450000,61.190000,,0,0,0,0,0,87.780000,41.260000,,0,67.770000,0,,0,225.290000,0,69.880000,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201304",0,0,79.640000,0,43.100000,0,0,0,0,0,78.510000,0,74.490000,86.980000,72.750000,55.870000,0,0,73.980000,0,0,0,67.740000,100,79.850000,0,58.050000,35.930000,90.880000,0,79.600000,80.870000,,0,0,0,0,0,88.060000,38.840000,,0,39.280000,0,,0,177.760000,0,65.830000,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201305",0,0,77.820000,0,46.400000,0,0,0,0,0,72.760000,0,75.870000,91.260000,80.300000,76.590000,0,0,77.320000,0,0,0,68.380000,98.350000,77.610000,0,61.550000,48.970000,88.200000,0,78.790000,90.620000,,0,0,0,0,0,83.670000,37.670000,,0,55.030000,0,,0,186.690000,0,69.480000,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201306",0,0,75,0,39.030000,0,0,0,0,0,67.910000,0,59.580000,91.380000,72.390000,75.690000,0,0,74.050000,0,0,0,59.090000,83.390000,63.610000,0,47.300000,83.820000,79.250000,0,69.070000,91.980000,,0,0,0,0,0,77.940000,38.300000,,0,64.960000,0,,0,163,0,64.480000,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"201307",0,0,62.320000,0,48.290000,0,0,0,0,0,86.480000,0,59.690000,72.880000,74.820000,47.450000,0,0,73.410000,0,0,0,50.080000,90.730000,59.550000,0,44.620000,87.710000,71.570000,0,53.450000,96.210000,,0,0,0,0,0,79.820000,38.650000,,0,58.820000,0,,0,176.820000,0,53.640000,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
