"YYYYMM","Diesel","Natural gas","Flaring","Cold-vent CO2"
202006,0.052786,35.139396,39.638806,0
202007,0.031700,76.154342,1.024313,0
202008,0.036641,75.929142,5.042239,0
202009,0.037510,42.105345,20.833264,0
202010,0.013648,0.005362,9.477120,0
202011,0.005284,0.007088,9.346011,0
202012,0.050457,0.003117,10.191758,0
202101,0,0.000040,8.231069,0
202102,0.315260,0.166765,7.090072,0
202103,0.357946,0,8.759905,0
202104,0.175571,0,13.810322,0
202105,0.023881,0,5.513848,0
202106,0.011083,0,6.365518,0
202107,0.015558,0,6.645518,0
202108,0.005417,0,6.194332,0
202109,0.013664,0,5.801601,0
202110,0.042930,0,7.590846,0
202111,0.005758,0,5.567745,0
202112,0.007378,0,5.776033,0
202201,0.032868,0,5.866862,0
202202,0.721206,0,5.152431,0
202203,0.713400,0.014561,6.201726,0
202204,0.010471,3.983919,20.607146,0
202205,0.011514,24.183044,21.589553,0
202206,0.007473,73.283895,54.241157,0
202207,0,73.241111,21.145765,0
202208,0.007584,81.722537,17.995740,0
202209,0.018380,81.678867,3.041622,0
202210,0.005477,80.062260,11.481441,0
202211,0,74.352054,5.163716,0
202212,0,81.462682,0.525218,0
202301,0.009293,76.899952,1.269243,0
202302,0.010420,70.556207,0.535831,0
202303,0.006119,74.401454,10.268895,0
202304,0.007635,78.292487,3.277301,0
202305,0.009342,39.997311,25.729774,0
202306,0.009734,61.538986,16.924103,0
202307,0.001910,77.732455,6.712529,0
202308,0.005680,77.883839,8.795692,0
202309,0.006452,72.489940,2.667592,0
202310,0.006714,82.306570,0.826007,0
202311,0.005794,77.107477,4.614499,0
202312,0.008540,77.039752,0.367988,0
202401,0.009315,78.180884,0.714707,0
202402,0.008803,71.152031,4.490132,0
202403,0.014493,79.566544,0.445275,0
202404,0.004762,68.312599,13.647733,0
202405,0.005913,73.676893,4.656334,0
202406,0.010842,62.987848,4.875523,0
202407,0.008551,70.174108,3.830371,0
202408,0.015563,69.191233,8.155607,0
202409,0.004618,65.241363,0.200066,0
202410,0.005282,68.841080,6.792431,0
202411,0.009927,60.052065,11.551482,0
202412,0.001566,58.608120,6.410364,0
202501,0.006457,47.653988,20.133678,0
202502,0.008962,53.127288,6.435938,0
202503,0.006381,55.629330,14.877763,0
202504,0.071161,43.228043,10.137521,0
