"Year","BLUE","H&C2023","OSCAR","LUCE"
1997,-14.145568,-37.771443,3.124696,-96.788187
1998,-14.246328,-40.504384,5.846498,-118.053274
1999,-17.538908,-42.970916,6.398993,-141.438021
2000,-18.717874,-47.674649,4.960250,-162.013543
2001,-21.881005,-50.051706,5.927143,-182.757206
2002,-23.280873,-51.613522,2.555310,-178.477507
2003,-22.158773,-53.487622,-2.071259,-171.000675
2004,-24.397807,-55.789896,0.003444,-167.079572
2005,-24.193685,-58.134416,-2.481994,-164.076668
2006,-23.119510,-63.063156,-3.377036,-163.340094
2007,-25.936833,-63.336380,-3.124036,-156.844555
2008,-28.113579,-64.773658,-1.895680,-149.922856
2009,-27.970536,-65.542841,-4.905033,-140.567931
2010,-28.484339,-66.463384,0.571950,-134.770237
2011,-27.183253,-66.297442,-7.401756,-126.555329
2012,-23.757742,-65.381149,-3.425877,-118.667470
2013,-21.122410,-58.839920,-0.541612,-111.725436
2014,-20.539285,-61.020842,-6.445489,-99.476831
2015,-14.211300,-58.299626,-7.811318,-97.659193
2016,-18.424864,-59.652155,-3.935429,-89.497120
2017,8.007196,-56.690287,-3.236484,-82.715533
2018,-18.889899,-57.729984,-3.342008,-87.344667
2019,-22.869992,-57.243771,-4.688638,-85.079326
2020,-22.462775,-56.995279,-6.666758,-79.968595
2021,-23.809515,-56.951531,-1.848525,-77.615135
2022,-24.758527,-57.036938,-7.791386,-75.203197
2023,-25.500268,-56.829006,-4.235840,-72.515433
