"YYYYMM","Total","Hydropower","Thermal Power","Nuclear Power","Wind Power","Solar Power"
201703,1608.850000,290.240000,1060.070000,34.718045,151.424647,
201704,1613.924528,291.107872,1061.263259,34.718045,152.314647,
201705,1617.150000,291.660000,1063.320000,34.730000,152.760000,
201706,1629.070000,292.590000,1064.410000,34.730000,153.550000,
201707,1645.450000,293.680000,1069.630000,34.730000,155.220000,
201708,1656.640000,294.150000,1077.530000,34.730000,156.030000,
201709,1665.030000,294.450000,1081.090000,35.820000,157.200000,
201710,1670.620000,295.170000,1083.360000,35.820000,158.430000,
201711,1765.454000,342.583000,1104.025000,,,
201712,1777.030000,341.190000,1106.040000,,,
201802,,,,,,
201803,1713.814920,299.404878,1105.459826,36.934835,167.595386,
201804,1710.760000,299.550000,1100.530000,36.940000,168.460000,
201805,1715.460000,299.600000,1102.950000,36.940000,169.640000,
201806,1730.580000,300.420000,1108.050000,36.940000,170.960000,
201807,1742.060000,302.760000,1109.800000,38.030000,172.880000,
201808,1755.369318,304.289941,1117.380038,38.017799,174.715302,
201809,1762.809839,304.920949,1120.929119,39.274778,175.848889,
201810,1766.474480,304.975321,1120.143130,40.515378,177.557932,
201811,1774.640152,304.990138,1124.923518,41.765210,179.740376,
201812,1899.670000,352.260000,1143.670000,44.674610,184.254386,174.344123
201902,1808.930000,306.870000,1140.810000,45.910000,185.510000,
201903,1814.930000,306.890000,1141.940000,45.910000,188.880000,
201904,1822.140000,307.400000,1147.220000,45.910000,189.640000,
201905,1828.319088,307.375122,1150.163462,45.922787,190.800712,
201906,1838.550000,307.950000,1155.470000,45.910000,192.690000,
201907,1846.710000,308.450000,1159.810000,46.990000,194.290000,
201908,1853.670000,308.550000,1164.310000,46.990000,196.380000,
201909,1863.290000,308.580000,1170.250000,48.740000,197.830000,
201910,1868.930000,308.940000,1173.910000,48.740000,199.220000,
201911,1874.020000,309.260000,1176.670000,48.740000,200.770000,157.297000
201912,2010.660000,356.400000,1190.550000,48.740000,210.050000,204.680000
202002,2036.302752,357.739130,1207.711538,48.748806,211.883842,208.831169
202003,1916.300000,313.180000,1191.250000,48.770000,212.390000,208.975806
202004,1919.270000,313.540000,1192.230000,48.770000,213.480000,209.951730
202005,1925.220000,313.830000,1196.170000,48.770000,214.460000,211.371291
202006,1936.220000,316.140000,1199.060000,48.770000,216.590000,216.337914
202007,2076.837294,363.612965,1227.222758,48.772894,218.080357,219.336570
202008,2084.511416,364.280267,1229.393064,48.772894,220.717489,220.810594
202009,1967.660000,319.900000,1215.790000,49.890000,223.830000,223.394864
202010,1981.970000,320.460000,1220.680000,49.890000,229.750000,228.084074
202011,1996.010000,322.380000,1225.620000,49.890000,236.180000,231.643836
202012,2200.580000,370.160000,1245.170000,49.890000,281.530000,253.430000
202102,2219.570000,370.260000,1256.020000,51.040000,284.560000,257.280000
202103,2228.500000,371.320000,1260,51.040000,286.610000,259.130000
202104,2234.830000,373.300000,1261.610000,51.040000,287.440000,260.970000
202105,2241.320000,373.820000,1263.890000,51.040000,288.520000,263.580000
202106,2256.600000,377.850000,1266.580000,52.160000,291.920000,267.610000
202107,2272.060000,381.430000,1272.630000,53.260000,293.100000,271.100000
202108,2282.540000,382.130000,1276.110000,53.260000,295.320000,275.130000
202109,2294.830000,383.530000,1281.830000,53.260000,297.270000,278.350000
202110,2303.040000,384.520000,1282.890000,53.260000,299.630000,282.140000
202111,2321,387.980000,1286.810000,53.260000,304.860000,287.470000
202112,2376.920000,390.920000,1296.780000,53.260000,328.480000,306.560000
202202,2393.970000,392.480000,1296.810000,53.280000,334.420000,315.810000
202203,2403.670000,394.270000,1298.720000,54.430000,336.520000,318.550000
202204,2412.470000,395.550000,1300.330000,54.430000,338.260000,322.570000
202205,2420.870000,396.470000,1301.360000,54.430000,339.360000,327.890000
202206,2441.010000,399.990000,1304.960000,55.530000,342.240000,336.770000
202207,2455.170000,401.540000,1309.370000,55.530000,343.700000,343.510000
202208,2466.310000,403.070000,1311.530000,55.530000,344.500000,349.900000
202209,2483.280000,405.760000,1313.740000,55.530000,347.670000,358.640000
202210,2495.180000,407.510000,1316.320000,55.530000,349.390000,364.440000
202211,2510.600000,410.130000,1319.830000,55.530000,350.960000,372.020000
202212,2564.050000,413.500000,1332.390000,55.530000,365.440000,392.610000
202302,2599.930000,414.250000,1337.860000,55.570000,371.260000,413.040000
202303,2623.420000,415.460000,1340.190000,56.760000,375.730000,425.890000
202304,2648.930000,416.330000,1344.890000,56.760000,379.660000,440.500000
202305,2672.400000,417,1350.950000,56.760000,382.600000,453.920000
202306,2707.720000,417.930000,1356.980000,56.760000,389.210000,470.670000
202307,2739.740000,418.120000,1363.530000,56.760000,392.910000,490.810000
202308,2761.530000,418.930000,1366.060000,56.760000,395.370000,505.410000
202309,2791.240000,419.490000,1372.620000,56.760000,400.210000,521.080000
202310,2812.740000,420.230000,1373.500000,56.760000,404,535.760000
202311,2853.360000,421.340000,1378.840000,56.760000,412.830000,557.620000
202312,2919.650000,421.540000,1390.320000,56.910000,440.460000,611.160000
202402,2971.850000,422.460000,1394.200000,56.910000,450.350000,647.880000
202403,2993.710000,423.400000,1396.660000,56.910000,456.640000,660.050000
202404,3009.630000,425.150000,1398.020000,56.910000,458.030000,671.470000
202405,3037.330000,426.040000,1401.130000,58.080000,461.040000,690.980000
202406,3070.610000,427.150000,1405.120000,58.080000,466.710000,713.500000
202407,3103.200000,428.350000,1410.610000,58.080000,470.530000,735.570000
202408,3127.640000,428.670000,1414.450000,58.080000,474.030000,752.350000
