"Year","PRT production EXIOBASE 3.8.2","PRT production WIOD2016","PRT production OECDv2","PRT production Eora 199.082 (2023)","PRT production FIGARO April 2022","PRT production GCB 2023v26","PRT production Eurostat NAMEA","PRT consumption EXIOBASE 3.8.2","PRT consumption WIOD2016","PRT consumption OECDv2","PRT consumption Eora 199.082 (2023)","PRT consumption FIGARO April 2022","PRT consumption GCB 2023v26","PRT net_trade EXIOBASE 3.8.2","PRT net_trade WIOD2016","PRT net_trade OECDv2","PRT net_trade Eora 199.082 (2023)","PRT net_trade FIGARO April 2022","PRT net_trade GCB 2023v26"
2004,66.326898,69.393900,59.394543,67.900000,,67.303336,69.151777,78.884510,87.360662,73.569449,89.200460,,110.798254,12.557612,17.966762,14.174906,21.300460,,43.494918
2005,69.955472,71.981700,62.616589,70.200000,,69.634615,71.767812,82.660473,90.496558,78.635106,88.742030,,128.634843,12.705001,18.514858,16.018517,18.542030,,59.000228
2006,65.263927,67.336400,57.280921,65.500000,,64.842824,67.254944,78.055650,84.682417,71.292181,88.290560,,114.687447,12.791723,17.346017,14.011260,22.790560,,49.844623
2007,63.814253,64.418800,55.570455,63,,62.354621,64.940591,76.078610,81.184934,69.677299,86.610620,,115.508958,12.264357,16.766134,14.106844,23.610620,,53.154337
2008,62.154875,62.594500,53.673966,60.600000,,60.027936,62.873756,75.015978,79.771371,68.986834,85.078590,,115.016127,12.861103,17.176871,15.312868,24.478590,,54.988191
2009,61.571067,58.474900,53.073298,57.700000,,57.136403,59.888473,69.630232,74.016271,63.467760,77.245510,,95.478356,8.059165,15.541371,10.394462,19.545510,,38.341952
2010,56.329828,53.819000,47.819339,53.600000,55.735513,52.933982,55.561702,66.131884,70.427416,58.030856,74.350300,71.917781,95.837032,9.802056,16.608416,10.211517,20.750300,16.182268,42.903051
2011,55.386396,52.720400,47.353679,52.400000,54.579418,51.739807,54.422246,61.370505,66.372898,55.048506,69.959760,65.670452,62.995299,5.984109,13.652498,7.694827,17.559760,11.091034,11.255492
2012,54.401401,51.189800,,50.500000,53.072603,49.898551,52.926545,56.596624,60.265597,,66.278600,56.934550,51.977118,2.195223,9.075797,,15.778600,3.861947,2.078567
2013,52.805821,49.282800,,48.800000,51.204758,48.102730,50.998976,54.588462,56.615818,,64.063420,54.405533,49.767602,1.782641,7.333018,,15.263420,3.200775,1.664872
2014,52.485069,49.364000,,48.600000,50.962549,47.885043,50.764787,54.017057,58.149227,,63.310050,56.422309,48.905509,1.531989,8.785227,,14.710050,5.459760,1.020465
2015,56.699283,,,52.800000,55.075409,52.203440,54.867743,57.454514,,,66.490430,57.884716,51.910671,0.755231,,,13.690430,2.809307,-0.292769
2016,54.825344,,,51,52.761423,50.366707,52.539318,60.710843,,,50.040430,56.089053,54.516702,5.885499,,,-0.959570,3.327630,4.149994
2017,59.957235,,,55.300000,57.362758,55.106279,57.187985,63.787802,,,54.055190,60.573057,58.157638,3.830567,,,-1.244810,3.210299,3.051359
2018,55.453133,,,56.098930,53.888664,51.372728,53.705348,59.294652,,,58.117050,60.306721,55.852532,3.841519,,,2.018120,6.418057,4.479804
2019,54.174563,,,57.228070,50.400988,47.494045,50.157045,59.083134,,,57.687330,57.470349,52.339366,4.908571,,,0.459260,7.069361,4.845321
2020,56.631828,,,58.038670,45.807545,41.695202,43.782477,62.839629,,,61.899490,51.344841,47.659079,6.207800,,,3.860820,5.537296,5.963878
2021,57.399334,,,58.782470,,39.938330,42.744576,61.554090,,,59.548940,,49.069923,4.154756,,,0.766470,,9.131592
2022,58.488404,,,56.942570,,,,62.437424,,,56.524090,,,3.949020,,,-0.418480,,
