"Year","CAN production EXIOBASE 3.8.2","CAN production WIOD2016","CAN production OECDv2","CAN production Eora 199.082 (2023)","CAN production FIGARO April 2022","CAN production GCB 2023v26","CAN consumption EXIOBASE 3.8.2","CAN consumption WIOD2016","CAN consumption OECDv2","CAN consumption Eora 199.082 (2023)","CAN consumption FIGARO April 2022","CAN consumption GCB 2023v26","CAN net_trade EXIOBASE 3.8.2","CAN net_trade WIOD2016","CAN net_trade OECDv2","CAN net_trade Eora 199.082 (2023)","CAN net_trade FIGARO April 2022","CAN net_trade GCB 2023v26"
2006,559.406859,551.961741,540.574149,575,,568.584509,548.103641,539.126012,563.322902,560.581300,,576.085986,-11.303218,-12.835729,22.748753,-14.418700,,7.501477
2007,593.016431,577.921865,569.612111,599,,593.755254,582.109375,563.932156,588.342301,591.175500,,599.454652,-10.907056,-13.989709,18.730190,-7.824500,,5.699398
2008,572.199661,553.640917,554.812105,580,,576.808657,567.870892,538.321313,578.786296,579.009700,,583.685696,-4.328769,-15.319604,23.974191,-0.990300,,6.877039
2009,540.319952,534.637801,520.440328,547,,544.139661,504.459202,534.421457,548.934287,570.758300,,575.210431,-35.860750,-0.216345,28.493959,23.758300,,31.070771
2010,556.190704,552.734660,531.937748,561,564.224130,556.062099,541.702231,576.082768,576.153639,595.716500,594.987652,607.099471,-14.488473,23.348108,44.215891,34.716500,30.763522,51.037372
2011,567.139822,564.117438,537.178388,570,576.561371,565.254013,546.953052,586.689585,579.415496,603.908500,613.834267,601.281364,-20.186770,22.572147,42.237108,33.908500,37.272896,36.027351
2012,567.874277,563.050550,,574,573.463468,565.781728,551.795698,583.750902,,608.986000,601.185177,578.035877,-16.078580,20.700351,,34.986000,27.721709,12.254149
2013,580.191754,574.069837,,581,582.350339,569.539743,545.564955,587.954589,,611.443600,603.224814,577.980976,-34.626799,13.884752,,30.443600,20.874475,8.441233
2014,583.384310,576.979855,,581,588.936245,566.353017,534.512703,569.933861,,590.131500,615.799373,558.723197,-48.871607,-7.045994,,9.131500,26.863128,-7.629820
2015,579.123733,,,581,586.939895,570.680331,507.482941,,,627.776900,589.680925,541.386572,-71.640792,,,46.776900,2.741030,-29.293759
2016,569.884705,,,568,586.115662,557.689727,524.715648,,,582.495600,577.564418,521.484865,-45.169057,,,14.495600,-8.551244,-36.204862
2017,570.661006,,,575,596.807564,566.651892,498.770609,,,582.545300,583.326961,527.748799,-71.890397,,,7.545300,-13.480603,-38.903093
2018,585.484481,,,581.697200,609.262813,577.066285,511.133419,,,580.151600,583.934060,528.404420,-74.351062,,,-1.545600,-25.328753,-48.661864
2019,579.566248,,,580.892500,609.801326,578.587718,509.054029,,,570.088300,585.093274,524.474526,-70.512219,,,-10.804200,-24.708052,-54.113193
2020,555.861884,,,582.590600,550.909353,522.845296,488.817051,,,590.086600,521.249249,481.262154,-67.044833,,,7.496000,-29.660104,-41.583141
2021,609.136549,,,584.531700,,537.173737,531.073812,,,576.122000,,502.000933,-78.062738,,,-8.409700,,-35.172804
2022,594.652866,,,571.410600,,,513.634240,,,558.551700,,,-81.018626,,,-12.858900,,
