"Year","BEL production EXIOBASE 3.8.2","BEL production WIOD2016","BEL production OECDv2","BEL production Eora 199.082 (2023)","BEL production FIGARO April 2022","BEL production GCB 2023v26","BEL production Eurostat NAMEA","BEL consumption EXIOBASE 3.8.2","BEL consumption WIOD2016","BEL consumption OECDv2","BEL consumption Eora 199.082 (2023)","BEL consumption FIGARO April 2022","BEL consumption GCB 2023v26","BEL net_trade EXIOBASE 3.8.2","BEL net_trade WIOD2016","BEL net_trade OECDv2","BEL net_trade Eora 199.082 (2023)","BEL net_trade FIGARO April 2022","BEL net_trade GCB 2023v26"
1994,,,,126,,124.796749,,,,,108.871300,,162.672937,,,,-17.128700,,37.876188
1995,122.535742,,115.211913,127,,125.936291,,114.720944,,119.815357,117.400900,,166.612555,-7.814798,,4.603444,-9.599100,,40.676264
1996,127.825197,,121.309742,131,,129.478738,,124.958747,,126.082539,117.725600,,165.567246,-2.866450,,4.772797,-13.274400,,36.088509
1997,125.202790,,118.485027,125,,123.990621,,115.910162,,117.852349,108.754100,,170.613677,-9.292628,,-0.632678,-16.245900,,46.623056
1998,128.259789,,120.958657,131,,130.223497,,123.577192,,125.042167,115.268500,,180.668210,-4.682597,,4.083510,-15.731500,,50.444713
1999,124.766453,,117.449855,125,,124.681140,,122.012147,,122.489027,110.600600,,187.872522,-2.754306,,5.039172,-14.399400,,63.191382
2000,126.685747,131.728073,118.851623,127,,126.721544,,123.388120,145.644832,125.007494,114.424800,,190.423066,-3.297627,13.916759,6.155871,-12.575200,,63.701523
2001,125.200028,131.509642,119.970754,127,,126.066062,,126.529126,145.286121,121.588506,110.448500,,189.349186,1.329099,13.776479,1.617752,-16.551500,,63.283124
2002,117.742630,128.284956,112.615657,127,,126.863014,,126.790745,143.428432,117.344986,111.101200,,193.967807,9.048116,15.143476,4.729329,-15.898800,,67.104794
2003,122.453062,128.957505,120.253955,129,,128.248330,,133.943391,150.742674,124.752019,113.663100,,206.692620,11.490329,21.785169,4.498065,-15.336900,,78.444290
2004,121.773798,129.054947,116.140785,130,,128.770821,,137.333682,154.643225,127.331500,115.182700,,218.660221,15.559884,25.588278,11.190715,-14.817300,,89.889400
2005,118.777615,125.515650,113.235909,126,,125.627922,,139.457159,155.012862,127.880085,113.185300,,226.234901,20.679544,29.497212,14.644176,-12.814700,,100.606979
2006,116.495930,122.431395,110.493612,125,,123.872982,,138.985688,153.060217,129.106952,113.481300,,225.910415,22.489758,30.628822,18.613339,-11.518700,,102.037433
2007,114.002074,119.281113,106.087034,122,,120.463269,,134.387924,153.766270,123.233183,112.857800,,234.706581,20.385850,34.485157,17.146149,-9.142200,,114.243313
2008,115.835010,118.294734,111.636765,122,,120.170036,120.515309,151.411757,158.459475,139.654497,115.427800,,234.279636,35.576746,40.164741,28.017732,-6.572200,,114.109600
2009,108.333845,106.258364,100.841501,109,,107.765103,108.668472,134.266822,141.199739,122.844299,106.238100,,200.538391,25.932977,34.941375,22.002798,-2.761900,,92.773288
2010,115.768869,113.520275,109.709913,115,117.405856,114.604106,116.142422,139.784037,143.186607,134.442973,106.566200,134.874174,216.101450,24.015169,29.666332,24.733060,-8.433800,17.468318,101.497344
2011,105.226527,103.999544,110.546658,105,107.613250,105.068555,106.606024,139.138959,143.427845,135.394753,98.941430,125.777619,219.902983,33.912432,39.428301,24.848095,-6.058570,18.164369,114.834428
2012,104.056744,101.579123,,103,105.002901,102.404519,104.190260,133.990264,136.899927,,98.267470,121.256752,209.264358,29.933520,35.320804,,-4.732530,16.253851,106.859838
2013,105.188252,103.016274,,103,104.160514,102.714747,103.503853,132.642228,134.537990,,98.220780,121.287528,209.951154,27.453976,31.521716,,-4.779220,17.127014,107.236407
2014,99.198028,97.560209,,97.100000,98.365985,97.029247,97.509165,126.898060,138.059204,,93.879840,115.510446,212.187540,27.700032,40.498995,,-3.220160,17.144461,115.158293
2015,104.504652,,,101,103.064828,101.145633,101.474467,132.201688,,,96.478420,116.616898,208.373701,27.697036,,,-4.521580,13.552070,107.228068
2016,103.870169,,,99.600000,102.112007,99.623026,100.548993,139.895402,,,108.362100,113.227795,208.132825,36.025233,,,8.762100,11.115788,108.509799
2017,102.996698,,,98.800000,101.198318,99.055040,100.128349,137.299347,,,109.914400,112.978650,201.301374,34.302649,,,11.114400,11.780332,102.246335
2018,105.340723,,,96.298180,101.661107,99.967324,101.197203,143.430626,,,119.434700,117.241386,208.551039,38.089903,,,23.136520,15.580279,108.583715
2019,105.300918,,,94.773720,101.818153,99.470260,101.298756,133.945500,,,115.254100,115.303396,201.247478,28.644581,,,20.480380,13.485243,101.777218
2020,107.263836,,,93.286270,93.865403,91.101387,90.070091,143.596937,,,121.979900,103.884855,178.832410,36.333101,,,28.693630,10.019452,87.731023
2021,107.549303,,,91.754610,,95.668081,95.129662,146.812822,,,116.686500,,199.643157,39.263519,,,24.931890,,103.975076
2022,108.664100,,,89.177130,,,,146.302833,,,117.311600,,,37.638734,,,28.134470,,
