"Year","FRA production EXIOBASE 3.8.2","FRA production WIOD2016","FRA production OECDv2","FRA production Eora 199.082 (2023)","FRA production FIGARO April 2022","FRA production GCB 2023v26","FRA production SDES 2023 (official)","FRA production Eurostat NAMEA","FRA consumption EXIOBASE 3.8.2","FRA consumption WIOD2016","FRA consumption OECDv2","FRA consumption Eora 199.082 (2023)","FRA consumption FIGARO April 2022","FRA consumption GCB 2023v26","FRA consumption SDES 2023 (official)","FRA net_trade EXIOBASE 3.8.2","FRA net_trade WIOD2016","FRA net_trade OECDv2","FRA net_trade Eora 199.082 (2023)","FRA net_trade FIGARO April 2022","FRA net_trade GCB 2023v26","FRA net_trade SDES 2023 (official)"
2005,397.097089,432.514663,388.848769,433,,416.151132,,,536.964781,597.851153,537.173424,593.637200,,551.656496,547.542784,139.867692,165.336490,148.324655,160.637200,,135.505364,
2006,388.115414,422.250986,380.395385,422,,406.309785,,,526.564346,596.002408,534.371989,588.109100,,550.430155,,138.448932,173.751422,153.976604,166.109100,,144.120370,
2007,380.760517,414.278973,374.700538,412,,396.198174,,,531.397271,599.569138,535.169616,585.250700,,550.306136,,150.636754,185.290165,160.469078,173.250700,,154.107962,
2008,378.351544,413.063970,369.713490,406,,389.427324,413.257839,414.922831,535.633380,591.266258,543.604279,582.109600,,543.767859,,157.281836,178.202288,173.890789,176.109600,,154.340535,
2009,363.537257,391.159603,349.959320,388,,370.965652,392.413265,394.054064,498.195305,547.088025,502.781638,548.302400,,504.964253,,134.658048,155.928422,152.822318,160.302400,,133.998602,
2010,372.708217,401.726351,356.256282,396,400.440244,376.563913,400.440444,399.810311,501.197718,561.815355,513.984990,545.640000,567.197915,503.268514,538.894967,128.489500,160.089004,157.728708,149.640000,166.757671,126.704601,138.454523
2011,343.425725,376.895725,329.655711,372,378.494601,354.089090,378.494654,378.674305,497.563818,551.279211,499.411673,519.552000,560.524647,501.104627,541.104360,154.138093,174.383486,169.755962,147.552000,182.030046,147.015537,162.609706
2012,345.666043,377.612462,,373,379.885412,356.444547,379.885453,380.026371,488.772661,530.773981,,514.463600,537.179178,479.554243,527.995561,143.106618,153.161519,,141.463600,157.293766,123.109696,148.110108
2013,348.333333,377.373198,,374,380.811347,358.487444,380.811473,381.072854,482.574049,523.933711,,512.547700,542.257891,466.584787,525.905864,134.240716,146.560513,,138.547700,161.446544,108.097343,145.094391
2014,316.952384,345.586803,,343,348.301217,327.009474,348.302104,348.849570,462.105551,497.233696,,477.588000,505.852958,434.584830,498.801848,145.153167,151.646893,,134.588000,157.551741,107.575355,150.499744
2015,324.803787,,,349,352.490666,331.414415,352.490971,353.402759,457.080979,,,487.084600,511.994358,422.465023,490.671672,132.277192,,,138.084600,159.503692,91.050608,138.180701
2016,326.784466,,,351,355.652730,334.005063,355.652812,355.841979,453.535754,,,397.926300,495.244678,429.594286,484.458508,126.751287,,,46.926300,139.591948,95.589223,128.805696
2017,330.799649,,,354,358.140423,336.895908,358.140539,357.778407,456.259735,,,410.960200,501.806947,427.413492,505.802901,125.460085,,,56.960200,143.666524,90.517584,147.662362
2018,323.665111,,,341.801300,344.235002,322.078548,344.235098,343.224907,458.661990,,,476.470000,512.169185,426.542917,496.796291,134.996879,,,134.668700,167.934183,104.464369,152.561193
2019,317.487718,,,335.373500,338.882530,315.449737,338.882622,337.967894,443.313770,,,460.475300,507.520634,413.963339,489.196255,125.826052,,,125.101800,168.638104,98.513601,150.313633
2020,317.186381,,,329.703700,297.408181,281.539017,297.408375,292.642844,451.920659,,,493.259700,430.198546,375.640629,434.709206,134.734278,,,163.556000,132.790365,94.101612,137.300831
2021,320.182528,,,324.548400,,306.775752,,317.846592,459.571965,,,465.484600,,415.829549,447.898963,139.389436,,,140.936200,,109.053796,
2022,322.816628,,,308.883300,,,,,453.635347,,,453.986800,,,488.977636,130.818719,,,145.103500,,,
