"Year","China","USA","India","EU27","Russia","Japan"
1890,0,0.402412,0.004432,0.481649,0.016589,0.006756
1891,0,0.428107,0.004772,0.501333,0.018265,0.008123
1892,0,0.451177,0.005247,0.493624,0.019334,0.008075
1893,0,0.454759,0.005543,0.501924,0.022662,0.008574
1894,0,0.425745,0.005617,0.527213,0.023081,0.011025
1895,0,0.480673,0.007035,0.543312,0.026521,0.012227
1896,0,0.481673,0.007608,0.575299,0.026998,0.012916
1897,0,0.501200,0.008253,0.608570,0.031215,0.013542
1898,0,0.546327,0.009125,0.635500,0.035009,0.017246
1899,0,0.626823,0.010054,0.669348,0.040614,0.017272
1900,0,0.664132,0.011929,0.712155,0.046008,0.019412
1901,0,0.723192,0.013179,0.709674,0.047233,0.023274
1902,0,0.766652,0.014515,0.696461,0.045620,0.024945
1903,0,0.896953,0.014802,0.743088,0.044625,0.025787
1904,0,0.884803,0.016561,0.757167,0.049649,0.029052
1905,0,0.989991,0.016930,0.795774,0.044318,0.029931
1906,0,1.039964,0.019549,0.812361,0.050550,0.032855
1907,0.019894,1.208486,0.021772,0.927507,0.056620,0.035072
1908,0.022736,1.057522,0.024908,0.962037,0.056968,0.037633
1909,0.024252,1.171651,0.024142,0.955021,0.060136,0.038256
1910,0.025009,1.278529,0.023487,0.972868,0.058976,0.039384
1911,0.024631,1.265776,0.024782,0.992715,0.061145,0.044210
1912,0.017029,1.351018,0.028521,1.064398,0.069263,0.049281
1913,0.024252,1.450856,0.031466,1.146194,0.075242,0.054315
1914,0.026718,1.325944,0.031698,0.980976,0.067908,0.058016
1915,0.025421,1.375452,0.033141,0.900031,0.062330,0.052842
1916,0.030131,1.527240,0.033517,0.946096,0.066433,0.058598
1917,0.032023,1.679331,0.035019,0.938313,0.061140,0.067484
1918,0.034748,1.754117,0.039359,0.883437,0.024383,0.071543
1919,0.037997,1.486433,0.042974,0.686954,0.020827,0.079194
1920,0.040278,1.747167,0.034867,0.861444,0.018991,0.074280
1921,0.038763,1.432479,0.037505,0.894138,0.020596,0.066809
1922,0.039972,1.446013,0.036903,0.918104,0.025118,0.071430
1923,0.046518,1.909034,0.037971,0.823406,0.027747,0.075907
1924,0.048846,1.711687,0.040627,1.000201,0.033057,0.079348
1925,0.045955,1.758185,0.040084,1.011747,0.032627,0.082011
1926,0.043660,1.906048,0.039942,0.977943,0.047274,0.082605
1927,0.045809,1.862839,0.041883,1.099382,0.058774,0.089482
1928,0.047591,1.830965,0.040072,1.125199,0.065293,0.092391
1929,0.048282,1.963506,0.041707,1.235747,0.070315,0.094880
1930,0.049558,1.744916,0.042399,1.123394,0.095589,0.086166
1931,0.051905,1.484959,0.038850,1.011756,0.114837,0.077904
1932,0.050269,1.257814,0.036129,0.894194,0.129388,0.077981
1933,0.054111,1.348877,0.035467,0.921863,0.144604,0.091342
1934,0.062383,1.436239,0.039610,0.993537,0.174916,0.101203
1935,0.072646,1.492321,0.041393,1.040039,0.197995,0.106382
1936,0.075477,1.713412,0.040684,1.083907,0.227039,0.116849
1937,0.070969,1.792610,0.045067,1.219932,0.232157,0.125431
1938,0.061366,1.515750,0.050379,1.232383,0.245031,0.131735
1939,0.074427,1.670920,0.049311,1.269090,0.248036,0.127747
1940,0.090791,1.874985,0.052309,1.320451,0.297362,0.153244
1941,0.113979,2.043585,0.053580,1.301400,0.261240,0.154605
1942,0.127613,2.198265,0.053529,1.320679,0.142025,0.147792
1943,0.108995,2.272059,0.046644,1.331682,0.148225,0.150637
1944,0.103004,2.444904,0.047695,1.141707,0.214954,0.138733
1945,0.055892,2.359551,0.052873,0.492956,0.227572,0.076635
1946,0.036107,2.257494,0.052224,0.847728,0.255750,0.052707
1947,0.041836,2.485854,0.053179,0.990837,0.307964,0.070032
1948,0.038400,2.582558,0.053203,1.095502,0.327704,0.088082
1949,0.062081,2.164862,0.056187,1.211261,0.372516,0.098420
1950,0.078835,2.541485,0.060943,1.277578,0.415234,0.102541
1951,0.102115,2.618704,0.063806,1.429619,0.450022,0.123381
1952,0.128003,2.551216,0.067249,1.486735,0.481901,0.130362
1953,0.133786,2.612971,0.068608,1.514889,0.509826,0.145869
1954,0.160881,2.489462,0.072307,1.611346,0.556805,0.142662
1955,0.190522,2.728508,0.078694,1.743386,0.631364,0.142007
1956,0.215828,2.859987,0.081619,1.867177,0.692229,0.160801
1957,0.255789,2.835772,0.091618,1.926531,0.757515,0.188279
1958,0.524624,2.747108,0.095801,1.911060,0.808559,0.181421
1959,0.720163,2.831909,0.101436,1.940906,0.850093,0.192920
1960,0.798811,2.897308,0.111320,2.101583,0.885070,0.232830
1961,0.570641,2.886862,0.120399,2.201441,0.912753,0.283131
1962,0.459625,2.993898,0.132580,2.356558,0.957987,0.293278
1963,0.456787,3.126484,0.142439,2.514701,1.027400,0.325268
1964,0.460644,3.264307,0.139483,2.646008,1.092664,0.359353
1965,0.500294,3.399539,0.153697,2.678696,1.159119,0.386970
1966,0.549467,3.571418,0.159371,2.760302,1.224087,0.419780
1967,0.460233,3.705461,0.159557,2.822136,1.279969,0.489916
1968,0.495514,3.840923,0.174071,2.995612,1.315942,0.562568
1969,0.607694,4.035156,0.177411,3.194592,1.370468,0.653853
1970,0.807964,4.339704,0.181724,3.334414,1.441379,0.769748
1971,0.909210,4.365484,0.191965,3.428460,1.529596,0.799647
1972,0.968636,4.573034,0.203037,3.558672,1.609330,0.861054
1973,1.008269,4.777725,0.209096,3.732199,1.677296,0.914266
1974,1.028063,4.608462,0.215854,3.712971,1.741162,0.914306
1975,1.183154,4.414455,0.234210,3.640123,1.830213,0.869815
1976,1.226339,4.621539,0.244750,3.916066,1.900701,0.909575
1977,1.340715,4.749501,0.258962,3.877845,1.965351,0.935554
1978,1.492517,4.897339,0.263150,4.007998,2.032849,0.905088
1979,1.525417,4.908766,0.276285,4.117395,2.049709,0.957147
1980,1.494298,4.730218,0.291714,4.081316,2.130355,0.948552
1981,1.476280,4.543633,0.314969,3.867043,2.089791,0.930377
1982,1.606239,4.311919,0.325383,3.774743,2.129189,0.900724
1983,1.693747,4.346381,0.352205,3.731654,2.159389,0.884424
1984,1.844213,4.479380,0.361569,3.766663,2.178563,0.940542
1985,1.997193,4.495379,0.397601,3.823649,2.349517,0.915276
1986,2.103430,4.498136,0.426318,3.807141,2.349904,0.914049
1987,2.256629,4.691930,0.455355,3.840889,2.358795,0.902207
1988,2.424444,4.897776,0.491700,3.798377,2.437801,0.984698
1989,2.462150,4.960238,0.540662,3.836181,2.405697,1.021298
1990,2.483535,5.131761,0.577987,3.870253,2.536284,1.154853
1991,2.619143,5.076413,0.615388,3.804530,2.407642,1.166552
1992,2.731290,5.178769,0.655424,3.677736,1.963458,1.175454
1993,2.914284,5.279520,0.677262,3.608154,1.866525,1.169328
1994,3.093891,5.361863,0.714043,3.589454,1.646876,1.223158
1995,3.351197,5.425837,0.760480,3.635878,1.618286,1.235873
1996,3.499311,5.601094,0.823602,3.720710,1.586633,1.248690
1997,3.512350,5.673144,0.857976,3.654451,1.481963,1.240980
1998,3.355336,5.736360,0.875783,3.644649,1.465859,1.201334
1999,3.549949,5.800281,0.961194,3.589161,1.494088,1.238121
2000,3.643810,6.023158,0.987065,3.600416,1.480576,1.260203
2001,3.724114,5.903562,1.001198,3.657100,1.518081,1.245935
2002,4.098181,5.947819,1.032750,3.657391,1.508330,1.275420
2003,4.835252,6.006440,1.068398,3.736359,1.539006,1.283845
2004,5.210961,6.111545,1.134611,3.743384,1.545353,1.279122
2005,5.881991,6.126903,1.195393,3.734892,1.563980,1.286412
2006,6.486185,6.045326,1.293322,3.752005,1.623428,1.263440
2007,6.974663,6.121543,1.393485,3.701868,1.624315,1.298973
2008,7.492404,5.919221,1.490366,3.625826,1.652731,1.228687
2009,7.881491,5.486104,1.613328,3.330504,1.545236,1.160253
2010,8.610048,5.669250,1.678530,3.424327,1.633147,1.211090
2011,9.520153,5.538973,1.765695,3.327059,1.684989,1.261181
2012,9.767311,5.331467,1.926986,3.258616,1.700104,1.302113
2013,9.942371,5.473436,1.995337,3.176529,1.637547,1.311876
2014,9.976028,5.531385,2.148052,3.038861,1.637311,1.260272
2015,9.858040,5.368497,2.231817,3.094907,1.635244,1.219982
2016,9.748175,5.245362,2.352540,3.094515,1.629328,1.199933
2017,10.000014,5.195418,2.425722,3.118460,1.661012,1.184392
2018,10.346790,5.361236,2.595227,3.049484,1.709910,1.138550
2019,10.713514,5.235912,2.611175,2.904949,1.704459,1.102063
2020,10.896520,4.689954,2.422732,2.627051,1.631902,1.037285
2021,11.284401,5.020111,2.675778,2.801469,1.674524,1.058502
2022,11.711807,5.055403,2.831132,2.736946,1.675461,1.029645
2023,12.172009,4.918407,3.062756,2.484997,1.733135,0.986910
2024,12.289037,4.904120,3.193478,2.426166,1.780524,0.961867
