"Year","Coal","Oil","Gas","Others","Land-use change"
1948,3.740727,1.370552,0.280127,0.051635,5.724756
1949,3.547274,1.293929,0.300460,0.058189,5.683316
1950,3.879955,1.551783,0.353156,0.140524,6.654032
1951,4.084146,1.720176,0.416186,0.155641,7.197342
1952,4.030056,1.819094,0.447086,0.166110,7.251215
1953,4.061101,1.938059,0.474530,0.170894,7.383620
1954,4.053676,2.054232,0.501356,0.174749,7.806836
1955,4.386083,2.299538,0.547242,0.204272,7.994066
1956,4.608297,2.499033,0.587242,0.224661,8.060629
1957,4.691583,2.612050,0.646687,0.228835,8.280151
1958,4.761458,2.719235,0.705853,0.224809,8.212429
1959,4.953932,2.897693,0.758260,0.236938,8.692767
1960,5.158323,3.119970,0.834618,0.246534,7.610568
1961,4.944186,3.309097,0.882126,0.250363,7.630158
1962,4.928587,3.558261,0.967820,0.262295,7.138400
1963,5.107931,3.803658,1.046950,0.276487,6.953332
1964,5.213215,4.104341,1.152992,0.318942,6.659918
1965,5.289088,4.409442,1.230667,0.346873,6.385424
1966,5.349978,4.758873,1.339980,0.377574,5.917140
1967,5.261868,5.074540,1.433099,0.430664,6.250528
1968,5.319659,5.528198,1.559751,0.459073,6.327130
1969,5.518273,5.978462,1.708720,0.514634,6.940544
1970,5.698858,6.799016,1.790936,0.565978,6.689670
1971,5.700055,7.201027,1.933588,0.624531,6.139398
1972,5.691284,7.764705,2.052349,0.668170,6.438088
1973,5.860898,8.219691,2.202723,0.742347,6.254265
1974,5.857693,8.099290,2.256540,0.732000,6.312999
1975,6.018315,8.005122,2.241266,0.676604,6.123497
1976,6.226340,8.475642,2.359009,0.751484,6.060280
1977,6.375024,8.767406,2.411721,0.754197,6.620091
1978,6.510128,9.133722,2.541737,0.788078,6.563897
1979,6.799882,9.224317,2.668065,0.763863,5.855829
1980,6.984990,8.912475,2.741514,0.722612,6.001314
1981,6.942942,8.483404,2.763373,0.643366,5.836581
1982,7.066997,8.276258,2.701498,0.639629,5.531553
1983,7.269239,8.214693,2.743120,0.626123,5.839854
1984,7.586115,8.238706,2.972027,0.607869,6.424800
1985,8.144824,8.247613,3.089700,0.607189,6.787743
1986,8.261466,8.490594,3.014606,0.611454,6.943317
1987,8.549230,8.579333,3.281567,0.621391,6.497945
1988,8.836429,8.889340,3.435978,0.667558,6.156680
1989,8.827797,9.037386,3.604958,0.643046,5.980820
1990,8.659787,9.196440,3.790182,0.749310,5.829070
1991,8.574090,9.656488,3.851520,0.776854,5.720298
1992,8.361174,9.154655,3.901366,0.765715,5.967899
1993,8.470029,9.172321,4.007804,0.782007,5.733293
1994,8.513747,9.196236,4.040174,0.899670,6.668907
1995,8.758441,9.283901,4.196848,0.944569,6.278081
1996,8.976964,9.562137,4.381599,0.982107,6.541828
1997,8.927300,9.702211,4.395058,1.009609,8.019617
1998,8.689001,9.821975,4.443505,0.991578,6.792238
1999,8.809093,10.064188,4.586166,1.016465,6.561858
2000,9.156638,10.211624,4.727823,1.063742,6.145762
2001,9.208429,10.283571,4.771715,1.084824,5.460703
2002,9.630181,10.269353,4.913652,1.102116,6.093696
2003,10.466566,10.540849,5.096196,1.200874,7.321209
2004,10.813392,10.924574,5.257671,1.237383,6.443865
2005,11.498500,11.030304,5.376289,1.313328,5.931112
2006,12.136238,11.142928,5.531006,1.393867,6.033741
2007,12.724451,11.184312,5.736637,1.468450,5.593206
2008,13.149669,11.143340,5.905500,1.471083,5.951020
2009,13.003172,10.899596,5.765684,1.499242,6.534817
2010,13.918223,11.253695,6.205780,1.591554,6.517829
2011,14.704222,11.310149,6.389330,1.700998,6.392556
2012,14.867802,11.432717,6.523143,1.751413,6.682122
2013,14.953153,11.516626,6.573116,1.823351,6.319521
2014,15.014884,11.561832,6.604975,1.876223,6.409912
2015,14.655016,11.770023,6.728989,1.821859,6.512626
2016,14.322989,11.900264,6.914850,1.847656,5.376554
2017,14.494168,12.085292,7.084615,1.884159,5.307768
2018,14.762694,12.142828,7.419413,1.950889,4.882024
2019,14.702957,12.325908,7.574056,2.048118,4.887178
2020,14.267037,10.932341,7.520820,2.024053,4.516540
2021,14.969249,11.513166,7.878698,2.069101,4.657103
2022,15.449177,11.914912,7.758745,1.977610,4.785392
2023,15.636373,12.278241,7.802845,1.951629,4.745552
2024,15.805254,12.470596,8.009828,1.888525,4.585508
