"Year","China","USA","India","EU27","Russia","Japan","World"
1978,1.560947,21.727701,0.401309,9.953999,14.840580,7.763864,4.432504
1979,1.573750,21.569874,0.411656,10.177590,14.872734,8.144438,4.465701
1980,1.519887,20.578813,0.424402,10.035522,15.373564,8.014208,4.364099
1981,1.479652,19.567621,0.447593,9.463988,14.996546,7.818688,4.168842
1982,1.584706,18.381195,0.451724,9.206064,15.181631,7.538340,4.060496
1983,1.645908,18.340215,0.477648,9.075312,15.278918,7.373335,4.023942
1984,1.766742,18.714457,0.478978,9.137552,15.292000,7.812822,4.068703
1985,1.884486,18.599737,0.514596,9.252234,16.365029,7.574773,4.137420
1986,1.952622,18.438473,0.539172,9.186595,16.227745,7.531297,4.122175
1987,2.058560,19.060390,0.562909,9.241317,16.139838,7.398564,4.179654
1988,2.173913,19.717831,0.594312,9.109792,16.542661,8.039868,4.262697
1989,2.171225,19.787520,0.639050,9.166892,16.223809,8.306786,4.241189
1990,2.152888,20.253749,0.668214,9.214943,17.024376,9.358635,4.266701
1991,2.237076,19.793288,0.696198,9.027900,16.110183,9.416044,4.282473
1992,2.305715,19.948572,0.725863,8.697217,13.185007,9.450227,4.090168
1993,2.434030,20.102256,0.734463,8.507696,12.600124,9.366616,4.068620
1994,2.559043,20.197258,0.758681,8.442021,11.112470,9.762862,4.047994
1995,2.746582,20.230127,0.791919,8.537976,10.912880,9.834065,4.083544
1996,2.842784,20.678873,0.840686,8.730333,10.714368,9.912181,4.148108
1997,2.829939,20.745183,0.858720,8.565420,10.023170,9.828307,4.114970
1998,2.682451,20.774931,0.859736,8.542372,9.928902,9.493024,4.044522
1999,2.817025,20.805536,0.925804,8.408864,10.147159,9.764241,4.079117
2000,2.870088,21.397859,0.933022,8.419518,10.091322,9.920687,4.133621
2001,2.912365,20.766743,0.928843,8.533096,10.389472,9.790459,4.107635
2002,3.184619,20.718020,0.940917,8.507728,10.335309,10.004505,4.144280
2003,3.735178,20.718427,0.956657,8.659768,10.556017,10.055866,4.307030
2004,4.001966,20.873742,0.998785,8.644059,10.644388,10.007540,4.399256
2005,4.489976,20.718829,1.035263,8.594708,10.816067,10.056905,4.493561
2006,4.921031,20.236742,1.102690,8.611774,11.265755,9.870841,4.585831
2007,5.260667,20.280469,1.170331,8.471200,11.290964,10.141283,4.661509
2008,5.617249,19.409170,1.233818,8.267794,11.492319,9.587432,4.682571
2009,5.870657,17.810670,1.316438,7.574651,10.740569,9.050866,4.545518
2010,6.370445,18.225420,1.349863,7.771805,11.346465,9.447968,4.744937
2011,6.998823,17.634141,1.399984,7.536821,11.697759,9.845556,4.848876
2012,7.131918,16.812391,1.507019,7.372448,11.782465,10.178457,4.854014
2013,7.209799,17.098570,1.539815,7.180229,11.324347,10.271204,4.837742
2014,7.187589,17.118916,1.636889,6.860278,11.297596,9.885528,4.804597
2015,7.060955,16.461394,1.680554,6.971909,11.253667,9.585340,4.739116
2016,6.942884,15.934659,1.750474,6.955351,11.176726,9.436407,4.682487
2017,7.080384,15.639208,1.784068,6.996820,11.362259,9.321171,4.705259
2018,7.291561,16.000991,1.887906,6.829695,11.677307,8.971074,4.752195
2019,7.526070,15.500492,1.879854,6.493405,11.631904,8.698248,4.747814
2020,7.640750,13.816894,1.727293,5.866867,11.149055,8.212568,4.457744
2021,7.910899,14.758025,1.892074,6.257387,11.482228,8.422243,4.634748
2022,8.217777,14.802047,1.986169,6.094108,11.508875,8.237319,4.678452
2023,8.556262,14.319450,2.129769,5.514158,11.916451,7.935214,4.707772
2024,8.658390,14.197286,2.200978,5.388372,12.294705,7.772474,4.729075
