"Year","China","USA","India","EU27","Russia","Japan","United Kingdom","All others"
1887,0,20.538390,0.132485,36.771369,0.676571,0.158337,39.751956,1.970892
1888,0,21.110860,0.140636,36.724855,0.700944,0.172988,39.104563,2.045154
1889,0,21.461209,0.150553,36.780559,0.727418,0.190750,38.572551,2.116959
1890,0,21.952327,0.160482,36.783915,0.755952,0.207930,37.963105,2.176288
1891,0,22.439105,0.170314,36.774525,0.786171,0.228079,37.354024,2.247782
1892,0,22.952105,0.180821,36.723508,0.816940,0.245953,36.763814,2.316858
1893,0,23.442604,0.191463,36.728061,0.856786,0.264003,36.124433,2.392649
1894,0,23.754694,0.201064,36.756175,0.892982,0.288054,35.636410,2.470621
1895,0,24.148334,0.213713,36.735607,0.934328,0.312925,35.110061,2.545030
1896,0,24.473300,0.226610,36.758282,0.971952,0.337130,34.610871,2.621855
1897,0,24.773668,0.239713,36.797348,1.016199,0.360235,34.113199,2.699638
1898,0,25.109997,0.253426,36.817460,1.064321,0.390469,33.580782,2.783546
1899,0,25.521376,0.267244,36.773160,1.118173,0.416376,33.032325,2.871347
1900,0,25.923962,0.283734,36.749329,1.177531,0.444104,32.468216,2.953125
1901,0,26.389373,0.301197,36.667720,1.232470,0.477653,31.887867,3.043720
1902,0,26.879028,0.319702,36.521845,1.277327,0.511313,31.359899,3.130887
1903,0,27.493647,0.335826,36.342774,1.310800,0.541608,30.762473,3.212872
1904,0,28.012311,0.353857,36.189947,1.350704,0.575452,30.208401,3.309329
1905,0,28.605629,0.369922,36.020537,1.372693,0.606222,29.628149,3.396849
1906,0,29.179305,0.388600,35.825268,1.401413,0.638343,29.070988,3.496083
1907,0.034850,29.811429,0.406965,35.626966,1.429284,0.667297,28.421194,3.602015
1908,0.071198,30.188326,0.429599,35.573360,1.457819,0.699051,27.868206,3.712441
1909,0.106530,30.656683,0.448161,35.447310,1.486101,0.727616,27.320158,3.807441
1910,0.139584,31.178341,0.463073,35.282690,1.506828,0.753728,26.767831,3.907925
1911,0.169045,31.613742,0.478219,35.137522,1.527828,0.783999,26.263393,4.026252
1912,0.185016,32.060287,0.496173,35.028145,1.554911,0.816929,25.711038,4.147501
1913,0.208435,32.483994,0.514635,34.911255,1.581901,0.850637,25.172187,4.276955
1914,0.233850,32.847957,0.533950,34.739659,1.603855,0.889690,24.764408,4.386632
1915,0.255858,33.264012,0.553855,34.503735,1.618285,0.919956,24.410846,4.473454
1916,0.280937,33.727638,0.571039,34.237965,1.631634,0.951924,24.032919,4.565944
1917,0.305689,34.266686,0.587565,33.924114,1.635130,0.989704,23.635706,4.655407
1918,0.331663,34.864091,0.607841,33.593393,1.599519,1.029528,23.244598,4.729369
1919,0.360872,35.310080,0.633468,33.243176,1.570409,1.079638,22.982177,4.820180
1920,0.388599,35.809356,0.645980,32.922695,1.533370,1.115952,22.644503,4.939545
1921,0.414678,36.119493,0.662985,32.794146,1.506792,1.147303,22.279418,5.075184
1922,0.439738,36.372435,0.677450,32.649544,1.483969,1.179511,22.006626,5.190727
1923,0.467428,36.887299,0.689252,32.296384,1.459053,1.209029,21.687140,5.304415
1924,0.495306,37.189241,0.702550,32.119260,1.440309,1.239514,21.405762,5.408059
1925,0.518820,37.503936,0.714384,31.956614,1.422091,1.270073,21.114524,5.499558
1926,0.539250,37.941827,0.725746,31.792693,1.417917,1.299909,20.686169,5.596488
1927,0.558688,38.215488,0.736009,31.650784,1.419424,1.329923,20.405651,5.684034
1928,0.578375,38.452186,0.744315,31.541952,1.426101,1.360502,20.124330,5.772239
1929,0.596080,38.689404,0.751696,31.453850,1.433009,1.388054,19.834199,5.853707
1930,0.615091,38.845765,0.760955,31.364832,1.461468,1.410917,19.596786,5.944185
1931,0.636598,38.924331,0.769461,31.294643,1.506510,1.430877,19.409360,6.028219
1932,0.657494,38.934882,0.777530,31.221434,1.563235,1.453415,19.266245,6.125766
1933,0.679313,38.961895,0.783885,31.134154,1.625986,1.482370,19.105618,6.226781
1934,0.704288,38.969691,0.791169,31.037841,1.702796,1.513638,18.937146,6.343431
1935,0.733888,38.968098,0.798334,30.940222,1.788861,1.544984,18.758651,6.466964
1936,0.762047,39.014610,0.802811,30.802548,1.884689,1.577715,18.561130,6.594449
1937,0.784581,39.038086,0.808316,30.701135,1.975197,1.611169,18.350569,6.730947
1938,0.801446,38.957049,0.818005,30.661542,2.071840,1.649224,18.168996,6.871898
1939,0.823945,38.915951,0.825434,30.602369,2.162429,1.680712,17.972054,7.017105
1940,0.852590,38.901257,0.832228,30.503549,2.271089,1.721033,17.757950,7.160303
1941,0.891915,38.955749,0.838829,30.380375,2.352492,1.758822,17.544152,7.277666
1942,0.936528,39.093752,0.845123,30.276837,2.365800,1.791090,17.339712,7.351157
1943,0.968622,39.244108,0.847081,30.169818,2.380502,1.822282,17.136161,7.431426
1944,0.995570,39.457118,0.849097,29.958397,2.427312,1.844988,16.935328,7.532189
1945,1.002133,39.789080,0.857284,29.564264,2.488745,1.843743,16.799314,7.655436
1946,0.997231,39.995237,0.863470,29.313860,2.557362,1.828049,16.648615,7.796176
1947,0.992641,40.194548,0.867541,29.065546,2.640818,1.816475,16.470807,7.951623
1948,0.985389,40.376249,0.870289,28.839832,2.725855,1.811444,16.288646,8.102296
1949,0.990268,40.405009,0.875211,28.709032,2.830044,1.813319,16.135017,8.242100
1950,0.999114,40.468930,0.879188,28.522076,2.938880,1.811121,15.933693,8.446999
1951,1.015526,40.484385,0.882482,28.354955,3.051192,1.814459,15.731277,8.665723
1952,1.041475,40.456408,0.886718,28.210397,3.169676,1.819876,15.527236,8.888214
1953,1.067615,40.424886,0.890620,28.063975,3.290822,1.829935,15.327241,9.104905
1954,1.102469,40.324227,0.895287,27.947999,3.422272,1.837196,15.134562,9.335987
1955,1.144014,40.219547,0.899902,27.818871,3.566538,1.839205,14.923680,9.588244
1956,1.190542,40.097632,0.903728,27.693275,3.718794,1.844789,14.697212,9.854028
1957,1.247668,39.936495,0.910092,27.570447,3.882270,1.858234,14.468877,10.125917
1958,1.394597,39.721301,0.916813,27.426990,4.050967,1.866990,14.237095,10.385247
1959,1.597245,39.488498,0.923691,27.261323,4.217854,1.876362,13.994480,10.640547
1960,1.810816,39.222074,0.931792,27.110767,4.378850,1.895023,13.754290,10.896389
1961,1.938563,38.964796,0.942222,26.998700,4.538627,1.928453,13.528779,11.159859
1962,2.022365,38.715839,0.954836,26.913535,4.698262,1.961057,13.304074,11.430031
1963,2.097130,38.461262,0.968161,26.838981,4.861814,1.998246,13.075263,11.699143
1964,2.165034,38.200006,0.978242,26.763658,5.026428,2.039822,12.840588,11.986222
1965,2.236903,37.940820,0.990356,26.665615,5.192613,2.083789,12.606975,12.282929
1966,2.314265,37.687761,1.001762,26.555897,5.358197,2.130783,12.368053,12.583282
1967,2.360915,37.448878,1.011504,26.443216,5.522700,2.191171,12.125236,12.896381
1968,2.409547,37.196081,1.022598,26.336956,5.676429,2.262475,11.881016,13.214897
1969,2.477526,36.929263,1.031630,26.231123,5.821519,2.346802,11.633167,13.528971
1970,2.581749,36.653185,1.038285,26.094846,5.957849,2.446574,11.376511,13.851002
1971,2.698329,36.351466,1.045383,25.953456,6.096639,2.542858,11.123760,14.188109
1972,2.815569,36.058866,1.052766,25.809420,6.233609,2.641909,10.868284,14.519577
1973,2.927825,35.765129,1.059005,25.665686,6.364024,2.740470,10.613650,14.864212
1974,3.036768,35.463015,1.066367,25.532246,6.499466,2.832588,10.369859,15.199690
1975,3.169200,35.143439,1.076896,25.393827,6.643569,2.909715,10.139942,15.523412
1976,3.295754,34.826028,1.086938,25.275005,6.780426,2.984437,9.907491,15.843921
1977,3.431974,34.521644,1.097941,25.133884,6.913853,3.056219,9.682620,16.161865
1978,3.582145,34.222889,1.107648,24.995506,7.042188,3.114107,9.461303,16.474215
1979,3.725006,33.917386,1.118052,24.864348,7.159000,3.174534,9.253688,16.787985
1980,3.853981,33.607512,1.130544,24.739801,7.282879,3.230115,9.050166,17.105002
1981,3.975341,33.315501,1.147001,24.609507,7.398751,3.282076,8.864054,17.407768
1982,4.110905,33.012176,1.164394,24.478209,7.515712,3.327071,8.689109,17.702424
1983,4.250963,32.722880,1.184579,24.341443,7.628586,3.366115,8.521517,17.983917
1984,4.401872,32.442812,1.204028,24.197594,7.731594,3.408489,8.354011,18.259601
1985,4.561850,32.148890,1.226366,24.046191,7.845695,3.441428,8.192185,18.537396
1986,4.725738,31.858856,1.250951,23.891210,7.950150,3.470913,8.037439,18.814744
1987,4.896903,31.582608,1.276958,23.727871,8.042695,3.493971,7.884551,19.094443
1988,5.075246,31.315346,1.304916,23.542746,8.131786,3.522861,7.731708,19.375391
1989,5.246503,31.059913,1.337100,23.364446,8.208785,3.553538,7.586169,19.643547
1990,5.407358,30.819566,1.371247,23.184888,8.292303,3.596784,7.446290,19.881564
1991,5.572587,30.568217,1.407238,22.994066,8.350841,3.636979,7.310828,20.159245
1992,5.746631,30.367175,1.447145,22.817156,8.360604,3.678994,7.186738,20.395557
1993,5.931125,30.180151,1.487103,22.635442,8.356528,3.717153,7.065571,20.626927
1994,6.124783,30.004316,1.528759,22.455240,8.325990,3.758447,6.948198,20.854266
1995,6.333054,29.826638,1.572462,22.275963,8.288964,3.796814,6.831812,21.074292
1996,6.541672,29.653876,1.619454,22.097828,8.244145,3.831707,6.718315,21.293003
1997,6.740147,29.492757,1.667394,21.918440,8.189493,3.863463,6.607018,21.521287
1998,6.913590,29.348459,1.714919,21.748751,8.136602,3.889986,6.502345,21.745349
1999,7.094117,29.201772,1.767640,21.570196,8.084706,3.916771,6.398587,21.966211
2000,7.270337,29.064692,1.819153,21.387398,8.028789,3.941847,6.296415,22.191369
2001,7.444388,28.918033,1.869208,21.215052,7.977707,3.963710,6.198916,22.412986
2002,7.640497,28.767251,1.918791,21.039815,7.923983,3.985156,6.101187,22.623320
2003,7.883496,28.593335,1.966794,20.854007,7.865771,4.001387,6.001618,22.833594
2004,8.140727,28.413258,2.016570,20.660532,7.804407,4.013078,5.902082,23.049347
2005,8.435358,28.219537,2.067353,20.458557,7.741106,4.021442,5.802247,23.254399
2006,8.758348,28.005487,2.122005,20.251213,7.679502,4.024181,5.702401,23.456863
2007,9.098156,27.787863,2.180447,20.035431,7.615449,4.026711,5.602724,23.653219
2008,9.457742,27.553190,2.242641,19.815784,7.553534,4.021850,5.504451,23.850807
2009,9.833527,27.308083,2.312154,19.592352,7.489503,4.013634,5.409336,24.041410
2010,10.232301,27.051704,2.380053,19.360329,7.425043,4.004202,5.312863,24.233505
2011,10.669034,26.775581,2.448933,19.116281,7.361256,3.995495,5.213582,24.419838
2012,11.098181,26.489302,2.525052,18.872962,7.299208,3.988778,5.118703,24.607814
2013,11.516098,26.220910,2.601641,18.631599,7.234218,3.982177,5.026621,24.786736
2014,11.914806,25.965918,2.684564,18.390079,7.171395,3.971889,4.935675,24.965674
2015,12.287532,25.713172,2.769249,18.164332,7.111671,3.959583,4.848111,25.146351
2016,12.636207,25.464206,2.857878,17.949005,7.054346,3.946572,4.763097,25.328690
2017,12.980431,25.213952,2.946084,17.738298,6.999012,3.931717,4.679402,25.511104
2018,13.324528,24.973340,3.039410,17.524477,6.945897,3.912859,4.596797,25.682693
2019,13.672588,24.730571,3.128896,17.307733,6.893341,3.891809,4.515989,25.859072
2020,14.032176,24.494081,3.207001,17.103534,6.846592,3.872262,4.441498,26.002856
2021,14.385356,24.262328,3.293311,16.901025,6.797492,3.850932,4.366653,26.142903
2022,14.742472,24.033254,3.383546,16.697070,6.747969,3.827428,4.291557,26.276704
2023,15.105494,23.798650,3.481767,16.482469,6.701598,3.801341,4.218077,26.410603
2024,15.455635,23.566517,3.582039,16.269093,6.657891,3.773942,4.146775,26.548109
