"Year","USA","OECD Europe","Japan","Rest of OECD","China","India","Russia","Rest of Non-OECD","Bunkers"
1994,5.361863,4.044393,1.223158,1.835407,3.093891,0.714043,1.646876,4.470138,0.584829
1995,5.425837,4.077665,1.235873,1.879069,3.351197,0.760480,1.618286,4.550972,0.617257
1996,5.601094,4.181975,1.248690,1.979015,3.499311,0.823602,1.586633,4.644642,0.668516
1997,5.673144,4.103119,1.240980,2.077271,3.512350,0.857976,1.481963,4.730235,0.703283
1998,5.736360,4.116233,1.201334,2.052257,3.355336,0.875783,1.465859,4.746297,0.746254
1999,5.800281,4.075918,1.238121,2.103837,3.549949,0.961194,1.494088,4.840963,0.773419
2000,6.023158,4.090201,1.260203,2.192751,3.643810,0.987065,1.480576,5.050201,0.783520
2001,5.903562,4.148099,1.245935,2.209037,3.724114,1.001198,1.518081,5.165462,0.777503
2002,5.947819,4.129650,1.275420,2.247658,4.098181,1.032750,1.508330,5.228678,0.796846
2003,6.006440,4.211586,1.283845,2.330324,4.835252,1.068398,1.539006,5.548580,0.829259
2004,6.111545,4.223150,1.279122,2.350939,5.210961,1.134611,1.545353,5.850876,0.903466
2005,6.126903,4.211427,1.286412,2.407274,5.881991,1.195393,1.563980,5.986342,0.939227
2006,6.045326,4.221766,1.263440,2.454062,6.486185,1.293322,1.623428,6.216027,0.990595
2007,6.121543,4.153722,1.298973,2.538882,6.974663,1.393485,1.624315,6.345418,1.048253
2008,5.919221,4.068011,1.228687,2.547685,7.492404,1.490366,1.652731,6.592373,1.058181
2009,5.486104,3.748659,1.160253,2.508664,7.881491,1.613328,1.545236,6.555229,1.014049
2010,5.669250,3.866578,1.211090,2.586105,8.610048,1.678530,1.633147,6.990893,1.072032
2011,5.538973,3.709497,1.261181,2.681041,9.520153,1.765695,1.684989,7.212404,1.106056
2012,5.331467,3.668907,1.302113,2.731067,9.767311,1.926986,1.700104,7.432687,1.094093
2013,5.473436,3.596563,1.311876,2.721142,9.942371,1.995337,1.637547,7.487352,1.110196
2014,5.531385,3.413831,1.260272,2.711238,9.976028,2.148052,1.637311,7.671729,1.115847
2015,5.368497,3.452571,1.219982,2.743805,9.858040,2.231817,1.635244,7.740952,1.152619
2016,5.245362,3.432636,1.199933,2.764629,9.748175,2.352540,1.629328,7.851148,1.169079
2017,5.195418,3.437271,1.184392,2.799724,10.000014,2.425722,1.661012,8.069942,1.201115
2018,5.361236,3.364352,1.138550,2.831172,10.346790,2.595227,1.709910,8.150391,1.236376
2019,5.235912,3.207264,1.102063,2.809098,10.713514,2.611175,1.704459,8.463507,1.239574
2020,4.689954,2.896380,1.037285,2.638286,10.896520,2.422732,1.631902,8.105621,0.839551
2021,5.020111,3.078454,1.058502,2.734817,11.284401,2.675778,1.674524,8.461193,0.879083
2022,5.055403,2.978897,1.029645,2.713439,11.711807,2.831132,1.675461,8.566318,0.965669
2023,4.918407,2.737387,0.986910,2.727182,12.172009,3.062756,1.733135,8.673504,1.082754
2024,4.904120,2.684463,0.961867,2.743036,12.289037,3.193478,1.780524,8.849589,1.192464
