"Year","deforestation_tot mean","deforestation_tot min","deforestation_tot max","forest_regrowth_tot mean","forest_regrowth_tot min","forest_regrowth_tot max","wood_harvest mean","wood_harvest min","wood_harvest max","other_transitions mean","other_transitions min","other_transitions max","peat_emissions mean","peat_emissions min","peat_emissions max"
1977,6.648291,5.879438,7.823263,-3.243043,-3.686424,-2.955749,1.652867,0.439240,2.259735,0.890841,0.693192,1.263017,0.671147,0.524392,0.760756
1978,6.602308,5.788790,7.721550,-3.243019,-3.677117,-2.945783,1.670405,0.455655,2.285273,0.884062,0.686011,1.251916,0.650140,0.524392,0.716752
1979,6.164521,5.311701,6.961087,-3.264587,-3.685728,-2.939371,1.692475,0.470971,2.320888,0.702828,0.418319,1.151302,0.560592,0.477602,0.679782
1980,6.210761,5.374392,7.055655,-3.259250,-3.667994,-2.929441,1.707436,0.475660,2.349467,0.651361,0.393880,1.064758,0.690994,0.524392,0.850085
1981,6.156631,5.296715,6.938150,-3.262633,-3.661948,-2.925851,1.704212,0.450928,2.362767,0.674200,0.380543,1.067323,0.564171,0.403443,0.732067
1982,5.952876,5.075446,6.607255,-3.268557,-3.667884,-2.920428,1.704896,0.462104,2.359286,0.588854,0.291948,1.026433,0.553459,0.388567,0.682164
1983,6.061441,5.127182,6.771438,-3.275518,-3.641283,-2.913063,1.699485,0.433121,2.357821,0.716251,0.479251,0.987558,0.638208,0.484014,0.808352
1984,6.468536,5.650438,7.308654,-3.257772,-3.616148,-2.906944,1.726978,0.479398,2.364233,0.654574,0.408536,0.948720,0.832510,0.654867,0.971436
1985,6.829574,6.124742,7.653876,-3.259470,-3.603288,-2.906321,1.738104,0.502554,2.363756,0.604413,0.352184,0.964218,0.875110,0.687476,1.008699
1986,6.982363,6.190218,7.846529,-3.282553,-3.597645,-2.927316,1.742537,0.470164,2.394314,0.602923,0.297334,0.983894,0.898059,0.720123,1.064209
1987,6.726567,5.857820,7.367095,-3.313074,-3.602115,-2.927756,1.768344,0.489620,2.427107,0.517540,0.179023,0.944762,0.798605,0.653658,0.989427
1988,6.412953,5.355376,6.974168,-3.324738,-3.629815,-2.933875,1.793577,0.479178,2.484705,0.483868,0.173051,0.885296,0.790997,0.554913,1.032735
1989,6.172826,5.086695,6.845818,-3.329062,-3.639561,-2.938418,1.827017,0.483282,2.542889,0.502896,0.244425,0.807985,0.807167,0.548061,1.055488
1990,6.070711,4.902652,6.991535,-3.410708,-3.766006,-2.969782,1.862204,0.503250,2.591217,0.576518,0.393074,0.739908,0.730357,0.346614,0.993860
1991,6.052391,4.926321,7.006228,-3.463347,-3.862919,-2.997775,1.902923,0.558687,2.649182,0.541038,0.375047,0.705723,0.687305,0.286342,0.914937
1992,6.246778,5.238677,6.976622,-3.492171,-3.888640,-3.017817,1.854338,0.557624,2.527757,0.512203,0.326499,0.648601,0.846763,0.630428,1.039184
1993,6.200612,5.078377,7.101711,-3.514631,-3.915937,-3.014703,1.787861,0.547035,2.416225,0.457499,0.310231,0.604194,0.801952,0.558137,0.966600
1994,7.172292,6.403023,7.636802,-3.556413,-3.961114,-3.040827,1.722886,0.492405,2.394717,0.421177,0.239736,0.574405,0.908977,0.749874,1.086229
1995,6.970235,5.908273,7.721990,-3.611373,-4.025783,-3.074243,1.671822,0.456864,2.374016,0.397727,0.167848,0.533991,0.849669,0.625335,1.017200
1996,6.954113,5.824478,7.732396,-3.605120,-4.022559,-3.071165,1.635304,0.501821,2.313486,0.399168,0.292534,0.462727,1.158361,0.915634,1.585889
1997,7.190368,6.141560,7.887163,-3.642895,-4.050369,-3.075049,1.596038,0.450122,2.293481,0.245806,0.007731,0.471960,2.630276,2.367017,2.814208
1998,7.796332,6.906896,8.292218,-3.710496,-4.103497,-3.108061,1.563050,0.406814,2.289450,0.303526,0.021618,0.528862,0.839825,0.776292,0.950002
1999,7.652887,6.582742,8.293794,-3.738794,-4.182822,-3.136237,1.553597,0.399852,2.286189,0.250386,-0.108857,0.564293,0.843783,0.797030,0.904825
2000,7.406837,6.231182,8.192154,-3.805785,-4.297689,-3.170862,1.604014,0.412603,2.372037,0.238478,-0.134432,0.538132,0.702218,0.505156,0.822421
2001,7.017684,5.796595,8.081831,-3.867010,-4.379433,-3.187680,1.582323,0.386882,2.371817,0.079545,-0.391535,0.472400,0.648186,0.316789,0.820773
2002,7.158308,6.060293,8.109531,-3.935808,-4.447546,-3.221352,1.594622,0.345002,2.383066,0.283252,-0.091673,0.475404,0.993323,0.699531,1.148664
2003,8.340119,7.843232,8.761430,-4.005204,-4.520753,-3.265540,1.641973,0.367866,2.433226,0.486616,0.211559,0.723384,0.857718,0.776731,0.939083
2004,7.478029,6.310068,8.417161,-4.025967,-4.516136,-3.252350,1.674680,0.399852,2.427656,0.511446,0.257872,0.756836,0.805653,0.420078,1.022549
2005,7.129802,5.945170,8.151301,-4.079656,-4.571866,-3.265357,1.676964,0.392378,2.403144,0.401709,0.108051,0.639844,0.802282,0.485700,1.001371
2006,6.853463,5.488965,8.132285,-4.176533,-4.682555,-3.370404,1.692634,0.398643,2.402815,0.273566,-0.149638,0.488045,1.390635,1.157604,1.570537
2007,6.945772,5.592143,8.166470,-4.200739,-4.677939,-3.368608,1.724083,0.369588,2.437513,0.346492,0.052322,0.501052,0.777586,0.620865,0.909661
2008,7.106304,5.747900,8.259352,-4.203756,-4.660205,-3.366410,1.718037,0.392231,2.425678,0.491611,0.336209,0.626507,0.838824,0.735621,0.975613
2009,7.325985,5.984155,8.374512,-4.255626,-4.699849,-3.372309,1.670161,0.337564,2.388305,0.523073,0.294805,0.698578,1.271213,1.173652,1.334246
2010,7.474707,6.043805,8.610620,-4.407719,-4.953252,-3.500696,1.712712,0.347420,2.406259,0.786820,0.542272,1.078132,0.951272,0.807326,1.147785
2011,7.407765,6.045673,8.633447,-4.445433,-4.977800,-3.555436,1.750684,0.367096,2.458617,0.719634,0.492002,0.967992,0.959919,0.813958,1.124518
2012,7.565036,6.272255,8.601716,-4.463204,-4.950540,-3.539644,1.842736,0.400475,2.648339,0.581794,0.402967,0.803479,1.155748,0.942857,1.392064
2013,7.473082,6.071651,8.666276,-4.486605,-4.962155,-3.538545,1.762665,0.420444,2.570919,0.556916,0.400292,0.778893,1.013487,0.900428,1.109239
2014,7.500574,6.060183,8.673457,-4.579426,-5.072478,-3.604130,1.688921,0.406631,2.496723,0.628706,0.519702,0.814910,1.171161,0.986349,1.338459
2015,7.308385,5.815574,8.711233,-4.620267,-5.191998,-3.600833,1.597809,0.340679,2.590704,0.532269,0.390546,0.687733,1.694441,1.556321,1.855779
2016,7.121839,5.594635,8.655101,-4.669108,-5.247214,-3.631280,1.543607,0.313235,2.702383,0.558589,0.467270,0.703671,0.821640,0.771052,0.855691
2017,7.190307,5.672898,8.595891,-4.705516,-5.282169,-3.662315,1.473502,0.333790,2.625622,0.562558,0.458586,0.702279,0.786893,0.682164,0.851917
2018,6.900619,5.291476,8.537230,-4.712234,-5.343504,-3.645277,1.514099,0.352843,2.723598,0.374913,0.249738,0.470421,0.804651,0.606429,0.920177
2019,6.715159,5.102596,8.478752,-4.758962,-5.438512,-3.653668,1.521732,0.349362,2.774344,0.402551,0.358889,0.487239,1.006672,0.713637,1.161781
2020,6.752227,5.183351,8.498831,-4.778735,-5.504244,-3.648245,1.513073,0.290775,2.764964,0.376574,0.319721,0.463752,0.653401,0.287771,0.836345
2021,6.864406,5.411435,8.547672,-4.792793,-5.515273,-3.646816,1.546489,0.318108,2.737887,0.318841,0.277218,0.352330,0.720159,0.451332,0.873388
2022,6.986137,5.550227,8.628537,-4.802576,-5.538392,-3.644104,1.562440,0.298946,2.755145,0.286757,0.234643,0.316130,0.752622,0.605110,0.831801
2023,6.878537,5.341819,8.678221,-4.840022,-5.663921,-3.635054,1.557005,0.265090,2.728617,0.285267,0.230612,0.331262,0.864765,0.745771,0.931206
2024,6.858336,5.301332,8.678001,-4.859490,-5.734123,-3.626737,1.535118,0.217129,2.691501,0.280418,0.229769,0.329577,0.771113,0.652119,0.837554
