"Year","Afghanistan","Albania","Algeria","Andorra","Angola","Anguilla","Antarctica","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bonaire, Saint Eustatius and Saba","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cambodia","Canada","Cape Verde","Cayman Islands","Central African Republic","Chad","Chile","China","Christmas Island","Colombia","Comoros","Congo","Cook Islands","Costa Rica","Côte d'Ivoire","Croatia","Cuba","Curaçao","Cyprus","Czechia","Czechoslovakia","North Korea","Democratic Republic of the Congo","North Vietnam","Denmark","Djibouti","Dominica","Dominican Republic","East & West Pakistan ","Ecuador","Egypt","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Faeroe Islands","Falkland Islands (Malvinas)","Federal Republic of Germany","Micronesia (Federated States of)","Federation of Malaya-Singapore","Fiji","Finland","Democratic Yemen","German Democratic Republic","Panama Canal Zone","Former Yemen","France","French Equatorial Africa","French Guiana","French Indochina","French Polynesia","French West Africa","Gabon","Gambia","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Grenada","Guadeloupe","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iraq","Ireland","Iran","Isle of Man","Israel","Italy","Jamaica","Japan","Japan (excluding the Ruyuku Islands)","Jordan","Kazakhstan","Kenya","Kiribati","Kosovo","Kuwait","Kuwaiti Oil Fires","Kyrgyzstan","Laos","Latvia","Lebanon","Leeward Islands","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Macao","North Macedonia","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Martinique","Mauritania","Mauritius","Mayotte","Mexico","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Netherlands Antilles","Netherlands Antilles and Aruba","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Niue","Norway","State of Palestine","Oman","Pacific Islands (Palau)","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peninsular Malaysia","Peru","Philippines","Bolivia","Poland","Portugal","Puerto Rico","Qatar","Cameroon","South Korea","Moldova","South Sudan","South Vietnam","Sudan","Réunion","Federation of Rhodesia and Nyasaland","Romania","Russia","Rwanda","Ruanda-Urundi","Ryukyu Islands","Sabah","Saint Helena","Saint Lucia","Sint Maarten (Dutch part)","Samoa","Sao Tome and Principe","Sarawak","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Solomon Islands","Somalia","South Africa","Spain","Sri Lanka","Saint Kitts and Nevis","St. Kitts-Nevis-Anguilla","Saint Pierre and Miquelon","Saint Vincent and the Grenadines","United Sudan","Suriname","Eswatini","Sweden","Switzerland","Syria","Taiwan","Tajikistan","Tanganyika","Thailand","Timor-Leste","Togo","Tonga","Trinidad and Tobago","Tunisia","Türkiye","Turkmenistan","Turks and Caicos Islands","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United Korea","Tanzania","USA","Uruguay","USSR","Uzbekistan","Vanuatu","Venezuela","Viet Nam","Wallis and Futuna Islands","Yemen","Socialist Federal Republic of Yugoslavia","Serbia and Montenegro","Zambia","Zanzibar","Zimbabwe","World"
1975,,,9.16,,3.12,,,,2.78,,,5.21,,,,15.11,0.01,,,,,,,,,,,0.25,,228.70,,,,,16.05,,,,,,0.26,,1.15,,3.10,,,,,,,,,,,,,0.08,,,,,3.42,0.86,,,,,,,,,,,,,,,,,,,,,,,48.06,,,0.48,,,,,,,,,,,,,,,,0.04,1.45,27.30,,23.93,,,0.56,,,,,,,,,278.88,,,,,,,,,91.73,,,,,,,,1.19,,,,,,,,,2.37,,,,,,0.01,,,,,,11.64,,,,,3.95,,6.48,,60.44,,0.11,,,,,,0.77,,0.69,0.33,,,335.44,,,,,,,,,4.63,,,,,,,,,,,,128.83,,,,,,,,,,,,,,,,,,,,,,3.59,,,,,,,,31.48,2.25,,,,,,,423.64,1.34,,,11.12,,7.59,,,28.74,,,,,,,,,2.47
1976,,,9.85,,2.93,,,,2.72,,,5.40,,,,15.04,0.02,,,,,,,,,,,0.24,,266.67,,,,,15.14,,,,,,0.29,,1.06,,3.55,,,,,,,,,,,,,0.11,,,,,3.90,1.20,,,,,,,,,,,,,,,,,,,,,,,47.01,,,0.50,,,,,,,,,,,,,,,,0.04,1.63,28.35,,25.53,,,0.60,,,,,,,,,271.15,,,,,,,,,112.84,,,,,,,,1.95,,,,,,,,,2.51,,,,,,0.02,,,,,,12.35,,,,,4.47,,9.55,,62.31,,0.11,,,,,,0.80,,0.69,0.36,,,335.40,,,,,,,,,4.82,,,,,,,,,,,,148.73,,,,,,,,,,,,,,,,,,,,,,3.65,,,,,,,,30.98,1.76,,,,,,,437.43,1.94,,,10.82,,8.07,,,27.81,,,,,,,,,2.61
1977,,,10.02,,2.65,,,,2.87,,,5.73,,,,15.53,0.02,,,,,,,,,,,0.23,,278.23,,,,,15.30,,,,,,0.31,,1.00,,2.71,,,,,,,,,,,,,0.27,,,,,3.69,1.47,,,,,,,,,,,,,,,,,,,,,,,45.68,,,0.50,,,,,,,,,,,,,,,,0.05,1.82,26.53,,23.87,,,0.53,,,,,,,,,234.00,,,,,,,,,114.16,,,,,,,,2.07,,,,,,,,,2.89,,,,,,0.01,,,,,,12.30,,,,,4.37,,11.05,,54.77,,0.12,,,,,,0.91,,0.71,0.37,,,282.68,,,,,,,,,4.93,,,,,,,,,,,,151.61,,,,,,,,,,,,,,,,,,,,,,3.21,,,,,,,,33.26,1.99,,,,,,,396.43,3.31,,,10.79,,8.46,,,26.51,,,,,,,,,2.66
1978,,,10.39,,2.35,,,,2.96,,,5.71,,,,16.26,0.02,,,,,,,,,,,0.22,,277.66,,,,,14.88,,,,,,0.34,,0.98,,3.92,,,,,,,,,,,,,0.21,,,,,3.98,1.74,,,,,,,,,,,,,,,,,,,,,,,41.93,,,0.51,,,,,,,,,,,,,,,,0.05,1.79,28.00,,21.21,,,0.54,,,,,,,,,237.26,,,,,,,,,104.29,,,,,,,,2.69,,,,,,,,,3.46,,,,,,0.02,,,,,,11.19,,,,,3.86,,18.93,,48.66,,0.12,,,,,,1.42,,0.69,0.39,,,291.21,,,,,,,,,4.79,,,,,,,,,,,,130.98,,,,,,,,,,,,,,,,,,,,,,3.03,,,,,,,,33.64,2.23,,,,,,,323.83,4.04,,,10.93,,8.85,,,24.89,,,,,,,,,2.65
1979,,,11.06,,2.52,,,,2.98,,,5.83,,,,17.20,0.02,,,,,,,,,,,0.23,,288.56,,,,,16.33,,,,,,0.34,,0.94,,4.35,,,,,,,,,,,,,0.21,,,,,4.10,1.78,,,,,,,,,,,,,,,,,,,,,,,37.80,,,0.52,,,,,,,,,,,,,,,,0.06,1.77,36.79,,12.60,,,0.54,,,,,,,,,266.90,,,,,,,,,105.62,,,,,,,,3.40,,,,,,,,,4.07,,,,,,0.02,,,,,,11.65,,,,,4.55,,23.46,,43.77,,0.13,,,,,,1.73,,0.73,0.35,,,307.02,,,,,,,,,4.45,,,,,,,,,,,,143.36,,,,,,,,,,,,,,,,,,,,,,2.73,,,,,,,,31.31,2.43,,,,,,,287.92,5.25,,,10.85,,9.17,,,26.40,,,,,,,,,2.73
1980,,,9.38,,2.51,,,,3.12,,,5.67,,,,13.35,0.03,,,,,,,,,,,0.24,,264.35,,,,,15.32,,,,,,0.33,,0.94,,4.88,,,,,,,,,,,,,0.16,,,,,3.82,2.01,,,,,,,,,,,,,,,,,,,,,,,33.45,,,0.47,,,,,,,,,,,,,,,,0.04,1.75,27.22,,5.66,,,0.50,,,,,,,,,168.88,,,,,,,,,87.23,,,,,,,,3.21,,,,,,,,,5.19,,,,,,0.02,,,,,,11.20,,,,,3.97,,29.33,,40.35,,0.15,,,,,,1.72,,0.88,0.29,,,275.38,,,,,,,,,4.42,,,,,,,,,,,,143.00,,,,,,,,,,,,,,,,,,,,,,2.51,,,,,,,,31.27,2.41,,,,,,,247.14,5.30,,,10.72,,9.49,,,23.87,,,,,,,,,2.60
1981,,,8.51,,2.34,,,,3.14,,,23.27,,,,11.89,0.03,,,,,,,,,,,0.36,,206.01,2.05,,,,17.67,,,,,,1.52,,1.39,,6.18,,,,,,,,16.14,,,,,0.40,,,,,3.84,2.12,,,,,,,,,,,,,,,,,,,,,,,28.04,,,7.93,,,1.44,,,,,,,,,,,2.61,,0.41,1.74,9.00,,4.85,,,0.54,,0.32,,,,,,,110.59,,,,,,,,,55.42,,,,,,,,2.89,,,,,,,,,6.08,4.38,,,,,0.02,,,,,,10.33,,1.53,,,2.72,,28.65,,44.11,,0.19,,,,,,1.67,,0.92,11.43,,,227.76,,0.88,,,,,,,6.19,,,,,,,,,,,,135.59,,,,,,,,,,9.63,1.24,,,,,,,,,,,2.51,,,,0.05,,,,28.48,2.26,0.60,,,,,,205.26,11.13,,,18.12,,14.72,,,22.57,0.24,,,,,,,0.96,4.03
1982,,,8.74,,2.02,,,,3.14,,,23.17,,,,18.13,0.04,,,,,,,,,,,0.43,,202.19,2.25,,,,17.87,,,,,,1.59,,1.45,,6.71,,,,,,,,16.29,,,,,0.91,,,,,3.74,2.15,,,,,,,,,,,,,,,,,,,,,,,27.80,,,7.92,,,1.49,,,,,,,,,,,2.63,,0.42,1.46,9.53,,8.28,,,0.57,,0.32,,,,,,,76.90,,,,,,,,,49.72,,,,,,,,3.33,,,,,,,,,6.94,4.89,,,,,0.03,,,,,,8.79,,1.54,,,2.37,,28.71,,42.79,,0.20,,,,,,1.65,,0.93,13.15,,,185.21,,0.87,,,,,,,6.27,,,,,,,,,,,,87.58,,,,,,,,,,10.38,1.33,,,,,,,,,,,2.30,,,,0.12,,,,27.83,2.10,0.63,,,,,,171.15,11.69,,,17.75,,14.93,,,20.16,0.25,,,,,,,0.89,3.95
1983,,,9.32,,2.67,,,,3.32,,,23.61,,,,18.35,0.04,,,,,,,,,,,0.51,,199.66,2.27,,,,17.94,,,,,,1.66,,1.56,,7.74,,,,,,,,16.55,,,,,1.15,,,,,4.11,2.29,,,,,,,,,,,,,,,,,,,,,,,27.33,,,7.55,,,1.61,,,,,,,,,,,2.53,,0.45,1.54,10.33,,8.21,,,0.54,,0.31,,,,,,,93.63,,,,,,,,,46.75,,,,,,,,4.55,,,,,,,,,6.69,4.82,,,,,0.03,,,,,,9.31,,1.69,,,2.23,,32.66,,46.90,,0.19,,,,,,1.39,,0.88,13.26,,,163.31,,0.85,,,,,,,6.47,,,,,,,,,,,,59.51,,,,,,,,,,10.22,1.34,,,,,,,,,,,2.31,,,,0.14,,,,25.70,2.20,0.65,,,,,,151.21,12.07,,,16.64,,15.07,,,18.69,0.24,,,,,,,1.03,3.86
1984,,,9.57,,2.95,,,,3.24,,,25.29,,,,18.26,0.05,,,,,,,,,,,0.67,,189.75,2.27,,,,20.05,,,,,,1.80,,1.76,,8.48,,,,,,,,16.79,,,,,1.36,,,,,4.35,2.58,,,,,,,,,,,,,,,,,,,,,,,29.51,,,7.63,,,1.73,,,,,,,,,,,2.48,,0.47,1.68,11.16,,6.72,,,0.57,,0.30,,,,,,,98.85,,,,,,,,,40.56,,,,,,,,5.46,,,,,,,,,6.61,5.14,,,,,0.03,,,,,,9.38,,1.72,,,2.44,,36.78,,47.94,,0.19,,,,,,1.48,,0.83,13.18,,,173.60,,0.90,,,,,,,6.38,,,,,,,,,,,,52.91,,,,,,,,,,11.12,1.32,,,,,,,,,,,2.26,,,,0.21,,,,26.95,2.12,0.71,,,,,,141.42,9.69,,,17.93,,15.19,,,18.47,0.19,,,,,,,0.93,3.94
1985,,,9.33,,3.24,,,,3.13,,,29.92,,9.35,,21.51,0.05,,,,,,,,,,,0.76,,178.39,2.17,,,,20.85,,,,,,1.96,,1.99,,8.11,,,,,,,,16.58,,,,,2.06,,,,,4.63,2.73,,,,,,,,,,,,,,,,,,,,,,,28.37,,,7.88,,,1.91,,,,,,,,,,,2.42,,0.48,1.55,12.59,,6.98,,,0.59,,0.29,,,19.09,,,,86.94,,,,,,,,,39.66,,,,,,,,5.43,,,,,,,,,6.37,6.01,,,,,0.05,,,,,,9.77,,1.64,,,2.55,,38.99,,54.03,,0.19,,,,,,1.46,,0.80,13.18,,,148.52,,0.94,,,,,,,6.20,21.63,,,,,,,,,,,40.35,,,,,,,,,,11.50,1.31,,,,,,,,,,,2.15,,,,0.35,,,,27.23,2.04,0.84,53.88,,,,8.70,132.79,11.68,,,17.40,,,4.27,,17.01,0.21,,,,,,,0.90,3.96
1986,,,9.27,,3.80,,,,3.07,,,30.50,,9.00,,23.76,0.06,,,,,,,,,,,0.77,,171.18,2.48,,,,19.89,,,,,,1.98,,2.71,,7.89,,,,,,,,16.55,,,,,2.75,,,,,4.71,2.46,,,,,,,,,,,,,,,,,,,,,,,26.55,,,7.53,,,1.98,,,,,,,,,,,2.30,,0.51,1.61,16.44,,6.29,,,0.65,,0.29,,,19.58,,,,90.50,,,,,,,,,39.98,,,,,,,,6.24,,,,,,,,,5.86,6.35,,,,,0.06,,,,,,8.88,,1.70,,,2.44,,41.39,,57.03,,0.19,,,,,,1.35,,0.80,13.28,,,158.35,,0.99,,,,,,,6.22,22.52,,,,,,,,,,,56.29,,,,,,,,,,11.35,1.33,,,,,,,,,,,2.65,,,,0.37,,,,26.24,1.93,0.88,53.09,,,,8.73,143.95,12.33,,,17.00,,,4.63,,17.96,0.22,,0.12,,,,,1.13,4.02
1987,,,9.61,,4.61,,,,2.97,,,31.42,,8.88,,22.27,0.07,,,,,,,,,,,0.75,,159.45,2.60,,,,20.65,,,,,,2.02,,3.40,,8.13,,,,,,,,16.46,,,,,3.47,,,,,2.72,2.69,,,,,,,,,,,,,,,,,,,,,,,24.06,,,7.32,,,2.31,,,,,,,,,,,2.29,,0.53,1.60,20.33,,6.95,,,0.73,,0.23,,,19.81,,,,76.06,,,,,,,,,36.46,,,,,,,,6.16,,,,,,,,,6.01,6.80,,,,,0.06,,,,,,8.85,,1.47,,,2.19,,46.93,,56.10,,0.20,,,,,,1.22,,0.82,13.34,,,137.18,,0.98,,,,,,,6.14,23.04,,,,,,,,,,,46.29,,,,,,,,,,10.92,1.16,,,,,,,,,,,2.93,,,,0.44,,,,24.76,1.79,0.93,53.42,,,,8.47,142.60,12.03,,,17.04,,,4.59,,17.67,0.23,,0.29,,,,,1.31,4.01
1988,,,9.79,,5.69,,,,3.20,,,30.29,,8.50,,22.84,0.08,,,,,,,,,,,0.73,,154.15,2.42,,,,22.56,,,,,,2.08,,3.33,,8.80,,,,,,,,16.06,,,,,3.54,,,,,4.66,2.54,,,,,,,,,,,,,,,,,,,,,,,26.92,,,7.20,,,2.42,,,,,,,,,,,2.12,,0.55,1.59,23.29,,6.82,,,0.79,,0.20,,,19.65,,,,89.46,,,,,,,,,37.40,,,,,,,,6.40,,,,,,,,,5.89,7.34,,,,,0.05,,,,,,7.76,,1.65,,,2.21,,51.35,,56.33,,0.21,,,,,,1.04,,0.85,13.28,,,149.76,,0.97,,,,,,,6.26,23.58,,,,,,,,,,,56.05,,,,,,,,,,10.84,1.09,,,,,,,,,,,3.38,,,,0.49,,,,25.22,1.72,0.82,51.49,,,,8.29,140.45,11.51,,,17.10,,,4.47,,18.15,0.24,,1.85,,,,,1.33,4.08
1989,,,10.03,,5.58,,,,3.26,,,31.84,,7.96,,22.95,0.08,,,,,,,,,,,0.75,,147.57,2.44,,,,22.73,,,,,,2.18,,3.70,,9.67,,,,,,,,15.38,,,,,4.23,,,,,4.21,2.51,,,,,,,,,,,,,,,,,,,,,,,30.12,,,6.87,,,2.71,,,,,,,,,,,2.03,,0.59,1.70,23.14,,8.13,,,0.79,,0.18,,,18.85,,,,94.15,,,,,,,,,40.54,,,,,,,,6.75,,,,,,,,,5.79,6.71,,,,,0.05,,,,,,8.44,,1.86,,,2.73,,63.28,,55.32,,0.21,,,,,,0.93,,0.87,12.22,,,159.69,,0.82,,,,,,,5.96,23.24,,,,,,,,,,,53.41,,,,,,,,,,10.17,1.17,,,,,,,,,,,4.20,,,,0.52,,,,24.77,1.69,0.93,50.97,,,,7.78,155.71,10.17,,,16.86,,,4.54,,17.98,0.23,,1.86,,,,,1.30,4.08
