"Year","Afghanistan","Albania","Algeria","Andorra","Angola","Anguilla","Antarctica","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bonaire, Saint Eustatius and Saba","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cambodia","Canada","Cape Verde","Cayman Islands","Central African Republic","Chad","Chile","China","Christmas Island","Colombia","Comoros","Congo","Cook Islands","Costa Rica","Côte d'Ivoire","Croatia","Cuba","Curaçao","Cyprus","Czechia","Czechoslovakia","North Korea","Democratic Republic of the Congo","North Vietnam","Denmark","Djibouti","Dominica","Dominican Republic","East & West Pakistan ","Ecuador","Egypt","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Faeroe Islands","Falkland Islands (Malvinas)","Federal Republic of Germany","Micronesia (Federated States of)","Federation of Malaya-Singapore","Fiji","Finland","Democratic Yemen","German Democratic Republic","Panama Canal Zone","Former Yemen","France","French Equatorial Africa","French Guiana","French Indochina","French Polynesia","French West Africa","Gabon","Gambia","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Grenada","Guadeloupe","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iraq","Ireland","Iran","Isle of Man","Israel","Italy","Jamaica","Japan","Japan (excluding the Ruyuku Islands)","Jordan","Kazakhstan","Kenya","Kiribati","Kosovo","Kuwait","Kuwaiti Oil Fires","Kyrgyzstan","Laos","Latvia","Lebanon","Leeward Islands","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Macao","North Macedonia","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Martinique","Mauritania","Mauritius","Mayotte","Mexico","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Netherlands Antilles","Netherlands Antilles and Aruba","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Niue","Norway","State of Palestine","Oman","Pacific Islands (Palau)","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peninsular Malaysia","Peru","Philippines","Bolivia","Poland","Portugal","Puerto Rico","Qatar","Cameroon","South Korea","Moldova","South Sudan","South Vietnam","Sudan","Réunion","Federation of Rhodesia and Nyasaland","Romania","Russia","Rwanda","Ruanda-Urundi","Ryukyu Islands","Sabah","Saint Helena","Saint Lucia","Sint Maarten (Dutch part)","Samoa","Sao Tome and Principe","Sarawak","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Solomon Islands","Somalia","South Africa","Spain","Sri Lanka","Saint Kitts and Nevis","St. Kitts-Nevis-Anguilla","Saint Pierre and Miquelon","Saint Vincent and the Grenadines","United Sudan","Suriname","Eswatini","Sweden","Switzerland","Syria","Taiwan","Tajikistan","Tanganyika","Thailand","Timor-Leste","Togo","Tonga","Trinidad and Tobago","Tunisia","Türkiye","Turkmenistan","Turks and Caicos Islands","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United Korea","Tanzania","USA","Uruguay","USSR","Uzbekistan","Vanuatu","Venezuela","Viet Nam","Wallis and Futuna Islands","Yemen","Socialist Federal Republic of Yugoslavia","Serbia and Montenegro","Zambia","Zanzibar","Zimbabwe","World"
1975,,,144.0,,21.9,,,,71.9,,,72.3,,,,4.3,0.9,,,,,,,,,,,27.1,,36.5,,,,,371.2,,,,,,234.8,,26.9,,5.0,,,,,,,,,,,,,0.4,,,,,24.3,33.2,,,,,,,,,,,,,,,,,,,,,,,31.9,,,37.9,,,,,,,,,,,,,,,,25.4,190.4,317.1,,786.1,,,31.1,,,,,,,,,305.7,,,,,,,,,210.2,,,,,,,,13.8,,,,,,,,,139.1,,,,,,0.4,,,,,,159.0,,,,,248.1,,26.0,,47.6,,7.5,,,,,,11.8,,3.5,11.2,,,65.4,,,,,,,,,98.0,,,,,,,,,,,,1017.4,,,,,,,,,,,,,,,,,,,,,,26.9,,,,,,,,33.2,13.0,,,,,,,230.2,75.3,,,2348.8,,1925.0,,,378.7,,,,,,,,,10038.0
1976,,,162.5,,21.3,,,,71.6,,,75.9,,,,4.5,1.4,,,,,,,,,,,26.5,,44.0,,,,,354.8,,,,,,265.7,,25.4,,5.9,,,,,,,,,,,,,0.6,,,,,28.5,47.5,,,,,,,,,,,,,,,,,,,,,,,31.9,,,39.0,,,,,,,,,,,,,,,,27.0,219.2,340.1,,864.1,,,33.3,,,,,,,,,316.9,,,,,,,,,272.4,,,,,,,,23.2,,,,,,,,,151.6,,,,,,0.5,,,,,,169.9,,,,,288.8,,38.5,,51.3,,7.7,,,,,,12.6,,3.6,12.2,,,70.8,,,,,,,,,103.4,,,,,,,,,,,,1237.4,,,,,,,,,,,,,,,,,,,,,,28.3,,,,,,,,33.1,10.5,,,,,,,268.7,109.3,,,2307.2,,2065.8,,,377.2,,,,,,,,,10805.2
1977,,,171.8,,19.9,,,,76.7,,,81.4,,,,4.9,1.6,,,,,,,,,,,25.8,,47.5,,,,,362.8,,,,,,288.0,,24.4,,4.6,,,,,,,,,,,,,1.4,,,,,27.7,59.8,,,,,,,,,,,,,,,,,,,,,,,31.7,,,38.8,,,,,,,,,,,,,,,,31.4,250.7,329.0,,832.6,,,29.6,,,,,,,,,291.8,,,,,,,,,290.2,,,,,,,,25.3,,,,,,,,,180.2,,,,,,0.4,,,,,,170.4,,,,,291.0,,44.7,,47.4,,8.4,,,,,,14.7,,3.8,12.8,,,64.2,,,,,,,,,106.9,,,,,,,,,,,,1327.3,,,,,,,,,,,,,,,,,,,,,,25.7,,,,,,,,36.0,12.1,,,,,,,280.2,186.2,,,2325.2,,2186.3,,,370.2,,,,,,,,,11200.3
1978,,,183.2,,18.2,,,,80.4,,,81.9,,,,5.4,1.7,,,,,,,,,,,26.0,,48.9,,,,,356.5,,,,,,320.5,,24.5,,6.8,,,,,,,,,,,,,1.1,,,,,30.7,72.4,,,,,,,,,,,,,,,,,,,,,,,29.9,,,40.1,,,,,,,,,,,,,,,,34.8,253.2,358.9,,763.5,,,30.2,,,,,,,,,315.3,,,,,,,,,279.1,,,,,,,,33.8,,,,,,,,,221.7,,,,,,0.5,,,,,,156.0,,,,,265.2,,76.8,,44.4,,8.6,,,,,,23.6,,3.8,13.7,,,70.9,,,,,,,,,104.7,,,,,,,,,,,,1206.4,,,,,,,,,,,,,,,,,,,,,,25.2,,,,,,,,36.9,13.9,,,,,,,260.8,227.2,,,2381.4,,2307.9,,,357.8,,,,,,,,,11364.6
1979,,,201.0,,20.3,,,,82.3,,,84.7,,,,6.0,2.0,,,,,,,,,,,27.1,,52.5,,,,,395.6,,,,,,328.0,,24.0,,7.8,,,,,,,,,,,,,1.1,,,,,32.5,75.8,,,,,,,,,,,,,,,,,,,,,,,27.6,,,40.2,,,,,,,,,,,,,,,,40.0,255.8,486.9,,469.0,,,30.2,,,,,,,,,376.9,,,,,,,,,297.5,,,,,,,,43.8,,,,,,,,,268.3,,,,,,0.5,,,,,,163.6,,,,,322.0,,95.5,,42.2,,9.7,,,,,,29.5,,4.1,12.3,,,79.9,,,,,,,,,97.9,,,,,,,,,,,,1388.0,,,,,,,,,,,,,,,,,,,,,,23.5,,,,,,,,34.8,15.6,,,,,,,261.6,295.1,,,2391.9,,2412.1,,,390.4,,,,,,,,,11911.2
1980,,,175.7,,20.9,,,,87.3,,,83.4,,,,4.8,2.4,,,,,,,,,,,29.8,,49.7,,,,,375.6,,,,,,327.0,,24.7,,8.9,,,,,,,,,,,,,0.8,,,,,31.1,88.1,,,,,,,,,,,,,,,,,,,,,,,25.1,,,36.6,,,,,,,,,,,,,,,,28.7,259.8,371.7,,217.9,,,28.4,,,,,,,,,252.3,,,,,,,,,258.5,,,,,,,,42.4,,,,,,,,,351.7,,,,,,0.7,,,,,,158.2,,,,,289.5,,119.9,,41.1,,11.9,,,,,,30.1,,5.1,10.5,,,76.4,,,,,,,,,97.9,,,,,,,,,,,,1454.5,,,,,,,,,,,,,,,,,,,,,,22.3,,,,,,,,35.3,15.9,,,,,,,250.6,298.8,,,2392.1,,2515.2,,,363.1,,,,,,,,,11535.5
1981,,,164.7,,20.2,,,,89.3,,,347.4,,,,4.5,2.7,,,,,,,,,,,45.6,,40.0,18.4,,,,438.6,,,,,,1519.4,,37.2,,11.6,,,,,,,,166.0,,,,,2.1,,,,,32.0,95.2,,,,,,,,,,,,,,,,,,,,,,,21.6,,,616.4,,,13.5,,,,,,,,,,,27.9,,294.2,263.9,126.5,,196.1,,,30.7,,37.8,,,,,,,174.0,,,,,,,,,172.5,,,,,,,,39.2,,,,,,,,,420.8,7.6,,,,,0.8,,,,,,146.9,,4.8,,,204.4,,117.5,,47.4,,15.7,,,,,,29.9,,5.4,409.9,,,67.2,,34.0,,,,,,,137.7,,,,,,,,,,,,1447.8,,,,,,,,,,291.2,46.9,,,,,,,,,,,23.1,,,,2.5,,,,32.5,15.2,27.0,,,,,,225.8,627.4,,,4088.4,,3934.6,,,352.9,13.1,,,,,,,7.2,18254.5
1982,,,174.9,,18.1,,,,90.9,,,351.4,,,,7.1,3.5,,,,,,,,,,,54.6,,40.6,20.2,,,,448.6,,,,,,1607.3,,39.8,,12.8,,,,,,,,167.7,,,,,4.7,,,,,32.0,98.9,,,,,,,,,,,,,,,,,,,,,,,22.0,,,614.4,,,14.2,,,,,,,,,,,28.0,,306.7,227.3,137.9,,351.7,,,32.1,,38.3,,,,,,,127.1,,,,,,,,,162.4,,,,,,,,46.4,,,,,,,,,490.5,8.7,,,,,0.9,,,,,,125.6,,4.9,,,183.4,,118.2,,48.7,,17.2,,,,,,30.3,,5.6,476.0,,,57.9,,34.4,,,,,,,139.9,,,,,,,,,,,,981.0,,,,,,,,,,322.1,50.4,,,,,,,,,,,21.8,,,,5.5,,,,32.2,14.5,29.0,,,,,,199.9,659.8,,,4046.1,,4022.7,,,324.1,13.8,,,,,,,6.9,18197.0
1983,,,192.7,,24.8,,,,97.6,,,363.2,,,,7.4,3.9,,,,,,,,,,,67.0,,41.4,20.3,,,,454.8,,,,,,1712.7,,43.8,,15.1,,,,,,,,170.4,,,,,5.9,,,,,36.1,108.6,,,,,,,,,,,,,,,,,,,,,,,22.2,,,585.8,,,15.5,,,,,,,,,,,26.9,,337.3,244.4,154.0,,361.3,,,30.7,,37.1,,,,,,,162.6,,,,,,,,,160.0,,,,,,,,65.0,,,,,,,,,482.2,8.8,,,,,1.2,,,,,,133.8,,5.4,,,176.9,,134.8,,56.5,,17.1,,,,,,26.2,,5.4,484.4,,,54.0,,34.0,,,,,,,144.9,,,,,,,,,,,,699.0,,,,,,,,,,325.5,51.2,,,,,,,,,,,22.7,,,,6.8,,,,30.1,15.6,30.6,,,,,,187.1,682.0,,,3832.7,,4097.8,,,308.5,13.8,,,,,,,8.4,18099.7
1984,,,204.7,,28.4,,,,96.8,,,394.0,,,,7.7,4.5,,,,,,,,,,,89.3,,40.7,20.3,,,,513.3,,,,,,1882.4,,50.4,,17.0,,,,,,,,172.9,,,,,6.9,,,,,39.3,125.5,,,,,,,,,,,,,,,,,,,,,,,24.6,,,591.8,,,16.8,,,,,,,,,,,26.2,,359.0,273.3,171.7,,306.6,,,32.2,,36.2,,,,,,,179.3,,,,,,,,,144.6,,,,,,,,80.3,,,,,,,,,485.5,9.6,,,,,1.2,,,,,,135.4,,5.6,,,198.4,,152.3,,61.0,,18.3,,,,,,28.6,,5.2,486.1,,,60.5,,36.6,,,,,,,143.4,,,,,,,,,,,,651.3,,,,,,,,,,364.5,50.7,,,,,,,,,,,23.0,,,,10.3,,,,31.9,15.4,34.3,,,,,,185.0,548.3,,,4173.9,,4169.7,,,313.1,11.0,,,,,,,7.8,18825.7
1985,,,206.5,,32.3,,,,94.8,,,472.2,,64.5,,9.3,5.1,,,,,,,,,,,103.3,,39.6,19.4,,,,538.9,,,,,,2074.0,,58.2,,16.7,,,,,,,,170.8,,,,,10.6,,,,,42.9,136.4,,,,,,,,,,,,,,,,,,,,,,,24.3,,,612.0,,,18.8,,,,,,,,,,,25.5,,375.1,256.4,198.4,,330.1,,,33.3,,35.7,,,294.2,,,,164.2,,,,,,,,,146.1,,,,,,,,82.1,,,,,,,,,477.1,11.5,,,,,1.8,,,,,,141.8,,5.4,,,213.0,,161.9,,73.1,,18.4,,,,,,28.9,,5.1,489.9,,,54.3,,38.6,,,,,,,139.7,3091.4,,,,,,,,,,,520.1,,,,,,,,,,388.0,50.2,,,,,,,,,,,22.6,,,,17.8,,,,32.7,15.2,41.4,174.9,,,,442.8,183.2,661.7,,,4090.8,,,77.1,,296.0,12.3,,,,,,,7.8,19231.3
1986,,,212.2,,39.2,,,,94.3,,,488.4,,63.1,,10.7,5.8,,,,,,,,,,,107.6,,39.3,22.1,,,,519.4,,,,,,2134.2,,81.2,,16.8,,,,,,,,170.5,,,,,14.1,,,,,44.7,126.7,,,,,,,,,,,,,,,,,,,,,,,23.4,,,585.9,,,19.7,,,,,,,,,,,24.1,,403.8,271.7,265.5,,307.8,,,37.0,,34.8,,,307.8,,,,178.1,,,,,,,,,151.9,,,,,,,,97.1,,,,,,,,,446.7,12.5,,,,,2.1,,,,,,129.6,,5.6,,,209.3,,172.5,,82.3,,19.2,,,,,,27.3,,5.2,497.1,,,60.5,,41.5,,,,,,,140.6,3244.0,,,,,,,,,,,759.0,,,,,,,,,,395.7,51.5,,,,,,,,,,,28.9,,,,18.9,,,,31.9,14.8,44.2,177.1,,,,445.7,211.4,699.5,,,4038.9,,,86.0,,320.8,13.4,,1.3,,,,,10.2,19896.3
1987,,,226.7,,49.3,,,,92.8,,,510.9,,63.3,,10.4,6.8,,,,,,,,,,,106.6,,37.9,23.0,,,,545.9,,,,,,2210.5,,104.1,,17.8,,,,,,,,169.5,,,,,17.8,,,,,26.5,142.3,,,,,,,,,,,,,,,,,,,,,,,21.8,,,571.6,,,23.2,,,,,,,,,,,23.9,,432.1,275.8,337.4,,351.4,,,41.6,,28.4,,,318.4,,,,155.8,,,,,,,,,142.6,,,,,,,,98.7,,,,,,,,,466.1,13.7,,,,,2.3,,,,,,129.9,,4.9,,,192.8,,196.5,,86.0,,21.0,,,,,,25.3,,5.4,502.4,,,54.5,,41.5,,,,,,,139.0,3348.6,,,,,,,,,,,652.2,,,,,,,,,,394.4,44.7,,,,,,,,,,,33.1,,,,23.0,,,,30.5,14.1,47.5,183.3,,,,433.9,224.7,683.8,,,4086.3,,,87.5,,324.0,14.6,,3.5,,,,,12.1,20239.2
1988,,,237.3,,62.9,,,,101.4,,,500.6,,61.7,,11.0,8.0,,,,,,,,,,,105.8,,37.9,21.4,,,,605.0,,,,,,2320.2,,104.1,,19.8,,,,,,,,165.5,,,,,18.2,,,,,46.5,137.8,,,,,,,,,,,,,,,,,,,,,,,25.1,,,565.3,,,24.5,,,,,,,,,,,22.1,,460.0,278.7,395.6,,355.2,,,44.6,,24.4,,,322.8,,,,190.5,,,,,,,,,150.4,,,,,,,,105.7,,,,,,,,,464.4,15.2,,,,,2.0,,,,,,114.6,,5.5,,,199.3,,216.2,,91.5,,22.5,,,,,,22.0,,5.8,502.3,,,61.7,,41.6,,,,,,,142.1,3453.6,,,,,,,,,,,824.7,,,,,,,,,,405.2,42.3,,,,,,,,,,,39.4,,,,26.1,,,,31.4,13.9,43.1,181.5,,,,425.8,236.5,655.8,,,4142.9,,,87.6,,341.2,15.3,,23.0,,,,,12.7,20952.7
1989,,,249.7,,63.8,,,,104.8,,,534.8,,58.5,,11.5,8.4,,,,,,,,,,,110.4,,37.5,21.5,,,,619.3,,,,,,2467.9,,118.3,,22.4,,,,,,,,158.4,,,,,21.7,,,,,42.9,140.2,,,,,,,,,,,,,,,,,,,,,,,28.8,,,542.0,,,27.7,,,,,,,,,,,21.1,,500.0,304.6,403.6,,436.1,,,44.7,,22.2,,,315.0,,,,208.1,,,,,,,,,167.4,,,,,,,,114.8,,,,,,,,,464.3,14.2,,,,,2.1,,,,,,125.3,,6.2,,,253.0,,267.5,,94.8,,23.7,,,,,,20.2,,6.1,463.7,,,68.2,,35.6,,,,,,,135.8,3424.7,,,,,,,,,,,820.0,,,,,,,,,,393.1,45.3,,,,,,,,,,,50.6,,,,28.3,,,,31.1,14.0,49.7,184.6,,,,400.9,279.0,580.5,,,4129.3,,,91.4,,346.6,15.4,,24.0,,,,,12.8,21336.6
