"Year","Algeria","Angola","Argentina","Australia","Azerbaijan","Bahrain","Bangladesh","Bolivia","Brazil","Brunei","Bulgaria","Canada","Chad","China","Colombia","Czech Republic","Denmark","Ecuador","Egypt","Equatorial Guinea","Gabon","Germany","Greece","Guyana","Hungary","India","Indonesia","Iran","Iraq","Israel","Italy","Japan","Kazakhstan","Kuwait","Libya","Malaysia","Mexico","Mongolia","Myanmar","Netherlands","New Zealand","Nigeria","Norway","Oman","Pakistan","Peru","Poland","Qatar","Republic of Congo","Romania","Russian Federation","Saudi Arabia","Serbia","South Africa","South Korea","South Sudan","Spain","Sudan","Syria","Thailand","Trinidad & Tobago","Tunisia","Turkey","Turkmenistan","US","USSR","Ukraine","United Arab Emirates","United Kingdom","Uzbekistan","Venezuela","Vietnam","Yemen","Zimbabwe","World"
1960,2.07,0.03,1.36,7.83,,,,,,,1.37,6.75,,1.17,1.93,11.76,,0.25,0.36,,4.42,7.27,0.16,,2.79,0.22,0.74,7.09,18.98,,0.36,1.09,,783.99,,0.02,1.38,1.08,,0.06,2.80,0.06,,,0.06,0.82,7.74,673.44,0.14,3.13,,76.25,,5.18,0.35,,0.66,,,0.00,21.52,,0.23,,14.50,,,,8.83,,53.01,0.18,,2.34,
1961,3.70,0.05,1.82,8.31,,,,,,,1.47,7.61,,0.83,1.84,12.68,,0.26,0.40,,4.22,7.41,0.15,,2.95,0.23,0.74,7.72,19.12,0.00,0.37,1.15,,721.49,1.57,0.02,1.44,1.28,,0.07,2.66,0.14,,,0.06,0.80,7.86,623.73,0.27,3.23,,82.59,,5.22,0.37,,0.66,,,0.00,22.77,,0.22,,14.39,,,,8.63,,52.38,0.19,,1.96,
1962,4.75,0.24,2.10,8.45,,,,,,,1.63,8.74,,0.67,1.80,13.35,,0.22,0.48,,4.46,7.55,0.16,,2.99,0.25,0.76,8.32,18.63,0.01,0.37,1.14,,732.60,15.16,0.02,1.45,1.41,,0.08,2.27,0.20,,,0.07,0.84,8.02,584.91,0.31,3.49,,88.28,,5.29,0.46,,0.63,,,0.00,23.77,,0.23,,14.63,,,15.55,8.88,,55.39,0.23,,1.75,
1963,5.45,0.41,2.09,8.59,,0.61,,,,,1.70,9.21,,0.65,1.97,13.98,,0.20,0.56,,4.72,7.69,0.22,,3.18,0.27,0.73,9.01,20.75,0.01,0.37,1.08,,706.62,36.76,0.02,1.48,1.35,,0.08,2.39,,,,0.08,0.83,8.45,538.65,0.27,3.70,,92.49,,5.28,0.54,,0.63,,,0.00,23.20,,0.26,,15.26,,,43.54,8.75,,54.40,0.22,,1.64,
1964,6.00,0.46,2.14,9.03,,0.58,,,,,1.88,9.85,,0.63,1.96,14.24,,0.22,,,5.55,7.75,0.23,,3.28,0.26,0.73,10.04,21.82,0.02,0.43,1.05,,702.33,66.02,0.02,1.47,0.97,,0.12,2.46,,,,0.09,0.89,8.97,529.35,0.20,3.87,,95.32,,5.42,0.57,,0.60,,,0.00,23.76,,0.28,,15.58,,,159.35,8.59,,55.13,0.21,,1.61,
1965,6.23,0.33,2.12,10.16,,0.56,,,,,1.92,10.46,,0.67,2.17,13.78,,0.23,,,6.52,7.38,0.31,,3.26,0.28,0.75,10.82,22.29,0.06,0.42,1.01,,649.24,90.55,0.01,1.54,1.49,,0.24,2.23,,,,0.09,0.89,9.14,512.97,0.17,4.20,,107.52,,5.67,0.60,,0.63,,,0.00,22.57,,0.27,,15.92,2.98,,230.41,8.27,,54.96,0.21,,1.71,1.32
1966,7.83,0.32,2.23,10.55,,0.66,,,,,1.91,11.07,,0.72,2.03,13.74,,0.19,,,7.35,7.10,0.30,,3.14,0.28,0.71,11.72,22.89,0.07,0.43,1.04,,622.91,109.20,0.01,1.52,1.71,,0.47,2.14,,,,0.10,0.86,9.38,567.99,0.14,4.42,,122.14,,5.43,0.67,,0.61,,,0.01,25.29,0.47,0.30,,16.59,3.21,,282.32,7.66,,51.74,0.21,,1.67,1.41
1967,8.77,0.27,2.38,11.05,,0.64,,,,,2.18,11.82,,0.58,1.99,13.23,,0.16,,,17.24,6.76,0.31,,2.78,0.29,0.73,13.87,19.51,0.08,0.44,0.95,,574.33,122.24,0.01,1.62,1.78,,0.97,1.92,,,12.97,0.11,0.93,9.39,561.12,0.11,4.68,,126.81,,5.42,0.70,,0.59,,,0.01,29.00,1.33,0.28,,17.23,3.45,,295.51,7.51,,52.69,0.17,,1.45,1.48
1968,9.43,0.37,2.57,11.98,,2.79,,,,,2.15,12.68,,0.62,1.84,13.68,,0.13,,,22.85,6.93,0.34,,2.79,0.30,0.84,14.73,23.16,0.10,0.47,0.92,,553.70,178.69,0.06,1.69,2.04,,1.93,1.79,,,53.62,0.11,0.95,9.86,533.02,0.09,4.82,,133.38,,5.50,0.56,,0.59,,0.49,0.01,30.61,1.84,0.30,,17.51,3.67,,347.13,7.12,,52.08,0.19,,1.44,1.58
1969,9.70,1.20,2.60,12.66,,3.15,,,,,2.16,13.81,,0.73,2.10,14.42,,0.10,,,24.28,7.13,0.39,,2.71,0.31,0.86,16.98,22.61,0.10,0.52,0.87,,538.23,206.59,0.12,1.74,2.22,,2.96,1.85,,,70.71,0.13,0.90,10.51,501.99,0.05,4.93,,135.23,,5.45,0.55,,0.55,,1.20,0.01,25.35,2.09,0.30,,17.91,3.86,,362.67,6.51,,50.27,0.16,,1.53,1.67
1970,10.22,2.44,2.85,14.28,,5.72,,0.02,0.37,143.84,2.16,15.81,,0.94,2.02,14.86,,0.10,1.34,,25.64,7.26,0.45,,2.83,0.30,1.08,18.85,22.23,0.09,0.55,0.76,,533.29,216.09,0.24,1.85,2.64,0.00,4.23,1.84,2.69,,69.90,0.13,0.86,10.95,455.49,0.04,5.10,,152.83,,5.47,0.65,,0.51,,1.87,0.01,23.25,2.28,0.29,,18.74,5.64,,376.82,6.52,,50.29,0.16,,1.53,2.32
1971,7.71,2.69,3.02,15.28,,8.13,0.01,0.02,0.38,133.80,1.99,16.77,,1.04,2.00,15.34,,0.10,1.19,,26.84,7.27,0.63,,2.79,0.29,1.10,22.01,23.50,0.08,0.54,0.64,,533.94,171.58,0.91,1.78,2.68,0.00,5.78,1.61,3.72,0.21,60.23,0.12,0.74,11.32,475.06,0.03,5.23,,182.85,,5.71,0.66,,0.52,,2.25,0.01,21.63,2.20,0.28,,18.02,5.98,,439.94,6.86,,46.97,0.17,,1.44,2.41
1972,10.16,3.22,3.02,15.96,,9.67,0.01,0.46,0.37,185.60,2.00,18.87,,1.08,1.77,15.28,0.06,1.81,0.84,,28.60,7.07,0.65,,2.62,0.29,1.29,23.85,19.73,0.08,0.56,0.53,,517.35,137.58,1.20,1.80,2.82,0.00,7.63,1.63,4.32,1.16,56.32,0.12,0.75,11.78,478.35,0.64,5.37,,220.18,,5.52,0.63,,0.52,,2.41,0.01,23.19,2.08,0.28,,18.24,6.26,,434.84,5.97,,41.83,0.10,,1.25,2.49
1973,10.44,3.61,2.95,17.35,,13.00,0.02,0.69,0.36,244.06,1.95,20.93,,1.10,1.78,14.67,0.08,4.69,0.65,,33.76,7.11,0.76,,2.70,0.29,1.55,26.92,26.10,0.03,0.59,0.42,,448.56,131.06,1.14,1.83,2.83,0.00,9.20,1.80,4.76,1.11,56.69,0.13,0.79,12.10,514.21,3.84,5.52,,264.29,,5.73,0.67,,0.48,,2.21,0.01,26.10,1.97,0.31,,17.85,6.64,,486.82,6.49,,42.64,0.15,,1.34,2.65
1974,9.56,3.64,2.89,17.95,,15.21,0.02,0.71,0.37,233.14,1.76,19.87,,1.12,1.67,14.73,0.05,3.86,0.56,,44.38,7.15,0.82,,2.59,0.31,1.55,26.83,24.68,0.04,0.59,0.37,,357.68,88.39,1.02,2.14,2.92,0.01,10.83,1.84,5.09,1.21,54.17,0.14,0.83,12.33,424.82,4.37,5.67,,280.95,,5.90,0.74,,0.48,,2.48,0.01,28.28,2.05,0.33,,17.25,7.10,,475.11,5.73,,36.93,0.19,,1.40,2.61
1975,9.19,3.21,2.78,19.13,,15.20,0.01,0.68,0.37,230.99,2.00,18.50,,1.28,1.57,15.22,0.08,3.42,0.85,,48.14,7.12,1.02,,2.49,0.34,1.45,23.26,27.47,0.03,0.56,0.34,,276.65,81.76,1.20,2.45,3.13,0.01,11.62,1.70,3.91,6.48,61.09,0.14,0.77,12.80,338.83,3.10,5.84,,223.31,,6.03,0.84,,0.50,,3.57,0.01,31.49,2.22,0.34,,16.86,7.60,,424.06,6.70,,28.67,0.25,,1.36,2.47
1976,9.90,3.01,2.73,19.49,,15.15,0.02,0.69,0.37,269.05,1.83,17.57,,1.30,1.49,15.56,0.11,3.89,1.19,,47.08,7.28,1.25,,2.47,0.35,1.62,24.80,28.52,0.03,0.60,0.33,,268.86,100.09,1.98,2.60,3.26,0.02,12.32,1.73,4.43,9.55,63.02,0.14,0.80,13.12,338.51,3.55,5.98,,257.36,,6.52,0.77,,0.52,,3.62,0.02,31.02,1.74,0.37,,16.79,8.07,,436.23,7.08,,27.74,0.25,,1.47,2.61
1977,10.09,2.72,2.87,21.04,,15.65,0.02,0.71,0.29,280.34,1.80,18.01,,1.44,1.45,15.92,0.27,3.68,1.47,,45.74,7.16,1.32,,2.50,0.37,1.81,23.17,26.68,0.03,0.53,0.33,,231.99,100.70,2.10,3.00,3.60,0.01,12.29,1.64,4.33,11.05,55.46,0.14,0.91,13.49,285.05,2.70,6.13,,261.13,,7.03,0.80,,0.62,,3.18,0.01,33.32,1.97,0.40,,16.81,8.46,,394.56,8.38,,26.46,0.28,,1.18,2.66
1978,10.46,2.41,2.96,20.96,,16.40,0.02,0.68,0.30,279.72,1.84,17.73,,1.61,1.47,16.08,0.22,3.97,1.73,,41.99,6.91,1.18,,2.51,0.35,1.79,20.57,28.14,0.03,0.54,0.34,,235.27,91.43,2.74,3.58,4.01,0.02,11.18,1.51,3.83,18.93,49.33,0.14,1.43,13.78,293.40,3.92,6.07,,224.17,,7.24,0.83,,0.69,,3.01,0.01,33.74,2.21,0.43,,16.65,8.84,,322.22,9.16,,24.83,0.26,,1.18,2.65
1979,11.14,2.58,2.99,21.51,,17.36,0.02,0.73,0.36,291.00,2.01,19.38,,1.62,1.43,16.19,0.21,4.09,1.77,,37.85,7.34,1.27,,2.52,0.35,1.76,12.20,36.97,0.02,0.54,0.31,,264.79,92.00,3.47,4.21,4.23,0.02,11.65,1.35,4.50,23.46,44.43,0.15,1.74,13.93,309.04,4.35,5.86,,243.34,,8.09,0.83,,0.78,,2.71,0.03,31.44,2.42,0.46,,17.53,9.16,,286.79,10.31,,26.33,0.23,,1.20,2.73
1980,9.44,2.57,3.12,21.30,,13.48,0.03,0.88,0.33,266.92,2.14,18.66,,1.57,1.43,16.00,0.16,3.80,2.00,,33.48,7.42,1.23,,2.52,0.35,1.75,5.47,27.35,0.00,0.50,0.35,,167.66,75.47,3.27,5.34,4.81,0.02,11.17,1.50,3.92,29.34,41.00,0.18,1.73,13.24,276.92,4.88,5.94,,240.50,,8.70,0.84,,0.97,,2.49,0.03,31.44,2.40,0.49,,17.83,9.47,,246.74,10.68,,23.81,0.22,,1.12,2.59
1981,8.57,2.39,3.14,23.24,,12.02,0.03,0.92,0.37,208.29,2.07,17.65,,1.52,1.39,16.13,0.40,3.82,2.11,,28.06,7.86,1.39,,2.62,0.42,1.73,4.67,9.03,0.00,0.54,0.32,,109.87,47.62,2.93,6.11,4.37,0.02,10.30,1.53,2.69,28.65,44.88,0.18,1.68,11.42,228.79,6.18,6.18,,225.50,,9.53,0.88,,1.24,,2.49,0.05,28.67,2.25,0.58,,17.61,14.70,,205.32,11.14,,22.50,0.24,,0.96,4.03
1982,8.80,2.06,3.14,23.13,,18.31,0.04,0.93,0.43,204.70,2.27,17.84,,1.59,1.46,16.28,0.91,3.72,2.13,,27.81,7.84,1.44,,2.63,0.43,1.46,7.94,9.57,0.02,0.57,0.32,,76.46,43.59,3.35,6.96,4.88,0.03,8.76,1.54,2.34,28.71,43.58,0.19,1.66,13.14,185.85,6.71,6.25,,143.75,,10.19,0.87,,1.32,,2.28,0.12,28.05,2.10,0.61,,17.25,14.90,,171.37,11.72,,20.10,0.25,,0.89,3.94
1983,9.37,2.73,3.32,23.56,,18.54,0.04,0.87,0.52,202.37,2.28,17.90,,1.66,1.56,16.54,1.15,4.09,2.27,,27.34,7.49,1.56,,2.53,0.46,1.53,7.85,10.38,0.03,0.54,0.31,,93.19,43.03,4.55,6.70,4.81,0.03,9.29,1.69,2.20,32.66,47.82,0.19,1.40,13.25,163.67,7.75,6.45,,96.37,,9.94,0.85,,1.34,,2.30,0.14,25.94,2.21,0.63,,16.17,15.03,,151.49,12.11,,18.63,0.25,,1.03,3.85
1984,9.62,3.01,3.24,25.22,,18.44,0.05,0.82,0.67,192.46,2.27,19.99,,1.80,1.76,16.78,1.36,4.33,2.55,,29.51,7.59,1.68,,2.48,0.48,1.67,6.41,11.21,0.03,0.57,0.30,,98.49,38.31,5.44,6.60,5.13,0.03,9.36,1.72,2.40,36.79,48.92,0.19,1.49,13.17,173.78,8.49,6.36,,84.61,,10.76,0.90,,1.32,,2.25,0.21,27.22,2.14,0.69,,17.44,15.15,,141.67,9.71,,18.41,0.19,,0.93,3.94
1985,9.38,3.30,3.12,29.82,9.48,21.71,0.05,0.80,0.76,180.99,2.16,20.79,,1.96,1.99,16.58,2.06,4.61,2.69,,28.37,7.86,1.87,,2.42,0.49,1.54,6.66,12.65,0.02,0.59,0.30,18.35,86.70,37.48,5.38,6.36,6.01,0.05,9.75,1.64,2.51,38.99,55.16,0.19,1.47,13.17,148.49,8.12,6.18,21.53,63.80,,11.07,0.94,,1.30,,2.13,0.35,27.52,2.06,0.82,53.86,16.93,,8.66,132.94,11.69,4.31,16.95,0.21,,0.90,3.95
1986,9.33,3.87,3.06,30.39,9.15,23.97,0.06,0.79,0.78,173.69,2.46,19.82,,1.98,2.72,16.54,2.75,4.68,2.43,,26.53,7.52,1.95,,2.30,0.51,1.60,5.98,16.51,0.02,0.65,0.29,18.93,90.29,37.82,6.16,5.83,6.34,0.06,8.86,1.70,2.40,41.39,58.24,0.19,1.36,13.27,158.31,7.91,6.20,22.40,87.97,,10.94,0.99,,1.33,,2.62,0.37,26.53,1.95,0.85,52.91,16.56,,8.68,144.08,12.33,4.67,17.90,0.22,0.11,1.13,4.01
1987,9.67,4.70,2.96,31.30,9.08,22.45,0.06,0.81,0.76,162.08,2.57,20.57,,2.02,3.41,16.45,3.47,2.70,2.65,,24.05,7.32,2.29,,2.29,0.53,1.59,6.59,20.42,0.02,0.73,0.23,19.26,75.89,34.54,6.07,5.97,6.79,0.06,8.82,1.47,2.15,46.93,57.31,0.20,1.23,13.34,137.32,8.15,6.11,22.91,71.43,,10.57,0.98,,1.15,,2.91,0.44,25.05,1.81,0.90,53.07,16.60,,8.42,142.75,12.02,4.62,17.61,0.24,0.28,1.30,4.01
1988,9.84,5.79,3.19,30.17,8.71,23.00,0.07,0.84,0.74,157.23,2.38,22.47,,2.08,3.34,16.06,3.54,4.64,2.50,,26.91,7.21,2.40,,2.11,0.56,1.58,6.45,23.40,0.02,0.78,0.20,19.24,89.23,35.49,6.30,5.83,7.34,0.05,7.73,1.65,2.17,51.35,57.57,0.21,1.04,13.28,150.08,8.82,6.23,23.44,85.65,,10.53,0.97,,1.09,,3.35,0.49,25.51,1.74,0.80,51.00,16.68,,8.23,140.61,11.50,4.50,18.08,0.24,1.79,1.33,4.07
1989,10.09,5.68,3.25,31.70,8.17,23.09,0.08,0.87,0.75,150.99,2.40,22.63,,2.18,3.72,15.37,4.23,4.19,2.47,,30.10,6.86,2.71,,2.03,0.59,1.69,7.69,23.24,0.02,0.78,0.18,18.53,93.83,38.55,6.63,5.71,6.70,0.05,8.40,1.86,2.68,63.28,56.56,0.21,0.94,12.22,160.16,9.70,5.93,23.10,80.96,,9.92,0.82,,1.16,,4.15,0.53,25.06,1.71,0.90,50.40,16.47,,7.72,155.89,10.15,4.57,17.91,0.24,1.80,1.30,4.08
1990,10.51,5.67,3.24,33.42,7.52,23.36,0.08,0.87,0.73,149.11,2.24,22.36,,2.18,3.96,13.70,4.49,4.18,2.46,,38.64,6.47,2.70,,1.84,0.62,1.76,8.69,17.30,0.01,0.80,0.15,17.76,82.93,45.24,6.67,5.73,5.85,0.04,8.35,1.72,2.62,66.36,57.43,0.22,0.90,10.36,164.51,9.50,4.70,22.57,96.64,,9.56,0.68,,1.13,,4.78,0.62,25.23,1.60,0.81,45.98,16.67,,7.50,158.70,9.97,4.29,19.48,0.29,1.77,1.36,4.06
1991,10.61,5.74,3.35,33.79,6.81,21.56,0.08,0.85,0.72,152.45,2.09,22.75,,2.17,3.78,12.80,5.36,4.29,2.42,,40.99,5.52,2.61,,1.78,0.63,1.91,9.15,2.40,0.01,0.78,0.14,17.70,19.91,44.80,7.03,5.87,5.65,0.04,9.36,1.76,2.79,73.57,56.39,0.22,0.79,9.92,160.74,9.26,4.06,20.98,114.05,,9.53,0.59,,1.04,,5.38,0.73,24.85,1.80,0.75,43.03,16.21,,6.38,172.92,10.18,4.26,20.93,0.34,1.84,1.35,3.95
1992,10.29,6.16,3.58,35.31,6.32,24.46,0.09,0.75,0.72,162.90,2.44,23.00,,2.20,3.92,11.85,5.82,4.50,2.41,0.55,39.21,5.07,2.63,,1.62,0.64,1.95,9.09,4.26,0.01,0.82,0.13,17.15,95.99,45.06,7.03,5.74,4.94,0.04,9.33,1.97,2.82,82.10,56.60,0.22,0.78,9.63,176.23,9.66,3.86,19.69,112.72,,9.59,0.47,,1.05,,5.68,0.78,23.72,1.77,0.81,28.95,15.96,,5.96,177.01,9.92,4.21,20.46,0.40,1.64,1.30,3.91
1993,10.08,5.45,3.78,34.91,5.60,25.50,0.10,0.74,0.73,158.82,2.40,24.38,,2.24,3.88,11.59,6.24,4.73,2.47,1.32,40.22,4.57,2.68,,1.40,0.64,2.00,8.99,3.53,0.01,0.86,0.13,15.17,168.82,41.88,6.93,5.69,4.37,0.05,9.44,2.20,2.72,85.87,56.60,0.24,0.83,9.35,161.84,10.35,3.84,18.22,105.17,,9.60,0.37,,1.02,0.01,6.02,0.83,23.48,1.57,0.76,31.96,15.16,,5.12,164.96,9.84,4.36,20.99,0.47,1.79,1.22,3.81
1994,9.50,5.83,4.05,35.90,5.17,25.42,0.10,0.78,0.75,157.26,2.33,25.55,,2.36,3.89,10.59,6.81,5.10,2.40,1.27,43.33,4.24,2.74,,1.33,0.65,2.10,9.32,3.76,0.01,0.90,0.12,14.02,181.70,41.93,6.97,5.70,3.96,0.07,8.90,1.99,2.54,95.70,57.33,0.23,0.82,9.32,155.85,10.08,3.69,16.94,101.80,,9.82,0.29,,0.96,0.01,5.84,0.89,25.35,1.42,0.78,18.41,15.70,,4.32,160.93,10.45,4.63,21.81,0.47,2.86,1.26,3.82
1995,9.80,6.41,4.38,36.81,5.00,25.17,0.11,0.76,0.77,160.57,2.46,26.64,,2.54,4.60,10.27,6.96,5.10,2.36,1.71,44.54,4.15,2.78,,1.36,0.68,2.17,9.41,3.81,0.01,0.91,0.11,12.32,186.11,41.41,7.37,5.47,3.80,0.07,9.00,2.41,2.50,101.98,60.44,0.23,0.77,9.54,155.40,9.50,3.69,16.40,97.50,,10.21,0.22,,0.95,0.01,6.06,0.92,25.93,1.37,0.77,16.51,15.43,,3.84,157.22,11.00,4.82,23.00,0.55,2.80,1.27,3.84
1996,10.17,7.03,4.81,37.50,4.72,25.27,0.11,0.76,0.84,151.77,2.53,26.88,,2.60,5.00,10.41,7.96,4.99,2.27,4.01,44.63,3.94,2.65,,1.45,0.71,2.26,9.54,4.03,0.01,0.93,0.11,12.35,181.28,41.16,8.00,5.80,3.83,0.07,10.14,2.42,2.48,116.22,61.73,0.25,0.75,9.46,180.65,10.32,3.65,16.32,95.14,,10.08,0.19,,0.93,0.03,5.84,1.04,27.14,1.34,0.77,17.62,15.54,,3.08,151.92,11.34,4.80,23.94,0.64,2.75,1.16,3.88
1997,10.87,7.01,4.87,40.04,4.57,26.46,0.11,0.63,0.90,147.19,2.37,27.70,,2.57,5.31,10.58,9.04,4.94,2.18,13.57,43.39,3.78,2.82,,1.52,0.72,2.28,9.50,7.52,0.01,0.93,0.07,12.86,175.40,41.43,8.24,5.92,3.65,0.07,8.93,2.25,2.41,119.07,62.00,0.23,0.71,9.63,218.50,11.30,3.22,15.92,90.60,,10.62,0.17,,0.93,0.05,5.79,1.19,27.60,1.24,0.81,10.62,15.55,,3.21,142.17,11.22,4.85,24.47,0.73,2.79,1.17,3.89
1998,11.03,6.69,4.98,40.21,5.28,27.15,0.12,0.64,1.00,135.64,2.42,27.92,,2.47,5.74,9.89,9.10,4.70,2.11,18.05,39.17,3.51,2.96,,1.39,0.70,2.29,9.69,13.07,0.00,0.91,0.06,12.92,177.71,40.47,8.10,5.99,3.71,0.08,8.46,1.94,2.42,95.11,61.02,0.24,0.69,8.35,218.15,12.98,2.88,15.93,89.97,,10.61,0.17,,0.88,0.06,5.77,1.17,27.42,1.20,0.85,9.46,15.57,,3.28,136.13,11.27,5.14,25.01,0.83,2.75,1.18,3.85
1999,11.26,6.60,5.00,41.47,6.15,27.44,0.13,0.51,1.12,146.45,2.06,27.41,,2.50,5.78,8.78,10.72,4.59,2.08,20.91,38.47,3.47,2.91,,1.29,0.68,2.36,9.27,15.54,0.00,0.83,0.07,12.76,160.66,38.04,7.80,5.69,3.61,0.07,7.81,2.22,2.18,115.85,60.41,0.26,0.62,8.08,226.70,12.75,2.79,16.26,80.00,,10.51,0.16,,0.82,0.32,5.65,1.21,31.41,1.23,0.80,13.50,14.97,,3.46,119.38,11.59,5.12,21.90,0.87,2.84,1.06,3.80
2000,11.97,6.41,5.07,43.59,6.10,27.12,0.13,0.72,1.23,148.65,2.09,27.62,,2.57,5.53,9.52,12.51,4.79,2.05,22.82,30.52,3.31,2.97,,1.27,0.70,2.40,9.81,15.10,0.00,0.78,0.05,15.60,167.61,38.99,8.40,5.75,3.74,0.15,7.56,2.20,2.55,119.82,67.00,0.27,0.57,7.51,254.58,12.08,2.94,16.74,82.15,,10.44,0.16,,0.79,0.90,5.40,1.30,34.77,1.06,0.74,22.80,14.65,,3.48,119.20,11.11,5.03,21.82,0.97,3.01,0.93,3.86
2001,11.37,6.15,5.19,45.60,6.33,27.02,0.15,1.03,1.26,150.08,2.21,27.72,,2.69,5.52,9.64,12.14,4.78,2.06,35.15,28.14,3.20,3.01,,1.16,0.69,2.46,9.76,14.06,0.00,0.71,0.05,16.85,158.36,37.11,8.03,5.77,3.67,0.30,7.91,2.48,2.52,125.59,70.40,0.27,0.55,7.54,247.81,10.80,2.95,17.44,76.63,,10.33,0.14,,0.74,1.02,5.58,1.32,35.41,0.96,0.72,24.28,14.83,,3.51,109.99,10.55,4.99,21.86,1.04,2.99,0.95,3.89
