"Year","Algeria","Angola","Argentina","Australia","Azerbaijan","Bahrain","Bangladesh","Bolivia","Brazil","Brunei","Bulgaria","Canada","Chad","China","Colombia","Czech Republic","Denmark","Ecuador","Egypt","Equatorial Guinea","Gabon","Germany","Greece","Guyana","Hungary","India","Indonesia","Iran","Iraq","Israel","Italy","Japan","Kazakhstan","Kuwait","Libya","Malaysia","Mexico","Mongolia","Myanmar","Netherlands","New Zealand","Nigeria","Norway","Oman","Pakistan","Peru","Poland","Qatar","Republic of Congo","Romania","Russian Federation","Saudi Arabia","Serbia","South Africa","South Korea","South Sudan","Spain","Sudan","Syria","Thailand","Trinidad & Tobago","Tunisia","Turkey","Turkmenistan","US","USSR","Ukraine","United Arab Emirates","United Kingdom","Uzbekistan","Venezuela","Vietnam","Yemen","Zimbabwe","World"
1868,,,,2.1,,,,,,,,1.4,,,,7.7,,,,,,31.4,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,10.1,,,0.0,,,,,,,0.6,,,,,,,,68.9,,,,247.2,,,,,,
1869,,,,2.0,,,,,,,,1.5,,,,8.3,,,,,,32.8,,,1.1,,,,,,0.0,,,,,,,,,,,,,,,,10.5,,,0.0,,,,,,,0.6,,,,,,,,77.5,,,,257.5,,,,,,
1870,,,,2.0,,,,,,,,1.7,,,,9.1,,,,,,32.5,,,1.2,,,,,,0.0,,,,,,,,,,,,,,,,10.4,,,0.0,,,,,,,0.7,,,,,,,,82.5,,,,264.7,,,,,,
1871,,,,2.0,,,,,,,,1.8,,,,10.8,,,,,,36.2,,,1.5,,,,,,0.0,,,,,,,,,,,,,,,,11.5,,,0.0,,,,,,,0.7,,,,,,,,90.4,,,,281.3,,,,,,
1872,,,,2.3,,,,,,,,2.3,,,,11.2,,,,,,40.4,,,1.7,,,,,,0.0,,,,,,,,,,,,,,,,13.1,,,0.0,,,,,,,0.7,,,,,,,,110.1,,,,296.0,,,,,,
1873,,,,2.7,,,,,,,,2.6,,,,12.8,,,,,,44.0,,,1.7,,,,,,0.0,,,,,,,,,,,,,,,,14.3,,,0.0,,,,,,,0.7,,,,,,,,119.2,,,,308.5,,,,,,
1874,,,,3.0,,,,,,,,2.3,,,,13.5,,,,,,44.7,,,1.5,,,,,,0.0,0.4,,,,,,,,,,,,,,,14.1,,,0.0,,,,,,,0.8,,,,,,,,112.8,,,,303.4,,,,,,
1875,,,,3.0,,,,,,,,2.3,,,,14.2,,,,,,45.6,,,1.5,,,,,,0.0,1.2,,,,,,,,,,,,,,,14.7,,,0.0,,,,,,,0.8,,,,,,,,114.1,,,,319.5,,,,,,
1876,,,,3.0,,,,,,,,2.2,,,,14.8,,,,,,47.4,,,1.6,,,,,,0.0,1.1,,,,,,,,,,,,,,,15.1,,,0.0,,,,,,,0.8,,,,,,,,110.9,,,,321.5,,,,,,
1877,,,,3.3,,,,,,,,2.3,,,,14.9,,,,,,46.1,,,1.7,,,,,,0.0,1.0,,,,,,,,,,,,,,,14.7,,,0.0,,,,,,,0.9,,,,,,,,122.6,,,,321.6,,,,,,
1878,,,,3.6,,,,,,,,2.4,,,,15.3,,,,,,48.2,,,1.7,,,,,,0.0,1.4,,,,,,,,,0.4,,,,,,15.5,,,0.0,,,,,,,1.0,,,,,,,,119.5,,,,317.9,,,,,,
1879,,,,3.6,,,,,,,0.0,2.6,,,,16.5,,,,,,51.0,,,1.7,,,,,,0.0,1.8,,,,,,,,,0.5,,,,,,16.5,,,0.0,,,,,,,1.0,,,,,,,,146.3,,,,320.5,,,,,,
1880,,,,3.4,,,,,,,0.0,4.5,,,,17.8,,,,,,56.3,,,1.9,,,,,,0.0,1.8,,,,,,,,,0.7,,,,,,18.5,,,0.0,,,,,,,1.1,,,,,,,,165.3,,,,352.3,,,,,,
1881,,,,4.1,,,,,,,0.0,3.4,,,,19.0,,,,,,58.6,,,2.1,,,,,,0.0,1.9,,,,,,,,,0.7,,,,,,19.1,,,0.0,,,,,,,1.2,,,,,,,,179.4,,,,369.6,,,,,,
1882,,,,4.8,,,,,,,0.0,4.0,,,,19.4,,,,,,62.2,,,2.2,,,,,,0.0,1.9,,,,,,,,,0.8,,,,,,20.5,,,0.1,,,,,,,1.5,,,,,,,,204.2,,,,375.1,,,,,,
1883,,,,5.8,,,,,,,0.0,4.0,,,,21.2,,,,,,67.1,,,2.5,,,,,,0.0,2.1,,,,,,,,,0.9,,,,,,22.0,,,0.1,,,,,,,1.4,,,,,,,,222.5,,,,392.5,,,,,,
1884,,,,6.3,,,,,,,0.0,4.4,,,,21.4,,,,,,68.7,,,2.7,,,,,,0.0,2.3,,,,,,,,,1.1,,,,,0.0,22.5,,,0.1,,,,,,,1.3,,,,,,,,227.6,,,,385.3,,,,,,
1885,,,,6.8,,,,,,,0.0,4.2,,,,22.2,,,,,,70.2,,,2.7,,,,,,0.0,2.7,,,,,,,,,1.1,,,,,0.0,22.9,,,0.1,,,,,,,1.2,,,,,,,,229.2,,,,382.0,,,,,,
1886,,,,6.8,,,,,,,0.0,4.6,,,,22.8,,,,,,70.3,,,2.6,,,,,,0.0,2.8,,,,,,,,,1.2,,,,,0.0,22.8,,,0.1,,,,,,,1.3,,,,,,,,237.0,,,,377.6,,,,,,
1887,,,,7.0,,,,,,,0.0,5.3,,,,24.1,,,,,,72.6,,,2.6,,,,,,0.0,3.6,,,,,,,,,1.2,,,,,0.0,23.7,,,0.1,,,,,,,1.3,,,,,,,,268.8,,,,388.6,,,,,,
1888,,,,7.8,,,,,,,0.0,5.7,,,,26.2,,,,,,78.0,,,2.9,,,,,,0.0,4.2,,,,,,,,,1.4,,,,,0.0,25.7,,,0.1,,,,,,,1.3,,,,,,,,298.0,,,,407.3,,,,,,
1889,,,,8.7,,,,,,,0.0,5.8,,,,27.8,,,,,,80.9,,,3.0,0.0,,,,,0.0,4.9,,,,,,,,,1.3,,,,,0.0,26.5,,,0.1,,,,0.0,,,1.4,,,,,,,,298.4,,,,424.1,,,,,,
1890,,,,7.6,,,,,,,0.0,6.7,,,,30.0,,,,,,85.1,,,3.4,4.1,0.0,,,,0.0,5.4,,,,,,,,,1.4,,,,,0.0,27.6,,,0.1,,,,0.1,,,1.6,,,,,,,,347.7,,,,435.3,,,,,,
1891,,,,9.6,,,,,,,0.0,7.8,,,,31.4,,,,,,90.0,,,3.6,4.4,0.0,,,,0.0,6.5,,,,,0.2,,,,1.5,,,,,0.0,29.0,,,0.2,,,,0.1,,,1.7,,,,,,,,371.7,,,,444.6,,,,,,
1892,,,,9.0,,,,,,,0.0,7.2,,,,31.5,,,,,,88.4,,,3.8,4.8,0.2,,,,0.0,6.5,,,,,0.4,,,,1.5,,,,,0.1,28.0,,,0.2,,,,0.2,,,1.9,,,,,,,,394.0,,,,435.8,,,,,,
1893,,,,8.1,,,,,,,0.0,8.3,,,,32.9,,,,,,91.3,,,4.1,4.9,0.4,,,,0.0,6.8,,,,,0.3,,,,1.5,,,,,0.0,29.0,,,0.2,,,,0.8,,,2.0,,,,,,,,400.9,,,,393.9,,,,,,
1894,,,,9.1,,,,,,,0.0,8.5,,,,33.3,,,,,,94.5,,,4.4,5.4,0.5,,,,0.0,8.8,,,,,0.3,,,,1.6,,,,,0.0,30.1,,,0.2,,,,2.1,,,2.2,,,,,,,,373.2,,,,451.3,,,,,,
1895,,,,9.4,,,,,,,0.0,7.7,,,,34.7,,,,,,99.7,,,4.8,6.7,0.8,,,,0.0,9.8,,,,,0.3,,,,1.6,,,,,0.0,31.1,,,0.2,,,,2.9,,,2.3,,,,,,,,420.7,,,,454.6,,,,,,
1896,,,,10.0,,,,,,,0.0,8.2,,1.0,,35.5,,,,,,107.9,,,5.1,7.3,0.9,,,,0.0,10.3,,,,,0.3,,,,1.8,,,,,0.0,33.6,,,0.2,,,,3.7,,,2.5,,,,,,,,420.8,,,,468.3,,,,,,
1897,,,,11.0,,,,,,,0.1,8.3,,1.0,,38.2,,,,,,115.8,,,5.2,7.8,1.4,,,,0.0,10.7,,,,,0.4,,,,1.9,,,,,0.0,35.7,,,0.3,,,,4.1,,,2.7,,,,,,,,437.8,,,,484.5,,,,,,
1898,,,,11.9,,,,,,,0.1,9.1,,1.5,,39.5,,,,,,123.0,,,6.0,8.8,1.6,,,,0.0,13.8,,,,,0.4,,,,2.0,,,,,0.1,37.8,,,0.6,,,,5.2,,,3.2,,,,,,0.2,,476.1,,,,484.3,,,0.5,,,
1899,,,,12.0,,,,,,,0.1,10.7,,1.6,,41.0,,,,,,130.7,,,5.8,9.8,1.2,,,,0.0,13.8,,,,,0.4,,,,2.2,,,,,0.1,39.9,,,0.7,,,,4.8,,,3.4,,,,,,0.3,,547.0,,,,527.6,,,0.6,,,
1900,,,,14.0,,,,,,,0.1,12.5,,1.3,,40.1,,,,,,144.5,,,6.8,11.8,1.4,,,,0.0,15.3,,,,,0.4,,,,2.4,,,,,0.1,42.9,,,0.8,,,,2.0,,,3.4,,,,,,0.3,,585.7,,,,539.8,,,0.4,,,
1901,,,,15.1,,,,,,,0.1,13.9,,1.0,,42.2,,,,,,148.3,,,6.9,12.9,2.1,,,,0.0,18.4,,,,,0.7,,,,2.7,,,,,0.1,42.5,,,0.9,,,,3.4,,,3.5,,,,,,0.4,,636.0,,,,525.1,,,0.6,,,
1902,,,,15.1,,,,,,,0.1,15.9,,1.9,,40.9,,,,,,146.0,,,6.6,14.4,1.4,,,,0.0,19.9,,,,,0.8,,,,3.0,,,,,0.1,42.1,,,1.0,,,,5.0,,,3.6,,,,,,0.5,,663.7,,,,544.4,,,0.7,,,
1903,,,,15.6,,,,,,,0.1,16.9,,2.0,,41.5,,,,,,157.3,,,6.8,14.8,2.8,,,,0.0,20.7,,,,,0.9,,,,3.1,,,,,0.1,45.7,,,1.2,,,,6.7,,,3.6,,,,,,0.5,,782.9,,,,552.1,,,0.7,,0.1,
1904,,,,15.1,,,,,,,0.1,17.6,,2.5,,41.8,,,,,,164.4,,,7.0,16.5,3.1,,,,0.0,22.0,,,,,0.9,,,,3.4,,,,,0.1,47.4,,,1.6,,,,7.5,,,4.0,,,,,,0.6,,780.2,,,,557.1,,,0.6,,0.1,
1905,,,,16.5,,,,,,,0.1,18.5,,2.6,,43.6,,,,,,169.2,,,7.5,17.2,3.8,,,,0.0,23.7,,,,,1.1,,,,3.5,,,,,0.1,47.5,,,2.0,,,,8.5,,,4.3,,,,,,0.7,,872.9,,,,566.0,,,0.7,,0.2,
1906,,,,18.9,,,,,,,0.1,20.8,,3.3,,45.2,,,,,,188.0,,,8.0,19.7,4.1,,,,0.0,26.7,,,,,1.0,,,,3.8,,,,,0.2,53.7,,,2.8,,,,9.6,,,4.4,,,,,,0.7,,916.2,,,,601.8,,,0.7,,0.2,
1907,,,,21.3,,,,,,,0.1,22.6,,4.3,,49.5,,,,,,200.5,,,8.2,22.3,4.9,,,,0.0,28.4,,,,,1.5,,,,4.1,,,,,0.3,56.1,,,3.3,,,,10.7,,,5.0,,,,,,0.9,,1068.6,,,,642.0,,,0.7,,0.3,
1908,,,0.0,22.4,,,,,,,0.1,23.3,,5.4,,50.1,,,,,,210.0,,,8.8,25.6,5.1,,,,0.0,30.5,,,,,2.6,,,,4.1,,,,,0.4,58.2,,,3.3,,,,11.0,,,5.3,,,,0.0,,0.9,,940.0,,,,626.9,,,0.8,,0.4,
1909,,,0.0,18.0,,,,,,,0.1,22.5,,7.5,,49.1,,,,,,212.4,,,9.5,24.5,5.5,,,,0.0,30.9,,,,,2.5,,,,4.2,,,,,0.5,58.3,,,3.9,,,,12.7,,,5.3,,,,0.0,,0.8,,1037.6,,,,632.3,,,0.8,,0.4,
1910,,,0.0,21.5,,,,,,,0.1,27.6,,8.2,,48.1,,,,,,217.0,0.0,,9.5,24.7,5.7,,,,0.0,32.2,,,,,2.9,,,,4.9,,,,,0.5,59.9,,,3.8,,,,14.4,,,5.2,,,,0.0,,0.8,,1134.5,,,,633.9,,,1.1,,0.4,
1911,,,0.0,23.2,,,,,,,0.2,24.5,,10.2,,49.0,,,0.0,,,229.0,,,9.9,26.0,6.2,,,,0.0,36.2,,,,,6.8,,,,4.6,,,,,0.6,63.0,,,4.6,,,,13.1,,,5.0,,,,0.1,,0.8,,1126.1,,,,651.7,,,1.0,,0.5,
1912,,,0.0,25.8,,,,,,,0.2,31.3,,17.5,,52.1,,,0.1,,,249.9,,,10.1,30.0,5.8,,,,0.0,40.4,,,,0.0,8.0,,,,4.8,,,,,0.7,68.5,,,5.4,,,,16.4,,,5.3,,,,0.2,,0.9,,1208.9,,,,624.2,,,1.0,,0.5,
1913,,,0.1,27.3,,,,,0.1,,0.2,32.7,,24.9,,54.3,,,0.0,,,270.9,0.0,,10.8,33.1,5.7,0.7,,,0.0,43.8,,,,0.1,11.5,,,,4.2,,,,,0.8,74.5,,,5.3,,,,21.7,,,5.4,,,,0.3,,1.0,,1292.0,,,,689.0,,0.0,1.1,,0.6,
1914,,,0.1,27.3,,,,,0.1,,0.3,29.8,,27.4,,48.6,,,0.3,,,241.1,0.0,,9.6,33.3,6.0,1.1,,,0.0,45.8,,,,0.2,11.9,,,,5.0,,,,,0.7,63.2,,,5.1,,,,20.7,,,5.7,,,,0.4,,0.8,,1182.5,,,,636.8,,0.0,1.4,,0.8,
1915,,,0.2,25.1,,,,,0.2,,0.3,29.0,,26.1,,47.7,,,0.1,,,232.5,0.0,,9.6,34.8,6.1,1.4,,,0.0,42.1,,,,0.2,14.3,,,,4.9,,,,,1.0,57.4,,,4.6,,,,20.4,,,6.0,,,,0.3,,0.6,,1228.3,,,,606.9,,0.1,1.4,,0.9,
1916,,,0.4,21.5,,,,,0.3,,0.4,31.8,,30.9,,50.7,,,0.2,,,250.7,0.1,,9.5,35.2,6.7,1.7,,,0.0,47.1,,,,0.2,17.5,,,,5.0,,,,,1.0,62.2,,,2.7,,,,24.9,,,7.2,,,,0.4,,0.3,,1361.2,,,,614.5,,0.1,1.5,,1.1,
1917,,,0.5,22.5,,,,,0.4,,0.5,31.0,,32.9,,47.7,,,0.4,,,259.9,0.1,,9.3,36.8,7.0,2.7,,,0.0,54.2,,,,0.2,23.8,,,,4.6,,,,,1.0,65.6,,,2.6,,,,25.9,,,7.7,,,,0.6,,0.4,,1504.0,,,,595.7,,0.1,1.4,,1.2,
1918,0.0,,0.6,24.1,,,,,0.4,,0.4,32.6,,35.7,,37.6,,0.0,0.8,,,257.1,0.1,,8.2,41.5,7.1,3.3,,,0.0,57.6,,,,0.2,27.8,,,,4.5,,,,,1.0,61.8,,,3.5,,,,24.2,,,9.3,,,,0.9,,0.4,,1564.6,,,,545.9,,0.2,1.4,,1.1,
1919,0.0,,0.5,23.2,,,,,0.5,,0.4,30.2,,39.0,,36.6,,0.0,0.7,,,211.6,0.1,,7.0,45.3,8.5,3.9,,,0.0,64.3,,,,0.2,37.6,,,,4.1,,,,,1.0,45.5,,,4.0,,,,20.8,,,8.0,,,,0.7,,0.7,,1313.9,,,,550.8,,0.3,1.5,,1.2,
1920,0.0,,0.7,28.5,,,,,0.6,,0.5,36.5,,41.3,,41.6,,0.0,0.4,,,258.1,0.1,,5.9,36.6,9.4,4.7,,,0.0,60.1,,,,0.4,67.2,,,,4.1,,,,,1.1,64.8,,,4.8,,,,24.4,,,7.7,,,,0.8,,0.6,,1550.3,,,,550.2,,0.3,1.5,,1.3,
1921,0.0,,0.9,28.3,,,,,0.5,,0.6,32.4,,39.8,0.0,44.2,,0.0,0.5,,,278.1,0.1,,6.6,39.4,9.8,6.5,,,0.0,53.9,,,,0.5,78.9,,,,4.0,,,,,1.4,61.2,,,5.1,,,,24.1,,,7.0,,,,1.0,,0.4,,1245.4,,,,391.3,,0.7,2.0,,1.3,
1922,0.0,,1.2,27.0,,,,,0.8,,0.6,32.6,,41.0,0.1,39.3,,0.0,0.5,,,301.8,0.1,,7.4,38.8,9.5,8.6,,,0.0,57.3,,,,1.1,74.6,,,,4.1,,,,,2.0,70.6,,,6.1,,,,20.7,,,6.1,,,,1.0,,0.5,,1223.0,,,,598.3,,1.0,2.2,,1.2,
1923,0.0,,1.4,27.7,,,,,0.6,,0.7,36.5,,47.8,0.2,36.9,,0.0,0.4,,,213.9,0.1,,8.1,39.9,11.2,9.8,,,0.0,59.5,,,,1.5,61.8,,,,4.4,,,,,2.2,73.4,,,6.9,,,,25.1,,,8.2,,,,1.2,,0.7,,1669.1,,,,661.6,,1.8,2.3,,1.4,
1924,0.0,,1.9,30.5,,,,,0.5,,0.8,29.4,,50.1,0.2,47.3,,0.0,0.5,,,290.1,0.1,,7.4,42.7,12.3,12.5,,,0.0,61.9,,,,1.6,57.7,,,,4.6,,,,,3.0,65.7,,,8.2,,,,26.4,,,8.4,,,,1.6,,0.9,,1490.4,,,,640.3,,3.7,2.7,,1.5,
1925,0.0,,2.6,31.8,,,,,0.8,,0.8,28.6,,47.2,0.4,41.3,,0.1,0.5,,,322.0,0.1,,6.6,42.1,12.7,13.6,,,0.0,64.6,,,,1.7,48.2,,,,4.7,,,,,3.6,59.5,,,9.6,,,,27.5,,,8.4,,,,1.7,,1.1,,1534.8,,,,582.9,,8.1,3.0,,1.7,
1926,0.0,,3.2,31.2,,,,,0.8,,0.8,35.7,,44.8,2.6,43.4,,0.1,0.5,,,337.1,0.1,,7.0,42.2,12.7,13.9,,,0.0,64.6,,,,1.9,37.9,,,,5.0,,,,,4.2,72.7,,,12.3,,,,28.9,,,8.9,,,,2.1,,1.4,,1703.1,,,,302.7,,15.0,2.9,,2.2,
1927,0.0,,3.6,32.9,,,,,0.5,,0.8,37.9,,47.0,6.3,44.6,,0.2,0.5,,,358.2,0.1,,7.4,44.2,15.0,15.4,0.1,,0.0,68.9,,,,1.9,27.0,,,,5.2,,,,,3.9,77.4,,,13.7,,,,28.1,,,9.0,,,,2.2,,1.6,,1632.5,,,,602.2,,25.7,3.3,,2.3,
1928,0.0,,3.7,29.5,,,,,0.5,,0.9,38.3,,48.8,8.3,46.4,,0.4,0.8,,,372.8,0.1,,7.7,42.4,17.1,16.8,0.3,,0.0,69.6,,,,2.0,21.3,,,,5.4,,,,,4.6,82.4,,,15.5,,,,28.1,,,8.7,,,,3.2,,1.5,,1593.1,,,,569.2,,42.9,4.3,,2.7,
1929,0.0,,4.4,26.6,,,,,0.3,,1.0,38.6,,49.5,8.5,51.8,,0.6,0.8,,,396.4,0.1,,8.3,44.1,20.1,16.3,0.3,,0.0,70.4,,,,2.1,19.2,,,,5.6,,,,,5.2,93.7,,,17.4,,,,29.1,,,9.7,,,,3.4,,1.7,,1717.0,,,,618.2,,55.8,4.4,,2.6,
1930,0.0,,4.2,24.9,,,,,0.8,,1.0,33.4,,50.7,8.8,44.6,,0.6,0.8,,,340.6,0.1,,7.3,44.9,21.1,17.7,0.3,,0.0,64.5,,,,1.9,17.3,,,,5.6,,,,,4.8,76.2,,,20.1,,,,27.3,,,9.6,,,,3.7,,1.9,,1531.3,,,,584.6,,55.5,4.3,,2.4,
1931,,,5.3,23.3,,,,,0.9,0.0,1.0,27.6,,53.1,7.9,41.2,,0.7,0.8,,,297.0,0.1,,7.2,42.1,18.0,17.2,0.3,,0.1,57.5,,,,1.4,14.3,,,,4.8,,,,,3.9,77.7,,,22.7,,,,24.3,,,9.5,,,,3.8,,1.9,,1307.2,,,,526.1,,47.3,3.8,,1.5,
1932,,,6.2,24.6,,,,,1.0,0.5,1.1,26.3,,51.4,7.2,35.6,,0.7,0.8,,,268.2,0.1,,7.2,39.1,18.3,19.1,0.3,,0.1,57.6,,,,0.9,14.4,,,,4.1,,,,,3.8,58.7,,,24.2,,,,22.1,,,9.2,,,,4.0,,1.9,,1104.5,,,,500.4,,48.4,3.8,,1.1,
1933,,,6.7,25.6,,,,,1.3,,1.0,26.6,,55.2,5.9,33.9,,0.7,0.7,,,278.6,0.1,,7.0,38.4,19.9,21.0,0.3,,0.1,66.8,,,,0.9,15.0,,,,4.0,,,,,5.1,55.8,,,24.2,,,,23.9,,,8.1,,,,3.8,,2.2,,1200.5,,,,496.5,,48.9,3.5,,1.2,
1934,,,7.1,27.3,,,,,1.4,,1.0,30.7,,63.8,7.5,34.3,,0.7,0.6,,,308.4,0.1,,7.3,42.8,21.3,22.4,2.9,,0.1,73.8,,,,0.8,16.9,,,,4.6,,,,,6.3,59.6,,,28.1,,,,27.2,,,8.0,,,,4.4,,2.7,,1279.9,,,,529.1,,56.5,3.5,,1.6,
1935,,,6.9,28.8,,,,,1.5,,1.0,31.0,,74.1,8.5,34.5,,0.7,0.5,,,327.2,0.0,,7.9,44.6,21.6,22.2,10.2,,0.1,77.6,,,,0.7,17.9,,,,4.7,,,,,6.6,58.2,,,28.2,,,,30.3,,,9.4,,,,4.7,,2.8,,1336.6,,,,532.8,,61.5,3.9,,1.7,
1936,,,7.3,31.6,,,,,1.3,,1.1,34.0,,76.6,9.2,37.4,,0.8,0.5,,,360.6,0.1,,8.3,43.8,22.7,24.3,11.2,,0.1,85.9,,,,0.6,18.3,,,,4.7,,,,,6.8,60.6,,,29.4,,0.0,,33.1,,,4.5,,,,5.4,,2.8,,1526.9,,,,547.6,,64.2,4.8,,1.8,
1937,,,7.6,34.0,,,,,1.5,,1.2,36.0,,71.9,10.1,46.0,,0.9,0.5,,,416.5,0.1,,9.4,48.5,25.7,30.1,11.9,,0.1,93.0,,,,0.6,20.1,,,,5.0,,,,,6.7,73.7,,,25.2,,0.0,,34.6,,,2.9,,,,6.3,,2.4,,1612.5,,,,576.3,,77.0,5.1,,2.6,
1938,,,7.9,33.7,,,,,1.7,,1.3,34.3,,62.3,10.5,42.7,,0.9,0.7,,,429.9,0.1,,9.8,55.0,26.4,30.3,12.0,,0.1,100.0,,,,0.5,17.6,,,,4.9,,,,,6.1,77.5,,,23.6,,0.2,,36.3,,,7.5,,,,7.2,,2.2,,1375.6,,,,544.2,,78.1,5.2,,2.6,
1939,,,8.5,37.7,,,,,2.1,,1.4,37.4,,75.4,11.4,50.7,,1.0,1.9,,,451.3,0.1,,11.0,53.8,28.8,30.2,11.0,,0.1,105.0,,,,0.5,20.1,,,,5.2,,,,,5.2,47.1,,,22.3,,1.5,,37.7,,,8.7,,,,8.6,,2.3,,1506.5,,,,554.6,,85.3,5.8,,2.8,
1940,,,9.4,35.2,,,,,2.6,,1.7,42.2,,91.5,12.8,56.0,,1.0,2.7,,,461.8,0.1,,11.9,57.0,29.4,25.7,7.0,,0.1,115.7,,,,0.4,20.4,,,,5.6,,,,,4.7,95.1,,,21.3,,2.0,,39.0,,,12.1,,,,9.7,,2.6,,1684.1,,,,537.7,,76.6,5.5,,3.2,
1941,,,10.0,41.3,,,,,2.8,,1.9,44.3,,114.8,12.2,57.7,,0.6,3.5,,,476.8,0.1,,12.9,57.2,24.5,19.6,4.4,,0.1,116.0,,,,0.3,20.3,,,,5.8,,,,,4.6,117.5,,,20.0,,1.7,,41.7,,,12.3,,,,9.0,,2.7,,1830.5,,,,494.6,,93.8,5.1,,3.5,
