"Year","Historical","1.5C / 75 GtC","1.7C / 170 GtC","2.0C / 315 GtC"
1998,8.245418,,,
1999,8.335835,,,
2000,8.343578,,,
2001,8.295741,,,
2002,8.543065,,,
2003,9.040877,,,
2004,9.179233,,,
2005,9.300413,,,
2006,9.660771,,,
2007,9.710181,,,
2008,9.904283,,,
2009,9.882891,,,
2010,10.352953,,,
2011,10.660008,,,
2012,10.824386,,,
2013,10.764705,,,
2014,10.917820,,,
2015,11.029529,,,
2016,10.745134,,,
2017,10.886105,,,
2018,11.005978,,,
2019,11.162395,,,
2020,10.519923,,,
2021,11.011190,,,
2022,11.097965,,,
2023,11.149307,11.149307,11.149307,11.149307
2024,,10.320593,10.783698,10.951994
2025,,9.491879,10.418089,10.754681
2026,,8.663166,10.052480,10.557368
2027,,7.834452,9.686871,10.360056
2028,,7.005739,9.321262,10.162743
2029,,6.177025,8.955653,9.965430
2030,,5.348312,8.590044,9.768117
2031,,4.519598,8.224435,9.570805
2032,,3.690884,7.858826,9.373492
2033,,2.862171,7.493217,9.176179
2034,,2.033457,7.127608,8.978866
2035,,1.204744,6.761999,8.781554
2036,,0.376030,6.396390,8.584241
2037,,0,6.030782,8.386928
2038,,0,5.665173,8.189615
2039,,0,5.299564,7.992302
2040,,0,4.933955,7.794990
2041,,0,4.568346,7.597677
2042,,0,4.202737,7.400364
2043,,0,3.837128,7.203051
2044,,0,3.471519,7.005739
2045,,0,3.105910,6.808426
2046,,0,2.740301,6.611113
2047,,0,2.374692,6.413800
2048,,0,2.009083,6.216488
2049,,0,1.643474,6.019175
2050,,0,1.277865,5.821862
2051,,0,0.912256,5.624549
2052,,0,0.546647,5.427237
2053,,0,0.181039,5.229924
2054,,0,0,5.032611
2055,,0,0,4.835298
2056,,0,0,4.637986
2057,,0,0,4.440673
2058,,0,0,4.243360
2059,,0,0,4.046047
2060,,0,0,3.848735
2061,,0,0,3.651422
2062,,0,0,3.454109
2063,,0,0,3.256796
2064,,0,0,3.059483
2065,,0,0,2.862171
2066,,0,0,2.664858
2067,,0,0,2.467545
2068,,0,0,2.270232
2069,,0,0,2.072920
2070,,0,0,1.875607
2071,,0,0,1.678294
2072,,0,0,1.480981
2073,,0,0,1.283669
2074,,0,0,1.086356
2075,,0,0,0.889043
2076,,0,0,0.691730
2077,,0,0,0.494418
2078,,0,0,0.297105
2079,,0,0,0.099792
2080,,0,0,0
2081,,0,0,0
2082,,0,0,0
2083,,0,0,0
2084,,0,0,0
2085,,0,0,0
2086,,0,0,0
2087,,0,0,0
2088,,0,0,0
2089,,0,0,0
2090,,0,0,0
2091,,0,0,0
2092,,0,0,0
2093,,0,0,0
2094,,0,0,0
2095,,0,0,0
2096,,0,0,0
2097,,0,0,0
2098,,0,0,0
2099,,0,0,0
2100,,0,0,0
