"YYYYMM","Petrol","Road Diesel","Petrol (trend)","Road Diesel (trend)"
202107,114,250,82.300790,243.012717
202108,97,257,82.493493,244.122690
202109,81,258,82.096386,244.810849
202110,77,254,81.180912,244.941550
202111,72,259,80.174077,244.518894
202112,73,241,79.445801,243.989915
202201,64,223,79.097008,243.858612
202202,64,224,78.919051,243.859029
202203,75,250,78.514807,243.553010
202204,76,220,77.901799,242.990935
202205,80,245,77.075936,241.652420
202206,90,249,76.192110,239.607862
202207,97,233,75.506339,237.119392
202208,88,249,75.306915,235.131354
202209,76,247,75.678041,234.018931
202210,72,237,76.352555,233.980870
202211,69,251,76.897532,234.418857
202212,71,229,77.147139,234.660599
202301,64,224,77.257114,234.255106
202302,65,213,77.236116,233.278885
202303,73,242,77.076941,231.918760
202304,74,204,76.599167,229.854507
202305,83,227,75.919126,227.586604
202306,88,241,75.203394,225.786584
202307,94,220,74.609394,224.547386
202308,83,233,74.344142,223.935786
202309,73,221,74.514514,224.104418
202310,74,247,75.026791,223.912214
202311,65,233,75.485616,222.639042
202312,71,219,75.592645,220.542100
202401,64,207,75.208201,217.555017
202402,65,206,74.387694,214.114654
202403,69,188,73.400285,211.008685
202404,68,209,72.555997,208.744675
202405,80,205,71.979925,207.533663
202406,81,216,71.634527,206.602836
202407,91,200,71.458881,205.430085
202408,82,214,71.280521,203.575730
202409,72,207,70.999627,201.018482
202410,65,217,70.528082,198.503367
202411,60,201,70.065039,196.872867
202412,65,190,69.737239,195.839398
202501,60,188,69.443937,195.680240
202502,59,183,69.326416,196.029918
202503,64,194,69.408963,196.246966
202504,69,184,69.548251,196.090050
202505,74,194,69.637527,195.390527
202506,78,203,69.675908,194.366366
202507,94,188,69.613006,193.465042
202508,79,202,69.428220,192.666844
202509,67,201,69.167024,191.828306
202510,64,202,68.805619,191.419836
