"YYYYMM","Total: New","PetrolOnly: New","DieselOnly: New","BEV: New","Non-plugin hybrid: New","Plugin hybrid: New","Total: Used","PetrolOnly: Used","DieselOnly: Used","BEV: Used","Non-plugin hybrid: Used","Plugin hybrid: Used"
199605,12523,11035,1478,10,0,0,2030,1805,225,0,0,0
199606,11659,10215,1444,0,0,0,1785,1554,231,0,0,0
199607,13315,11800,1515,0,0,0,2702,2358,344,0,0,0
199608,9580,8296,1284,0,0,0,2262,1917,345,0,0,0
199609,9983,8838,1145,0,0,0,2204,1816,388,0,0,0
199610,12932,11556,1361,15,0,0,2510,2063,447,0,0,0
199611,10865,9367,1490,8,0,0,2202,1811,391,0,0,0
199612,9001,7697,1303,1,0,0,1651,1344,307,0,0,0
199701,12353,10735,1617,1,0,0,2211,1783,428,0,0,0
199702,10329,9239,1089,1,0,0,2042,1644,398,0,0,0
199703,9381,8466,915,0,0,0,2158,1802,356,0,0,0
199704,13308,12078,1229,1,0,0,2719,2199,520,0,0,0
199705,12403,11254,1147,2,0,0,2644,2192,452,0,0,0
199706,12259,11041,1215,3,0,0,2316,1937,379,0,0,0
199707,13067,11690,1374,3,0,0,3092,2582,510,0,0,0
199708,10009,8974,1035,0,0,0,2153,1783,370,0,0,0
199709,10608,9480,1128,0,0,0,2261,1821,440,0,0,0
199710,12064,10721,1341,2,0,0,2298,1854,444,0,0,0
199711,10916,9646,1260,10,0,0,1799,1435,364,0,0,0
199712,11210,9985,1223,2,0,0,1390,1063,327,0,0,0
199801,8871,7683,1186,1,0,0,1819,1418,401,0,0,0
199802,8971,7966,1002,3,0,0,1716,1359,357,0,0,0
199803,12024,10838,1186,0,0,0,2148,1728,420,0,0,0
199804,11529,10335,1191,2,0,0,2186,1764,422,0,0,0
199805,13411,12187,1222,2,0,0,2309,1926,383,0,0,0
199806,12228,11030,1170,27,0,0,2057,1744,313,0,0,0
199807,13470,12183,1284,3,0,0,3101,2556,545,0,0,0
199808,9703,8621,1081,1,0,0,2108,1709,399,0,0,0
199809,10272,9088,1184,0,0,0,1861,1539,322,0,0,0
199810,9960,8785,1174,1,0,0,1704,1386,318,0,0,0
199811,9693,8382,1311,0,0,0,1469,1221,248,0,0,0
199812,6907,5834,1071,0,0,0,1011,814,197,0,0,0
199901,8945,7693,1245,7,0,0,1361,1091,270,0,0,0
199902,8314,7286,1022,6,0,0,1246,1017,229,0,0,0
199903,10128,8887,1223,18,0,0,1570,1308,262,0,0,0
199904,9102,8063,1039,0,0,0,1554,1299,254,1,0,0
199905,8774,7702,1069,3,0,0,1895,1576,319,0,0,0
199906,9895,8646,1247,1,0,0,2014,1655,359,0,0,0
199907,11047,9509,1525,13,0,0,2896,2409,487,0,0,0
199908,8013,6900,1109,4,0,0,2351,1927,424,0,0,0
199909,9041,7833,1202,6,0,0,2497,1989,508,0,0,0
199910,9269,8084,1168,17,0,0,2397,1878,519,0,0,0
199911,9723,8280,1437,6,0,0,2255,1757,497,0,0,0
199912,8036,6674,1359,3,0,0,1608,1201,407,0,0,0
200001,10721,9015,1696,10,0,0,1926,1487,439,0,0,0
200002,8734,7483,1226,24,0,0,1991,1611,380,0,0,0
200003,10097,8704,1369,24,0,0,2548,2048,500,0,0,0
200004,8402,7287,1113,2,0,0,2056,1672,384,0,0,0
200005,10807,9320,1452,34,0,0,2904,2414,487,0,0,0
200006,9331,8075,1247,9,0,0,2436,1950,486,0,0,0
200007,9817,8606,1194,17,0,0,3204,2559,645,0,0,0
200008,8245,7100,1123,22,0,0,2793,2285,508,0,0,0
200009,7946,6924,994,28,0,0,2709,2125,584,0,0,0
200010,8122,6987,1130,5,0,0,2822,2168,654,0,0,0
200011,8468,6974,1487,7,0,0,2632,2024,607,0,0,0
200012,7395,5991,1396,8,0,0,2025,1442,583,0,0,0
200101,8987,7317,1657,13,0,0,2228,1666,561,1,0,0
200102,7983,6365,1615,2,0,0,2152,1566,587,0,0,0
200103,10599,8490,2108,1,0,0,2706,1851,855,0,0,0
200104,8299,6842,1454,4,0,0,2293,1662,631,0,0,0
200105,9457,8003,1445,8,0,0,2651,2033,618,0,0,0
200106,8520,7192,1321,6,0,0,2491,1860,629,1,0,0
200107,9500,7915,1540,45,0,0,3306,2409,895,2,0,0
200108,8493,7048,1426,19,0,0,2947,2172,772,1,0,0
200109,7879,6632,1231,15,0,0,2600,1939,658,3,0,0
200110,8961,7359,1579,23,0,0,2726,1993,730,2,0,0
200111,8138,6486,1648,4,0,0,2432,1713,718,1,0,0
200112,6447,5048,1398,1,0,0,1631,1085,544,1,0,0
200201,7897,6313,1556,28,0,0,2131,1496,633,2,0,0
200202,7575,6157,1367,51,0,0,2185,1472,706,7,0,0
200203,7565,6139,1410,16,0,0,2506,1670,835,1,0,0
200204,9332,7605,1716,11,0,0,2889,1993,894,1,0,0
200205,8513,6851,1647,15,0,0,3161,2144,1014,3,0,0
200206,7856,6208,1645,3,0,0,2911,1948,962,1,0,0
200207,9282,7455,1810,16,0,0,4178,2649,1527,2,0,0
200208,7778,6180,1591,7,0,0,3241,2138,1095,8,0,0
200209,7584,6106,1457,21,0,0,3241,2041,1195,5,0,0
200210,8712,6815,1892,5,0,0,3406,2166,1238,2,0,0
200211,7302,5539,1754,9,0,0,2917,1763,1140,14,0,0
200212,5892,4164,1721,7,0,0,2142,1274,867,1,0,0
200301,7446,5440,2005,1,0,0,2457,1537,917,3,0,0
200302,7106,5319,1786,1,0,0,2492,1497,993,2,0,0
200303,7563,5614,1945,3,0,0,2734,1662,1069,3,0,0
200304,7642,5669,1969,4,0,0,2848,1812,1027,9,0,0
200305,8810,6418,2388,4,0,0,2918,1857,1050,11,0,0
200306,8441,6233,2206,2,0,0,2575,1577,986,12,0,0
200307,9399,6899,2497,3,0,0,3494,2090,1388,15,0,0
200308,7332,5319,2012,1,0,0,2441,1521,881,39,0,0
200309,8472,6280,2182,7,0,0,2573,1512,1011,50,0,0
200310,9882,7088,2791,3,0,0,2763,1572,1173,18,0,0
200311,8784,6162,2620,1,0,0,2204,1235,958,11,0,0
200312,6993,4718,2274,1,0,0,2058,1070,976,12,0,0
200401,8910,6466,2443,1,0,0,1965,1107,856,2,0,0
200402,9371,6418,2950,3,0,0,1976,1073,901,2,0,0
200403,11755,8406,3346,2,0,0,2433,1341,1089,2,0,0
200404,10120,7190,2923,6,0,0,2352,1307,1042,3,0,0
200405,9992,6815,3174,2,0,0,2526,1366,1150,10,0,0
200406,10561,7017,3535,9,0,0,2959,1508,1437,14,0,0
200407,10679,7344,3332,3,0,0,3411,1872,1535,4,0,0
200408,8711,6140,2571,0,0,0,2378,1330,1035,13,0,0
200409,10119,6608,3507,4,0,0,2529,1311,1209,9,0,0
200410,10683,6860,3821,1,0,0,2425,1168,1249,8,0,0
200411,11055,7246,3809,0,0,0,2336,1093,1234,9,0,0
200412,13377,8728,4648,1,0,0,2609,1151,1444,14,0,0
200501,7812,4971,2839,2,0,0,1905,915,987,2,0,0
200502,8904,5670,3235,0,0,0,2043,899,1140,4,0,0
200503,10272,6462,3808,1,0,0,2181,966,1209,6,0,0
200504,10904,6421,4482,0,0,0,2530,1226,1295,9,0,0
200505,10566,6274,4294,0,0,0,2591,1233,1342,16,0,0
200506,10807,6205,4601,1,0,0,2700,1246,1433,21,0,0
200507,10564,6071,4492,1,0,0,3862,1621,2229,11,0,0
200508,9348,5284,4063,0,0,0,3154,1357,1774,23,0,0
200509,9692,5074,4618,0,0,0,3028,1077,1936,15,0,0
200510,9612,4890,4722,0,0,0,2804,1001,1797,6,0,0
200511,9995,4657,5339,0,0,0,2682,890,1782,10,0,0
200512,10826,4978,5849,0,0,0,2418,692,1718,8,0,0
200601,8111,3543,4568,0,0,0,2174,738,1419,17,0,0
200602,8173,3990,4183,0,0,0,2207,680,1513,14,0,0
200603,10795,5107,5688,0,0,0,2764,860,1870,33,0,0
200604,9142,4310,4832,0,0,0,2483,898,1574,11,0,0
200605,11458,5259,6197,2,0,0,3092,1168,1909,15,0,0
200606,10580,4797,5783,0,0,0,3218,1164,2032,21,0,0
200607,11007,5035,5972,0,0,0,3811,1325,2485,2,0,0
200608,9559,4355,5204,0,0,0,3279,1113,2147,17,0,0
200609,9679,4379,5300,0,0,0,3060,986,2061,12,0,0
200610,9477,4471,5001,5,0,0,2704,855,1830,19,0,0
200611,9666,4656,5008,2,0,0,2575,823,1725,27,0,0
200612,13175,6466,6704,4,0,0,3757,1437,2313,7,0,0
200701,12966,2591,10372,2,0,0,2342,381,1950,11,0,0
200702,10363,2564,7799,0,0,0,2053,387,1661,5,0,0
200703,12167,3293,8874,0,0,0,2710,525,2175,10,0,0
200704,9538,2734,6803,1,0,0,2271,577,1687,7,0,0
200705,12961,3477,9483,0,0,0,3002,753,2232,17,0,0
200706,11850,2764,9078,0,1,0,3160,759,2388,13,0,0
200707,12818,2846,9971,0,0,0,3893,735,3151,6,0,0
200708,11479,2827,8649,2,0,0,3484,733,2742,9,0,0
200709,9962,2312,7650,0,0,0,2971,540,2428,3,0,0
200710,12400,2668,9732,0,0,0,3282,591,2691,0,0,0
200711,11141,2771,8370,0,0,0,3083,531,2547,5,0,0
200712,10215,2166,8049,0,0,0,2281,312,1964,5,0,0
200801,10199,2628,7571,0,0,0,2370,439,1927,4,0,0
200802,11082,2608,8470,4,0,0,2712,505,2199,8,0,0
200803,10155,2563,7592,0,0,0,2360,514,1841,5,0,0
200804,12518,3140,9378,0,0,0,3036,828,2204,4,0,0
200805,10876,2623,8253,0,0,0,2904,915,1983,6,0,0
200806,10353,2538,7809,5,0,0,2672,853,1806,13,0,0
200807,10224,2831,7344,48,0,0,3166,798,2356,12,0,0
200808,8293,2345,5914,33,1,0,2424,715,1700,9,0,0
200809,8893,2480,6412,0,1,0,2459,634,1818,7,0,0
200810,8744,2602,6142,0,0,0,1928,507,1402,18,0,0
200811,7272,1903,5360,10,0,0,1207,313,887,6,0,0
200812,8233,1889,6279,65,0,0,1122,239,878,4,0,0
200901,5505,1729,3776,0,0,0,1084,287,792,5,0,0
200902,6495,1851,4614,28,0,0,1220,278,941,1,0,0
200903,7951,2221,5703,27,0,0,1689,343,1341,5,0,0
200904,7852,2191,5646,14,1,0,2011,559,1447,5,0,0
200905,7823,2055,5768,0,0,0,2074,628,1442,4,0,0
200906,8019,2013,6001,5,0,0,2220,577,1638,5,0,0
200907,9765,2425,7334,6,0,0,2936,707,2226,3,0,0
200908,8233,2457,5769,7,0,0,2297,515,1775,7,0,0
200909,9781,2804,6973,4,0,0,2627,479,2142,6,0,0
200910,10432,2724,7699,8,0,0,2705,419,2272,14,0,0
200911,9797,2251,7538,6,1,0,2486,399,2083,4,0,0
200912,10561,1898,8658,5,0,0,2491,318,2169,4,0,0
201001,9842,2696,7137,0,8,0,1770,327,1433,9,0,0
201002,9281,2327,6948,0,6,0,2016,311,1697,8,0,0
201003,12002,2882,9067,39,14,0,2610,435,2169,6,0,0
201004,11190,2819,8309,40,21,0,2630,667,1957,6,0,0
201005,10426,2619,7753,38,16,0,2583,662,1918,2,0,0
201006,11641,2735,8870,17,19,0,2767,688,2076,2,0,0
201007,11990,2698,9270,11,11,0,3286,745,2539,3,0,0
201008,10743,2654,8014,55,20,0,2719,610,2106,3,0,0
201009,11467,2798,8608,46,11,0,2788,554,2232,2,0,0
201010,10891,2406,8443,38,4,0,2536,445,2088,1,2,0
201011,12077,2596,9446,29,6,0,2316,401,1909,1,5,0
201012,10438,2110,8291,25,9,0,1827,276,1544,5,2,0
201101,10635,2902,7554,101,78,0,1829,336,1492,1,0,0
201102,10825,2406,8249,117,53,0,2004,349,1652,1,2,0
201103,13372,3104,9856,234,176,0,2341,430,1910,0,0,0
201104,11898,2527,9086,129,156,0,2258,566,1692,0,0,0
201105,13676,2682,10714,137,143,0,2516,674,1840,2,0,0
201106,10857,2137,8536,78,102,0,2292,593,1693,5,1,0
201107,11694,2429,9085,40,140,0,2787,629,2155,2,1,0
201108,11820,2608,8915,131,166,0,2604,618,1981,4,1,0
201109,12009,2485,9167,186,158,0,2709,586,2117,5,1,0
201110,11798,2329,9160,193,116,0,2415,520,1890,5,0,0
201111,12608,2444,9746,318,98,0,2371,519,1847,5,0,0
201112,11821,2034,9507,215,65,0,1782,322,1457,3,0,0
201201,11060,2792,7836,243,189,0,2030,447,1578,2,3,0
201202,11188,2867,7937,294,90,0,2174,485,1682,4,3,0
201203,13512,3673,9318,311,210,0,2734,697,2022,11,3,0
201204,11331,3167,7712,253,199,0,2358,614,1728,13,3,0
201205,13194,3644,9061,292,195,1,2691,757,1925,6,3,0
201206,11559,3032,7957,247,321,2,2612,685,1909,14,4,0
201207,12376,3563,8245,245,322,1,3197,881,2295,15,6,0
201208,12129,3667,7430,407,596,29,3028,853,2145,22,8,1
201209,11358,3286,6923,541,552,56,2841,750,2043,31,17,0
201210,12650,3894,7427,399,784,146,3184,900,2227,47,10,0
201211,12171,4161,6968,303,687,52,2772,710,2004,50,8,0
201212,9526,2717,6185,224,374,26,1922,386,1449,69,18,0
201301,11874,4181,6579,326,728,59,2600,692,1777,90,37,4
201302,11525,4016,6303,328,843,35,2464,611,1746,75,29,3
201303,11172,3886,6304,330,615,37,2665,672,1847,84,57,5
201304,14614,5475,7921,469,731,18,3048,925,1947,103,68,5
201305,12449,4368,7004,340,729,8,2979,948,1836,129,65,1
201306,11395,3981,6423,357,617,16,2708,831,1673,147,54,3
201307,11736,4232,6441,272,763,28,3171,941,2015,139,71,5
201308,11827,4185,6079,675,860,28,2876,843,1739,223,67,3
201309,12240,4065,6306,989,845,35,2635,711,1578,275,69,2
201310,12999,4457,6502,893,1105,42,2615,696,1533,296,83,7
201311,12061,3913,5909,1384,838,15,2008,476,1228,233,70,1
201312,11450,3151,6574,1217,490,18,1418,330,885,172,28,3
201401,11415,3520,5857,1078,893,67,1849,449,1141,192,65,2
201402,11259,3420,5604,1333,758,143,1750,411,1085,207,44,2
201403,13995,3947,6305,2696,774,268,1957,519,1174,190,70,5
201404,12446,3891,6404,1218,740,188,2049,618,1148,222,61,0
201405,12691,3935,6497,1290,843,126,2170,725,1181,200,64,0
201406,11718,3564,5891,1401,772,88,2124,624,1237,186,74,3
201407,11867,3677,5932,1333,810,114,2680,790,1587,222,76,5
201408,11504,3422,5566,1689,692,135,2209,585,1263,284,74,3
201409,11550,3674,5428,1267,983,196,2500,626,1432,341,90,11
201410,12922,4107,6301,1362,1050,102,2494,507,1484,398,91,14
201411,11384,3413,5529,1392,915,134,1878,386,1132,285,65,10
201412,12490,3224,6929,1490,727,120,1513,261,951,232,66,3
201501,10474,2873,4625,1868,780,328,1644,326,954,257,69,39
201502,10612,2949,4673,1879,890,218,1658,303,906,272,69,109
201503,14215,3494,5984,3335,1041,360,2116,481,1076,307,84,168
201504,13000,3576,5937,1937,963,587,1858,508,875,279,81,115
201505,12336,3477,5344,1833,877,802,1946,536,922,255,92,141
201506,14526,3930,6079,2581,860,1076,2064,535,968,275,107,179
201507,12726,4077,5329,1732,811,776,2345,596,1040,364,111,234
201508,12723,4221,5010,2140,884,468,2026,432,753,564,77,200
201509,12487,3802,5014,2105,1037,526,1891,394,700,562,78,157
201510,13270,3881,5358,2034,1053,944,1819,288,554,737,77,164
201511,12531,3557,5012,2013,888,1061,1539,240,436,650,71,142
201512,12954,4129,5417,1956,630,822,1231,139,422,507,40,123
201601,10961,2904,4189,1876,1095,896,1230,185,445,399,49,151
201602,12275,3289,4279,1914,1233,1558,1254,218,441,370,56,169
201603,14053,3747,4343,2572,1348,2041,1279,248,373,458,61,139
201604,14423,4266,4652,1962,1322,2219,1500,426,461,430,58,125
201605,13211,4074,4287,1407,1573,1870,1472,404,439,461,66,102
201606,14114,4372,4683,1888,1433,1737,1585,419,519,436,71,140
201607,11418,3556,3854,1101,1047,1860,1463,400,478,337,71,177
201608,13435,3766,3993,2001,1910,1761,1506,355,421,489,84,157
201609,13965,3533,3836,2609,2064,1922,1547,339,439,509,59,201
201610,12046,3383,3615,1841,1438,1765,1382,241,405,481,61,194
201611,13172,3529,3836,2542,1533,1729,1329,180,404,491,64,190
201612,13636,3718,4887,2299,1450,1279,1176,143,488,357,55,133
201701,13067,3202,3173,2272,1808,2606,1568,305,374,487,62,340
201702,11841,2918,3307,1850,1715,2049,1459,249,339,499,53,320
201703,13599,3516,3557,2801,1890,1832,1839,345,442,570,60,422
201704,11650,3175,3706,1676,1421,1668,1432,371,327,402,52,280
201705,14752,3934,4341,2168,2149,2159,1751,477,373,498,58,345
201706,14757,3141,4017,3925,1610,2062,1872,504,378,573,46,371
201707,11953,3099,3132,1819,1755,2145,1762,407,410,516,43,386
201708,13723,3196,3397,2738,1780,2608,2221,396,362,1047,45,371
201709,13617,2919,2656,3806,1562,2668,2066,310,304,1065,46,341
201710,12623,2815,2687,2652,1774,2689,1945,247,296,997,46,359
201711,13791,3297,3018,2678,1692,3103,1942,185,280,1117,28,332
201712,16008,3585,3073,4401,1358,3577,1521,152,213,759,25,372
201801,9251,2390,1954,2122,1237,1546,1392,157,166,881,28,160
201802,10336,2389,2303,2191,1214,2237,1404,139,172,866,17,210
201803,14697,2843,2656,5339,1188,2667,1479,185,193,825,17,259
201804,14526,3624,3231,3542,1573,2548,1763,338,200,964,16,245
201805,13638,3402,2897,2902,1837,2600,1986,456,242,1024,23,241
201806,16418,3712,2947,3958,1802,3996,2328,455,290,1064,29,489
201807,10146,2540,2579,2284,1262,1475,1840,376,303,803,22,336
201808,14827,3610,3383,4149,1730,1953,2388,356,300,1388,19,324
201809,10863,1671,1578,4792,1231,1584,2080,268,267,1246,19,280
201810,11915,2138,1913,4493,1399,1968,1971,242,301,1084,29,314
201811,12444,2091,2197,5080,1161,1913,1945,200,310,1097,15,322
201812,12497,1689,2627,5129,1015,2030,1150,142,211,567,17,213
201901,9069,1663,1661,3378,1067,1294,1392,127,231,805,10,219
201902,11184,2051,1960,4489,1265,1411,1235,107,277,583,18,249
201903,18594,2169,2166,10690,1532,2032,1401,169,315,636,16,265
201904,11700,2245,2510,4447,1354,1138,1297,288,263,538,14,193
201905,13697,2304,2852,4640,2455,1444,1584,392,337,635,16,203
201906,15782,2312,2544,7401,2084,1440,1427,319,279,564,26,239
201907,9694,1639,2222,3478,1412,943,1633,539,294,521,18,261
201908,12378,2244,2522,4707,1699,1205,1630,442,279,649,20,240
201909,11403,1100,1578,6069,1520,1136,1370,347,234,577,11,201
201910,10678,1106,1805,3738,1668,2361,1262,253,213,607,14,175
201911,10119,881,1624,3692,1650,2272,977,175,183,436,10,174
201912,11294,1385,2414,3413,1488,2594,687,123,147,278,11,127
202001,9619,856,1078,4223,1544,1918,864,174,180,342,12,156
202002,10438,813,1207,5137,1372,1909,906,197,192,338,13,166
202003,12582,713,1341,6955,1182,2391,642,133,143,270,11,85
202004,7729,613,1159,3665,795,1497,620,194,123,230,6,67
202005,8565,671,1453,3443,1196,1802,997,454,171,263,6,102
202006,12138,1067,2030,5012,1483,2546,1103,383,204,394,10,111
202007,10344,767,1772,4404,1120,2281,1377,432,227,536,8,174
202008,11097,964,1302,5698,1251,1880,1448,369,182,743,13,141
202009,15815,649,1015,9549,1471,3131,1461,336,181,752,8,184
202010,13118,481,837,7870,1558,2372,1264,257,161,670,16,161
202011,12632,430,739,7030,1450,2983,1059,219,137,507,11,186
202012,20649,361,921,13698,1476,4193,871,206,121,404,16,124
202101,10388,295,677,5458,1085,2873,861,160,101,472,11,118
202102,10824,331,819,5069,1224,3381,1083,178,115,632,10,148
202103,15633,334,953,8610,1350,4380,1417,339,150,751,9,167
202104,13508,403,992,7220,1574,3317,1531,478,139,737,10,166
202105,14506,275,948,8496,1564,3223,1554,478,143,742,10,182
202106,20932,360,1339,13168,1921,4140,1946,554,149,954,18,271
202107,10918,278,786,6718,969,2166,1827,429,155,991,14,238
202108,16714,486,771,11802,1055,2599,1836,403,120,1070,15,227
202109,18189,253,564,13932,927,2508,1755,374,114,1082,10,175
202110,11746,190,436,8104,786,2227,1595,266,100,1090,15,123
202111,15359,174,465,11266,799,2650,1597,228,105,1118,15,129
202112,20630,349,707,13786,1077,4701,1478,233,92,828,19,306
202201,8025,70,271,6654,490,539,1006,151,48,783,10,13
202202,8267,187,468,6153,606,852,1020,149,63,793,9,5
202203,16455,185,579,13969,774,947,1695,262,73,1323,7,29
202204,9975,239,536,7193,1020,982,1515,331,65,1101,4,14
202205,11825,190,647,8440,1171,1375,1701,423,73,1185,8,12
202206,15225,205,838,11709,802,1666,1702,394,84,1205,6,12
202207,7482,148,545,5117,780,890,1139,265,57,790,8,17
202208,12553,184,603,9243,1127,1394,1265,267,80,897,6,10
202209,14769,196,514,11371,1017,1669,1268,288,70,888,11,11
202210,12662,152,531,9723,1125,1127,1225,198,60,946,6,13
202211,19596,138,462,15908,1587,1500,1260,195,42,986,11,24
202212,39518,372,916,32692,2387,3150,3867,184,58,3556,5,49
202301,1901,15,175,1236,293,182,257,106,36,112,2,1
202302,7520,60,278,6183,479,520,245,97,22,115,8,3
202303,19549,112,496,16811,1293,837,312,133,42,130,4,2
202304,9167,73,461,7470,460,703,376,209,37,124,3,2
202305,13572,102,490,10772,1114,1093,386,218,53,110,2,3
202306,15906,119,674,12799,959,1354,489,278,57,146,2,4
202307,7684,62,355,6144,510,613,373,202,26,143,1,1
202308,11238,72,440,9248,754,724,423,174,49,193,5,2
202309,10458,40,288,9000,513,617,413,167,37,204,2,3
202310,9031,44,284,7516,551,636,382,162,34,181,3,2
202311,10406,29,244,8440,753,940,287,92,33,150,2,1
202312,12227,82,384,8957,850,1954,238,88,23,114,6,5
202401,5162,14,140,4716,198,94,245,80,17,146,2,0
202402,7439,24,247,6647,374,147,316,72,22,218,2,2
202403,9896,37,332,8709,608,210,407,98,23,281,5,0
202404,11406,55,501,10050,622,178,528,191,29,301,5,2
202405,10526,42,692,7894,1352,546,567,213,36,286,1,31
202406,17743,25,564,13992,2223,931,680,239,42,392,4,3
202407,6687,26,377,5938,192,153,643,172,53,409,8,1
202408,11266,27,299,10480,299,161,707,201,39,448,11,5
202409,13083,18,240,12495,183,147,582,177,48,343,8,5
202410,11667,25,357,10862,249,178,557,141,41,361,11,3
202411,11734,16,293,10932,344,154,453,104,41,296,5,5
202412,13695,28,331,11667,1075,594,400,89,26,276,5,4
202501,9378,11,160,8954,158,95,369,82,30,252,3,3
202502,8949,37,145,8477,154,136,458,,,326,,
202503,13304,101,238,11192,563,1210,535,,,317,,
202504,11286,25,165,10942,98,56,516,,,289,,
202505,14260,53,174,13384,497,152,602,,,342,,
202506,18373,57,142,17799,223,152,644,,,380,,
202507,9563,25,86,9291,60,101,681,,,448,,
202508,13915,32,138,13482,52,211,642,,,381,,
