"YYYYMM","Petrol","Diesel","Electricity","Electric hybrids","Plug-in hybrids","Ethanol","Gas","Others","Total"
201206,8816,17755,16,261,28,517,373,"NaN",27766
201207,6791,12338,11,309,91,332,406,5,20283
201208,7371,14458,14,262,114,361,401,3,22984
201209,6828,15885,37,331,138,359,432,2,24012
201210,7416,16830,18,434,102,416,578,9,25803
201211,8119,17432,26,402,77,305,385,3,26749
201212,7875,18209,28,372,68,521,408,5,27486
201301,5369,11067,43,358,111,166,365,3,17482
201302,6046,11928,26,342,232,163,405,1,19143
201303,8166,14794,29,353,144,287,354,4,24131
201304,9079,16610,24,365,52,151,356,5,26642
201305,10200,17216,24,464,51,253,365,2,28575
201306,9101,15160,26,362,69,278,291,2,25289
201307,8112,11590,5,355,73,264,198,3,20600
201308,8954,13489,26,553,54,414,314,3,23807
201309,9398,15331,44,556,51,259,287,1,25927
201310,10143,15604,80,549,67,350,304,4,27101
201311,9534,15328,56,483,102,431,292,9,26235
201312,8749,17321,69,430,103,227,342,5,27246
201401,6793,12357,67,492,62,186,376,1,20334
201402,7707,13743,59,462,138,203,337,2,22651
201403,10773,16948,117,627,300,372,381,2,29520
201404,10844,17480,65,495,390,283,356,4,29917
201405,10840,17617,73,520,307,187,361,2,29907
201406,10836,18176,91,627,500,218,394,1,30843
201407,8566,12924,144,419,246,152,332,8,22791
201408,9482,14178,286,609,270,250,528,2,25605
201409,10703,15359,78,583,266,284,504,4,27781
201410,10712,16940,86,702,456,171,523,4,29594
201411,9659,15748,63,692,204,221,418,3,27008
201412,9610,16564,137,826,272,164,511,2,28086
201501,7418,12547,78,579,214,125,335,3,21299
201502,8482,14838,101,626,203,113,483,1,24847
201503,11885,19333,357,943,315,144,537,4,33518
201504,11643,18486,286,504,355,168,600,5,32047
201505,11545,17953,322,584,386,95,448,2,31335
201506,12434,19833,328,914,479,112,311,3,34414
201507,10236,14472,256,596,279,77,325,1,26242
201508,10800,15292,260,611,308,123,427,"NaN",27821
201509,12128,16795,220,850,398,133,533,4,31061
201510,12057,18570,202,775,504,105,457,5,32675
201511,11660,18781,184,766,558,99,330,2,32380
201512,11288,19500,322,1021,1753,76,332,1,34293
201601,8357,12599,133,833,145,48,266,2,22383
201602,10426,15453,157,1107,470,73,318,2,28006
201603,14243,18776,407,1336,854,67,373,1,36057
201604,13471,19140,294,1013,920,61,338,8,35245
201605,14962,18971,191,1087,994,82,319,4,36610
201606,15179,20206,219,967,1137,106,417,6,38237
201607,10818,12890,107,810,859,24,140,2,25650
201608,12561,13721,153,1221,787,102,261,5,28811
201609,13602,16291,419,1613,1162,99,381,3,33570
201610,13443,17016,212,1168,1023,35,291,10,33198
201611,13136,16472,248,1128,1024,67,317,4,32396
201612,15122,19522,453,1353,915,92,389,5,37851
201701,8368,12922,260,1050,997,93,345,4,24039
201702,10385,15169,228,1437,932,81,248,4,28484
201703,15657,19984,579,2086,851,98,216,5,39476
201704,12540,16570,396,1248,818,86,179,4,31841
201705,15112,18678,400,1483,1172,95,207,4,37151
201706,16237,20206,429,1574,1185,77,170,3,39881
201707,11138,12384,220,1230,996,33,158,5,26164
201708,12450,14618,413,1691,1561,165,468,7,31373
201709,12956,15340,491,1554,1530,91,576,5,32543
201710,13524,15122,382,1645,1937,122,492,2,33226
201711,14354,14226,268,1628,2076,76,560,5,33193
201712,14834,15848,293,2013,1934,73,352,10,35357
201801,10493,9788,191,1417,1576,59,289,2,23815
201802,12305,12143,324,1177,1548,84,233,1,27815
201803,17139,15538,749,2183,1920,75,350,3,37957
201804,17310,13802,377,1875,1789,69,376,3,35601
201805,19867,14988,293,2179,1711,57,348,3,39446
201806,32231,29301,337,2842,2381,130,328,3,67553
201807,6937,3155,533,944,1909,30,290,"NaN",13798
201808,12888,7737,565,1697,1989,384,504,1,25765
201809,9524,6082,667,1655,1725,27,205,1,19886
201810,11702,7753,806,1836,1874,32,120,5,24128
201811,12432,8945,1211,1835,1792,36,100,6,26357
201812,10980,8177,1094,1380,1597,37,145,4,23414
201901,8835,8113,1103,1367,1577,17,104,1,21117
201902,10830,8827,902,1226,1900,8,96,"NaN",23789
201903,13912,10770,2107,1783,2292,12,202,1,31079
201904,13946,11981,1377,2144,1711,7,281,4,31451
201905,15588,11673,1255,2614,1655,15,447,3,33250
201906,15827,10813,1692,2418,1748,6,610,5,33119
201907,12311,7959,1083,1934,1307,4,351,2,24951
201908,14958,9274,971,2460,1668,207,953,2,30493
201909,13196,7891,1764,2170,1874,181,649,3,27728
201910,14070,9764,848,2457,2696,126,532,"NaN",30493
201911,14133,9692,1062,2435,3256,182,364,2,31126
201912,24299,15982,1631,2444,3223,402,382,2,48365
202001,6731,4087,1269,1141,4113,5,443,1,17790
202002,8927,6084,1430,1657,4027,7,355,2,22489
202003,11431,7284,3015,1710,4753,7,330,5,28535
202004,8730,5223,1049,1341,3233,5,247,3,19831
202005,7628,4445,841,1263,2591,5,126,"NaN",16899
202006,11255,7082,1706,1152,4696,4,159,4,26058
202007,9769,5685,1307,1529,5414,7,90,3,23804
202008,10416,5558,2120,2624,5301,13,513,"NaN",26545
202009,10792,5716,3678,2960,6233,7,401,4,29791
202010,10467,5356,2345,2623,7849,6,389,2,29037
202011,9457,4974,2729,2452,7590,1,240,"NaN",27443
202012,9036,6578,6609,2180,10334,3,232,2,34974
202101,7718,4947,1161,1635,5898,5,111,1,21476
202102,8799,4961,1416,1643,6598,3,163,3,23586
202103,16807,10875,2625,3301,14963,8,142,2,48723
202104,7758,3729,4888,1992,4578,51,135,2,23133
202105,8971,4561,3972,2404,5558,94,146,7,25713
202106,10343,6173,8706,2922,9146,177,166,5,37638
202107,6588,3122,2556,1730,3808,209,89,8,18110
202108,6340,3059,4806,1865,4561,127,162,5,20925
202109,6415,3016,7486,1742,4778,167,140,1,23745
202110,6077,2790,4634,1491,5634,182,106,2,20916
202111,5789,3089,5549,1518,5979,112,56,1,22093
202112,5865,3412,10082,1894,6699,165,132,6,28255
202201,5104,2809,5221,1790,5378,87,135,3,20527
202202,5368,3135,5491,2045,5509,247,122,"NaN",21917
202203,6737,3913,9254,2786,6826,266,109,2,29893
202204,5968,3492,5500,2735,5154,143,51,7,23050
202205,7786,4369,6529,2582,6146,238,86,"NaN",27736
202206,6490,3998,8365,2024,6159,180,155,3,27374
202207,5672,2249,4792,1600,4259,175,39,3,18789
202208,5975,2578,5927,2707,3668,288,346,4,21493
202209,5016,2698,7871,2382,4387,402,286,5,23047
202210,4523,2471,8036,2266,5381,233,306,4,23220
202211,4238,2530,10970,2506,5660,237,149,5,26295
202212,4370,2546,18207,2161,8248,212,135,"NaN",35879
202301,3602,1863,4333,1776,3465,119,123,1,15282
202302,4256,2217,6212,1914,3864,445,130,2,19040
202303,6452,2549,12644,3073,5542,563,132,5,30960
202304,5148,2347,6983,1855,4561,403,116,"NaN",21413
202305,6324,2641,11696,2176,5991,320,232,4,29384
202306,6895,2524,11005,2337,5806,337,226,2,29132
202307,4246,1684,6528,1329,3896,324,64,2,18073
202308,5480,2024,9832,2193,4575,226,247,1,24578
202309,5820,2393,12552,2251,5351,318,204,4,28893
202310,5488,2094,9454,2328,5762,420,182,2,25730
202311,5024,1960,10128,2803,5321,469,222,1,25928
202312,6042,2202,11408,2505,7101,278,156,2,29694
202401,4078,1890,5068,2059,4095,440,177,2,17809
202402,4868,1761,5244,2158,4500,575,139,5,19250
202403,5862,1902,8381,2073,5556,462,241,4,24481
202404,5483,1819,6845,2254,5744,363,217,1,22726
202405,6984,2252,7648,2714,5842,377,127,3,25947
202406,6930,2141,9135,2241,5252,304,86,7,26096
202407,3970,1690,5530,1375,4244,136,9,2,16956
202408,4822,1855,6819,2091,3881,198,39,6,19711
