"YYYYMM","TROLL","STATFJORD","EKOFISK","OSEBERG","ÅSGARD","GULLFAKS","ORMEN LANGE","SNORRE","SLEIPNER ØST","JOHAN SVERDRUP","HEIDRUN","ELDFISK","GULLFAKS SØR","VALHALL","DRAUGEN","KVITEBJØRN","GRANE","FRIGG","NORNE","SNØHVIT","Others"
1991,0.176052,39.201903,14.498429,20.915879,0,21.453982,0,0,0,0,0,5.291391,0,4.811388,0,0,0,1.509516,0,0,30.633060
1992,0.063210,41.501634,15.824840,26.104005,0,27.163802,0,1.644782,0,0,0,4.897487,0,5.202232,0,0,0,1.655505,0,0,30.788208
1993,0.060122,37.621896,14.293070,28.462908,0,31.240307,0,7.619525,1.573048,0,0,4.413118,0,4.527088,0.123134,0,0,1.360802,0,0,31.344453
1994,0.060584,36.265630,15.694411,29.211657,0,33.208175,0,10.936052,8.118563,0,0,4.007764,0,3.987743,3.886982,0,0,1.057063,0,0,36.214245
1995,2.856165,30.134525,18.923142,28.985230,0,30.342128,0,12.681452,10.852432,0,1.058737,4.979097,0,4.468056,6.970890,0,0,0.665156,0,0,42.792207
1996,18.830910,26.355538,19.583731,29.126488,0,27.419796,0,12.720729,13.368738,0,12.189280,4.247473,0,5.141304,8.444343,0,0.079194,0.410623,0,0,46.997336
1997,29.084196,23.691788,20.084074,27.268265,0,25.994460,0,11.915498,12.387121,0,13.782877,4.315640,0,5.718478,10.451611,0,0,0.480142,0.415265,0,46.718401
1998,33.208210,20.314086,18.783959,24.101656,0,21.553947,0,11.163075,11.886062,0,12.261033,2.754090,0.068978,6.374782,11.194119,0,0,0.601411,6.315673,0,44.794301
1999,38.587674,15.845913,17.542966,19.435223,3.900856,18.409903,0,10.264435,12.912631,0,13.183574,1.821547,2.207063,6.604639,12.138986,0,0,0.332572,8.305064,0,48.172010
2000,43.777693,13.159410,20.231986,17.443630,8.544147,14.335724,0,9.414900,15.773080,0,11.205423,2.053820,3.598063,5.688922,11.799114,0,0,0.603089,10.420211,0,55.563360
2001,41.575583,12.206072,19.964944,15.721899,14.199522,11.555745,0,13.040860,15.339369,0,11.762363,2.890664,4.588565,5.458042,12.866222,0,0,0.739542,12.590660,0,57.010382
2002,47.543376,11.011289,20.580829,13.929252,20.295839,9.978345,0,14.026458,16.742828,0,11.381491,3.482058,6.073303,5.255214,11.947974,0,0,0.718291,11.205325,0,54.192503
2003,48.502104,9.570210,20.484284,11.438967,24.872395,10.380325,0,14.670804,15.330598,0,10.589599,3.302240,6.500620,4.984499,8.094969,0,0.751066,0.708831,9.489254,0,62.034433
2004,44.856799,9.871568,19.721757,12.320651,23.201903,10.523185,0,11.993287,14.315718,0,10.083118,4.232732,8.125034,5.974273,8.560781,0.872983,7.086147,0.864330,8.168683,0,63.632940
2005,43.741992,8.332479,18.962189,11.452345,22.139633,9.011124,0,9.703065,15.734025,0,9.319989,4.548728,8.517288,6.018361,6.628560,7.116915,10.307771,0,6.420425,0,59.781979
2006,42.920677,7.203727,19.063454,10.887035,20.424221,7.117770,0,8.682264,14.382004,0,9.252236,3.858379,7.536371,5.023749,5.001803,9.267252,12.613752,0,5.397967,0,60.933728
2007,46.574431,7.054138,15.992215,8.014129,22.394058,6.053323,1.804989,8.530294,14.443343,0,7.188849,3.299035,8.340163,4.185488,4.504460,1.770649,11.992443,0,4.918752,0.269591,61.012984
2008,38.981597,7.620653,14.873234,10.289977,21.388149,5.960797,12.404586,8.886474,12.128640,0,6.531108,3.721336,7.724473,3.440894,4.405097,4.903839,10.037249,0,3.916353,3.108396,63.261539
2009,33.315818,5.709054,13.605525,8.579920,22.443071,4.990249,22.427459,6.246104,10.708005,0,5.494098,3.460188,6.464920,2.726641,3.710626,8.237355,10.723929,0,2.443055,4.256345,65.073903
2010,36.497657,5.256325,11.347783,8.371286,21.506047,4.079164,22.379995,6.068371,8.543926,0,4.096243,3.493740,5.164633,2.532301,2.604588,9.599963,9.654461,0,2.146132,6.312840,61.478400
2011,32.989268,3.695372,10.002281,6.642554,20.848160,2.663029,23.393304,5.726909,8.503250,0,4.493073,3.477660,3.482709,1.966065,2.357015,9.973945,8.097365,0,1.943634,5.436817,63.930398
2012,42.918423,3.463506,8.948455,9.055585,21.245237,2.537106,23.936853,4.511878,7.195511,0,3.858190,3.017702,4.983275,1.141590,2.194436,10.395756,7.108406,0,0.945574,5.851711,62.988089
2013,37.965309,4.074814,7.419287,7.886331,16.628568,2.568067,22.974974,5.137881,6.141907,0,4.270753,2.256345,5.903867,2.081198,1.584818,9.959194,5.504911,0,0.961051,5.389267,66.678392
2014,37.572800,4.691357,7.968526,5.780479,16.716604,2.136387,21.573415,5.634388,1.668034,0,3.668174,2.299704,6.611776,2.721228,1.946333,9.729742,4.085547,0,0.868341,6.508020,75.586616
2015,42.984729,5.687214,7.657223,6.850898,16.098100,2.098276,17.858343,6.359782,0.491958,0,3.854420,2.807162,5.970419,2.962422,1.842682,9.405579,4.214624,0,0.877356,7.384805,84.530250
2016,40.501225,6.026307,7.187471,6.069800,16.349769,2.279256,18.309496,5.724044,0.407559,0,4.232253,2.865579,7.291712,2.466786,1.356063,9.369828,4.391000,0,0.594371,7.476310,90.044360
2017,45.455788,4.423298,7.421564,8.130305,15.903730,2.043233,17.156206,4.997283,0.221406,0,4.701158,2.957571,8.995194,2.159596,1.416576,8.024040,5.832353,0,0.698730,6.876693,91.686026
2018,46.453398,3.274886,6.874520,6.323682,15.065826,2.675509,16.506406,5.332879,0.287270,0,4.213960,2.783386,8.758545,2.257842,1.217640,6.833487,5.625340,0,0.829798,7.911905,86.458185
2019,39.022715,2.582639,6.662123,7.518091,13.682383,2.754750,13.296328,3.051880,0.260257,3.993728,4.635732,2.651726,7.468671,2.470625,1.182367,5.742829,5.118285,0,2.263130,7.572644,85.512185
2020,41.396366,2.486217,6.056067,8.134682,10.569108,2.408227,12.508456,3.913635,0.207339,26.106941,4.550703,2.822727,7.335456,3.227026,1.014160,5.295861,3.986892,0,1.599917,4.568830,80.816890
2021,42.802808,2.205763,5.568955,12.453161,8.320479,1.736165,11.738199,5.827266,0.120005,31.524990,5.015937,2.943140,8.265040,2.954847,0.922488,4.414376,3.064884,0,1.525311,-0.040175,81.603670
2022,44.697109,1.560907,4.878458,9.924420,7.786861,1.628335,10.000137,6.062355,0.096201,30.854941,4.791352,2.587620,7.701751,2.517668,0.881029,3.498334,2.104562,0,1.434968,4.406445,87.300796
2023,41.122360,1.629365,4.616126,8.743456,7.083048,1.331800,7.001122,5.494700,0.110746,43.490259,4.377271,2.527025,7.227661,2.472313,0.872764,3.307173,2.046680,0,1.136348,6.908765,83.073201
2024,47.060883,1.533435,4.006288,10.783764,6.447292,1.270067,7.946340,5.012484,0.087740,43.739450,4.060187,2.758674,6.657997,2.505155,1.168296,3.337327,1.663275,0,0.511733,7.564361,84.533992
