"YYYYMM","Cargo","Fishing","Oil & Gas industry","Passengers","Other"
202310,175109.800000,96500.600000,258041.000000,162854.400000,107030.200000
202311,174927.700000,89347.500000,315997.900000,153324.900000,101958.800000
202312,155327.800000,57888,308072.400000,134337.200000,83159.200000
202401,150971,79527.300000,310919.700000,127030.200000,81166.600000
202402,156002.100000,86394.600000,326700.500000,139079.100000,98243
202403,165165.100000,104898,327629.100000,163652,103354.900000
202404,167241.600000,77335.200000,322789.700000,155463.300000,99000.900000
202405,181641.900000,81058.200000,323489.900000,230621.200000,96496.700000
202406,178882.700000,88181.900000,305861.100000,311717.200000,98195.300000
202407,183893.900000,82135.900000,288942.500000,312371,113725.100000
202408,182370.300000,109599.600000,246064.800000,295093.800000,114804.900000
202409,174232.900000,89622.600000,235633.800000,223759.200000,104285.900000
202410,179943.500000,88466.100000,260099.800000,183525.100000,99136.700000
202411,172648.000000,78889,289341.800000,147204.700000,101969.400000
202412,150559.600000,65766.100000,313838.800000,136885.200000,91091.400000
202501,170399.100000,85548.500000,325936,135384.100000,92713.300000
202502,149362.200000,68914.900000,296989.100000,136859.100000,83878.400000
202503,178250.400000,87364.300000,332149.100000,170392.500000,104270.900000
202504,165929.900000,74969.800000,308342.100000,161983.200000,101016.500000
