"YYYYMM","Natural gas","Oil","Others"
201208,4.930161,6.236812,0.301763
201209,3.933025,4.975496,0.259138
201210,5.524587,6.117194,0.403826
201211,5.798162,5.764021,0.407065
201212,6.101373,6.138320,0.429038
201301,5.988663,6.689650,0.417180
201302,5.160739,5.123931,0.314602
201303,5.620974,5.930416,0.349080
201304,5.394362,6.000377,0.365230
201305,5.232560,6.266171,0.385962
201306,4.879985,5.296236,0.372698
201307,5.305431,6.498914,0.396542
201308,4.038484,6.121911,0.288591
201309,4.347626,5.269698,0.326839
201310,5.506832,5.815823,0.417635
201311,5.378198,5.890235,0.378047
201312,5.787000,6.386486,0.394597
201401,6.281159,6.436049,0.390943
201402,5.655664,5.740800,0.355070
201403,6.581517,6.312961,0.386660
201404,5.652443,6.224881,0.304525
201405,5.478603,5.447872,0.220002
201406,4.683087,5.671479,0.236843
201407,4.834600,6.402180,0.278751
201408,4.566481,6.196110,0.257487
201409,4.923091,5.882120,0.232197
201410,6.731287,6.489233,0.280291
201411,6.221564,6.169767,0.310473
201412,6.632429,6.461517,0.309371
201501,6.214461,6.321697,0.284384
201502,5.894628,5.734361,0.268014
201503,6.663913,6.322109,0.317756
201504,4.535111,6.164845,0.218953
201505,5.344327,6.236124,0.250945
201506,5.032564,6.087242,0.219405
201507,6.016460,6.414320,0.281763
201508,5.929923,6.405626,0.277890
201509,5.770686,6.138171,0.254929
201510,6.811671,6.742363,0.260322
201511,6.651410,6.357913,0.240443
201512,6.845531,6.787676,0.284000
201601,6.866415,6.664669,0.287716
201602,6.511768,6.246011,0.270673
201603,6.819317,6.622561,0.278895
201604,6.338343,6.489211,0.240377
201605,5.735902,6.449541,0.245424
201606,4.906876,5.775017,0.193817
201607,5.407591,7.150330,0.238044
201608,4.712881,6.428086,0.226463
201609,3.466696,5.609995,0.143016
201610,6.673559,7.075786,0.241573
201611,6.740490,6.971575,0.264607
201612,6.833584,6.946296,0.260056
201701,6.921057,6.669366,0.268526
201702,6.180349,6.207529,0.234277
201703,6.774228,7.064389,0.266644
201704,6.475580,6.809323,0.248928
201705,5.706418,6.660081,0.197105
201706,5.508849,6.217693,0.176268
201707,6.614749,6.624027,0.256370
201708,6.421794,6.453629,0.252521
201709,5.836966,5.842298,0.239149
201710,6.715732,6.359866,0.251628
201711,6.617960,5.994686,0.246387
201712,6.746906,6.343490,0.253051
201801,6.801175,6.749537,0.252518
201802,6.098941,5.859295,0.235482
201803,6.713758,6.280041,0.254302
201804,6.251857,6.048476,0.215086
201805,6.176921,5.418416,0.234737
201806,5.703277,5.948176,0.230710
201807,6.707404,6.318184,0.258381
201808,6.339669,6.239676,0.246512
201809,5.590832,5.261226,0.231654
201810,6.689162,6.137054,0.255365
201811,6.316756,5.976043,0.233253
201812,6.540853,6.213716,0.222332
201901,6.922254,6.164830,0.246471
201902,6.288446,5.308832,0.230673
201903,7.009651,5.876013,0.255958
201904,6.202178,5.581028,0.192952
201905,6.110637,5.308007,0.211475
201906,5.796353,4.339746,0.233390
201907,6.039998,5.735652,0.228054
201908,5.238549,5.742218,0.158248
201909,3.405216,5.350590,0.138625
201910,5.904063,6.266226,0.231004
201911,6.328322,6.905490,0.248785
201912,6.831037,7.430706,0.259615
202001,6.724888,6.880907,0.262806
202002,6.213894,6.869647,0.241029
202003,6.858898,7.122395,0.253414
202004,5.727002,7.110713,0.226884
202005,5.399018,7.325853,0.176585
202006,5.586466,6.227875,0.190138
202007,6.115053,7.261136,0.246750
202008,5.890324,7.213358,0.222899
202009,5.323166,6.000959,0.191806
202010,5.822686,6.773884,0.113518
202011,6.169234,7.024017,0.152467
202012,6.606038,7.587446,0.198963
202101,6.439797,7.541071,0.190489
202102,5.693231,6.767561,0.170982
202103,6.265627,7.425963,0.186149
202104,6.048437,6.955145,0.166039
202105,5.622575,6.991542,0.188091
202106,4.925751,6.775071,0.144211
202107,6.288676,7.328308,0.169853
202108,6.150258,7.588809,0.178546
202109,5.709840,7.236200,0.132218
202110,6.920143,7.625757,0.182645
202111,6.636964,7.025569,0.176876
202112,7.021933,7.736000,0.184420
202201,6.783785,7.260549,0.177812
202202,6.289300,6.736056,0.162239
202203,6.849196,7.292427,0.175587
202204,6.414265,6.763783,0.142609
202205,6.595755,6.855844,0.109518
202206,6.019378,5.354936,0.159498
202207,6.657729,6.851037,0.215849
202208,6.496731,7.484618,0.203449
202209,5.745874,6.652267,0.157299
202210,6.775336,7.278805,0.203629
202211,6.579888,7.105000,0.227758
202212,6.816631,7.423993,0.238623
202301,6.803012,7.400969,0.229382
202302,6.205865,6.728047,0.206750
202303,6.793055,7.715571,0.229433
202304,6.256064,7.344403,0.207441
202305,5.509231,7.503229,0.158893
202306,4.949533,7.414454,0.124419
202307,6.108595,7.727279,0.193722
202308,5.953241,7.534608,0.190355
202309,3.380664,6.838702,0.085725
202310,6.501145,7.465855,0.195443
202311,6.971944,7.351723,0.228755
202312,7.425582,7.877146,0.237825
202401,7.344298,7.700933,0.234696
202402,6.510375,6.961956,0.183794
202403,7.148037,7.777368,0.208948
202404,6.447037,7.514744,0.171435
202405,6.001643,7.219809,0.173108
202406,6.347056,7.054363,0.168781
202407,6.894205,7.700009,0.207417
202408,6.679365,7.500387,0.174536
202409,4.144466,6.572434,0.175027
202410,6.597837,7.517823,0.218455
202411,6.750949,7.061057,0.208796
202412,6.934721,7.539918,0.214337
202501,6.865158,7.434518,0.161880
202502,6.227543,6.510641,0.186615
202503,6.878007,7.417845,0.183937
202504,6.499746,7.434994,0.153083
