"YYYYMM","Petrol","Road Diesel","Jet kerosene","Petrol (trend)","Road Diesel (trend)","Jet kerosene (trend)"
201811,79,257,102,87.195803,246.509242,91.943524
201812,83,232,84,87.240855,245.530837,90.225364
201901,76,239,81,87.615219,245.610153,89.439669
201902,72,223,80,88.074357,246.364750,90.206538
201903,77,243,89,88.259289,247.209766,92.332037
201904,88,229,85,88.059819,247.544767,95.194847
201905,92,251,92,87.365562,247.136248,97.968638
201906,98,256,103,86.321452,245.563820,99.509981
201907,110,239,109,85.186021,243.280670,99.072574
201908,98,261,100,84.167545,241.071029,96.950703
201909,85,247,98,83.781344,239.838602,94.246286
201910,80,261,107,84.039210,240.095319,91.846635
201911,76,242,87,84.254222,240.761895,89.430944
201912,77,234,82,83.631099,240.432637,85.544389
202001,73,232,81,82.321772,238.550864,79.454023
202002,73,228,82,80.719898,236.072513,70.826089
202003,65,228,59,79.441703,234.201500,60.283008
202004,65,194,19,78.941846,233.934299,49.378070
202005,82,228,23,79.497901,235.782582,40.099848
202006,100,255,46,80.860688,239.110745,33.769381
202007,110,257,32,82.222443,242.593360,30.622086
202008,100,263,34,82.854669,244.607519,29.825305
202009,83,259,34,82.368779,244.408867,30.004977
202010,80,254,51,81.097520,242.316324,30.032452
202011,67,243,29,79.825763,240.012221,30.063936
202012,70,231,33,79.077013,238.773663,31.094568
202101,68,227,29,78.756124,238.630716,32.832764
202102,66,222,29,78.832812,239.227682,34.589486
202103,72,240,29,79.385416,239.994006,36.518014
202104,71,217,27,80.223510,240.812113,38.022031
202105,85,235,38,81.087069,241.410815,39.037796
202106,94,254,33,81.773526,242.029786,40.524225
202107,114,250,53,82.300790,243.012717,43.352565
202108,97,257,54,82.493493,244.122690,47.088448
202109,81,258,48,82.096386,244.810849,51.580093
202110,77,254,79,81.180912,244.941550,56.577412
202111,72,259,72,80.174077,244.518894,61.341384
202112,73,241,61,79.445801,243.989915,65.215375
202201,64,223,49,79.097008,243.858612,68.217634
202202,64,224,71,78.919051,243.859029,71.513024
202203,75,250,64,78.514836,243.553077,74.992972
202204,76,220,65,77.901954,242.991312,78.468251
202205,80,245,77,77.076314,241.653395,80.916947
202206,90,249,93,76.192642,239.609319,81.213992
202207,97,233,105,75.506620,237.120328,80.153739
202208,88,249,77,75.306141,235.129650,79.305711
202209,76,247,84,75.674165,234.009938,79.241463
202210,72,237,79,76.342987,233.957789,80.097212
202211,69,251,85,76.881850,234.378788,82.284283
202212,71,229,99,77.128892,234.609921,84.858287
202301,64,224,65,77.243326,234.209513,86.552593
202302,65,213,62,77.234866,233.258268,86.607008
202303,73,242,80,77.099421,231.939725,85.754880
202304,74,204,85,76.649360,229.943706,85.431901
202305,83,227,83,75.983171,227.732875,87.090115
202306,88,241,105,75.256403,225.941924,90.566546
202307,94,220,108,74.628301,224.651579,94.088754
202308,83,233,113,74.318539,223.944792,96.753382
202309,73,221,104,74.448921,224.005142,97.775083
202310,74,247,115,74.937489,223.722678,96.535133
202311,65,233,70,75.395449,222.404106,93.468462
202312,71,219,92,75.525160,220.323134,90.535946
202401,64,207,75,75.181274,217.413192,89.446683
202402,65,206,49,74.408592,214.090842,90.005699
202403,69,188,82,73.474073,211.102073,91.196979
202404,68,209,103,72.688018,209.003699,92.152823
202405,80,205,114,72.144235,207.926820,91.536017
202406,81,216,107,71.775888,207.022957,89.245660
202407,91,200,88,71.518867,205.717064,86.311657
202408,82,214,97,71.229936,203.611204,83.002030
202409,72,207,96,70.848406,200.771114,80.978728
202410,65,217,70,70.319480,198.035905,81.531137
202411,60,201,83,69.859931,196.321665,84.012935
202412,65,190,74,69.593565,195.367306,87.304188
202501,60,188,68,69.397666,195.421571,90.684892
202502,59,183,77,69.380823,196.042359,93.840178
202503,64,194,82,69.506498,196.568227,95.977630
202504,69,184,103,69.629513,196.442409,96.504526
202505,74,194,115,69.782540,195.630419,96.152628
202506,78,203,123,69.993955,194.654843,95.257905
202507,94,188,98,70.205578,193.759900,93.999018
202508,79,202,101,70.457033,193.056943,92.342929
