"YYYYMM","Diesel","Natural gas","Flaring","Cold-vent CO2"
201311,0.028172,0.833563,0.062925,0.000091
201312,0.142884,0.889508,0.065914,0.006246
201401,0.016828,0.891369,0.083615,0.000772
201402,0.019632,0.796447,0.065265,0.021230
201403,0.023869,0.925853,0.053924,0.000238
201404,0.037493,0.868958,0.076449,0.001616
201405,0.046246,0.696132,0.077697,0.000155
201406,0.142741,0.800466,0.119287,0.017234
201407,0.027632,0.929426,0.061509,0.000651
201408,0.028030,0.872703,0.092799,0.000553
201409,0.036920,0.880694,0.092816,0.001065
201410,0.022580,0.950435,0.064706,0.000078
201411,0.039610,0.883092,0.065050,0.000031
201412,0.106681,0.945963,0.077130,0.000995
201501,0.022144,0.935434,0.082088,0.031829
201502,0.026606,0.836915,0.063674,0.000596
201503,0.021289,0.930285,0.072543,0.001010
201504,0.030867,0.903227,0.086793,0.000195
201505,0.038515,0.910922,0.091690,0.000109
201506,0.071940,0.916521,0.081012,0.007187
201507,0.023451,0.929927,0.078081,0.000153
201508,0.018559,0.913398,0.071927,0.000005
201509,0.019492,0.881428,0.080516,0.000188
201510,0.022784,0.952146,0.078729,0.000258
201511,0.020156,0.906253,0.086809,0.000644
201512,0.111265,0.968857,0.079118,0.010197
201601,0.037653,0.971432,0.073978,0.000208
201602,0.029504,0.916112,0.044362,0.000031
201603,0.027055,0.954887,0.113960,0.000008
201604,0.033317,0.914191,0.091706,0.001001
201605,0.032181,0.920299,0.093380,0.001429
201606,0.093018,0.805073,0.070839,0.004567
201607,0.031615,0.953493,0.076724,0.000658
201608,0.032244,0.866761,0.078498,0.000111
201609,0.035901,0.704845,0.068560,0.000000
201610,0.036965,0.941883,0.058302,0.000000
201611,0.029735,0.937878,0.113739,0.000479
201612,0.070534,0.971287,0.110882,0.000686
201701,0.027431,0.969141,0.123376,0.000003
201702,0.024118,0.867684,0.064568,0
201703,0.022839,0.959782,0.046727,0
201704,0.018933,0.943115,0.067728,0
201705,0.032608,0.910585,0.071700,0
201706,0.062682,0.856926,0.101857,0.000262
201707,0.026882,0.963207,0.049084,0
201708,0.023165,0.921026,0.054424,0.000722
201709,0.029441,0.875103,0.065593,0.000834
201710,0.032954,0.955617,0.054878,0
201711,0.036434,0.904135,0.061563,0
201712,0.082595,0.946029,0.049207,0
201801,0.023557,0.980233,0.043589,0
201802,0.026383,0.875112,0.055740,0.000171
201803,0.036485,0.959276,0.081153,0.000448
201804,0.029715,0.906321,0.048049,0
201805,0.049381,0.807963,0.079706,0
201806,0.079482,0.874115,0.065783,0
201807,0.016738,0.952948,0.062039,0
201808,0.022508,0.946476,0.045693,0
201809,0.031942,0.791336,0.045664,0
201810,0.033309,0.929564,0.056171,0.000794
201811,0.025514,0.917006,0.070352,0.000068
201812,0.070579,0.942294,0.059812,0.000037
201901,0.021856,0.947058,0.068894,0.000868
201902,0.023234,0.856125,0.033856,0.001607
201903,0.020978,0.938792,0.051113,0.002163
201904,0.027642,0.913518,0.040270,0.002113
201905,0.040255,0.883460,0.046962,0.002002
201906,0.083044,0.804081,0.054826,0.001471
201907,0.028682,0.912269,0.052303,0.002099
201908,0.023142,0.922784,0.056467,0.000766
201909,0.026621,0.865602,0.067616,0.001537
201910,0.027032,0.945891,0.060023,0.001495
201911,0.023229,0.920154,0.049074,0.001941
201912,0.090726,0.973695,0.041972,0.002340
202001,0.026628,0.956382,0.041781,0.000141
202002,0.023705,0.883503,0.042625,0.000410
202003,0.027232,0.952714,0.057164,0.003152
202004,0.022197,0.931783,0.034728,0.002936
202005,0.023363,0.904410,0.038481,0.002564
202006,0.042840,0.788514,0.082773,0.001647
202007,0.025704,0.884527,0.031451,0.002671
202008,0.032664,0.858911,0.037133,0.002479
202009,0.027257,0.746680,0.054242,0.002009
202010,0.029425,0.733352,0.040777,0.002048
202011,0.017778,0.773846,0.045368,0.002589
202012,0.067941,0.836297,0.038025,0.002458
202101,0.016962,0.847110,0.033892,0.003578
202102,0.020685,0.745219,0.036450,0.002032
202103,0.022449,0.832408,0.037011,0.002432
202104,0.027664,0.784580,0.037739,0.002935
202105,0.026125,0.693307,0.037943,0.000246
202106,0.076218,0.703575,0.053406,0
202107,0.023685,0.845935,0.046560,0.000686
202108,0.025856,0.811847,0.039921,0.001680
202109,0.030677,0.718744,0.037420,0.001950
202110,0.034181,0.789616,0.039803,0.003007
202111,0.036508,0.758582,0.038884,0.002668
202112,0.056947,0.811542,0.035785,0.002871
202201,0.027255,0.815267,0.041216,0.003059
202202,0.023135,0.725890,0.035004,0.002736
202203,0.032173,0.773395,0.047732,0.002773
202204,0.031888,0.735453,0.049084,0.002160
202205,0.039176,0.748874,0.064349,0.002285
202206,0.093094,0.739043,0.089073,0.002511
202207,0.024321,0.848382,0.049535,0.002827
202208,0.025619,0.846978,0.043402,0.001472
202209,0.039318,0.709985,0.031648,0.002572
202210,0.043971,0.803480,0.041237,0.002170
202211,0.039991,0.782208,0.031037,0.000909
202212,0.081867,0.827807,0.033534,0.002074
202301,0.029587,0.807614,0.048487,0.001890
202302,0.026247,0.728763,0.024785,0.001707
202303,0.024707,0.822287,0.040733,0.001982
202304,0.027029,0.817134,0.033056,0.001657
202305,0.033820,0.752476,0.054414,0.001472
202306,0.077840,0.716151,0.046069,0.001990
202307,0.027976,0.837593,0.035323,0.001470
202308,0.020152,0.823901,0.036626,0.000560
202309,0.035531,0.647743,0.043885,0.001117
202310,0.026503,0.780307,0.033960,0.000761
202311,0.023366,0.773313,0.036985,0.000910
202312,0.052752,0.817881,0.023404,0.002164
202401,0.015372,0.836507,0.022991,0.001861
202402,0.016588,0.763965,0.025914,0.001751
202403,0.021522,0.818304,0.023623,0.000980
202404,0.023465,0.770023,0.034976,0.001914
202405,0.024624,0.764278,0.029520,0.000719
202406,0.067851,0.735839,0.031732,0.000015
202407,0.021581,0.788336,0.022627,0.000001
202408,0.022985,0.742263,0.030729,0.000012
202409,0.022843,0.531373,0.024081,0.000002
202410,0.022737,0.724224,0.040353,0.000000
202411,0.017198,0.729595,0.032680,0.000000
202412,0.068424,0.748617,0.024960,0.000000
202501,0.016740,0.739800,0.036442,0.000000
202502,0.020959,0.680968,0.025816,0.000000
202503,0.015767,0.757279,0.032517,0.000000
202504,0.015557,0.743346,0.044495,0.000000
202505,0.026196,0.686044,0.036474,0.001393
202506,0.090782,0.597334,0.027701,0.000207
