"Year","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
2010,,,,,,,,289.707966,289.707966,289.664423,286.294408,287.113606,293.479093,293.518811,294.078882,294.078322,294.078322,294.110664,294.365787,294.365787,294.365791,294.365787
2011,,,,,,,,,305.463582,305.464491,300.616276,301.273502,306.966155,307.071164,307.958456,307.952841,307.952841,307.956066,308.376394,308.376394,308.376397,308.376394
2012,,,,,,,,,,302.748889,297.861767,295.706064,303.630251,303.705068,303.964742,303.952606,303.976430,303.976228,304.424112,304.429896,304.429896,304.429896
2013,,,,,,,,,,,288.391670,287.436404,295.880308,296.074061,297.294996,297.294253,297.249639,297.251191,297.479013,297.540224,297.540229,297.540224
2014,,,,,,,,,,,,247.561221,256.178321,256.583599,257.587952,257.584689,257.508606,257.510818,257.639015,257.703072,257.703072,257.703072
2015,,,,,,,,,,,,,223.080532,223.579698,223.910091,223.911869,223.822115,223.824094,223.787571,223.849807,223.849810,223.849807
2016,,,,,,,,,,,,,,235.156014,234.203748,234.200302,234.005955,234.008459,233.961036,234.105649,234.105646,234.105649
2017,,,,,,,,,,,,,,,223.220038,223.232151,223.084976,223.087077,223.080812,223.287759,223.287763,223.287823
2018,,,,,,,,,,,,,,,,231.694165,232.032926,231.674691,231.663821,231.899986,231.899984,231.899986
2019,,,,,,,,,,,,,,,,,222.579323,222.056698,221.943163,222.187897,222.187897,222.187897
2020,,,,,,,,,,,,,,,,,,206.941159,206.823849,207.100652,207.100651,207.100652
2021,,,,,,,,,,,,,,,,,,,210.153298,210.636070,210.636073,210.636070
2022,,,,,,,,,,,,,,,,,,,,142.964135,143.039869,143.039869
2023,,,,,,,,,,,,,,,,,,,,,139.325371,139.820679
2024,,,,,,,,,,,,,,,,,,,,,,134.084778
