"Year","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
2013,,,,,,,,,,,220.971466,218.690457,227.465896,227.537718,228.758653,228.758653,228.758653,228.758653,228.758653,228.758653,228.758653
2014,,,,,,,,,,,,191.936093,197.918091,197.975047,198.979400,198.979400,198.979400,198.979400,198.979400,198.979400,198.979400
2015,,,,,,,,,,,,,169.620143,169.664188,169.987663,169.987663,169.987663,169.987663,169.987663,169.987663,169.987663
2016,,,,,,,,,,,,,,180.092110,179.038799,179.038799,179.038799,179.038799,179.038799,179.038799,179.038799
2017,,,,,,,,,,,,,,,174.910311,174.910311,174.910311,174.910311,174.910311,174.910311,174.910311
2018,,,,,,,,,,,,,,,,180.773221,180.773221,180.773221,180.773221,180.773221,180.773221
2019,,,,,,,,,,,,,,,,,171.290937,171.290937,171.290937,171.290937,171.290937
2020,,,,,,,,,,,,,,,,,,158.054153,158.054153,158.054153,158.054153
2021,,,,,,,,,,,,,,,,,,,159.735729,159.735729,159.735729
2022,,,,,,,,,,,,,,,,,,,,125.335227,125.410914
2023,,,,,,,,,,,,,,,,,,,,,122.252975
