"Year","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
2000,-61.494510,-38.044370,-65.256178,-50.912955,-51.624533,-51.529720,-48.795282,-50.853974,-50.853974,-50.845823,-54.879593,-41.293459,-39.017792,-45.679661,-45.949441,-45.782622,-46.415240,-23.206467,-23.206467,-33.088406,-33.621222
2001,-59.694651,-42.011827,-64.946588,-42.484936,-46.221427,-45.012891,-37.687678,-39.888885,-39.888885,-39.880734,-44.746697,-37.601405,-34.108663,-40.679165,-40.670834,-40.933582,-41.565112,-17.678993,-17.678993,-24.733858,-25.226127
2002,-57.308498,-37.342209,-62.316749,-40.078394,-35.173586,-35.369059,-37.659464,-39.900177,-39.900177,-39.892026,-44.394449,-33.458869,-32.498478,-39.367145,-38.903301,-39.161172,-39.822616,-15.118159,-15.118159,-22.399981,-22.868731
2003,-55.761281,-39.223402,-63.002570,-48.991562,-46.864813,-47.276759,-57.279852,-59.125439,-59.125439,-59.117289,-64.677618,-42.454999,-40.672498,-47.252438,-44.709074,-45.427335,-47.882201,-21.563128,-21.563128,-32.047421,-32.518119
2004,,-32.141823,-61.183633,-35.753070,-37.957817,-38.450596,-38.184074,-40.430038,-40.430038,-40.421888,-45.634458,-30.389411,-31.434040,-37.846688,-33.196227,-33.197669,-37.472063,-9.877112,-9.877112,-18.584172,-19.019761
2005,,,-58.575224,-29.465907,-34.880816,-40.093792,-36.255024,-38.456309,-38.456309,-38.448159,-43.789936,-29.870472,-29.898582,-36.223774,-29.658435,-30.170999,-34.439212,-9.261563,-9.261563,-18.026215,-18.477696
2006,,,,-32.636271,-35.250447,-39.827896,-39.129336,-41.440095,-41.440095,-41.431944,-47.739631,-33.980716,-34.416074,-40.654767,-33.974957,-34.088338,-36.359861,-12.325106,-12.325106,-22.087145,-22.496341
2007,,,,,-43.589580,-50.278354,-51.126544,-54.061514,-54.061514,-54.053364,-60.038848,-35.952840,-36.839714,-43.033515,-36.220777,-37.786989,-38.161451,-14.547047,-14.547047,-23.353735,-23.746123
2008,,,,,,-16.627562,-17.297161,-10.468971,-10.468971,-10.460820,-16.188278,-22.106252,-22.218490,-28.685751,-20.984070,-21.154491,-21.867446,0.477133,0.477133,-10.357909,-10.728379
2009,,,,,,,-19.273060,-18.296584,-18.296584,-18.288434,-25.191773,-27.876411,-25.169867,-31.356118,-23.846025,-24.617001,-25.623857,-5.107389,-5.107389,-15.586426,-15.936468
2010,,,,,,,,-37.994094,-37.994094,-37.985944,-43.408425,-31.725268,-30.923397,-37.313990,-29.578869,-31.460046,-32.289685,-9.230631,-9.230631,-20.836681,-21.170335
2011,,,,,,,,,-7.291063,-6.470616,-11.424005,-20.984567,-20.557225,-27.155344,-13.538285,-15.534598,-16.395584,8.416291,8.416291,-6.802167,-7.121210
2012,,,,,,,,,,-27.246224,-32.400724,-27.005135,-25.957753,-33.610609,-18.895689,-19.436084,-20.294740,4.805880,4.805880,-10.600293,-10.920748
2013,,,,,,,,,,,-38.706499,-14.740539,-14.146937,-21.061327,-5.979265,-6.344555,-7.331779,18.811001,18.811001,1.685767,1.363755
2014,,,,,,,,,,,,-13.151906,-13.511004,-20.309695,-4.139752,-4.021237,-4.840604,19.852714,19.852714,2.837411,2.515454
2015,,,,,,,,,,,,,-15.143911,-22.274032,-6.489703,-6.383785,-6.992931,19.533633,19.533633,4.194164,3.924387
2016,,,,,,,,,,,,,,-18.129356,-1.971230,-1.864625,-2.452829,24.212360,24.212360,6.142617,5.899474
2017,,,,,,,,,,,,,,,-10.521620,-10.416013,-10.648354,14.769075,13.272517,-2.456002,-2.694683
2018,,,,,,,,,,,,,,,,2.457427,0.688420,27.189757,24.730420,7.169128,6.934424
2019,,,,,,,,,,,,,,,,,-0.145030,25.123518,23.137981,5.111668,4.878235
2020,,,,,,,,,,,,,,,,,,-2.108838,-1.060450,-15.895662,-16.134319
2021,,,,,,,,,,,,,,,,,,,14.048786,-5.196242,-5.592367
2022,,,,,,,,,,,,,,,,,,,,-15.231278,-15.868931
2023,,,,,,,,,,,,,,,,,,,,,-11.334122
